Rk;Player;Nation;Pos;Squad;Age;Born;90s;Matches;Touches_per90;Def Pen_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Att Pen_per90;Live_per90;Att_per90;Succ_per90;Succ%_per90;Tkld_per90;Tkld%_per90;Carries_per90;TotDist_per90;PrgDist_per90;PrgC_per90;1/3_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;PrgR_per90;SCA_per90;SCA90_per90;PassLive_per90;PassDead_per90;TO_per90;Sh_per90;Fld_per90;Def_per90;GCA_per90;GCA90_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Sh.1_per90;Fld.1_per90;Def.1_per90
110;Adam Dźwigała;pl POL;DF,MF;St. Pauli;29-241;1995,0;4,1;Matches;68,29;7,32;25,85;33,66;8,78;1,46;68,29;0,49;0,24;12,2;0,24;12,2;26,83;88,54;40,0;0,24;0,0;0,0;0,49;0,49;37,07;0,98;1,22;0,3;1,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
169;Adam Hložek;cz CZE;FW,MF;Hoffenheim;22-303;2002,0;20,8;Matches;36,59;0,96;3,51;16,06;17,64;5,48;36,59;3,08;1,59;2,48;1,3;2,03;20,62;126,01;64,23;2,6;1,49;0,91;2,45;1,78;26,54;4,9;2,74;0,13;1,97;0,05;0,34;0,19;0,19;0,0;0,48;0,02;0,29;0,05;0,1;0,05;0,0;0,0
34;Adrian Beck;de GER;MF,FW;Heidenheim;27-349;1997,0;17,8;Matches;54,04;1,29;10,34;28,2;16,63;2,98;54,04;4,21;2,25;2,99;1,69;2,25;31,07;172,87;66,97;2,08;0,96;0,62;2,36;1,46;32,81;4,66;3,15;0,18;2,08;0,22;0,56;0,22;0,06;0,0;0,22;0,01;0,11;0,06;0,06;0,0;0,0;0,0
342;Alassane Pléa;fr FRA;MF,FW;Gladbach;32-075;1993,0;21,1;Matches;46,4;0,14;3,84;23,41;19,53;3,65;46,35;2,04;0,81;1,87;1,09;2,54;28,48;145,4;80,47;2,42;1,47;0,66;1,9;1,04;36,64;6,68;3,41;0,16;2,75;0,09;0,24;0,05;0,24;0,05;0,66;0,03;0,47;0,05;0,09;0,0;0,05;0,0
128;Aleix García;es ESP;MF;Leverkusen;27-330;1997,0;16,2;Matches;92,78;2,78;13,89;51,3;27,9;0,68;92,78;0,31;0,25;4,94;0,06;1,23;48,58;213,77;100,8;1,67;2,1;0,06;0,62;0,31;72,16;2,9;3,7;0,23;2,41;0,99;0,0;0,25;0,0;0,06;0,62;0,04;0,31;0,19;0,0;0,12;0,0;0,0
332;Aleksandar Pavlovic;de GER;MF;Bayern Munich;21-021;2004,0;16,1;Matches;102,36;1,06;12,05;68,32;22,55;0,68;102,36;0,31;0,31;6,21;0,0;0,0;64,29;270,81;123,23;0,93;2,67;0,19;0,81;0,12;87,02;2,05;1,86;0,12;1,8;0,0;0,0;0,06;0,0;0,0;0,19;0,01;0,19;0,0;0,0;0,0;0,0;0,0
46;Alexander Bernhardsson;se SWE;FW,MF;Holstein Kiel;26-258;1998,0;14,0;Matches;37,14;1,64;7,79;15,93;14,43;2,93;37,14;3,79;1,57;2,96;1,86;3,51;18,86;117,86;59,93;1,79;1,36;0,93;2,57;1,29;21,71;5,14;2,57;0,18;1,5;0,36;0,29;0,29;0,07;0,07;0,5;0,04;0,14;0,0;0,14;0,07;0,07;0,07
309;Alexander Nübel;de GER;GK;Stuttgart;28-236;1996,0;34,0;Matches;40,5;32,74;40,18;0,38;0,0;0,0;40,5;0,03;0,03;2,94;0,0;0,0;24,21;112,71;66,32;0,0;0,0;0,0;0,03;0,0;23,68;0,0;0,29;0,01;0,24;0,06;0,0;0,0;0,0;0,0;0,09;0,0;0,09;0,0;0,0;0,0;0,0;0,0
345;Alexander Prass;at AUT;DF;Hoffenheim;23-363;2001,0;17,4;Matches;68,91;4,08;20,17;30,52;18,68;1,84;68,91;2,41;1,15;2,74;0,98;2,33;34,77;159,37;76,26;1,61;1,72;0,29;1,21;0,57;39,6;3,79;2,01;0,12;1,67;0,06;0,23;0,0;0,06;0,0;0,29;0,02;0,17;0,06;0,0;0,0;0,06;0,0
390;Alexander Schwolow;de GER;GK;Union Berlin;32-356;1992,0;6,0;Matches;36,33;29,5;36,33;0,0;0,0;0,0;36,33;0,0;0,0;;0,0;;23,0;98,5;53,67;0,0;0,0;0,0;0,0;0,0;20,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
82;Alexis Claude-Maurice;fr FRA;MF,FW;Augsburg;26-352;1998,0;23,4;Matches;42,48;0,56;4,79;20,47;18,42;2,74;42,48;3,85;1,79;2,0;1,71;1,9;26,45;172,61;80,68;2,52;2,01;0,38;3,63;2,14;31,07;4,36;3,29;0,14;2,31;0,04;0,34;0,13;0,47;0,0;0,26;0,01;0,13;0,0;0,04;0,0;0,09;0,0
213;Aljoscha Kemlein;de GER;MF;Union Berlin;20-295;2004,0;10,2;Matches;53,82;1,57;11,47;32,45;10,29;1,76;53,82;0,88;0,59;6,54;0,29;3,26;25,49;93,33;42,84;0,49;0,49;0,1;1,08;0,1;32,25;1,86;2,06;0,2;1,76;0,2;0,0;0,0;0,0;0,1;0,2;0,02;0,1;0,0;0,0;0,0;0,0;0,1
95;Alphonso Davies;ca CAN;DF;Bayern Munich;24-203;2000,0;17,3;Matches;84,57;1,91;15,2;41,62;28,79;2,83;84,57;3,93;1,79;2,64;1,79;2,64;51,73;300,06;162,25;4,68;3,06;1,21;1,91;1,1;61,1;8,09;3,53;0,2;3,01;0,0;0,23;0,17;0,12;0,0;0,46;0,03;0,35;0,0;0,06;0,06;0,0;0,0
161;Amadou Haidara;ml MLI;MF;RB Leipzig;27-113;1998,0;14,7;Matches;74,83;4,22;17,48;47,14;10,68;0,95;74,83;0,82;0,48;3,97;0,34;2,84;34,35;122,52;49,86;0,48;0,41;0,0;0,41;0,48;47,01;1,63;1,97;0,13;1,77;0,0;0,0;0,14;0,07;0,0;0,2;0,01;0,14;0,0;0,0;0,07;0,0;0,0
92;Ameen Al-Dakhil;be BEL;DF;Stuttgart;23-079;2002,0;4,8;Matches;84,79;13,96;45,21;38,54;1,25;0,0;84,79;0,0;0,0;;0,0;;49,79;271,88;128,33;0,21;0,0;0,0;0,62;0,0;55,0;0,0;0,83;0,17;0,62;0,0;0,0;0,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;Amine Adli;ma MAR;MF,FW;Leverkusen;25-014;2000,0;8,5;Matches;55,06;0,47;4,71;17,88;33,65;6,24;55,06;3,76;1,76;5,52;1,88;5,88;29,18;176,59;98,59;4,35;2,94;1,29;2,35;0,71;41,18;11,76;3,41;0,4;2,24;0,0;0,24;0,47;0,47;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
340;Amos Pieper;de GER;DF;Werder Bremen;27-127;1998,0;16,6;Matches;68,43;10,12;35,84;29,04;3,61;0,66;68,43;0,18;0,12;4,02;0,06;2,01;34,34;144,76;66,87;0,66;0,42;0,0;0,24;0,18;40,42;0,18;0,3;0,02;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
