Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
1.0,Abner,br BRA,DF,Juventude,21-172,2004.0,15.0,11.0,1063.0,11.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,6.0,19.0,1.0,0.0,0.08,0.08,0.0,0.08,0.01,0.03,0.04,0.01,0.04,Matches,1.0,0.0,0.0,0.08,0.0,0.0,,8.7,0.0,0.09,-0.1,-0.1,412.0,479.0,86.0,8436.0,2878.0,116.0,124.0,93.5,241.0,256.0,94.1,53.0,92.0,57.6,0.2,0.7,4.0,23.0,1.0,0.0,456.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.34,4.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,13.0,8.0,11.0,2.0,0.0,8.0,34.8,15.0,6.0,17.0,30.0,72.0,1.0,606.0,95.0,5.0,4.0,66.7,2.0,33.3,366.0,0.0,4.0,1.0,396.0,71.0,45.4,85.0,9,4,32.0,5,1.13,13.0,22.0,-9.0,-0.76,0.51,11.8,18.6,-6.8,-0.58,0.53,0.0,12.0,0.0,0.0,0.0,27.0,21.0,75.0,1.27,0.93,90.08,0.0,0.08,0.08,0.0,0.0,0.0,0.25,0.0,0.01,0.01,0.03,0.03,0.51,1.61,0.08,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.0,0.74,0.0,-0.01,-0.01,34.92,40.59,714.92,243.9,9.83,10.51,20.42,21.69,4.49,7.8,0.02,0.06,0.34,1.95,0.08,0.0,38.64,1.69,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08,0.34,0.03,0.34,0.0,0.0,0.0,0.0,0.08,0.01,0.08,0.0,0.0,0.0,0.0,1.1,0.68,0.93,0.17,0.0,0.68,1.27,0.51,1.44,2.54,6.1,0.08,51.36,8.05,0.42,0.34,0.17,31.02,0.0,0.34,0.08,33.56,0.76,0.34,0.42,0.1,1.1,1.86,-0.76,-0.06,1.0,1.58,-0.58,-0.05,0.0,1.02,0.0,0.0,0.0,2.29,1.78
610.0,Ademir Santos,br BRA,FW,Bahia,30-234,1995.0,19.0,15.0,1121.0,12.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,3.0,3.0,2.5,5.4,55.0,31.0,138.0,0.08,0.08,0.16,0.08,0.16,0.24,0.2,0.44,0.24,0.44,Matches,26.0,8.0,30.8,2.09,0.64,0.04,0.13,18.0,1.0,0.11,-2.0,-2.0,288.0,389.0,74.0,4315.0,1121.0,173.0,203.0,85.2,81.0,115.0,70.4,21.0,42.0,50.0,2.6,-1.5,16.0,9.0,18.0,11.0,356.0,32.0,0.0,4.0,58.0,16.0,9.0,4.0,2.0,0.0,1.0,12.0,49.0,3.93,28.0,1.0,9.0,9.0,0.0,4.0,0.32,2.0,0.0,2.0,0.0,0.0,26.0,17.0,7.0,8.0,11.0,13.0,37.1,22.0,13.0,2.0,28.0,7.0,0.0,556.0,2.0,52.0,27.0,42.9,29.0,46.0,340.0,19.0,29.0,21.0,406.0,59.0,47.9,68.0,1,4,24.0,0,2.05,16.0,8.0,8.0,0.64,0.94,17.8,11.6,6.2,0.49,1.09,0.0,16.0,0.0,0.0,0.0,36.0,9.0,22.0,1.52,1.2,89.68,0.08,0.08,0.16,0.08,0.0,0.0,0.32,0.0,0.24,0.24,0.2,0.43,4.4,2.48,11.04,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.02,0.04,2.08,0.64,0.17,0.05,1.44,0.08,-0.16,-0.16,23.04,31.12,345.2,89.68,13.84,16.24,6.48,9.2,1.68,3.36,0.21,-0.12,1.28,0.72,1.44,0.88,28.48,2.56,0.0,0.32,4.64,1.28,0.72,0.32,0.16,0.0,0.08,0.96,3.92,0.31,2.24,0.08,0.72,0.72,0.0,0.32,0.03,0.16,0.0,0.16,0.0,0.0,2.08,1.36,0.56,0.64,0.88,1.04,1.76,1.04,0.16,2.24,0.56,0.0,44.48,0.16,4.16,2.16,2.32,27.2,1.52,2.32,1.68,32.48,0.08,0.32,0.0,0.16,1.28,0.64,0.64,0.05,1.42,0.93,0.5,0.04,0.0,1.28,0.0,0.0,0.0,2.88,0.72
109.0,Agustín Canobbio,uy URU,"FW,MF",Fluminense,27-007,1998.0,18.0,15.0,1134.0,12.6,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,2.1,2.1,1.4,3.5,37.0,25.0,98.0,0.16,0.16,0.32,0.16,0.32,0.17,0.11,0.27,0.17,0.27,Matches,25.0,8.0,32.0,1.98,0.63,0.08,0.25,18.5,3.0,0.08,-0.1,-0.1,312.0,393.0,79.4,4124.0,959.0,214.0,243.0,88.1,72.0,90.0,80.0,12.0,22.0,54.5,0.5,0.6,11.0,12.0,6.0,0.0,363.0,28.0,0.0,2.0,31.0,12.0,10.0,1.0,2.0,0.0,2.0,16.0,27.0,2.14,15.0,1.0,2.0,3.0,1.0,3.0,0.24,1.0,0.0,0.0,1.0,0.0,28.0,16.0,12.0,16.0,0.0,13.0,39.4,20.0,10.0,7.0,35.0,17.0,1.0,557.0,9.0,44.0,10.0,30.3,18.0,54.5,354.0,9.0,30.0,22.0,411.0,63.0,50.4,69.0,1,3,35.0,2,1.67,13.0,13.0,0.0,0.0,-0.16,11.5,11.6,-0.1,0.0,-0.2,0.0,17.0,1.0,0.0,0.0,43.0,6.0,42.9,1.43,1.19,90.0,0.16,0.16,0.32,0.16,0.0,0.0,0.24,0.0,0.17,0.17,0.11,0.28,2.94,1.98,7.78,0.01,0.01,0.03,0.01,0.03,0.01,0.01,0.02,0.01,0.02,1.98,0.63,0.16,0.05,1.47,0.24,-0.01,-0.01,24.76,31.19,327.3,76.11,16.98,19.29,5.71,7.14,0.95,1.75,0.04,0.05,0.87,0.95,0.48,0.0,28.81,2.22,0.0,0.16,2.46,0.95,0.79,0.08,0.16,0.0,0.16,1.27,2.14,0.17,1.19,0.08,0.16,0.24,0.08,0.24,0.02,0.08,0.0,0.0,0.08,0.0,2.22,1.27,0.95,1.27,0.0,1.03,1.59,0.79,0.56,2.78,1.35,0.08,44.21,0.71,3.49,0.79,1.43,28.1,0.71,2.38,1.75,32.62,0.08,0.24,0.16,0.13,1.03,1.03,0.0,0.0,0.91,0.92,-0.01,0.0,0.0,1.35,0.08,0.0,0.0,3.41,0.48
243.0,Agustín Giay,ar ARG,DF,Palmeiras,21-265,2004.0,21.0,17.0,1570.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.9,1.1,25.0,68.0,56.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07,Matches,5.0,0.0,0.0,0.29,0.0,0.0,,21.8,0.0,0.04,-0.2,-0.2,770.0,937.0,82.2,13539.0,4798.0,359.0,395.0,90.9,325.0,388.0,83.8,79.0,120.0,65.8,0.5,-0.9,13.0,56.0,7.0,4.0,755.0,180.0,0.0,3.0,29.0,150.0,2.0,0.0,0.0,0.0,2.0,18.0,37.0,2.12,31.0,4.0,0.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,47.0,35.0,25.0,17.0,5.0,28.0,62.2,17.0,12.0,14.0,61.0,47.0,2.0,1126.0,55.0,7.0,6.0,30.0,12.0,60.0,558.0,0.0,22.0,7.0,653.0,75.0,69.8,87.0,16,4,21.0,3,2.33,25.0,16.0,9.0,0.52,-1.07,24.8,16.1,8.7,0.5,-0.47,0.0,25.0,0.0,0.0,0.0,74.0,20.0,60.6,1.21,0.98,90.23,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.01,0.05,0.06,1.44,3.91,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.02,0.0,1.25,0.0,-0.01,-0.01,44.25,53.85,778.1,275.75,20.63,22.7,18.68,22.3,4.54,6.9,0.03,-0.05,0.75,3.22,0.4,0.23,43.39,10.34,0.0,0.17,1.67,8.62,0.11,0.0,0.0,0.0,0.11,1.03,2.13,0.12,1.78,0.23,0.0,0.06,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,2.7,2.01,1.44,0.98,0.29,1.61,0.98,0.69,0.8,3.51,2.7,0.11,64.71,3.16,0.4,0.34,0.69,32.07,0.0,1.26,0.4,37.53,0.92,0.23,0.17,0.13,1.44,0.92,0.52,0.03,1.43,0.93,0.5,0.03,0.0,1.44,0.0,0.0,0.0,4.25,1.15
579.0,Agustín Rogel,uy URU,DF,Internacional,27-356,1997.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2.0,0.0,0.0,0.4,0.0,0.0,,10.2,0.0,0.04,-0.1,-0.1,208.0,230.0,90.4,4019.0,1318.0,63.0,69.0,91.3,122.0,132.0,92.4,20.0,25.0,80.0,0.0,0.0,0.0,6.0,0.0,0.0,226.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,3.0,0.0,5.0,55.6,4.0,1.0,1.0,10.0,27.0,0.0,275.0,26.0,3.0,0.0,,0.0,,158.0,0.0,1.0,1.0,193.0,90.0,19.2,90.0,5,0,,7,1.0,4.0,6.0,-2.0,-0.4,-0.21,6.7,4.0,2.7,0.54,0.14,0.0,6.0,0.0,0.0,0.0,11.0,10.0,62.5,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.08,0.0,2.04,0.0,-0.02,-0.02,41.6,46.0,803.8,263.6,12.6,13.8,24.4,26.4,4.0,5.0,0.0,0.0,0.0,1.2,0.0,0.0,45.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2,0.04,0.0,0.0,0.0,0.0,0.0,1.8,1.2,1.2,0.6,0.0,1.0,0.8,0.2,0.2,2.0,5.4,0.0,55.0,5.2,0.6,0.0,0.0,31.6,0.0,0.2,0.2,38.6,1.0,0.0,1.4,0.2,0.8,1.2,-0.4,-0.08,1.34,0.8,0.54,0.11,0.0,1.2,0.0,0.0,0.0,2.2,2.0
598.0,Agustín Rossi,ar ARG,GK,Flamengo,30-048,1995.0,26.0,26.0,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,627.0,757.0,82.8,15528.0,9683.0,124.0,126.0,98.4,339.0,343.0,98.8,158.0,279.0,56.6,0.2,0.0,0.0,12.0,0.0,0.0,631.0,124.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.27,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,809.0,682.0,0.0,1.0,100.0,0.0,0.0,510.0,0.0,0.0,0.0,457.0,90.0,100.0,90.0,26,0,,0,2.12,50.0,13.0,37.0,1.42,,38.2,20.1,18.1,0.7,,0.0,0.0,0.0,0.0,0.0,56.0,5.0,83.3,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,24.12,29.12,597.23,372.42,4.77,4.85,13.04,13.19,6.08,10.73,0.01,0.0,0.0,0.46,0.0,0.0,24.27,4.77,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.27,0.01,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.27,0.15,31.12,26.23,0.0,0.04,0.0,19.62,0.0,0.0,0.0,17.58,1.0,0.0,0.0,0.08,1.92,0.5,1.42,0.05,1.47,0.77,0.7,0.03,0.0,0.0,0.0,0.0,0.0,2.15,0.19
110.0,Aitor Cantalapiedra,es ESP,"MF,FW",Vitória,29-240,1996.0,8.0,7.0,522.0,5.8,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.9,1.9,1.7,3.6,9.0,20.0,29.0,0.34,0.34,0.69,0.34,0.69,0.32,0.29,0.62,0.32,0.62,Matches,11.0,6.0,54.5,1.9,1.03,0.18,0.33,16.2,0.0,0.17,0.1,0.1,123.0,170.0,72.4,2087.0,629.0,64.0,74.0,86.5,44.0,59.0,74.6,12.0,28.0,42.9,1.3,0.3,13.0,9.0,6.0,3.0,151.0,19.0,1.0,1.0,24.0,1.0,8.0,2.0,6.0,0.0,0.0,7.0,19.0,3.28,14.0,3.0,0.0,2.0,0.0,2.0,0.34,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,50.0,1.0,4.0,1.0,4.0,4.0,0.0,212.0,2.0,16.0,2.0,33.3,4.0,66.7,112.0,3.0,10.0,2.0,139.0,65.0,21.5,72.0,1,1,20.0,2,0.88,8.0,16.0,-8.0,-1.38,-0.91,6.8,10.0,-3.2,-0.55,-0.15,0.0,3.0,0.0,0.0,0.0,24.0,2.0,25.0,1.38,1.21,90.0,0.34,0.34,0.69,0.34,0.0,0.0,0.17,0.0,0.33,0.33,0.29,0.62,1.55,3.45,5.0,0.06,0.06,0.12,0.06,0.12,0.06,0.05,0.11,0.06,0.11,1.9,1.03,0.33,0.18,2.79,0.0,0.02,0.02,21.21,29.31,359.83,108.45,11.03,12.76,7.59,10.17,2.07,4.83,0.22,0.05,2.24,1.55,1.03,0.52,26.03,3.28,0.17,0.17,4.14,0.17,1.38,0.34,1.03,0.0,0.0,1.21,3.28,0.57,2.41,0.52,0.0,0.34,0.0,0.34,0.06,0.17,0.17,0.0,0.0,0.0,0.52,0.52,0.17,0.17,0.17,0.17,0.17,0.69,0.17,0.69,0.69,0.0,36.55,0.34,2.76,0.34,0.69,19.31,0.52,1.72,0.34,23.97,0.17,0.17,0.34,0.15,1.38,2.76,-1.38,-0.24,1.17,1.72,-0.55,-0.09,0.0,0.52,0.0,0.0,0.0,4.14,0.34
217.0,Alan Franco,ec ECU,MF,Atlético Mineiro,27-048,1998.0,21.0,21.0,1818.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,7.0,61.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,3.0,0.0,0.0,0.15,0.0,0.0,,21.4,0.0,0.06,-0.2,-0.2,872.0,964.0,90.5,13584.0,3944.0,426.0,451.0,94.5,375.0,406.0,92.4,38.0,49.0,77.6,0.4,-0.1,9.0,65.0,2.0,0.0,905.0,55.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,4.0,14.0,28.0,1.39,27.0,0.0,0.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,36.0,23.0,15.0,16.0,5.0,13.0,72.2,5.0,6.0,19.0,55.0,30.0,0.0,1091.0,34.0,3.0,3.0,75.0,1.0,25.0,635.0,0.0,12.0,4.0,728.0,87.0,80.8,87.0,18,0,,0,1.05,16.0,23.0,-7.0,-0.35,-0.35,20.3,19.7,0.7,0.03,-0.04,0.0,28.0,0.0,0.0,0.0,68.0,16.0,55.2,1.04,1.04,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.01,0.01,0.0,0.01,0.35,3.02,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.01,0.0,1.06,0.0,-0.01,-0.01,43.17,47.72,672.48,195.25,21.09,22.33,18.56,20.1,1.88,2.43,0.02,-0.0,0.45,3.22,0.1,0.0,44.8,2.72,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.2,0.69,1.39,0.07,1.34,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,1.78,1.14,0.74,0.79,0.25,0.64,0.25,0.3,0.94,2.72,1.49,0.0,54.01,1.68,0.15,0.15,0.05,31.44,0.0,0.59,0.2,36.04,0.89,0.0,0.0,0.05,0.79,1.14,-0.35,-0.02,1.0,0.98,0.03,0.0,0.0,1.39,0.0,0.0,0.0,3.37,0.79
218.0,Alan Franco,ar ARG,DF,São Paulo,28-362,1996.0,20.0,19.0,1589.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.4,1.5,5.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,3.0,0.0,0.0,0.15,0.0,0.0,,21.4,0.0,0.06,-0.2,-0.2,872.0,964.0,90.5,13584.0,3944.0,426.0,451.0,94.5,375.0,406.0,92.4,38.0,49.0,77.6,0.4,-0.1,9.0,65.0,2.0,0.0,905.0,55.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,4.0,14.0,28.0,1.39,27.0,0.0,0.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,36.0,23.0,15.0,16.0,5.0,13.0,72.2,5.0,6.0,19.0,55.0,30.0,0.0,1091.0,34.0,3.0,3.0,75.0,1.0,25.0,635.0,0.0,12.0,4.0,728.0,87.0,80.8,87.0,18,0,,0,1.05,16.0,23.0,-7.0,-0.35,-0.35,20.3,19.7,0.7,0.03,-0.04,0.0,28.0,0.0,0.0,0.0,68.0,16.0,55.2,1.13,1.07,89.77,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.06,0.06,0.02,0.08,0.28,2.37,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.01,0.0,1.21,0.0,-0.01,-0.01,49.27,54.46,767.46,222.82,24.07,25.48,21.19,22.94,2.15,2.77,0.02,-0.01,0.51,3.67,0.11,0.0,51.13,3.11,0.0,0.0,0.11,0.56,0.0,0.0,0.0,0.0,0.23,0.79,1.58,0.08,1.53,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,2.03,1.3,0.85,0.9,0.28,0.73,0.28,0.34,1.07,3.11,1.69,0.0,61.64,1.92,0.17,0.17,0.06,35.88,0.0,0.68,0.23,41.13,1.02,0.0,0.0,0.06,0.9,1.3,-0.4,-0.02,1.15,1.11,0.04,0.0,0.0,1.58,0.0,0.0,0.0,3.84,0.9
494.0,Alan Patrick,br BRA,"MF,FW",Internacional,34-148,1991.0,20.0,20.0,1656.0,18.4,9.0,6.0,15.0,4.0,5.0,6.0,3.0,0.0,7.8,3.1,8.8,11.9,34.0,117.0,79.0,0.49,0.33,0.82,0.22,0.54,0.42,0.48,0.9,0.17,0.65,Matches,27.0,10.0,37.0,1.47,0.54,0.15,0.4,23.1,9.0,0.11,1.2,0.9,723.0,895.0,80.8,11842.0,3799.0,362.0,406.0,89.2,268.0,309.0,86.7,68.0,123.0,55.3,7.6,-2.8,70.0,92.0,32.0,0.0,757.0,133.0,6.0,3.0,94.0,2.0,71.0,29.0,30.0,0.0,5.0,14.0,114.0,6.2,65.0,35.0,8.0,3.0,0.0,10.0,0.54,5.0,3.0,2.0,0.0,0.0,17.0,12.0,3.0,11.0,3.0,15.0,50.0,15.0,11.0,3.0,20.0,10.0,1.0,1065.0,7.0,53.0,19.0,40.4,26.0,55.3,623.0,12.0,44.0,43.0,789.0,83.0,70.8,83.0,12,0,,0,1.5,26.0,23.0,3.0,0.16,1.35,30.7,19.2,11.5,0.62,0.67,0.0,18.0,0.0,0.0,0.0,70.0,7.0,25.9,1.09,1.09,90.0,0.49,0.33,0.82,0.22,0.27,0.33,0.16,0.0,0.42,0.17,0.48,0.65,1.85,6.36,4.29,0.03,0.02,0.04,0.01,0.03,0.02,0.03,0.05,0.01,0.04,1.47,0.54,0.08,0.03,1.26,0.49,0.07,0.05,39.29,48.64,643.59,206.47,19.67,22.07,14.57,16.79,3.7,6.68,0.41,-0.15,3.8,5.0,1.74,0.0,41.14,7.23,0.33,0.16,5.11,0.11,3.86,1.58,1.63,0.0,0.27,0.76,6.2,0.34,3.53,1.9,0.43,0.16,0.0,0.54,0.03,0.27,0.16,0.11,0.0,0.0,0.92,0.65,0.16,0.6,0.16,0.82,0.82,0.6,0.16,1.09,0.54,0.05,57.88,0.38,2.88,1.03,1.41,33.86,0.65,2.39,2.34,42.88,0.65,0.0,0.0,0.08,1.41,1.25,0.16,0.01,1.67,1.04,0.62,0.03,0.0,0.98,0.0,0.0,0.0,3.8,0.38
