Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1;Matches;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp.1;Att.1;Cmp%.1;Cmp.2;Att.2;Cmp%.2;Cmp.3;Att.3;Cmp%.3;xA;A-xAG;KP;1/3;PPA;CrsPA;Live;Dead;TB;Sw;Crs;TI;CK;In;Out;Str;Off;Blocks;SCA;SCA90;PassLive;PassDead;TO;Fld;Def;GCA;GCA90;PassLive.1;PassDead.1;TO.1;Fld.1;Def.1;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl.1;Tkl%;Lost;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Att Pen;Succ;Succ%;Tkld;Tkld%;Carries;CPA;Mis;Dis;Rec;Mn/MP;Min%;Mn/Start;Compl;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;On-Off;onxG;onxGA;xG+/-;xG+/-90;On-Off.1;2CrdY;Fls;PKwon;PKcon;OG;Recov;Won;Won%;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;xG_per90;npxG_per90;xAG_per90;npxG+xAG_per90;PrgC_per90;PrgP_per90;PrgR_per90;Gls.1_per90;Ast.1_per90;G+A.1_per90;G-PK.1_per90;G+A-PK_per90;xG.1_per90;xAG.1_per90;xG+xAG_per90;npxG.1_per90;npxG+xAG.1_per90;Sh_per90;SoT_per90;Sh/90_per90;SoT/90_per90;Dist_per90;FK_per90;G-xG_per90;np:G-xG_per90;Cmp_per90;Att_per90;TotDist_per90;PrgDist_per90;Cmp.1_per90;Att.1_per90;Cmp.2_per90;Att.2_per90;Cmp.3_per90;Att.3_per90;xA_per90;A-xAG_per90;KP_per90;1/3_per90;PPA_per90;CrsPA_per90;Live_per90;Dead_per90;TB_per90;Sw_per90;Crs_per90;TI_per90;CK_per90;In_per90;Out_per90;Str_per90;Off_per90;Blocks_per90;SCA_per90;SCA90_per90;PassLive_per90;PassDead_per90;TO_per90;Fld_per90;Def_per90;GCA_per90;GCA90_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Fld.1_per90;Def.1_per90;Tkl_per90;TklW_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Tkl.1_per90;Lost_per90;Pass_per90;Int_per90;Tkl+Int_per90;Clr_per90;Err_per90;Touches_per90;Def Pen_per90;Att Pen_per90;Succ_per90;Tkld_per90;Carries_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;Compl_per90;Subs_per90;unSub_per90;PPM_per90;onG_per90;onGA_per90;+/-_per90;+/-90_per90;onxG_per90;onxGA_per90;xG+/-_per90;xG+/-90_per90;2CrdY_per90;Fls_per90;PKwon_per90;PKcon_per90;OG_per90;Recov_per90;Won_per90
1,0;Abner;br BRA;DF;Juventude;21-118;2004,0;11,0;7,0;759,0;8,4;0,0;1,0;1,0;0,0;0,0;0,0;1,0;0,0;0,1;0,1;0,2;0,3;6,0;9,0;1,0;0,0;0,12;0,12;0,0;0,12;0,01;0,02;0,03;0,01;0,03;Matches;1,0;0,0;0,0;0,12;0,0;0,0;;8,7;0,0;0,09;-0,1;-0,1;303,0;356,0;85,1;6086,0;2178,0;88,0;96,0;91,7;180,0;191,0;94,2;34,0;63,0;54,0;0,2;0,8;2,0;9,0;1,0;0,0;338,0;15,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;1,0;3,0;0,36;3,0;0,0;0,0;0,0;0,0;1,0;0,12;1,0;0,0;0,0;0,0;0,0;9,0;6,0;7,0;2,0;0,0;5,0;25,0;15,0;4,0;13,0;22,0;46,0;0,0;440,0;68,0;3,0;4,0;80,0;1,0;20,0;264,0;0,0;3,0;1,0;294,0;69,0;49,6;90,0;7;4;32,0;5;0,91;8,0;19,0;-11,0;-1,3;0,1;7,1;14,5;-7,4;-0,88;0,4;0,0;7,0;0,0;0,0;0,0;21,0;17,0;77,3;1,31;0,83;90,36;0,0;0,12;0,12;0,0;0,0;0,0;0,12;0,0;0,01;0,01;0,02;0,04;0,71;1,07;0,12;0,0;0,01;0,01;0,0;0,01;0,0;0,0;0,0;0,0;0,0;0,12;0,0;0,01;0,0;1,04;0,0;-0,01;-0,01;36,07;42,38;724,52;259,29;10,48;11,43;21,43;22,74;4,05;7,5;0,02;0,1;0,24;1,07;0,12;0,0;40,24;1,79;0,12;0,12;0,0;0,0;0,0;0,0;0,0;0,0;0,36;0,12;0,36;0,04;0,36;0,0;0,0;0,0;0,0;0,12;0,01;0,12;0,0;0,0;0,0;0,0;1,07;0,71;0,83;0,24;0,0;0,6;1,79;0,48;1,55;2,62;5,48;0,0;52,38;8,1;0,36;0,48;0,12;31,43;0,0;0,36;0,12;35,0;0,83;0,48;0,6;0,11;0,95;2,26;-1,31;-0,15;0,85;1,73;-0,88;-0,1;0,0;0,83;0,0;0,0;0,0;2,5;2,02
545,0;Ademir Santos;br BRA;FW;Bahia;30-180;1995,0;14,0;12,0;941,0;10,5;0,0;1,0;1,0;0,0;0,0;0,0;2,0;0,0;2,5;2,5;2,5;4,9;46,0;28,0;122,0;0,0;0,1;0,1;0,0;0,1;0,24;0,23;0,47;0,24;0,47;Matches;19,0;4,0;21,1;1,82;0,38;0,0;0,0;16,3;1,0;0,13;-2,5;-2,5;254,0;343,0;74,1;3863,0;1008,0;149,0;179,0;83,2;72,0;100,0;72,0;20,0;39,0;51,3;2,6;-1,5;15,0;8,0;17,0;11,0;316,0;26,0;0,0;4,0;53,0;12,0;8,0;4,0;2,0;0,0;1,0;9,0;40,0;3,83;25,0;0,0;5,0;9,0;0,0;3,0;0,29;2,0;0,0;1,0;0,0;0,0;19,0;13,0;5,0;8,0;6,0;9,0;33,3;18,0;10,0;2,0;21,0;5,0;0,0;474,0;1,0;47,0;20,0;40,0;23,0;46,0;295,0;16,0;25,0;17,0;353,0;67,0;61,5;74,0;1;2;25,0;0;1,93;12,0;7,0;5,0;0,48;0,17;15,9;8,9;7,0;0,67;0,93;0,0;13,0;0,0;0,0;0,0;29,0;9,0;28,1;1,33;1,14;89,62;0,0;0,1;0,1;0,0;0,0;0,0;0,19;0,0;0,24;0,24;0,24;0,47;4,38;2,67;11,62;0,0;0,01;0,01;0,0;0,01;0,02;0,02;0,04;0,02;0,04;1,81;0,38;0,17;0,04;1,55;0,1;-0,24;-0,24;24,19;32,67;367,9;96,0;14,19;17,05;6,86;9,52;1,9;3,71;0,25;-0,14;1,43;0,76;1,62;1,05;30,1;2,48;0,0;0,38;5,05;1,14;0,76;0,38;0,19;0,0;0,1;0,86;3,81;0,36;2,38;0,0;0,48;0,86;0,0;0,29;0,03;0,19;0,0;0,1;0,0;0,0;1,81;1,24;0,48;0,76;0,57;0,86;1,71;0,95;0,19;2,0;0,48;0,0;45,14;0,1;4,48;1,9;2,19;28,1;1,52;2,38;1,62;33,62;0,1;0,19;0,0;0,18;1,14;0,67;0,48;0,05;1,51;0,85;0,67;0,06;0,0;1,24;0,0;0,0;0,0;2,76;0,86
99,0;Agustín Canobbio;uy URU;FW,MF;Fluminense;26-318;1998,0;12,0;10,0;660,0;7,3;1,0;1,0;2,0;1,0;0,0;0,0;2,0;0,0;1,1;1,1;1,1;2,1;17,0;15,0;48,0;0,14;0,14;0,27;0,14;0,27;0,15;0,14;0,29;0,15;0,29;Matches;12,0;3,0;25,0;1,64;0,41;0,08;0,33;17,8;2,0;0,09;-0,1;-0,1;156,0;190,0;82,1;1984,0;460,0;106,0;120,0;88,3;35,0;41,0;85,4;5,0;11,0;45,5;0,2;-0,1;6,0;8,0;3,0;0,0;172,0;18,0;0,0;1,0;13,0;10,0;6,0;1,0;1,0;0,0;0,0;6,0;13,0;1,77;7,0;1,0;0,0;2,0;1,0;2,0;0,27;0,0;0,0;0,0;1,0;0,0;20,0;10,0;8,0;12,0;0,0;8,0;36,4;14,0;6,0;6,0;26,0;9,0;0,0;288,0;5,0;22,0;6,0;33,3;9,0;50,0;187,0;5,0;23,0;14,0;203,0;55,0;43,1;62,0;0;2;20,0;2;1,42;4,0;8,0;-4,0;-0,55;-0,75;6,2;6,7;-0,6;-0,08;-0,28;0,0;12,0;1,0;0,0;0,0;26,0;3,0;37,5;1,64;1,37;90,41;0,14;0,14;0,27;0,14;0,0;0,0;0,27;0,0;0,15;0,15;0,15;0,29;2,33;2,05;6,58;0,02;0,02;0,04;0,02;0,04;0,02;0,02;0,04;0,02;0,04;1,64;0,41;0,22;0,06;2,44;0,27;-0,01;-0,01;21,37;26,03;271,78;63,01;14,52;16,44;4,79;5,62;0,68;1,51;0,03;-0,01;0,82;1,1;0,41;0,0;23,56;2,47;0,0;0,14;1,78;1,37;0,82;0,14;0,14;0,0;0,0;0,82;1,78;0,24;0,96;0,14;0,0;0,27;0,14;0,27;0,04;0,0;0,0;0,0;0,14;0,0;2,74;1,37;1,1;1,64;0,0;1,1;1,92;0,82;0,82;3,56;1,23;0,0;39,45;0,68;3,01;0,82;1,23;25,62;0,68;3,15;1,92;27,81;0,0;0,27;0,27;0,19;0,55;1,1;-0,55;-0,08;0,85;0,92;-0,08;-0,01;0,0;1,64;0,14;0,0;0,0;3,56;0,41
218,0;Agustín Giay;ar ARG;DF;Palmeiras;21-211;2004,0;15,0;13,0;1240,0;13,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,7;0,9;23,0;60,0;31,0;0,0;0,0;0,0;0,0;0,0;0,02;0,05;0,06;0,02;0,06;Matches;5,0;0,0;0,0;0,36;0,0;0,0;;21,8;0,0;0,04;-0,2;-0,2;632,0;767,0;82,4;11285,0;4111,0;287,0;316,0;90,8;272,0;323,0;84,2;69,0;102,0;67,6;0,3;-0,7;9,0;54,0;4,0;3,0;624,0;141,0;0,0;1,0;20,0;114,0;2,0;0,0;0,0;0,0;2,0;14,0;26,0;1,89;22,0;2,0;0,0;1,0;1,0;1,0;0,07;1,0;0,0;0,0;0,0;0,0;40,0;31,0;21,0;15,0;4,0;25,0;69,4;11,0;11,0;12,0;52,0;40,0;2,0;917,0;47,0;5,0;6,0;37,5;8,0;50,0;459,0;0,0;15,0;6,0;544,0;83,0;81,0;90,0;13;2;35,0;1;2,27;18,0;12,0;6,0;0,44;-0,19;19,1;11,8;7,3;0,53;0,3;0,0;17,0;0,0;0,0;0,0;57,0;13,0;54,2;1,09;0,94;89,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,01;0,05;0,07;1,67;4,35;2,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,36;0,0;0,03;0,0;1,58;0,0;-0,01;-0,01;45,8;55,58;817,75;297,9;20,8;22,9;19,71;23,41;5,0;7,39;0,02;-0,05;0,65;3,91;0,29;0,22;45,22;10,22;0,0;0,07;1,45;8,26;0,14;0,0;0,0;0,0;0,14;1,01;1,88;0,14;1,59;0,14;0,0;0,07;0,07;0,07;0,01;0,07;0,0;0,0;0,0;0,0;2,9;2,25;1,52;1,09;0,29;1,81;0,8;0,8;0,87;3,77;2,9;0,14;66,45;3,41;0,36;0,43;0,58;33,26;0,0;1,09;0,43;39,42;0,94;0,14;0,07;0,16;1,3;0,87;0,43;0,03;1,38;0,86;0,53;0,04;0,0;1,23;0,0;0,0;0,0;4,13;0,94
515,0;Agustín Rogel;uy URU;DF;Internacional;27-302;1997,0;5,0;5,0;450,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,0;0,1;0,0;9,0;1,0;0,0;0,0;0,0;0,0;0,0;0,02;0,0;0,02;0,02;0,02;Matches;2,0;0,0;0,0;0,4;0,0;0,0;;10,2;0,0;0,04;-0,1;-0,1;208,0;230,0;90,4;4019,0;1318,0;63,0;69,0;91,3;122,0;132,0;92,4;20,0;25,0;80,0;0,0;0,0;0,0;6,0;0,0;0,0;226,0;3,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;5,0;1,0;3,0;0,0;0,0;0,0;0,0;1,0;0,2;0,0;0,0;0,0;0,0;0,0;9,0;6,0;6,0;3,0;0,0;5,0;55,6;4,0;1,0;1,0;10,0;27,0;0,0;275,0;26,0;3,0;0,0;;0,0;;158,0;0,0;1,0;1,0;193,0;90,0;27,8;90,0;5;0;;7;1,0;4,0;6,0;-2,0;-0,4;-0,4;6,7;4,0;2,7;0,54;0,23;0,0;6,0;0,0;0,0;0,0;11,0;10,0;62,5;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,02;0,02;0,0;0,02;0,0;1,8;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,08;0,0;2,04;0,0;-0,02;-0,02;41,6;46,0;803,8;263,6;12,6;13,8;24,4;26,4;4,0;5,0;0,0;0,0;0,0;1,2;0,0;0,0;45,2;0,6;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;1,0;0,2;0,6;0,0;0,0;0,0;0,0;0,2;0,04;0,0;0,0;0,0;0,0;0,0;1,8;1,2;1,2;0,6;0,0;1,0;0,8;0,2;0,2;2,0;5,4;0,0;55,0;5,2;0,6;0,0;0,0;31,6;0,0;0,2;0,2;38,6;1,0;0,0;1,4;0,2;0,8;1,2;-0,4;-0,08;1,34;0,8;0,54;0,11;0,0;1,2;0,0;0,0;0,0;2,2;2,0
534,0;Agustín Rossi;ar ARG;GK;Flamengo;29-359;1995,0;18,0;18,0;1620,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Matches;0,0;0,0;;0,0;0,0;;;;0,0;;0,0;0,0;420,0;514,0;81,7;10590,0;6471,0;77,0;78,0;98,7;228,0;231,0;98,7;112,0;199,0;56,3;0,2;0,0;0,0;6,0;0,0;0,0;421,0;91,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;7,0;0,39;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;5,0;2,0;551,0;472,0;0,0;0,0;;0,0;;331,0;0,0;0,0;0,0;312,0;90,0;100,0;90,0;18;0;;0;2,22;33,0;8,0;25,0;1,39;;25,3;13,1;12,2;0,68;;0,0;0,0;0,0;0,0;0,0;39,0;2,0;66,7;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;23,33;28,56;588,33;359,5;4,28;4,33;12,67;12,83;6,22;11,06;0,01;0,0;0,0;0,33;0,0;0,0;23,39;5,06;0,06;0,11;0,0;0,0;0,0;0,0;0,0;0,0;0,11;0,06;0,39;0,02;0,39;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,06;0,0;0,0;0,0;0,28;0,11;30,61;26,22;0,0;0,0;0,0;18,39;0,0;0,0;0,0;17,33;1,0;0,0;0,0;0,12;1,83;0,44;1,39;0,08;1,41;0,73;0,68;0,04;0,0;0,0;0,0;0,0;0,0;2,17;0,11
195,0;Alan Franco;ec ECU;MF;Atlético Mineiro;26-359;1998,0;13,0;13,0;1125,0;12,5;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,1;0,1;0,1;0,1;3,0;32,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,01;Matches;2,0;0,0;0,0;0,16;0,0;0,0;;27,7;0,0;0,03;-0,1;-0,1;505,0;567,0;89,1;7736,0;2091,0;251,0;269,0;93,3;208,0;229,0;90,8;24,0;31,0;77,4;0,2;-0,1;4,0;37,0;1,0;0,0;525,0;39,0;0,0;0,0;2,0;6,0;0,0;0,0;0,0;0,0;3,0;8,0;18,0;1,44;17,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;14,0;9,0;11,0;5,0;10,0;71,4;4,0;5,0;14,0;39,0;21,0;0,0;646,0;25,0;1,0;2,0;66,7;1,0;33,3;340,0;0,0;6,0;2,0;409,0;87,0;73,5;87,0;12;0;;0;1,31;13,0;13,0;0,0;0,0;-0,22;15,3;12,0;3,3;0,27;0,02;0,0;14,0;0,0;0,0;0,0;38,0;11,0;73,3;1,04;1,04;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,08;0,0;0,01;0,01;0,01;0,01;0,24;2,56;0,56;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,16;0,0;0,01;0,0;2,22;0,0;-0,01;-0,01;40,4;45,36;618,88;167,28;20,08;21,52;16,64;18,32;1,92;2,48;0,02;-0,01;0,32;2,96;0,08;0,0;42,0;3,12;0,0;0,0;0,16;0,48;0,0;0,0;0,0;0,0;0,24;0,64;1,44;0,12;1,36;0,0;0,0;0,0;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;1,12;0,72;0,88;0,4;0,8;0,32;0,4;1,12;3,12;1,68;0,0;51,68;2,0;0,08;0,16;0,08;27,2;0,0;0,48;0,16;32,72;0,96;0,0;0,0;0,1;1,04;1,04;0,0;0,0;1,22;0,96;0,26;0,02;0,0;1,12;0,0;0,0;0,0;3,04;0,88
196,0;Alan Franco;ar ARG;DF;São Paulo;28-308;1996,0;14,0;13,0;1147,0;12,7;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;1,0;1,0;0,0;1,0;3,0;20,0;1,0;0,0;0,0;0,0;0,0;0,0;0,07;0,0;0,08;0,07;0,08;Matches;2,0;0,0;0,0;0,16;0,0;0,0;;27,7;0,0;0,03;-0,1;-0,1;505,0;567,0;89,1;7736,0;2091,0;251,0;269,0;93,3;208,0;229,0;90,8;24,0;31,0;77,4;0,2;-0,1;4,0;37,0;1,0;0,0;525,0;39,0;0,0;0,0;2,0;6,0;0,0;0,0;0,0;0,0;3,0;8,0;18,0;1,44;17,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;14,0;9,0;11,0;5,0;10,0;71,4;4,0;5,0;14,0;39,0;21,0;0,0;646,0;25,0;1,0;2,0;66,7;1,0;33,3;340,0;0,0;6,0;2,0;409,0;87,0;73,5;87,0;12;0;;0;1,31;13,0;13,0;0,0;0,0;-0,22;15,3;12,0;3,3;0,27;0,02;0,0;14,0;0,0;0,0;0,0;38,0;11,0;73,3;1,1;1,02;90,31;0,0;0,0;0,0;0,0;0,0;0,0;0,31;0,0;0,08;0,08;0,0;0,08;0,24;1,57;0,08;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,01;0,01;0,01;0,16;0,0;0,01;0,0;2,18;0,0;-0,01;-0,01;39,76;44,65;609,13;164,65;19,76;21,18;16,38;18,03;1,89;2,44;0,02;-0,01;0,31;2,91;0,08;0,0;41,34;3,07;0,0;0,0;0,16;0,47;0,0;0,0;0,0;0,0;0,24;0,63;1,42;0,11;1,34;0,0;0,0;0,0;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,97;1,1;0,71;0,87;0,39;0,79;0,31;0,39;1,1;3,07;1,65;0,0;50,87;1,97;0,08;0,16;0,08;26,77;0,0;0,47;0,16;32,2;0,94;0,0;0,0;0,1;1,02;1,02;0,0;0,0;1,2;0,94;0,26;0,02;0,0;1,1;0,0;0,0;0,0;2,99;0,87
440,0;Alan Patrick;br BRA;MF,FW;Internacional;34-094;1991,0;13,0;13,0;1076,0;12,0;4,0;5,0;9,0;2,0;2,0;2,0;3,0;0,0;3,0;1,4;7,0;8,5;22,0;85,0;54,0;0,33;0,42;0,75;0,17;0,59;0,25;0,59;0,84;0,12;0,71;Matches;19,0;7,0;36,8;1,59;0,59;0,11;0,29;21,9;6,0;0,08;1,0;0,6;504,0;623,0;80,9;8410,0;2662,0;249,0;274,0;90,9;195,0;226,0;86,3;46,0;84,0;54,8;5,2;-2,0;55,0;67,0;25,0;0,0;526,0;92,0;6,0;3,0;69,0;2,0;56,0;23,0;22,0;0,0;5,0;10,0;82,0;6,86;46,0;27,0;7,0;1,0;0,0;8,0;0,67;3,0;3,0;2,0;0,0;0,0;15,0;10,0;2,0;10,0;3,0;13,0;56,5;10,0;9,0;1,0;16,0;2,0;1,0;727,0;2,0;33,0;14,0;45,2;16,0;51,6;428,0;8,0;28,0;30,0;552,0;83,0;66,4;83,0;8;0;;0;1,69;17,0;11,0;6,0;0,5;1,83;20,3;12,5;7,8;0,65;0,82;0,0;12,0;0,0;0,0;0,0;46,0;3,0;20,0;1,08;1,08;89,67;0,33;0,42;0,75;0,17;0,17;0,17;0,25;0,0;0,25;0,12;0,58;0,71;1,83;7,08;4,5;0,03;0,03;0,06;0,01;0,05;0,02;0,05;0,07;0,01;0,06;1,58;0,58;0,13;0,05;1,82;0,5;0,08;0,05;42,0;51,92;700,83;221,83;20,75;22,83;16,25;18,83;3,83;7,0;0,43;-0,17;4,58;5,58;2,08;0,0;43,83;7,67;0,5;0,25;5,75;0,17;4,67;1,92;1,83;0,0;0,42;0,83;6,83;0,57;3,83;2,25;0,58;0,08;0,0;0,67;0,06;0,25;0,25;0,17;0,0;0,0;1,25;0,83;0,17;0,83;0,25;1,08;0,83;0,75;0,08;1,33;0,17;0,08;60,58;0,17;2,75;1,17;1,33;35,67;0,67;2,33;2,5;46,0;0,67;0,0;0,0;0,14;1,42;0,92;0,5;0,04;1,69;1,04;0,65;0,05;0,0;1,0;0,0;0,0;0,0;3,83;0,25
537,0;Alan Ruschel;br BRA;DF;Juventude;35-357;1989,0;11,0;8,0;695,0;7,7;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,6;0,6;8,0;24,0;22,0;0,0;0,0;0,0;0,0;0,0;0,0;0,08;0,08;0,0;0,08;Matches;0,0;0,0;;0,0;0,0;;;;0,0;;0,0;0,0;280,0;367,0;76,3;4515,0;2138,0;144,0;156,0;92,3;110,0;146,0;75,3;20,0;40,0;50,0;0,6;-0,6;9,0;16,0;5,0;3,0;259,0;106,0;0,0;4,0;25,0;84,0;7,0;2,0;5,0;0,0;2,0;10,0;16,0;2,07;7,0;4,0;1,0;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,0;6,0;6,0;9,0;0,0;5,0;41,7;7,0;3,0;11,0;26,0;15,0;0,0;431,0;15,0;3,0;4,0;33,3;7,0;58,3;195,0;1,0;7,0;3,0;232,0;63,0;45,4;86,0;5;3;3,0;6;0,91;4,0;16,0;-12,0;-1,55;-0,37;3,7;13,5;-9,8;-1,27;-0,35;0,0;8,0;0,0;0,0;0,0;22,0;9,0;60,0;1,43;1,04;90,26;0,0;0,0;0,0;0,0;0,0;0,0;0,26;0,0;0,0;0,0;0,08;0,08;1,04;3,12;2,86;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,01;0,0;0,01;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;36,36;47,66;586,36;277,66;18,7;20,26;14,29;18,96;2,6;5,19;0,08;-0,08;1,17;2,08;0,65;0,39;33,64;13,77;0,0;0,52;3,25;10,91;0,91;0,26;0,65;0,0;0,26;1,3;2,08;0,27;0,91;0,52;0,13;0,26;0,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,95;0,78;0,78;1,17;0,0;0,65;0,91;0,39;1,43;3,38;1,95;0,0;55,97;1,95;0,39;0,52;0,91;25,32;0,13;0,91;0,39;30,13;0,65;0,39;0,78;0,12;0,52;2,08;-1,56;-0,2;0,48;1,75;-1,27;-0,16;0,0;1,04;0,0;0,0;0,0;2,86;1,17
