Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
1,Abner,br BRA,DF,Juventude,21-157,2004,14,10,984,10.9,0,1,1,0,0,0,3,0,0.1,0.1,0.3,0.4,6,15,1,0.00,0.09,0.09,0.00,0.09,0.01,0.03,0.04,0.01,0.04,Matches,1,0,0.0,0.09,0.00,0.00,,8.7,0,0.09,-0.1,-0.1,382,445,85.8,7824,2626,108,116,93.1,224,239,93.7,49,84,58.3,0.2,+0.7,4,20,1,0,423,19,1,1,0,0,0,0,0,0,3,1,4,0.37,4,0,0,0,0,1,0.09,1,0,0,0,0,12,8,10,2,0,7,31.8,15,5,17,29,71,1,567,94,5,4,80.0,1,20.0,339,0,3,1,369,70,47.5,86,9,4,32,5,1.21,12,21,-9,-0.82,+0.59,10.3,17.8,-7.5,-0.68,+0.45,0,9,0,0,0,25,21,77.8
61,Adam Bareiro,py PAR,FW,Fortaleza,29-059,1996,9,1,184,2.0,0,0,0,0,0,1,2,0,1.9,1.0,0.0,1.0,2,4,13,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.95,0.49,0.49,Matches,8,4,50.0,3.91,1.96,0.00,0.00,13.2,0,0.13,-1.9,-1.0,36,54,66.7,527,99,21,29,72.4,10,15,66.7,3,4,75.0,0.3,0.0,0,3,1,0,50,4,0,1,1,0,0,0,0,0,0,1,4,1.97,3,0,0,0,0,0,0.00,0,0,0,0,0,3,3,0,3,0,1,50.0,1,2,0,3,2,0,86,1,20,1,25.0,3,75.0,42,2,5,2,60,20,8.9,73,0,8,14,0,0.78,0,4,-4,-1.96,-1.43,3.2,2.7,+0.5,+0.26,+0.63,0,9,0,0,0,3,13,59.1
597,Ademir Santos,br BRA,FW,Bahia,30-219,1995,16,14,1018,11.3,0,1,1,0,0,0,3,0,2.5,2.5,2.5,5.0,46,28,124,0.00,0.09,0.09,0.00,0.09,0.23,0.22,0.44,0.23,0.44,Matches,21,6,28.6,1.86,0.53,0.00,0.00,17.1,1,0.12,-2.5,-2.5,262,351,74.6,3958,1036,155,185,83.8,74,102,72.5,20,39,51.3,2.6,-1.5,15,8,17,11,324,26,0,4,53,12,8,4,2,0,1,9,42,3.71,25,0,7,9,0,3,0.26,2,0,1,0,0,25,16,7,8,10,12,37.5,20,11,2,27,6,0,496,2,48,23,41.8,25,45.5,301,17,26,19,362,64,51.4,69,1,2,25,0,2.06,14,8,+6,+0.53,+0.62,16.9,11.1,+5.8,+0.51,+0.98,0,15,0,0,0,33,9,24.3
614,Aderlan Silva,br BRA,DF,Santos,35-036,1990,2,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11,Matches,1,0,0.0,1.03,0.00,0.00,,33.6,0,0.01,0.0,0.0,37,50,74.0,664,317,14,18,77.8,19,22,86.4,3,6,50.0,0.1,-0.1,2,4,1,0,42,7,0,0,2,7,0,0,0,0,1,4,2,2.09,2,0,0,0,0,0,0.00,0,0,0,0,0,1,0,0,1,0,1,100.0,0,2,1,2,1,0,56,1,2,0,,0,,32,0,0,0,35,44,4.2,64,0,1,23,2,0.50,1,1,0,0.00,+0.45,0.7,0.4,+0.3,+0.31,+0.53,0,1,0,0,0,3,0,0.0
615,Aderlan Silva,br BRA,DF,Sport Recife,35-036,1990,4,2,219,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,13,8,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,1,0,0.0,1.03,0.00,0.00,,33.6,0,0.01,0.0,0.0,37,50,74.0,664,317,14,18,77.8,19,22,86.4,3,6,50.0,0.1,-0.1,2,4,1,0,42,7,0,0,2,7,0,0,0,0,1,4,2,2.09,2,0,0,0,0,0,0.00,0,0,0,0,0,1,0,0,1,0,1,100.0,0,2,1,2,1,0,56,1,2,0,,0,,32,0,0,0,35,44,4.2,64,0,1,23,2,0.50,1,1,0,0.00,+0.45,0.7,0.4,+0.3,+0.31,+0.53,0,1,0,0,0,3,0,0.0
220,Adonis Frías,ar ARG,DF,Santos,27-190,1998,2,1,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,50,58,86.2,873,432,13,16,81.3,28,30,93.3,4,7,57.1,0.0,0.0,0,7,1,0,55,3,0,0,1,0,0,0,0,0,0,0,3,2.21,3,0,0,0,0,1,0.74,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,3,3,5,0,67,7,1,1,100.0,0,0.0,40,0,0,0,42,61,5.9,90,1,1,32,0,2.00,2,1,+1,+0.74,+1.25,2.5,1.2,+1.3,+0.97,+1.23,0,3,0,0,0,4,4,80.0
403,Adriano Martins,br BRA,DF,Juventude,28-175,1997,5,5,360,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,6,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,3,0,0.0,0.75,0.00,0.00,,9.3,0,0.07,-0.2,-0.2,169,192,88.0,3328,1059,52,57,91.2,95,102,93.1,17,21,81.0,0.0,0.0,0,4,0,0,172,19,0,1,0,1,0,0,0,0,1,4,4,1.00,2,1,0,0,0,1,0.25,0,1,0,0,0,5,3,3,1,1,3,100.0,0,1,6,11,27,0,237,40,3,0,,0,,133,0,0,1,140,72,17.4,72,3,0,,5,1.20,5,8,-3,-0.75,+0.46,3.6,6.0,-2.4,-0.59,+0.39,0,3,0,0,0,12,10,45.5
,Adriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,
4,Adson,br BRA,"FW,MF",Vasco da Gama,24-352,2000,10,0,210,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,6,12,17,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches,3,2,66.7,1.29,0.86,0.00,0.00,20.2,0,0.04,-0.1,-0.1,122,146,83.6,1503,290,80,90,88.9,25,32,78.1,4,6,66.7,0.3,-0.2,4,13,4,1,143,3,0,0,7,1,0,0,0,0,0,4,10,4.29,9,0,1,0,0,0,0.00,0,0,0,0,0,6,4,4,1,1,0,,0,2,0,6,5,0,181,3,5,3,20.0,10,66.7,128,1,1,1,149,21,10.1,,0,10,21,0,1.20,3,5,-2,-0.86,-0.91,2.7,3.2,-0.5,-0.22,+0.04,0,2,0,0,0,7,1,20.0
107,Agustín Canobbio,uy URU,"FW,MF",Fluminense,26-357,1998,15,12,892,9.9,2,2,4,2,0,0,3,0,1.7,1.7,1.3,3.0,28,24,71,0.20,0.20,0.40,0.20,0.40,0.17,0.13,0.30,0.17,0.30,Matches,19,5,26.3,1.92,0.50,0.11,0.40,18.8,3,0.09,+0.3,+0.3,248,307,80.8,3261,756,169,191,88.5,58,70,82.9,9,17,52.9,0.5,+0.7,9,11,6,0,280,26,0,2,25,11,10,1,2,0,1,13,21,2.12,12,1,2,3,1,3,0.30,1,0,0,1,0,23,12,10,13,0,11,39.3,17,8,6,29,13,1,439,6,30,8,29.6,14,51.9,279,6,28,16,321,59,45.1,66,1,3,35,2,1.53,8,12,-4,-0.40,-0.49,8.3,9.9,-1.6,-0.16,-0.30,0,14,1,0,0,37,5,50.0
