Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
169.0,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22.0,2002.0,27.0,22.0,1871.0,20.8,8.0,4.0,12.0,8.0,0.0,0.0,2.0,0.0,5.6,5.6,3.5,9.1,54.0,68.0,102.0,0.38,0.19,0.58,0.38,0.58,0.27,0.17,0.44,0.27,0.44,Matches,59.0,24.0,40.7,2.84,1.15,0.14,0.33,17.3,1.0,0.1,2.4,2.4,348.0,508.0,68.5,5351.0,1301.0,177.0,240.0,73.8,126.0,168.0,75.0,23.0,42.0,54.8,3.2,0.5,20.0,37.0,19.0,4.0,493.0,12.0,1.0,1.0,20.0,4.0,0.0,0.0,0.0,0.0,3.0,19.0,57.0,2.74,41.0,1.0,7.0,4.0,0.0,10.0,0.48,6.0,1.0,2.0,0.0,0.0,22.0,10.0,7.0,8.0,7.0,11.0,55.0,9.0,12.0,4.0,26.0,20.0,0.0,761.0,20.0,114.0,33.0,51.6,27.0,42.2,429.0,19.0,51.0,37.0,552.0,69.0,61.1,81.0,13,5,18.0,0,0.85,28.0,44.0,-16.0,-0.77,-0.32,28.5,34.4,-5.9,-0.28,0.26,0.0,15.0,0.0,0.0,0.0,66.0,40.0,50.6,1.3,1.06,89.95,0.38,0.19,0.58,0.38,0.0,0.0,0.1,0.0,0.27,0.27,0.17,0.44,2.6,3.27,4.9,0.02,0.01,0.03,0.02,0.03,0.01,0.01,0.02,0.01,0.02,2.84,1.15,0.14,0.06,0.83,0.05,0.12,0.12,16.73,24.42,257.26,62.55,8.51,11.54,6.06,8.08,1.11,2.02,0.15,0.02,0.96,1.78,0.91,0.19,23.7,0.58,0.05,0.05,0.96,0.19,0.0,0.0,0.0,0.0,0.14,0.91,2.74,0.13,1.97,0.05,0.34,0.19,0.0,0.48,0.02,0.29,0.05,0.1,0.0,0.0,1.06,0.48,0.34,0.38,0.34,0.53,0.43,0.58,0.19,1.25,0.96,0.0,36.59,0.96,5.48,1.59,1.3,20.62,0.91,2.45,1.78,26.54,0.62,0.24,0.0,0.04,1.35,2.12,-0.77,-0.04,1.37,1.65,-0.28,-0.01,0.0,0.72,0.0,0.0,0.0,3.17,1.92
34.0,Adrian Beck,de GER,"MF,FW",Heidenheim,27.0,1997.0,32.0,18.0,1598.0,17.8,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,3.3,3.3,1.2,4.5,37.0,69.0,83.0,0.23,0.06,0.28,0.23,0.28,0.18,0.07,0.25,0.18,0.25,Matches,39.0,13.0,33.3,2.2,0.73,0.1,0.31,17.8,0.0,0.08,0.7,0.7,581.0,725.0,80.1,9901.0,2258.0,274.0,329.0,83.3,233.0,267.0,87.3,55.0,76.0,72.4,1.9,-0.2,21.0,53.0,18.0,4.0,671.0,53.0,0.0,4.0,32.0,14.0,17.0,10.0,6.0,0.0,1.0,19.0,56.0,3.16,37.0,4.0,10.0,1.0,0.0,4.0,0.23,2.0,1.0,1.0,0.0,0.0,36.0,17.0,18.0,12.0,6.0,12.0,34.3,23.0,29.0,9.0,45.0,17.0,0.0,962.0,23.0,53.0,40.0,53.3,30.0,40.0,553.0,11.0,42.0,26.0,584.0,50.0,52.2,73.0,4,14,20.0,1,0.91,22.0,30.0,-8.0,-0.45,0.72,22.3,29.2,-6.9,-0.39,0.25,0.0,16.0,0.0,0.0,0.0,131.0,29.0,59.2,1.8,1.01,89.78,0.22,0.06,0.28,0.22,0.0,0.0,0.06,0.0,0.19,0.19,0.07,0.25,2.08,3.88,4.66,0.01,0.0,0.02,0.01,0.02,0.01,0.0,0.01,0.01,0.01,2.19,0.73,0.12,0.04,1.0,0.0,0.04,0.04,32.64,40.73,556.24,126.85,15.39,18.48,13.09,15.0,3.09,4.27,0.11,-0.01,1.18,2.98,1.01,0.22,37.7,2.98,0.0,0.22,1.8,0.79,0.96,0.56,0.34,0.0,0.06,1.07,3.15,0.18,2.08,0.22,0.56,0.06,0.0,0.22,0.01,0.11,0.06,0.06,0.0,0.0,2.02,0.96,1.01,0.67,0.34,0.67,1.29,1.63,0.51,2.53,0.96,0.0,54.04,1.29,2.98,2.25,1.69,31.07,0.62,2.36,1.46,32.81,0.22,0.79,0.06,0.05,1.24,1.69,-0.45,-0.03,1.25,1.64,-0.39,-0.02,0.0,0.9,0.0,0.0,0.0,7.36,1.63
342.0,Alassane Pléa,fr FRA,"MF,FW",Gladbach,31.0,1993.0,30.0,24.0,1902.0,21.1,11.0,4.0,15.0,10.0,1.0,1.0,3.0,0.0,7.4,6.6,3.1,9.8,51.0,116.0,141.0,0.52,0.19,0.71,0.47,0.66,0.35,0.15,0.5,0.31,0.46,Matches,41.0,12.0,29.3,1.94,0.57,0.24,0.83,15.2,1.0,0.16,3.6,3.4,573.0,795.0,72.1,9118.0,3029.0,309.0,372.0,83.1,190.0,256.0,74.2,48.0,76.0,63.2,3.3,0.9,25.0,80.0,35.0,8.0,747.0,40.0,15.0,8.0,45.0,12.0,1.0,0.0,0.0,0.0,8.0,40.0,72.0,3.41,58.0,2.0,5.0,5.0,1.0,14.0,0.66,10.0,1.0,2.0,1.0,0.0,7.0,3.0,0.0,2.0,5.0,4.0,30.8,9.0,11.0,2.0,9.0,7.0,1.0,979.0,3.0,77.0,17.0,39.5,23.0,53.5,601.0,14.0,40.0,22.0,773.0,63.0,62.2,75.0,6,6,18.0,2,1.17,40.0,34.0,6.0,0.28,0.91,32.5,35.7,-3.2,-0.15,0.59,0.0,17.0,1.0,0.0,0.0,66.0,15.0,31.9,1.42,1.14,90.14,0.52,0.19,0.71,0.47,0.05,0.05,0.14,0.0,0.35,0.31,0.15,0.46,2.42,5.5,6.68,0.02,0.01,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.02,1.94,0.57,0.09,0.03,0.72,0.05,0.17,0.16,27.16,37.68,432.13,143.55,14.64,17.63,9.0,12.13,2.27,3.6,0.16,0.04,1.18,3.79,1.66,0.38,35.4,1.9,0.71,0.38,2.13,0.57,0.05,0.0,0.0,0.0,0.38,1.9,3.41,0.16,2.75,0.09,0.24,0.24,0.05,0.66,0.03,0.47,0.05,0.09,0.05,0.0,0.33,0.14,0.0,0.09,0.24,0.19,0.43,0.52,0.09,0.43,0.33,0.05,46.4,0.14,3.65,0.81,1.09,28.48,0.66,1.9,1.04,36.64,0.28,0.28,0.09,0.06,1.9,1.61,0.28,0.01,1.54,1.69,-0.15,-0.01,0.0,0.81,0.05,0.0,0.0,3.13,0.71
128.0,Aleix García,es ESP,MF,Leverkusen,27.0,1997.0,28.0,17.0,1455.0,16.2,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,4.9,5.9,27.0,120.0,47.0,0.19,0.25,0.43,0.19,0.43,0.06,0.3,0.36,0.06,0.36,Matches,15.0,5.0,33.3,0.93,0.31,0.2,0.6,22.5,2.0,0.06,2.0,2.0,1212.0,1390.0,87.2,21055.0,6014.0,640.0,679.0,94.3,424.0,472.0,89.8,129.0,196.0,65.8,3.8,-0.9,32.0,135.0,12.0,4.0,1270.0,118.0,2.0,33.0,92.0,10.0,58.0,31.0,16.0,0.0,2.0,16.0,60.0,3.71,39.0,16.0,0.0,0.0,1.0,10.0,0.62,5.0,3.0,0.0,0.0,0.0,13.0,7.0,4.0,6.0,3.0,7.0,46.7,8.0,10.0,11.0,24.0,24.0,1.0,1503.0,45.0,11.0,4.0,80.0,1.0,20.0,787.0,1.0,10.0,5.0,1169.0,52.0,47.5,78.0,9,11,12.0,6,2.11,31.0,27.0,4.0,0.25,-1.15,26.2,21.2,5.1,0.31,-0.56,0.0,8.0,0.0,0.0,0.0,69.0,3.0,27.3,1.73,1.05,89.81,0.19,0.25,0.43,0.19,0.0,0.0,0.19,0.0,0.06,0.06,0.3,0.36,1.67,7.41,2.9,0.01,0.02,0.03,0.01,0.03,0.0,0.02,0.02,0.0,0.02,0.93,0.31,0.06,0.02,1.39,0.12,0.12,0.12,74.81,85.8,1299.69,371.23,39.51,41.91,26.17,29.14,7.96,12.1,0.23,-0.06,1.98,8.33,0.74,0.25,78.4,7.28,0.12,2.04,5.68,0.62,3.58,1.91,0.99,0.0,0.12,0.99,3.7,0.23,2.41,0.99,0.0,0.0,0.06,0.62,0.04,0.31,0.19,0.0,0.0,0.0,0.8,0.43,0.25,0.37,0.19,0.43,0.49,0.62,0.68,1.48,1.48,0.06,92.78,2.78,0.68,0.25,0.06,48.58,0.06,0.62,0.31,72.16,0.56,0.68,0.37,0.13,1.91,1.67,0.25,0.02,1.62,1.31,0.31,0.02,0.0,0.49,0.0,0.0,0.0,4.26,0.19
332.0,Aleksandar Pavlovic,de GER,MF,Bayern Munich,20.0,2004.0,21.0,18.0,1451.0,16.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.2,0.8,15.0,128.0,33.0,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.05,0.03,0.05,Matches,9.0,4.0,44.4,0.56,0.25,0.11,0.25,20.4,0.0,0.06,0.4,0.4,1437.0,1541.0,93.3,22476.0,5374.0,793.0,821.0,96.6,547.0,575.0,95.1,76.0,104.0,73.1,1.9,-0.2,7.0,169.0,13.0,1.0,1529.0,11.0,5.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,30.0,1.86,29.0,0.0,0.0,0.0,0.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,38.0,21.0,13.0,15.0,10.0,22.0,68.8,10.0,15.0,5.0,43.0,14.0,0.0,1648.0,17.0,11.0,5.0,100.0,0.0,0.0,1035.0,3.0,13.0,2.0,1401.0,69.0,47.4,76.0,8,3,26.0,3,2.38,49.0,12.0,37.0,2.29,0.62,34.5,12.6,21.9,1.36,-0.56,0.0,17.0,0.0,0.0,0.0,72.0,12.0,54.5,1.3,1.12,90.12,0.06,0.0,0.06,0.06,0.0,0.0,0.12,0.0,0.04,0.04,0.01,0.05,0.93,7.95,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.25,0.03,0.02,1.27,0.0,0.02,0.02,89.25,95.71,1396.02,333.79,49.25,50.99,33.98,35.71,4.72,6.46,0.12,-0.01,0.43,10.5,0.81,0.06,94.97,0.68,0.31,0.37,0.31,0.19,0.0,0.0,0.0,0.0,0.06,0.56,1.86,0.12,1.8,0.0,0.0,0.0,0.0,0.19,0.01,0.19,0.0,0.0,0.0,0.0,2.36,1.3,0.81,0.93,0.62,1.37,0.62,0.93,0.31,2.67,0.87,0.0,102.36,1.06,0.68,0.31,0.0,64.29,0.19,0.81,0.12,87.02,0.5,0.19,0.19,0.15,3.04,0.75,2.3,0.14,2.14,0.78,1.36,0.08,0.0,1.06,0.0,0.0,0.0,4.47,0.75
46.0,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,25.0,1998.0,19.0,15.0,1263.0,14.0,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,4.1,4.1,1.3,5.5,25.0,33.0,72.0,0.5,0.14,0.64,0.5,0.64,0.29,0.1,0.39,0.29,0.39,Matches,27.0,14.0,51.9,1.92,1.0,0.26,0.5,17.5,0.0,0.15,2.9,2.9,193.0,319.0,60.5,3164.0,1076.0,93.0,131.0,71.0,74.0,114.0,64.9,16.0,44.0,36.4,1.2,0.7,17.0,16.0,10.0,4.0,294.0,23.0,2.0,4.0,34.0,8.0,10.0,4.0,5.0,1.0,2.0,13.0,36.0,2.57,21.0,5.0,4.0,1.0,1.0,7.0,0.5,2.0,0.0,2.0,1.0,1.0,29.0,15.0,9.0,9.0,11.0,20.0,64.5,11.0,14.0,5.0,34.0,25.0,0.0,520.0,23.0,41.0,22.0,41.5,26.0,49.1,264.0,13.0,36.0,18.0,304.0,66.0,41.3,75.0,4,4,34.0,1,0.79,21.0,30.0,-9.0,-0.64,0.46,16.5,23.3,-6.8,-0.49,0.23,0.0,21.0,1.0,0.0,0.0,45.0,19.0,35.8,1.36,1.07,90.21,0.5,0.14,0.64,0.5,0.0,0.0,0.21,0.0,0.29,0.29,0.09,0.39,1.79,2.36,5.14,0.04,0.01,0.05,0.04,0.05,0.02,0.01,0.03,0.02,0.03,1.93,1.0,0.14,0.07,1.25,0.0,0.21,0.21,13.79,22.79,226.0,76.86,6.64,9.36,5.29,8.14,1.14,3.14,0.09,0.05,1.21,1.14,0.71,0.29,21.0,1.64,0.14,0.29,2.43,0.57,0.71,0.29,0.36,0.07,0.14,0.93,2.57,0.18,1.5,0.36,0.29,0.07,0.07,0.5,0.04,0.14,0.0,0.14,0.07,0.07,2.07,1.07,0.64,0.64,0.79,1.43,0.79,1.0,0.36,2.43,1.79,0.0,37.14,1.64,2.93,1.57,1.86,18.86,0.93,2.57,1.29,21.71,0.29,0.29,0.07,0.06,1.5,2.14,-0.64,-0.05,1.18,1.66,-0.49,-0.03,0.0,1.5,0.07,0.0,0.0,3.21,1.36
309.0,Alexander Nübel,de GER,GK,Stuttgart,27.0,1996.0,34.0,34.0,3060.0,34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,1009.0,1311.0,77.0,25508.0,19120.0,258.0,261.0,98.9,475.0,484.0,98.1,273.0,555.0,49.2,0.2,0.7,3.0,15.0,1.0,0.0,1097.0,208.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,10.0,0.29,8.0,2.0,0.0,0.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,3.0,1377.0,1113.0,0.0,1.0,100.0,0.0,0.0,823.0,0.0,1.0,0.0,805.0,90.0,100.0,90.0,34,0,,0,1.47,64.0,53.0,11.0,0.32,,62.3,46.9,15.4,0.45,,0.0,0.0,0.0,0.0,0.0,72.0,4.0,80.0,1.0,1.0,90.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,29.68,38.56,750.24,562.35,7.59,7.68,13.97,14.24,8.03,16.32,0.01,0.02,0.09,0.44,0.03,0.0,32.26,6.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.03,0.29,0.01,0.24,0.06,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.53,0.09,40.5,32.74,0.0,0.03,0.0,24.21,0.0,0.03,0.0,23.68,1.0,0.0,0.0,0.04,1.88,1.56,0.32,0.01,1.83,1.38,0.45,0.01,0.0,0.0,0.0,0.0,0.0,2.12,0.12
345.0,Alexander Prass,at AUT,DF,Hoffenheim,23.0,2001.0,23.0,19.0,1566.0,17.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,2.8,3.6,28.0,63.0,66.0,0.0,0.06,0.06,0.0,0.06,0.05,0.16,0.21,0.05,0.21,Matches,12.0,1.0,8.3,0.69,0.06,0.0,0.0,18.6,1.0,0.07,-0.9,-0.9,704.0,969.0,72.7,11665.0,4086.0,333.0,384.0,86.7,302.0,395.0,76.5,52.0,123.0,42.3,2.8,-1.8,18.0,43.0,27.0,11.0,805.0,159.0,3.0,2.0,54.0,144.0,1.0,0.0,1.0,0.0,5.0,30.0,35.0,2.01,29.0,1.0,4.0,1.0,0.0,5.0,0.29,3.0,1.0,0.0,1.0,0.0,42.0,23.0,24.0,15.0,3.0,24.0,40.7,35.0,27.0,9.0,51.0,53.0,4.0,1199.0,71.0,32.0,20.0,47.6,17.0,40.5,605.0,5.0,21.0,10.0,689.0,68.0,51.2,78.0,7,4,20.0,4,1.0,23.0,30.0,-7.0,-0.4,0.5,22.0,27.6,-5.6,-0.32,0.14,0.0,17.0,1.0,0.0,0.0,92.0,15.0,44.1,1.32,1.09,90.0,0.0,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.05,0.05,0.16,0.21,1.61,3.62,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.69,0.06,0.04,0.0,1.07,0.06,-0.05,-0.05,40.46,55.69,670.4,234.83,19.14,22.07,17.36,22.7,2.99,7.07,0.16,-0.1,1.03,2.47,1.55,0.63,46.26,9.14,0.17,0.11,3.1,8.28,0.06,0.0,0.06,0.0,0.29,1.72,2.01,0.12,1.67,0.06,0.23,0.06,0.0,0.29,0.02,0.17,0.06,0.0,0.06,0.0,2.41,1.32,1.38,0.86,0.17,1.38,2.01,1.55,0.52,2.93,3.05,0.23,68.91,4.08,1.84,1.15,0.98,34.77,0.29,1.21,0.57,39.6,0.4,0.23,0.23,0.06,1.32,1.72,-0.4,-0.02,1.26,1.59,-0.32,-0.02,0.0,0.98,0.06,0.0,0.0,5.29,0.86
390.0,Alexander Schwolow,de GER,GK,Union Berlin,32.0,1992.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,148.0,207.0,71.5,3850.0,2771.0,41.0,41.0,100.0,70.0,71.0,98.6,37.0,93.0,39.8,0.1,0.0,0.0,2.0,2.0,0.0,156.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,218.0,177.0,0.0,0.0,,0.0,,138.0,0.0,0.0,0.0,123.0,90.0,17.6,90.0,6,0,,26,1.0,5.0,13.0,-8.0,-1.33,-1.05,7.2,9.5,-2.3,-0.39,-0.09,0.0,0.0,0.0,0.0,0.0,10.0,1.0,100.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,24.67,34.5,641.67,461.83,6.83,6.83,11.67,11.83,6.17,15.5,0.02,0.0,0.0,0.33,0.33,0.0,26.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.17,36.33,29.5,0.0,0.0,0.0,23.0,0.0,0.0,0.0,20.5,1.0,0.0,4.33,0.17,0.83,2.17,-1.33,-0.22,1.2,1.58,-0.38,-0.06,0.0,0.0,0.0,0.0,0.0,1.67,0.17
82.0,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26.0,1998.0,28.0,25.0,2109.0,23.4,9.0,2.0,11.0,9.0,0.0,0.0,4.0,0.0,4.7,4.7,1.2,5.9,59.0,61.0,102.0,0.38,0.09,0.47,0.38,0.47,0.2,0.05,0.25,0.2,0.25,Matches,59.0,22.0,37.3,2.52,0.94,0.15,0.41,20.5,1.0,0.08,4.3,4.3,543.0,655.0,82.9,8213.0,1411.0,292.0,342.0,85.4,205.0,229.0,89.5,31.0,44.0,70.5,1.9,0.8,21.0,38.0,21.0,5.0,634.0,21.0,3.0,3.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,77.0,3.29,54.0,1.0,8.0,11.0,0.0,6.0,0.26,3.0,0.0,1.0,2.0,0.0,41.0,26.0,12.0,15.0,14.0,17.0,50.0,17.0,16.0,15.0,56.0,8.0,1.0,994.0,13.0,64.0,42.0,46.7,40.0,44.4,619.0,9.0,85.0,50.0,727.0,75.0,68.9,80.0,7,3,37.0,3,1.36,23.0,22.0,1.0,0.04,1.65,22.6,28.5,-5.9,-0.25,0.54,0.0,26.0,1.0,0.0,0.0,72.0,14.0,37.8,1.2,1.07,90.13,0.38,0.09,0.47,0.38,0.0,0.0,0.17,0.0,0.2,0.2,0.05,0.25,2.52,2.61,4.36,0.02,0.0,0.02,0.02,0.02,0.01,0.0,0.01,0.01,0.01,2.52,0.94,0.11,0.04,0.88,0.04,0.18,0.18,23.21,27.99,350.98,60.3,12.48,14.62,8.76,9.79,1.32,1.88,0.08,0.03,0.9,1.62,0.9,0.21,27.09,0.9,0.13,0.13,0.9,0.13,0.0,0.0,0.0,0.0,0.0,0.68,3.29,0.14,2.31,0.04,0.34,0.47,0.0,0.26,0.01,0.13,0.0,0.04,0.09,0.0,1.75,1.11,0.51,0.64,0.6,0.73,0.73,0.68,0.64,2.39,0.34,0.04,42.48,0.56,2.74,1.79,1.71,26.45,0.38,3.63,2.14,31.07,0.3,0.13,0.13,0.06,0.98,0.94,0.04,0.0,0.97,1.22,-0.25,-0.01,0.0,1.11,0.04,0.0,0.0,3.08,0.6
