Rk,Player,Nation,Pos,Squad,Age,Born,90s,xG,npxG,xAG,npxG+xAG,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,xA,A-xAG,SCA90,GCA90,Tkl%,Succ%,Tkld%,Min%,PPM,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,FK_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Mn/MP_per90,Mn/Start_per90,Compl_per90,Subs_per90,Mn/Sub_per90,unSub_per90,onG_per90,onGA_per90,+/-_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
,Abdenego Nankishi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Abdoul Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,Abdoulie Ceesay,gm GAM,FW,St. Pauli,20.0,2004.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,,0.0,0.0,,,,,0.0,0.0,57.1,70.0,0.0,0.0,0.0,0.0,1.48,0.0,66.7,,,2.0,0.43,1.5,1.92,1.4,1.4,0.0,-0.01,0.29,0.0,10.0,0.0,85.71,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,11.43,0.0,0.0,0.0,11.43,20.0,100.0,2.86,10.0,14.29,0.0,1.43,0.0,1.43,1.43,0.0,0.0,0.0,20.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,4.29,1.43,1.43,1.43,2.86,1.43,2.86,0.0,4.29,1.43,0.0,37.14,0.0,2.86,0.0,0.0,17.14,0.0,5.71,4.29,25.71,12.86,,0.0,10.0,12.86,10.0,2.86,1.43,1.43,0.0,2.86,0.0,0.0,0.0,5.71,0.0
21.0,Adam Aznou,ma MAR,DF,Bayern Munich,18.0,2006.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,0.0,0.0,,,,,0.0,0.0,76.5,90.0,66.7,,0.0,0.0,0.0,0.0,,,,0.6,3.0,-10.59,-12.63,0.8,0.8,0.0,0.08,-1.58,0.0,10.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,65.0,85.0,890.0,220.0,45.0,50.0,20.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,70.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,90.0,5.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,70.0,45.0,,0.0,10.0,45.0,55.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
110.0,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,28.0,1995.0,4.1,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,0.0,1.45,0.0,0.0,,14.6,0.07,-0.4,-0.4,81.6,91.0,91.4,40.0,0.1,0.0,1.21,0.0,68.8,50.0,50.0,12.2,0.88,-1.45,-1.21,4.7,9.0,-4.3,-1.04,-0.85,76.5,3.9,0.49,90.98,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.24,0.24,3.41,0.98,1.46,0.0,0.0,42.2,51.71,715.85,294.63,17.32,19.02,20.73,22.68,2.93,7.32,0.0,2.68,0.24,0.0,45.12,6.34,0.24,0.0,0.73,3.9,0.0,0.0,0.0,0.0,0.24,1.22,1.22,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88,2.44,3.17,1.46,0.24,2.68,1.22,1.22,0.98,5.85,6.83,0.0,68.29,7.32,1.46,0.24,0.24,26.83,0.0,0.49,0.49,37.07,5.61,14.88,0.0,3.41,4.39,3.66,0.73,2.2,-1.46,0.0,1.22,0.0,0.0,0.0,3.17,3.17
169.0,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22.0,2002.0,20.8,5.6,5.6,3.5,9.1,0.38,0.19,0.58,0.38,0.58,0.27,0.17,0.44,0.27,0.44,Matches,40.7,2.84,1.15,0.14,0.33,17.3,0.1,2.4,2.4,68.5,73.8,75.0,54.8,3.2,0.5,2.74,0.48,55.0,51.6,42.2,61.1,0.85,-0.77,-0.32,28.5,34.4,-5.9,-0.28,0.26,50.6,1.3,1.06,89.95,0.38,0.19,0.58,0.38,0.0,0.0,0.1,0.0,2.6,3.27,4.9,2.84,1.15,0.05,16.73,24.42,257.26,62.55,8.51,11.54,6.06,8.08,1.11,2.02,0.96,1.78,0.91,0.19,23.7,0.58,0.05,0.05,0.96,0.19,0.0,0.0,0.0,0.0,0.14,0.91,2.74,1.97,0.05,0.34,0.19,0.0,0.48,0.29,0.05,0.1,0.0,0.0,1.06,0.48,0.34,0.38,0.34,0.53,0.43,0.58,0.19,1.25,0.96,0.0,36.59,0.96,5.48,1.59,1.3,20.62,0.91,2.45,1.78,26.54,3.32,3.89,0.62,0.24,0.87,0.0,1.35,2.12,-0.77,0.0,0.72,0.0,0.0,0.0,3.17,1.92
34.0,Adrian Beck,de GER,"MF,FW",Heidenheim,27.0,1997.0,17.8,3.3,3.3,1.2,4.5,0.23,0.06,0.28,0.23,0.28,0.18,0.07,0.25,0.18,0.25,Matches,33.3,2.2,0.73,0.1,0.31,17.8,0.08,0.7,0.7,80.1,83.3,87.3,72.4,1.9,-0.2,3.16,0.23,34.3,53.3,40.0,52.2,0.91,-0.45,0.72,22.3,29.2,-6.9,-0.39,0.25,59.2,1.8,1.01,89.78,0.22,0.06,0.28,0.22,0.0,0.0,0.06,0.0,2.08,3.88,4.66,2.19,0.73,0.0,32.64,40.73,556.24,126.85,15.39,18.48,13.09,15.0,3.09,4.27,1.18,2.98,1.01,0.22,37.7,2.98,0.0,0.22,1.8,0.79,0.96,0.56,0.34,0.0,0.06,1.07,3.15,2.08,0.22,0.56,0.06,0.0,0.22,0.11,0.06,0.06,0.0,0.0,2.02,0.96,1.01,0.67,0.34,0.67,1.29,1.63,0.51,2.53,0.96,0.0,54.04,1.29,2.98,2.25,1.69,31.07,0.62,2.36,1.46,32.81,2.81,4.1,0.22,0.79,1.12,0.06,1.24,1.69,-0.45,0.0,0.9,0.0,0.0,0.0,7.36,1.63
,Agon Elezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342.0,Alassane Pléa,fr FRA,"MF,FW",Gladbach,31.0,1993.0,21.1,7.4,6.6,3.1,9.8,0.52,0.19,0.71,0.47,0.66,0.35,0.15,0.5,0.31,0.46,Matches,29.3,1.94,0.57,0.24,0.83,15.2,0.16,3.6,3.4,72.1,83.1,74.2,63.2,3.3,0.9,3.41,0.66,30.8,39.5,53.5,62.2,1.17,0.28,0.91,32.5,35.7,-3.2,-0.15,0.59,31.9,1.42,1.14,90.14,0.52,0.19,0.71,0.47,0.05,0.05,0.14,0.0,2.42,5.5,6.68,1.94,0.57,0.05,27.16,37.68,432.13,143.55,14.64,17.63,9.0,12.13,2.27,3.6,1.18,3.79,1.66,0.38,35.4,1.9,0.71,0.38,2.13,0.57,0.05,0.0,0.0,0.0,0.38,1.9,3.41,2.75,0.09,0.24,0.24,0.05,0.66,0.47,0.05,0.09,0.05,0.0,0.33,0.14,0.0,0.09,0.24,0.19,0.43,0.52,0.09,0.43,0.33,0.05,46.4,0.14,3.65,0.81,1.09,28.48,0.66,1.9,1.04,36.64,2.99,3.55,0.28,0.28,0.85,0.09,1.9,1.61,0.28,0.0,0.81,0.05,0.0,0.0,3.13,0.71
128.0,Aleix García,es ESP,MF,Leverkusen,27.0,1997.0,16.2,1.0,1.0,4.9,5.9,0.19,0.25,0.43,0.19,0.43,0.06,0.3,0.36,0.06,0.36,Matches,33.3,0.93,0.31,0.2,0.6,22.5,0.06,2.0,2.0,87.2,94.3,89.8,65.8,3.8,-0.9,3.71,0.62,46.7,80.0,20.0,47.5,2.11,0.25,-1.15,26.2,21.2,5.1,0.31,-0.56,27.3,1.73,1.05,89.81,0.19,0.25,0.43,0.19,0.0,0.0,0.19,0.0,1.67,7.41,2.9,0.93,0.31,0.12,74.81,85.8,1299.69,371.23,39.51,41.91,26.17,29.14,7.96,12.1,1.98,8.33,0.74,0.25,78.4,7.28,0.12,2.04,5.68,0.62,3.58,1.91,0.99,0.0,0.12,0.99,3.7,2.41,0.99,0.0,0.0,0.06,0.62,0.31,0.19,0.0,0.0,0.0,0.8,0.43,0.25,0.37,0.19,0.43,0.49,0.62,0.68,1.48,1.48,0.06,92.78,2.78,0.68,0.25,0.06,48.58,0.06,0.62,0.31,72.16,3.21,4.81,0.56,0.68,0.74,0.37,1.91,1.67,0.25,0.0,0.49,0.0,0.0,0.0,4.26,0.19
