Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
73,Abdoulie Ceesay,gm GAM,FW,St. Pauli,21-139,2004.0,0.7,26,0,2,13,11,2,26,0,0,,0,,12,32,3,0,0,0,4,3,18,8,Matches,1,1.48,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
21,Adam Aznou,ma MAR,DF,Bayern Munich,18-356,2006.0,0.2,18,1,1,7,11,0,18,0,0,,0,,12,40,16,0,2,0,0,0,14,2,Matches,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
110,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,29-241,1995.0,4.1,280,30,106,138,36,6,280,2,1,50.0,1,50.0,110,363,164,1,0,0,2,2,152,4,Matches,5,1.21,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
169,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22-303,2002.0,20.8,761,20,73,334,367,114,761,64,33,51.6,27,42.2,429,2621,1336,54,31,19,51,37,552,102,Matches,57,2.74,41,1,7,4,4,0,10,0.48,6,1,2,1,0,0
34,Adrian Beck,de GER,"MF,FW",Heidenheim,27-349,1997.0,17.8,962,23,184,502,296,53,962,75,40,53.3,30,40.0,553,3077,1192,37,17,11,42,26,584,83,Matches,56,3.16,37,4,10,4,1,0,4,0.23,2,1,1,0,0,0
342,Alassane Pléa,fr FRA,"MF,FW",Gladbach,32-075,1993.0,21.1,979,3,81,494,412,77,978,43,17,39.5,23,53.5,601,3068,1698,51,31,14,40,22,773,141,Matches,72,3.41,58,2,5,1,5,1,14,0.66,10,1,2,0,1,0
128,Aleix García,es ESP,MF,Leverkusen,27-330,1997.0,16.2,1503,45,225,831,452,11,1503,5,4,80.0,1,20.0,787,3463,1633,27,34,1,10,5,1169,47,Matches,60,3.71,39,16,0,4,0,1,10,0.62,5,3,0,2,0,0
332,Aleksandar Pavlovic,de GER,MF,Bayern Munich,21-021,2004.0,16.1,1648,17,194,1100,363,11,1648,5,5,100.0,0,0.0,1035,4360,1984,15,43,3,13,2,1401,33,Matches,30,1.86,29,0,0,1,0,0,3,0.19,3,0,0,0,0,0
46,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,26-258,1998.0,14.0,520,23,109,223,202,41,520,53,22,41.5,26,49.1,264,1650,839,25,19,13,36,18,304,72,Matches,36,2.57,21,5,4,4,1,1,7,0.5,2,0,2,1,1,1
274,Alexander Meyer,de GER,GK,Dortmund,34-041,1991.0,2.0,87,64,86,1,0,0,87,0,0,,0,,51,295,130,0,0,0,0,0,42,0,Matches,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
309,Alexander Nübel,de GER,GK,Stuttgart,28-236,1996.0,34.0,1377,1113,1366,13,0,0,1377,1,1,100.0,0,0.0,823,3832,2255,0,0,0,1,0,805,0,Matches,10,0.29,8,2,0,0,0,0,3,0.09,3,0,0,0,0,0
