Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
159.0,Aaron Connolly,ie IRL,"FW,MF",Millwall,24.0,2000.0,14.0,6.0,659.0,7.3,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.6,0.8,1.0,1.8,13.0,16.0,43.0,0.14,0.0,0.14,0.14,0.14,0.22,0.14,0.35,0.11,0.25,Matches,3.0,3.0,100.0,1.1,1.1,0.33,0.33,13.4,0.0,0.23,0.3,0.3,10.0,18.0,55.6,144.0,32.0,5.0,9.0,55.6,5.0,6.0,83.3,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37,0.0,0.0,0.0,1.0,0.0,1.0,0.37,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,50.0,2.0,0.0,0.0,2.0,2.0,0.0,41.0,1.0,6.0,2.0,50.0,1.0,25.0,31.0,2.0,4.0,6.0,30.0,25.0,5.9,59.0,0,8,16.0,8,1.4,2.0,2.0,0.0,0.0,-0.32,3.2,3.6,-0.3,-0.13,-0.37,0.0,2.0,0.0,0.0,0.0,4.0,3.0,18.8,1.92,0.82,90.27,0.14,0.0,0.14,0.14,0.0,0.14,0.41,0.0,0.22,0.11,0.14,0.25,1.78,2.19,5.89,0.02,0.0,0.02,0.02,0.02,0.03,0.02,0.05,0.02,0.03,0.41,0.41,0.15,0.15,1.84,0.0,0.04,0.04,1.37,2.47,19.73,4.38,0.68,1.23,0.68,0.82,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,2.19,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.05,0.0,0.0,0.0,0.14,0.0,0.14,0.05,0.0,0.0,0.0,0.14,0.0,0.27,0.14,0.0,0.14,0.14,0.27,0.27,0.0,0.0,0.27,0.27,0.0,5.62,0.14,0.82,0.27,0.14,4.25,0.27,0.55,0.82,4.11,0.0,1.1,1.1,0.19,0.27,0.27,0.0,0.0,0.44,0.49,-0.04,-0.02,0.0,0.27,0.0,0.0,0.0,0.55,0.41
582.0,Aaron Ramsey,wls WAL,MF,Cardiff City,33.0,1990.0,8.0,6.0,557.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.1,9.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.17,0.13,0.17,Matches,10.0,4.0,40.0,1.62,0.65,0.0,0.0,19.0,4.0,0.08,-0.8,-0.8,284.0,365.0,77.8,4898.0,1322.0,120.0,142.0,84.5,128.0,142.0,90.1,28.0,56.0,50.0,0.3,-0.2,10.0,30.0,7.0,1.0,316.0,43.0,1.0,2.0,21.0,7.0,14.0,8.0,3.0,0.0,6.0,8.0,15.0,2.42,8.0,5.0,0.0,0.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,16.0,9.0,3.0,10.0,3.0,7.0,58.3,5.0,1.0,6.0,22.0,3.0,0.0,429.0,16.0,8.0,2.0,33.3,4.0,66.7,230.0,0.0,9.0,10.0,280.0,70.0,13.5,83.0,5,2,29.0,0,0.38,3.0,11.0,-8.0,-1.29,-0.87,5.6,6.4,-0.8,-0.13,0.28,0.0,15.0,0.0,0.0,1.0,36.0,3.0,27.3,1.29,0.97,89.84,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.13,0.13,0.03,0.18,1.45,5.81,4.03,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,1.61,0.65,0.26,0.1,3.06,0.65,-0.13,-0.13,45.81,58.87,790.0,213.23,19.35,22.9,20.65,22.9,4.52,9.03,0.05,-0.03,1.61,4.84,1.13,0.16,50.97,6.94,0.16,0.32,3.39,1.13,2.26,1.29,0.48,0.0,0.97,1.29,2.42,0.39,1.29,0.81,0.0,0.0,0.0,0.16,0.03,0.16,0.0,0.0,0.0,0.0,2.58,1.45,0.48,1.61,0.48,1.13,0.81,0.16,0.97,3.55,0.48,0.0,69.19,2.58,1.29,0.32,0.65,37.1,0.0,1.45,1.61,45.16,0.81,0.32,0.0,0.06,0.48,1.77,-1.29,-0.21,0.9,1.03,-0.13,-0.02,0.0,2.42,0.0,0.0,0.16,5.81,0.48
534.0,Abdülkadir Ömür,tr TUR,"MF,FW",Hull City,25.0,1999.0,20.0,12.0,1064.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.6,24.0,35.0,65.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches,8.0,3.0,37.5,0.68,0.25,0.0,0.0,21.5,4.0,0.1,-0.8,-0.8,322.0,422.0,76.3,4413.0,990.0,194.0,220.0,88.2,100.0,128.0,78.1,12.0,30.0,40.0,1.0,-0.8,13.0,21.0,13.0,3.0,384.0,35.0,2.0,1.0,40.0,2.0,22.0,9.0,5.0,0.0,3.0,14.0,31.0,2.62,24.0,1.0,2.0,2.0,1.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,16.0,12.0,5.0,11.0,0.0,3.0,25.0,9.0,8.0,5.0,21.0,5.0,0.0,527.0,12.0,22.0,7.0,28.0,17.0,68.0,304.0,2.0,18.0,14.0,360.0,53.0,25.7,73.0,3,8,23.0,3,0.8,8.0,18.0,-10.0,-0.85,-0.85,12.0,13.0,-1.0,-0.08,-0.07,0.0,10.0,0.0,0.0,0.0,49.0,4.0,12.5,1.69,1.02,90.17,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.07,0.07,0.07,0.14,2.03,2.97,5.51,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.68,0.25,0.06,0.02,1.82,0.34,-0.07,-0.07,27.29,35.76,373.98,83.9,16.44,18.64,8.47,10.85,1.02,2.54,0.08,-0.07,1.1,1.78,1.1,0.25,32.54,2.97,0.17,0.08,3.39,0.17,1.86,0.76,0.42,0.0,0.25,1.19,2.63,0.22,2.03,0.08,0.17,0.17,0.08,0.17,0.01,0.17,0.0,0.0,0.0,0.0,1.36,1.02,0.42,0.93,0.0,0.25,0.76,0.68,0.42,1.78,0.42,0.0,44.66,1.02,1.86,0.59,1.44,25.76,0.17,1.53,1.19,30.51,0.25,0.68,0.25,0.07,0.68,1.53,-0.85,-0.07,1.02,1.1,-0.08,-0.01,0.0,0.85,0.0,0.0,0.0,4.15,0.34
377.0,Abu Kamara,eng ENG,"FW,MF",Hull City,21.0,2003.0,36.0,25.0,2256.0,25.1,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,4.8,4.8,4.4,9.2,81.0,34.0,209.0,0.2,0.12,0.32,0.2,0.32,0.19,0.17,0.37,0.19,0.37,Matches,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,7.0,8.0,87.5,85.0,2.0,3.0,4.0,75.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,,4.0,0.0,0.0,1.0,6.0,9.0,0.4,,0,2,9.0,0,0.5,0.0,0.0,0.0,0.0,-0.07,0.3,0.2,0.1,0.29,0.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.43,1.0,89.88,0.2,0.12,0.32,0.2,0.0,0.0,0.04,0.0,0.19,0.19,0.18,0.37,3.23,1.35,8.33,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.28,0.32,3.39,0.08,0.12,0.16,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.08,0.0,0.04,0.04,0.0,0.0,0.04,0.16,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.04,0.24,0.0,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0
31.0,Adam Armstrong,eng ENG,FW,West Brom,27.0,1997.0,16.0,12.0,1008.0,11.2,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,3.8,3.0,0.4,3.4,14.0,11.0,46.0,0.27,0.0,0.27,0.18,0.18,0.34,0.04,0.37,0.27,0.3,Matches,24.0,9.0,37.5,2.14,0.8,0.08,0.22,15.9,1.0,0.12,-0.8,-1.0,151.0,194.0,77.8,2293.0,255.0,84.0,102.0,82.4,55.0,63.0,87.3,9.0,17.0,52.9,0.5,-0.4,7.0,6.0,4.0,0.0,178.0,16.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,1.52,10.0,0.0,3.0,2.0,1.0,1.0,0.09,0.0,0.0,0.0,1.0,0.0,9.0,7.0,1.0,4.0,4.0,3.0,60.0,2.0,3.0,0.0,9.0,2.0,0.0,278.0,4.0,38.0,10.0,52.6,8.0,42.1,170.0,5.0,16.0,12.0,192.0,63.0,24.3,76.0,1,4,23.0,0,1.25,9.0,11.0,-2.0,-0.18,-0.52,12.2,9.0,3.2,0.28,0.04,0.0,16.0,0.0,0.0,0.0,25.0,4.0,22.2,1.43,1.07,90.0,0.27,0.0,0.27,0.18,0.09,0.09,0.0,0.0,0.34,0.27,0.04,0.3,1.25,0.98,4.11,0.02,0.0,0.02,0.02,0.02,0.03,0.0,0.03,0.02,0.03,2.14,0.8,0.19,0.07,1.42,0.09,-0.07,-0.09,13.48,17.32,204.73,22.77,7.5,9.11,4.91,5.62,0.8,1.52,0.04,-0.04,0.62,0.54,0.36,0.0,15.89,1.43,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.52,0.14,0.89,0.0,0.27,0.18,0.09,0.09,0.01,0.0,0.0,0.0,0.09,0.0,0.8,0.62,0.09,0.36,0.36,0.27,0.18,0.27,0.0,0.8,0.18,0.0,24.82,0.36,3.39,0.89,0.71,15.18,0.45,1.43,1.07,17.14,0.09,0.36,0.0,0.11,0.8,0.98,-0.18,-0.02,1.09,0.8,0.29,0.03,0.0,1.43,0.0,0.0,0.0,2.23,0.36
252.0,Adam Forshaw,eng ENG,MF,Plymouth Argyle,32.0,1991.0,16.0,7.0,683.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.3,0.3,0.1,0.4,4.0,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches,7.0,3.0,42.9,0.92,0.4,0.0,0.0,28.0,1.0,0.04,-0.3,-0.3,283.0,339.0,83.5,5176.0,1385.0,132.0,150.0,88.0,122.0,133.0,91.7,27.0,41.0,65.9,0.2,-0.1,4.0,32.0,2.0,1.0,314.0,22.0,0.0,5.0,8.0,4.0,1.0,1.0,0.0,0.0,3.0,7.0,9.0,1.19,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,9.0,9.0,3.0,11.0,78.6,3.0,4.0,6.0,27.0,8.0,0.0,400.0,12.0,3.0,3.0,60.0,1.0,20.0,238.0,2.0,7.0,8.0,280.0,43.0,16.5,72.0,3,9,20.0,5,0.69,6.0,26.0,-20.0,-2.64,-2.19,3.3,18.7,-15.4,-2.04,-1.31,1.0,14.0,0.0,0.0,0.0,32.0,3.0,50.0,2.11,0.92,89.87,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.13,0.04,0.04,0.01,0.05,0.53,4.21,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.92,0.39,0.12,0.05,3.68,0.13,-0.04,-0.04,37.24,44.61,681.05,182.24,17.37,19.74,16.05,17.5,3.55,5.39,0.03,-0.01,0.53,4.21,0.26,0.13,41.32,2.89,0.0,0.66,1.05,0.53,0.13,0.13,0.0,0.0,0.39,0.92,1.18,0.16,1.05,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,1.84,1.18,1.18,0.39,1.45,0.39,0.53,0.79,3.55,1.05,0.0,52.63,1.58,0.39,0.39,0.13,31.32,0.26,0.92,1.05,36.84,0.39,1.18,0.66,0.09,0.79,3.42,-2.63,-0.35,0.43,2.46,-2.03,-0.27,0.13,1.84,0.0,0.0,0.0,4.21,0.39
253.0,Adam Forshaw,eng ENG,MF,Blackburn,32.0,1991.0,16.0,5.0,563.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,3.0,22.0,4.0,0.16,0.0,0.16,0.16,0.16,0.05,0.01,0.06,0.05,0.06,Matches,7.0,3.0,42.9,0.92,0.4,0.0,0.0,28.0,1.0,0.04,-0.3,-0.3,283.0,339.0,83.5,5176.0,1385.0,132.0,150.0,88.0,122.0,133.0,91.7,27.0,41.0,65.9,0.2,-0.1,4.0,32.0,2.0,1.0,314.0,22.0,0.0,5.0,8.0,4.0,1.0,1.0,0.0,0.0,3.0,7.0,9.0,1.19,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,9.0,9.0,3.0,11.0,78.6,3.0,4.0,6.0,27.0,8.0,0.0,400.0,12.0,3.0,3.0,60.0,1.0,20.0,238.0,2.0,7.0,8.0,280.0,43.0,16.5,72.0,3,9,20.0,5,0.69,6.0,26.0,-20.0,-2.64,-2.19,3.3,18.7,-15.4,-2.04,-1.31,1.0,14.0,0.0,0.0,0.0,32.0,3.0,50.0,2.54,0.79,89.37,0.16,0.0,0.16,0.16,0.0,0.0,0.32,0.0,0.05,0.05,0.02,0.06,0.48,3.49,0.63,0.03,0.0,0.03,0.03,0.03,0.01,0.0,0.01,0.01,0.01,1.11,0.48,0.15,0.06,4.44,0.16,-0.05,-0.05,44.92,53.81,821.59,219.84,20.95,23.81,19.37,21.11,4.29,6.51,0.03,-0.02,0.63,5.08,0.32,0.16,49.84,3.49,0.0,0.79,1.27,0.63,0.16,0.16,0.0,0.0,0.48,1.11,1.43,0.19,1.27,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,2.22,1.43,1.43,0.48,1.75,0.48,0.63,0.95,4.29,1.27,0.0,63.49,1.9,0.48,0.48,0.16,37.78,0.32,1.11,1.27,44.44,0.48,1.43,0.79,0.11,0.95,4.13,-3.17,-0.42,0.52,2.97,-2.44,-0.32,0.16,2.22,0.0,0.0,0.0,5.08,0.48
584.0,Adam Randell,eng ENG,MF,Plymouth Argyle,23.0,2000.0,39.0,39.0,3378.0,37.5,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.4,1.4,3.4,4.8,26.0,162.0,35.0,0.03,0.08,0.11,0.03,0.11,0.04,0.09,0.13,0.04,0.13,Matches,30.0,7.0,23.3,0.8,0.19,0.03,0.14,26.7,10.0,0.05,-0.4,-0.4,1273.0,1716.0,74.2,24653.0,7661.0,493.0,564.0,87.4,568.0,689.0,82.4,184.0,371.0,49.6,3.9,-0.4,43.0,132.0,23.0,5.0,1452.0,250.0,7.0,20.0,134.0,6.0,83.0,34.0,37.0,1.0,14.0,34.0,84.0,2.24,56.0,19.0,1.0,5.0,1.0,6.0,0.16,4.0,0.0,0.0,1.0,0.0,66.0,39.0,22.0,38.0,6.0,32.0,50.8,31.0,24.0,49.0,115.0,104.0,5.0,2114.0,127.0,11.0,21.0,51.2,15.0,36.6,862.0,5.0,37.0,27.0,1073.0,87.0,81.6,87.0,32,0,,1,1.03,44.0,68.0,-24.0,-0.64,0.9,35.4,66.6,-31.2,-0.83,0.6,0.0,40.0,1.0,0.0,0.0,167.0,54.0,56.8,1.04,1.04,90.08,0.03,0.08,0.11,0.03,0.0,0.0,0.19,0.0,0.04,0.04,0.09,0.13,0.69,4.32,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.19,0.02,0.01,0.71,0.27,-0.01,-0.01,33.95,45.76,657.41,204.29,13.15,15.04,15.15,18.37,4.91,9.89,0.1,-0.01,1.15,3.52,0.61,0.13,38.72,6.67,0.19,0.53,3.57,0.16,2.21,0.91,0.99,0.03,0.37,0.91,2.24,0.06,1.49,0.51,0.03,0.13,0.03,0.16,0.0,0.11,0.0,0.0,0.03,0.0,1.76,1.04,0.59,1.01,0.16,0.85,0.83,0.64,1.31,3.07,2.77,0.13,56.37,3.39,0.29,0.56,0.4,22.99,0.13,0.99,0.72,28.61,0.85,0.0,0.03,0.03,1.17,1.81,-0.64,-0.02,0.94,1.78,-0.83,-0.02,0.0,1.07,0.03,0.0,0.0,4.45,1.44
27.0,Adil Aouchiche,fr FRA,"MF,FW",Portsmouth,22.0,2002.0,12.0,9.0,683.0,7.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.4,1.6,14.0,18.0,41.0,0.13,0.13,0.26,0.13,0.26,0.16,0.05,0.21,0.16,0.21,Matches,14.0,5.0,35.7,1.84,0.66,0.07,0.2,18.6,1.0,0.09,-0.2,-0.2,161.0,239.0,67.4,2398.0,761.0,88.0,113.0,77.9,50.0,75.0,66.7,11.0,26.0,42.3,0.9,0.6,8.0,23.0,7.0,4.0,230.0,8.0,1.0,5.0,24.0,1.0,4.0,3.0,0.0,0.0,1.0,6.0,22.0,2.9,17.0,0.0,0.0,0.0,1.0,2.0,0.26,1.0,0.0,0.0,0.0,0.0,14.0,7.0,1.0,7.0,6.0,4.0,21.1,15.0,12.0,10.0,24.0,6.0,0.0,341.0,6.0,19.0,8.0,57.1,6.0,42.9,200.0,5.0,28.0,11.0,208.0,57.0,16.5,68.0,1,3,24.0,2,1.75,11.0,7.0,4.0,0.53,0.97,10.5,8.3,2.2,0.29,0.69,0.0,6.0,0.0,0.0,0.0,47.0,6.0,23.1,1.58,1.18,89.87,0.13,0.13,0.26,0.13,0.0,0.0,0.26,0.0,0.16,0.16,0.05,0.21,1.84,2.37,5.39,0.02,0.02,0.03,0.02,0.03,0.02,0.01,0.03,0.02,0.03,1.84,0.66,0.24,0.09,2.45,0.13,-0.03,-0.03,21.18,31.45,315.53,100.13,11.58,14.87,6.58,9.87,1.45,3.42,0.12,0.08,1.05,3.03,0.92,0.53,30.26,1.05,0.13,0.66,3.16,0.13,0.53,0.39,0.0,0.0,0.13,0.79,2.89,0.38,2.24,0.0,0.0,0.0,0.13,0.26,0.03,0.13,0.0,0.0,0.0,0.0,1.84,0.92,0.13,0.92,0.79,0.53,1.97,1.58,1.32,3.16,0.79,0.0,44.87,0.79,2.5,1.05,0.79,26.32,0.66,3.68,1.45,27.37,0.13,0.39,0.26,0.23,1.45,0.92,0.53,0.07,1.38,1.09,0.29,0.04,0.0,0.79,0.0,0.0,0.0,6.18,0.79
484.0,Aidan Morris,us USA,MF,Middlesbrough,22.0,2001.0,35.0,33.0,2915.0,32.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.8,1.8,1.5,3.3,28.0,184.0,50.0,0.0,0.06,0.06,0.0,0.06,0.06,0.04,0.1,0.06,0.1,Matches,30.0,4.0,13.3,0.93,0.12,0.0,0.0,21.1,0.0,0.06,-1.8,-1.8,2087.0,2278.0,91.6,34684.0,9370.0,1029.0,1090.0,94.4,825.0,872.0,94.6,178.0,232.0,76.7,1.8,0.5,27.0,195.0,22.0,1.0,2150.0,127.0,5.0,16.0,14.0,31.0,5.0,0.0,3.0,0.0,1.0,18.0,80.0,2.47,71.0,1.0,3.0,1.0,3.0,5.0,0.15,4.0,0.0,0.0,0.0,1.0,97.0,65.0,45.0,43.0,9.0,39.0,52.7,35.0,39.0,33.0,130.0,29.0,5.0,2618.0,76.0,42.0,20.0,50.0,15.0,37.5,1501.0,5.0,40.0,35.0,1933.0,83.0,70.4,87.0,24,2,17.0,0,1.34,40.0,37.0,3.0,0.09,-0.27,49.0,39.6,9.3,0.29,0.11,0.0,33.0,0.0,0.0,0.0,187.0,10.0,24.4,1.08,1.02,89.97,0.0,0.06,0.06,0.0,0.0,0.0,0.12,0.0,0.06,0.06,0.05,0.1,0.86,5.68,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.12,0.03,0.0,0.65,0.0,-0.06,-0.06,64.41,70.31,1070.49,289.2,31.76,33.64,25.46,26.91,5.49,7.16,0.06,0.02,0.83,6.02,0.68,0.03,66.36,3.92,0.15,0.49,0.43,0.96,0.15,0.0,0.09,0.0,0.03,0.56,2.47,0.08,2.19,0.03,0.09,0.03,0.09,0.15,0.0,0.12,0.0,0.0,0.0,0.03,2.99,2.01,1.39,1.33,0.28,1.2,1.08,1.2,1.02,4.01,0.9,0.15,80.8,2.35,1.3,0.62,0.46,46.33,0.15,1.23,1.08,59.66,0.74,0.06,0.0,0.04,1.23,1.14,0.09,0.0,1.51,1.22,0.29,0.01,0.0,1.02,0.0,0.0,0.0,5.77,0.31
