Rk;Player;Nation;Pos;Squad;Age;Born;90s;Succ%;Tkld%;Matches;SCA90;GCA90;Touches_per90;Def Pen_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Att Pen_per90;Live_per90;Att_per90;Succ_per90;Tkld_per90;Carries_per90;TotDist_per90;PrgDist_per90;PrgC_per90;1/3_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;PrgR_per90;SCA_per90;PassLive_per90;PassDead_per90;TO_per90;Sh_per90;Fld_per90;Def_per90;GCA_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Sh.1_per90;Fld.1_per90;Def.1_per90
158;Aaron Connolly;ie IRL;FW,MF;Millwall;24,0;2000,0;7,3;30,0;66,7;Matches;0,37;0,37;32,88;0,55;3,7;15,89;13,84;1,64;32,74;4,11;1,23;2,74;23,7;136,44;51,37;1,78;1,78;0,55;2,47;3,29;26,16;5,89;0,14;0,0;0,0;0,0;0,0;0,14;0,0;0,14;0,0;0,0;0,0;0,0;0,14;0,0
582;Aaron Ramsey;wls WAL;MF;Cardiff City;33,0;1990,0;6,2;33,3;66,7;Matches;2,42;0,16;69,19;2,58;13,71;39,19;17,1;1,29;69,19;0,97;0,32;0,65;37,1;174,84;64,03;1,45;1,94;0,0;1,45;1,61;45,16;4,03;2,42;1,29;0,81;0,0;0,32;0,0;0,0;0,16;0,16;0,0;0,0;0,0;0,0;0,0
534;Abdülkadir Ömür;tr TUR;MF,FW;Hull City;25,0;1999,0;11,8;28,0;68,0;Matches;2,62;0,17;44,66;1,02;8,64;17,63;19,07;1,86;44,66;2,12;0,59;1,44;25,76;167,12;77,8;2,03;1,27;0,17;1,53;1,19;30,51;5,51;2,63;2,03;0,08;0,17;0,08;0,17;0,08;0,17;0,17;0,0;0,0;0,0;0,0;0,0
377;Abu Kamara;eng ENG;FW,MF;Hull City;21,0;2003,0;25,1;39,2;51,0;Matches;5,29;0,0;38,33;1,39;6,33;13,15;19,56;3,78;38,33;2,03;0,8;1,04;20,52;138,21;73,47;3,23;1,47;1,35;2,03;1,0;25,06;8,33;0,04;0,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
31;Adam Armstrong;eng ENG;FW;West Brom;27,0;1997,0;11,2;52,6;42,1;Matches;1,52;0,09;24,82;0,36;2,23;11,07;12,14;3,39;24,73;1,7;0,89;0,71;15,18;94,46;44,2;1,25;1,07;0,45;1,43;1,07;17,14;4,11;1,52;0,89;0,0;0,27;0,09;0,18;0,09;0,09;0,0;0,0;0,0;0,0;0,09;0,0
252;Adam Forshaw;eng ENG;MF;Plymouth Argyle;32,0;1991,0;7,6;60,0;20,0;Matches;1,19;0,0;52,63;1,58;12,76;33,29;7,37;0,39;52,63;0,66;0,39;0,13;31,32;141,18;55,13;0,53;0,53;0,26;0,92;1,05;36,84;2,11;1,18;1,05;0,0;0,0;0,0;0,0;0,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0
253;Adam Forshaw;eng ENG;MF;Blackburn;32,0;1991,0;6,3;50,0;50,0;Matches;1,19;0,0;58,73;1,9;16,83;35,24;7,78;0,48;58,73;0,63;0,32;0,32;30,63;118,25;45,24;0,48;0,16;0,0;1,11;0,16;34,44;0,63;1,43;1,27;0,0;0,0;0,0;0,0;0,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0
584;Adam Randell;eng ENG;MF;Plymouth Argyle;23,0;2000,0;37,5;51,2;36,6;Matches;2,24;0,16;56,37;3,39;14,4;32,35;10,21;0,29;56,37;1,09;0,56;0,4;22,96;114,05;57,6;0,69;0,8;0,13;0,99;0,69;28,61;0,93;2,24;1,49;0,51;0,03;0,05;0,13;0,03;0,16;0,11;0,0;0,0;0,03;0,03;0,0
27;Adil Aouchiche;fr FRA;MF,FW;Portsmouth;22,0;2002,0;7,6;57,1;42,9;Matches;2,9;0,26;44,87;0,79;6,32;17,37;22,11;2,5;44,87;1,84;1,05;0,79;26,32;144,47;55,26;1,84;0,92;0,66;3,68;1,45;27,37;5,39;2,89;2,24;0,0;0,0;0,53;0,0;0,13;0,26;0,13;0,0;0,0;0,13;0,0;0,0
484;Aidan Morris;us USA;MF;Middlesbrough;22,0;2001,0;32,4;50,0;37,5;Matches;2,47;0,15;80,8;2,35;19,01;47,75;14,6;1,3;80,8;1,23;0,62;0,46;46,33;233,89;94,78;0,86;1,42;0,15;1,23;1,08;59,66;1,54;2,47;2,19;0,03;0,09;0,03;0,03;0,09;0,15;0,12;0,0;0,0;0,0;0,0;0,03
