Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
156,Aaron Connolly,ie IRL,"FW,MF",Sunderland,24,2000,2.7,41,1,4,20,18,6,41,4,2,50.0,1,25.0,31,156,35,0,0,2,4,6,30,9,Matches,1,0.37,0,0,0,0,1,0,1,0.37,0,0,0,0,1,0
157,Aaron Connolly,ie IRL,"FW,MF",Millwall,24,2000,7.3,240,4,27,116,101,12,239,30,9,30.0,20,66.7,173,996,375,13,13,4,18,24,191,43,Matches,1,0.37,0,0,0,0,1,0,1,0.37,0,0,0,0,1,0
581,Aaron Ramsey,wls WAL,MF,Cardiff City,33,1990,6.2,429,16,85,243,106,8,429,6,2,33.3,4,66.7,230,1084,397,9,12,0,9,10,280,25,Matches,15,2.42,8,5,0,2,0,0,1,0.16,1,0,0,0,0,0
582,Aaron Ramsey,eng ENG,MF,Burnley,21,2003,0.1,7,0,3,2,2,0,7,0,0,,0,,5,9,0,0,0,0,0,0,5,1,Matches,15,2.42,8,5,0,2,0,0,1,0.16,1,0,0,0,0,0
374,Abdoulaye Kamara,gn GUI,"MF,FW",Portsmouth,19,2004,1.4,102,2,28,65,11,0,102,3,2,66.7,1,33.3,63,491,234,2,3,0,5,1,67,3,Matches,4,2.93,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
533,Abdülkadir Ömür,tr TUR,"MF,FW",Hull City,25,1999,11.8,527,12,102,208,225,22,527,25,7,28.0,17,68.0,304,1972,918,24,15,2,18,14,360,65,Matches,31,2.62,24,1,2,1,2,1,2,0.17,2,0,0,0,0,0
375,Abu Kamara,eng ENG,FW,Norwich City,21,2003,0.2,12,0,4,5,3,0,12,0,0,,0,,4,23,19,1,0,0,0,1,6,5,Matches,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
376,Abu Kamara,eng ENG,"FW,MF",Hull City,21,2003,25.1,962,35,159,330,491,95,962,51,20,39.2,26,51.0,515,3469,1844,81,37,34,51,25,629,209,Matches,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
31,Adam Armstrong,eng ENG,FW,West Brom,27,1997,11.2,278,4,25,124,136,38,277,19,10,52.6,8,42.1,170,1058,495,14,12,5,16,12,192,46,Matches,17,1.52,10,0,3,1,2,1,1,0.09,0,0,0,0,1,0
180,Adam Davies,wls WAL,GK,Sheffield Utd,32,1992,3.0,100,82,100,0,0,0,100,0,0,,0,,51,282,172,0,0,0,0,0,50,0,Matches,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
