Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
157,Aaron Connolly,ie IRL,"FW,MF",Sunderland,24,2000,10,2,246,2.7,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,1,9,0.37,0.00,0.37,0.37,0.37,0.25,0.00,0.25,0.25,0.25,Matches,3,3,100.0,1.10,1.10,0.33,0.33,13.4,0,0.23,+0.3,+0.3,10,18,55.6,144,32,5,9,55.6,5,6,83.3,0,0,,0.0,0.0,0,1,0,0,16,1,0,0,0,0,0,0,0,0,1,0,1,0.37,0,0,0,1,0,1,0.37,0,0,0,1,0,2,1,0,1,1,2,50.0,2,0,0,2,2,0,41,1,6,2,50.0,1,25.0,31,2,4,6,30,25,5.9,59,0,8,16,8,1.40,2,2,0,0.00,-0.32,3.2,3.6,-0.3,-0.13,-0.35,0,2,0,0,0,4,3,18.8
158,Aaron Connolly,ie IRL,"FW,MF",Millwall,24,2000,14,6,659,7.3,1,0,1,1,0,1,3,0,1.6,0.8,1.0,1.8,13,16,43,0.14,0.00,0.14,0.14,0.14,0.22,0.14,0.35,0.11,0.25,Matches,3,3,100.0,1.10,1.10,0.33,0.33,13.4,0,0.23,+0.3,+0.3,10,18,55.6,144,32,5,9,55.6,5,6,83.3,0,0,,0.0,0.0,0,1,0,0,16,1,0,0,0,0,0,0,0,0,1,0,1,0.37,0,0,0,1,0,1,0.37,0,0,0,1,0,2,1,0,1,1,2,50.0,2,0,0,2,2,0,41,1,6,2,50.0,1,25.0,31,2,4,6,30,25,5.9,59,0,8,16,8,1.40,2,2,0,0.00,-0.32,3.2,3.6,-0.3,-0.13,-0.35,0,2,0,0,0,4,3,18.8
582,Aaron Ramsey,wls WAL,MF,Cardiff City,33,1990,8,6,557,6.2,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.1,9,36,25,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.17,0.13,0.17,Matches,10,4,40.0,1.62,0.65,0.00,0.00,19.0,4,0.08,-0.8,-0.8,284,365,77.8,4898,1322,120,142,84.5,128,142,90.1,28,56,50.0,0.3,-0.2,10,30,7,1,316,43,1,2,21,7,14,8,3,0,6,8,15,2.42,8,5,0,0,0,1,0.16,1,0,0,0,0,16,9,3,10,3,7,58.3,5,1,6,22,3,0,429,16,8,2,33.3,4,66.7,230,0,9,10,280,70,13.5,83,5,2,29,0,0.38,3,11,-8,-1.29,-0.87,5.6,6.4,-0.8,-0.13,+0.28,0,15,0,0,1,36,3,27.3
583,Aaron Ramsey,eng ENG,MF,Burnley,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,10,4,40.0,1.62,0.65,0.00,0.00,19.0,4,0.08,-0.8,-0.8,284,365,77.8,4898,1322,120,142,84.5,128,142,90.1,28,56,50.0,0.3,-0.2,10,30,7,1,316,43,1,2,21,7,14,8,3,0,6,8,15,2.42,8,5,0,0,0,1,0.16,1,0,0,0,0,16,9,3,10,3,7,58.3,5,1,6,22,3,0,429,16,8,2,33.3,4,66.7,230,0,9,10,280,70,13.5,83,5,2,29,0,0.38,3,11,-8,-1.29,-0.87,5.6,6.4,-0.8,-0.13,+0.28,0,15,0,0,1,36,3,27.3
375,Abdoulaye Kamara,gn GUI,"MF,FW",Portsmouth,19,2004,5,0,124,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,9,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,80,86,93.0,1291,345,41,45,91.1,34,36,94.4,3,3,100.0,0.0,0.0,1,5,0,0,80,6,0,0,1,1,1,0,0,0,0,0,4,2.93,3,1,0,0,0,0,0.00,0,0,0,0,0,3,2,3,0,0,1,33.3,2,3,0,3,0,1,102,2,0,2,66.7,1,33.3,63,0,5,1,67,25,3.0,,0,5,25,13,0.20,1,2,-1,-0.73,-0.46,0.7,1.4,-0.7,-0.49,-0.20,0,2,0,0,0,13,1,50.0
,Abdoullah Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,,,,
534,Abdülkadir Ömür,tr TUR,"MF,FW",Hull City,25,1999,20,12,1064,11.8,0,0,0,0,0,0,1,0,0.8,0.8,0.8,1.6,24,35,65,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.14,0.07,0.14,Matches,8,3,37.5,0.68,0.25,0.00,0.00,21.5,4,0.10,-0.8,-0.8,322,422,76.3,4413,990,194,220,88.2,100,128,78.1,12,30,40.0,1.0,-0.8,13,21,13,3,384,35,2,1,40,2,22,9,5,0,3,14,31,2.62,24,1,2,2,1,2,0.17,2,0,0,0,0,16,12,5,11,0,3,25.0,9,8,5,21,5,0,527,12,22,7,28.0,17,68.0,304,2,18,14,360,53,25.7,73,3,8,23,3,0.80,8,18,-10,-0.85,-0.85,12.0,13.0,-1.0,-0.09,-0.08,0,10,0,0,0,49,4,12.5
376,Abu Kamara,eng ENG,FW,Norwich City,21,2003,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,7,8,87.5,85,2,3,4,75.0,3,3,100.0,0,0,,0.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,5.29,1,0,0,0,0,0,0.00,0,0,0,0,0,3,2,2,0,1,1,100.0,0,0,1,4,0,0,12,0,0,0,,0,,4,0,0,1,6,9,0.4,,0,2,9,0,0.50,0,0,0,0.00,-0.07,0.3,0.2,+0.1,+0.29,+0.07,0,1,0,0,0,0,0,
377,Abu Kamara,eng ENG,"FW,MF",Hull City,21,2003,36,25,2256,25.1,5,3,8,5,0,0,1,0,4.9,4.9,4.4,9.2,81,34,209,0.20,0.12,0.32,0.20,0.32,0.19,0.17,0.37,0.19,0.37,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,7,8,87.5,85,2,3,4,75.0,3,3,100.0,0,0,,0.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,5.29,1,0,0,0,0,0,0.00,0,0,0,0,0,3,2,2,0,1,1,100.0,0,0,1,4,0,0,12,0,0,0,,0,,4,0,0,1,6,9,0.4,,0,2,9,0,0.50,0,0,0,0.00,-0.07,0.3,0.2,+0.1,+0.29,+0.07,0,1,0,0,0,0,0,
31,Adam Armstrong,eng ENG,FW,West Brom,27,1997,16,12,1008,11.2,3,0,3,2,1,1,0,0,3.8,3.0,0.4,3.4,14,11,46,0.27,0.00,0.27,0.18,0.18,0.34,0.04,0.37,0.27,0.30,Matches,24,9,37.5,2.14,0.80,0.08,0.22,15.9,1,0.12,-0.8,-1.0,151,194,77.8,2293,255,84,102,82.4,55,63,87.3,9,17,52.9,0.5,-0.4,7,6,4,0,178,16,0,0,9,0,0,0,0,0,0,6,17,1.52,10,0,3,2,1,1,0.09,0,0,0,1,0,9,7,1,4,4,3,60.0,2,3,0,9,2,0,278,4,38,10,52.6,8,42.1,170,5,16,12,192,63,24.3,76,1,4,23,0,1.25,9,11,-2,-0.18,-0.52,12.2,9.0,+3.2,+0.28,+0.06,0,16,0,0,0,25,4,22.2
