Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
,Aaron Bouwman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
303,Aaron Meijers,nl NED,DF,RKC Waalwijk,36,1987,17,9,753,8.4,0,0,0,0,0,0,1,1,0.1,0.1,0.4,0.5,11,28,22,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,2,0,0.0,0.24,0.00,0.00,,16.6,0,0.06,-0.1,-0.1,293,403,72.7,4903,1820,134,154,87.0,127,160,79.4,23,63,36.5,0.5,-0.4,7,23,8,1,308,94,1,1,37,72,10,9,1,0,1,14,14,1.68,12,1,1,0,0,0,0.00,0,0,0,0,0,15,8,10,4,1,10,45.5,12,6,10,25,24,0,477,33,3,1,33.3,1,33.3,214,1,3,2,254,44,24.6,64,1,8,22,12,0.71,6,22,-16,-1.91,-1.37,8.7,19.3,-10.7,-1.28,-0.60,0,5,0,0,0,25,18,64.3
80,Abdurrahman Burak Sayın,,FW,Fortuna Sittard,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,1,1,100.0,9,0,1,1,100.0,0,0,,0,0,,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,22.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,0,,1,0,0,0,1,4,0.1,,0,1,4,0,0.00,0,0,0,0.00,+0.50,0.0,0.3,-0.3,-5.82,-5.59,0,0,0,0,0,1,0,0.0
226,Adam Kayed,ps PLE,"MF,DF",NAC Breda,22,2002,16,5,466,5.2,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,17,8,32,0.19,0.00,0.19,0.19,0.19,0.11,0.05,0.16,0.11,0.16,Matches,8,2,25.0,1.55,0.39,0.13,0.50,17.0,0,0.07,+0.4,+0.4,137,181,75.7,1816,479,87,103,84.5,38,50,76.0,3,9,33.3,0.5,-0.2,6,5,2,1,168,13,0,1,7,13,0,0,0,0,0,6,14,2.71,11,0,3,0,0,0,0.00,0,0,0,0,0,18,10,7,8,3,7,53.8,6,6,3,21,12,0,257,8,20,8,44.4,10,55.6,124,5,7,13,154,29,15.2,60,0,11,15,15,0.88,8,8,0,0.00,+0.83,6.9,9.8,-2.9,-0.56,-0.02,0,5,0,1,0,21,1,16.7
326,Adamo Nagalo,bf BFA,DF,PSV Eindhoven,21,2002,6,1,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,1,20,2,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches,1,0,0.0,0.54,0.00,0.00,,6.1,0,0.04,0.0,0.0,160,168,95.2,2913,1256,57,59,96.6,92,93,98.9,8,13,61.5,0.2,-0.1,1,23,2,0,162,6,1,2,0,2,0,0,0,0,0,0,2,1.07,2,0,0,0,0,0,0.00,0,0,0,0,0,5,3,3,2,0,1,100.0,0,1,1,6,11,0,193,12,2,0,,0,,131,0,1,0,134,28,5.5,60,0,5,22,11,2.33,2,1,+1,+0.54,-1.42,5.0,2.4,+2.5,+1.36,-0.13,0,3,0,0,0,13,9,64.3
327,Adi Nalic,ba BIH,"MF,FW",Almere City,26,1997,22,7,695,7.7,1,0,1,1,0,0,2,0,1.0,1.0,0.3,1.3,16,27,44,0.13,0.00,0.13,0.13,0.13,0.13,0.04,0.17,0.13,0.17,Matches,15,4,26.7,1.94,0.52,0.07,0.25,18.5,0,0.07,0.0,0.0,158,229,69.0,2610,636,77,102,75.5,64,76,84.2,15,29,51.7,0.4,-0.3,5,18,3,1,220,8,0,0,16,1,3,1,1,0,1,10,14,1.81,9,0,4,0,1,0,0.00,0,0,0,0,0,11,9,6,3,2,4,33.3,8,5,10,21,2,0,347,6,19,17,60.7,11,39.3,206,2,34,15,223,32,22.7,74,1,15,12,11,0.59,3,16,-13,-1.68,-0.62,4.6,13.7,-9.1,-1.18,-0.83,0,12,0,0,0,37,9,25.7
51,Adrian Blake,eng ENG,"FW,MF",Utrecht,19,2005,17,2,468,5.2,3,2,5,3,0,0,1,0,0.8,0.8,2.0,2.8,16,17,44,0.58,0.38,0.96,0.58,0.96,0.16,0.38,0.54,0.16,0.54,Matches,16,6,37.5,3.08,1.15,0.19,0.50,19.7,0,0.05,+2.2,+2.2,115,159,72.3,1888,628,59,73,80.8,43,58,74.1,10,17,58.8,1.7,0.0,12,7,11,2,156,3,0,0,14,3,0,0,0,0,0,5,30,5.77,22,0,2,5,0,4,0.77,3,0,0,1,0,15,7,10,2,3,6,85.7,1,8,2,17,1,0,236,3,23,7,38.9,10,55.6,142,7,13,6,153,28,15.3,63,0,15,23,13,1.59,13,9,+4,+0.77,+0.32,12.3,7.1,+5.2,+1.00,+0.98,0,5,0,0,0,29,0,0.0
220,Ahmetcan Kaplan,tr TUR,DF,Ajax,21,2003,8,7,562,6.2,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,7,44,1,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,4,1,25.0,0.64,0.16,0.00,0.00,16.5,0,0.10,-0.4,-0.4,463,503,92.0,7745,2637,211,219,96.3,214,224,95.5,28,44,63.6,0.5,-0.1,4,43,4,0,493,10,1,4,1,1,0,0,0,0,0,3,7,1.12,7,0,0,0,0,0,0.00,0,0,0,0,0,15,6,8,4,3,7,70.0,3,3,3,18,33,0,576,62,6,3,75.0,1,25.0,371,0,4,4,437,70,18.4,79,5,1,7,22,2.38,8,7,+1,+0.16,-1.06,9.1,6.4,+2.8,+0.44,-0.66,0,12,0,0,0,18,10,41.7
493,Alec Van Hoorenbeeck,be BEL,DF,Twente,25,1998,20,11,1116,12.4,2,0,2,2,0,0,1,0,1.4,1.4,0.4,1.8,2,46,6,0.16,0.00,0.16,0.16,0.16,0.11,0.03,0.14,0.11,0.14,Matches,10,3,30.0,0.81,0.24,0.20,0.67,12.2,0,0.14,+0.6,+0.6,722,825,87.5,13638,5717,258,273,94.5,390,415,94.0,68,119,57.1,0.9,-0.4,3,53,4,0,770,53,2,5,4,7,0,0,0,0,2,5,16,1.29,12,0,0,2,0,0,0.00,0,0,0,0,0,16,14,9,7,0,10,83.3,2,2,13,29,82,0,982,157,13,2,100.0,0,0.0,573,0,10,2,642,56,36.5,88,10,9,16,14,1.62,24,18,+6,+0.48,+0.16,19.9,16.2,+3.6,+0.29,-0.05,0,6,0,0,0,54,32,45.1
174,Alen Halilović,hr CRO,"MF,FW",Fortuna Sittard,28,1996,27,23,1770,19.7,2,3,5,2,0,1,2,0,4.4,3.6,2.8,6.4,37,64,60,0.10,0.15,0.25,0.10,0.25,0.23,0.14,0.37,0.19,0.33,Matches,43,12,27.9,2.19,0.61,0.05,0.17,20.1,4,0.09,-2.4,-1.6,538,676,79.6,10114,2251,240,271,88.6,170,203,83.7,98,157,62.4,2.3,+0.2,25,47,14,7,563,110,3,22,75,9,48,32,5,0,3,10,66,3.36,29,18,2,6,2,6,0.31,3,1,1,0,0,24,13,8,11,5,11,36.7,19,19,7,31,8,0,856,8,38,22,52.4,19,45.2,467,10,27,22,543,66,57.8,73,1,4,20,0,1.11,20,34,-14,-0.71,-0.50,25.0,29.7,-4.6,-0.24,+0.03,0,8,0,0,0,62,4,14.3
