Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
208.0,Abdelkahar Kadri,dz ALG,"MF,FW",Kortrijk,24.0,2000.0,23.0,19.0,1659.0,18.4,1.0,6.0,7.0,1.0,0.0,0.0,7.0,1.0,2.9,2.9,3.7,6.6,46.0,104.0,87.0,0.05,0.33,0.38,0.05,0.38,0.16,0.2,0.36,0.16,0.36,Matches,36.0,8.0,22.2,1.95,0.43,0.03,0.13,23.7,12.0,0.08,-1.9,-1.9,656.0,848.0,77.4,11963.0,3560.0,274.0,319.0,85.9,246.0,305.0,80.7,98.0,164.0,59.8,3.6,2.3,30.0,78.0,19.0,1.0,698.0,149.0,4.0,6.0,110.0,10.0,86.0,44.0,36.0,0.0,1.0,21.0,79.0,4.29,37.0,27.0,7.0,7.0,0.0,8.0,0.43,1.0,6.0,1.0,0.0,0.0,34.0,19.0,12.0,15.0,7.0,15.0,57.7,11.0,25.0,12.0,46.0,12.0,2.0,1085.0,25.0,27.0,44.0,53.0,36.0,43.4,709.0,5.0,43.0,29.0,658.0,72.0,61.4,82.0,6,4,24.0,0,1.0,16.0,29.0,-13.0,-0.71,0.51,19.3,28.7,-9.4,-0.51,-0.28,1.0,9.0,0.0,0.0,1.0,91.0,3.0,12.0,1.25,1.03,90.16,0.05,0.33,0.38,0.05,0.0,0.0,0.38,0.05,0.16,0.16,0.2,0.36,2.5,5.65,4.73,0.0,0.02,0.02,0.0,0.02,0.01,0.01,0.02,0.01,0.02,1.96,0.43,0.11,0.02,1.29,0.65,-0.1,-0.1,35.65,46.09,650.16,193.48,14.89,17.34,13.37,16.58,5.33,8.91,0.2,0.12,1.63,4.24,1.03,0.05,37.93,8.1,0.22,0.33,5.98,0.54,4.67,2.39,1.96,0.0,0.05,1.14,4.29,0.23,2.01,1.47,0.38,0.38,0.0,0.43,0.02,0.05,0.33,0.05,0.0,0.0,1.85,1.03,0.65,0.82,0.38,0.82,0.6,1.36,0.65,2.5,0.65,0.11,58.97,1.36,1.47,2.39,1.96,38.53,0.27,2.34,1.58,35.76,0.33,0.22,0.0,0.05,0.87,1.58,-0.71,-0.04,1.05,1.56,-0.51,-0.03,0.05,0.49,0.0,0.0,0.05,4.95,0.16
390.0,Abdoulaye Sissako,fr FRA,"MF,DF",Kortrijk,26.0,1998.0,24.0,18.0,1580.0,17.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,1.0,2.2,17.0,68.0,19.0,0.11,0.06,0.17,0.11,0.17,0.07,0.06,0.12,0.07,0.12,Matches,12.0,5.0,41.7,0.68,0.28,0.17,0.4,16.9,0.0,0.1,0.9,0.9,563.0,708.0,79.5,10318.0,2785.0,219.0,273.0,80.2,267.0,311.0,85.9,62.0,84.0,73.8,0.5,0.0,8.0,46.0,1.0,0.0,693.0,14.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,21.0,1.2,19.0,0.0,0.0,0.0,1.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,46.0,23.0,20.0,18.0,8.0,23.0,51.1,22.0,16.0,22.0,68.0,47.0,0.0,910.0,59.0,23.0,8.0,38.1,11.0,52.4,567.0,4.0,22.0,21.0,497.0,66.0,58.5,82.0,11,6,17.0,2,1.0,15.0,34.0,-19.0,-1.08,-0.44,19.3,28.1,-8.8,-0.5,-0.24,0.0,16.0,0.0,0.0,0.0,107.0,34.0,53.1,1.36,1.02,89.77,0.11,0.06,0.17,0.11,0.0,0.0,0.28,0.0,0.06,0.06,0.06,0.12,0.97,3.86,1.08,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.68,0.28,0.04,0.02,0.96,0.0,0.05,0.05,31.99,40.23,586.25,158.24,12.44,15.51,15.17,17.67,3.52,4.77,0.03,0.0,0.45,2.61,0.06,0.0,39.38,0.8,0.06,0.11,0.4,0.06,0.0,0.0,0.0,0.0,0.06,0.68,1.19,0.07,1.08,0.0,0.0,0.0,0.06,0.11,0.01,0.11,0.0,0.0,0.0,0.0,2.61,1.31,1.14,1.02,0.45,1.31,1.25,0.91,1.25,3.86,2.67,0.0,51.7,3.35,1.31,0.45,0.62,32.22,0.23,1.25,1.19,28.24,0.62,0.34,0.11,0.06,0.85,1.93,-1.08,-0.06,1.1,1.6,-0.5,-0.03,0.0,0.91,0.0,0.0,0.0,6.08,1.93
485.0,Adem Zorgane,dz ALG,MF,Charleroi,24.0,2000.0,30.0,30.0,2693.0,29.9,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,6.5,7.6,38.0,382.0,56.0,0.03,0.13,0.17,0.03,0.17,0.04,0.22,0.25,0.04,0.25,Matches,25.0,7.0,28.0,0.84,0.23,0.04,0.14,25.3,4.0,0.04,-0.1,-0.1,2189.0,2709.0,80.8,41222.0,16306.0,867.0,966.0,89.8,929.0,1105.0,84.1,314.0,516.0,60.9,8.9,-2.5,78.0,300.0,86.0,15.0,2432.0,265.0,21.0,27.0,185.0,7.0,93.0,21.0,50.0,0.0,12.0,35.0,156.0,5.21,131.0,21.0,1.0,0.0,1.0,10.0,0.33,9.0,1.0,0.0,0.0,0.0,80.0,54.0,32.0,39.0,9.0,35.0,39.3,54.0,32.0,30.0,110.0,39.0,2.0,2979.0,102.0,28.0,27.0,65.9,14.0,34.1,2125.0,6.0,27.0,31.0,2011.0,90.0,99.7,90.0,29,0,,0,1.45,36.0,36.0,0.0,0.0,0.0,47.5,34.8,12.7,0.42,-2.27,0.0,23.0,0.0,0.0,0.0,245.0,22.0,51.2,1.0,1.0,90.07,0.03,0.13,0.17,0.03,0.0,0.0,0.1,0.0,0.04,0.04,0.22,0.25,1.27,12.78,1.87,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.84,0.23,0.03,0.01,0.85,0.13,-0.0,-0.0,73.21,90.6,1378.66,545.35,29.0,32.31,31.07,36.96,10.5,17.26,0.3,-0.08,2.61,10.03,2.88,0.5,81.34,8.86,0.7,0.9,6.19,0.23,3.11,0.7,1.67,0.0,0.4,1.17,5.22,0.17,4.38,0.7,0.03,0.0,0.03,0.33,0.01,0.3,0.03,0.0,0.0,0.0,2.68,1.81,1.07,1.3,0.3,1.17,1.81,1.07,1.0,3.68,1.3,0.07,99.63,3.41,0.94,0.9,0.47,71.07,0.2,0.9,1.04,67.26,0.97,0.0,0.0,0.05,1.2,1.2,0.0,0.0,1.59,1.16,0.42,0.01,0.0,0.77,0.0,0.0,0.0,8.19,0.74
47.0,Adriano Bertaccini,be BEL,"FW,MF",Sint-Truiden,23.0,2000.0,27.0,26.0,2221.0,24.7,16.0,1.0,17.0,14.0,2.0,2.0,8.0,0.0,12.3,10.7,0.9,11.6,63.0,42.0,136.0,0.65,0.04,0.69,0.57,0.61,0.5,0.04,0.54,0.43,0.47,Matches,82.0,29.0,35.4,3.32,1.18,0.17,0.48,17.6,5.0,0.13,3.7,3.3,363.0,512.0,70.9,5902.0,1093.0,175.0,234.0,74.8,132.0,181.0,72.9,33.0,48.0,68.8,0.5,0.1,12.0,21.0,12.0,1.0,468.0,42.0,2.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,2.0,17.0,66.0,2.68,40.0,0.0,15.0,5.0,0.0,8.0,0.32,3.0,0.0,5.0,0.0,0.0,18.0,10.0,9.0,5.0,4.0,6.0,23.1,20.0,13.0,4.0,22.0,19.0,0.0,819.0,19.0,118.0,46.0,48.4,48.0,50.5,605.0,24.0,54.0,40.0,562.0,82.0,82.3,85.0,12,1,20.0,2,1.24,34.0,45.0,-11.0,-0.45,0.31,33.5,38.3,-4.8,-0.2,0.43,0.0,26.0,0.0,0.0,0.0,86.0,23.0,44.2,1.09,1.05,89.92,0.65,0.04,0.69,0.57,0.08,0.08,0.32,0.0,0.5,0.43,0.04,0.47,2.55,1.7,5.51,0.03,0.0,0.03,0.02,0.02,0.02,0.0,0.02,0.02,0.02,3.32,1.17,0.13,0.05,0.71,0.2,0.15,0.13,14.7,20.73,238.95,44.25,7.09,9.47,5.34,7.33,1.34,1.94,0.02,0.0,0.49,0.85,0.49,0.04,18.95,1.7,0.08,0.0,0.49,0.28,0.0,0.0,0.0,0.0,0.08,0.69,2.67,0.11,1.62,0.0,0.61,0.2,0.0,0.32,0.01,0.12,0.0,0.2,0.0,0.0,0.73,0.4,0.36,0.2,0.16,0.24,0.81,0.53,0.16,0.89,0.77,0.0,33.16,0.77,4.78,1.86,1.94,24.49,0.97,2.19,1.62,22.75,0.49,0.04,0.08,0.05,1.38,1.82,-0.45,-0.02,1.36,1.55,-0.19,-0.01,0.0,1.05,0.0,0.0,0.0,3.48,0.93
7.0,Adryelson,br BRA,DF,Anderlecht,26.0,1998.0,7.0,6.0,542.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,2.0,27.0,1.0,0.17,0.0,0.17,0.17,0.17,0.05,0.02,0.07,0.05,0.07,Matches,5.0,3.0,60.0,0.83,0.5,0.2,0.33,15.5,0.0,0.06,0.7,0.7,315.0,366.0,86.1,5955.0,1922.0,107.0,123.0,87.0,185.0,200.0,92.5,21.0,37.0,56.8,0.1,-0.1,2.0,18.0,1.0,0.0,351.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.66,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,7.0,0.0,0.0,6.0,100.0,0.0,2.0,5.0,12.0,47.0,0.0,445.0,49.0,7.0,1.0,100.0,0.0,0.0,302.0,0.0,3.0,0.0,296.0,77.0,20.1,89.0,5,1,6.0,2,1.5,11.0,4.0,7.0,1.16,0.5,7.9,7.0,0.9,0.15,0.09,0.0,0.0,0.0,0.0,0.0,16.0,12.0,48.0,1.17,1.0,90.33,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.05,0.05,0.02,0.07,0.33,4.5,0.17,0.03,0.0,0.03,0.03,0.03,0.01,0.0,0.01,0.01,0.01,0.83,0.5,0.14,0.08,2.58,0.0,0.12,0.12,52.5,61.0,992.5,320.33,17.83,20.5,30.83,33.33,3.5,6.17,0.02,-0.02,0.33,3.0,0.17,0.0,58.5,2.33,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.17,0.33,0.67,0.11,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.67,1.17,0.0,0.0,1.0,0.0,0.33,0.83,2.0,7.83,0.0,74.17,8.17,1.17,0.17,0.0,50.33,0.0,0.5,0.0,49.33,0.83,0.17,0.33,0.25,1.83,0.67,1.17,0.19,1.32,1.17,0.15,0.02,0.0,0.0,0.0,0.0,0.0,2.67,2.0
426.0,Ahmed Touba,dz ALG,DF,Mechelen,26.0,1998.0,23.0,22.0,1996.0,22.2,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.6,1.6,0.4,2.0,6.0,93.0,4.0,0.09,0.0,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,Matches,11.0,4.0,36.4,0.5,0.18,0.18,0.5,14.0,0.0,0.15,0.4,0.4,1210.0,1361.0,88.9,25427.0,8393.0,308.0,353.0,87.3,729.0,768.0,94.9,159.0,212.0,75.0,0.6,-0.4,10.0,100.0,12.0,2.0,1316.0,38.0,3.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,5.0,20.0,0.9,17.0,0.0,0.0,1.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,39.0,25.0,26.0,10.0,3.0,17.0,54.8,14.0,4.0,33.0,72.0,104.0,2.0,1603.0,186.0,16.0,2.0,28.6,5.0,71.4,1169.0,1.0,18.0,8.0,1114.0,87.0,73.9,89.0,21,1,45.0,0,1.32,32.0,25.0,7.0,0.32,0.57,31.8,27.8,4.0,0.18,0.43,0.0,17.0,0.0,2.0,2.0,83.0,64.0,67.4,1.04,0.99,89.91,0.09,0.0,0.09,0.09,0.0,0.0,0.27,0.0,0.07,0.07,0.02,0.09,0.27,4.19,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.18,0.02,0.01,0.63,0.0,0.02,0.02,54.5,61.31,1145.36,378.06,13.87,15.9,32.84,34.59,7.16,9.55,0.03,-0.02,0.45,4.5,0.54,0.09,59.28,1.71,0.14,0.45,0.18,0.32,0.0,0.0,0.0,0.0,0.32,0.23,0.9,0.04,0.77,0.0,0.0,0.05,0.09,0.05,0.0,0.05,0.0,0.0,0.0,0.0,1.76,1.13,1.17,0.45,0.14,0.77,0.63,0.18,1.49,3.24,4.68,0.09,72.21,8.38,0.72,0.09,0.23,52.66,0.05,0.81,0.36,50.18,0.95,0.05,0.0,0.06,1.44,1.13,0.32,0.01,1.43,1.25,0.18,0.01,0.0,0.77,0.0,0.09,0.09,3.74,2.88
313.0,Aiden O'Neill,au AUS,MF,Standard Liège,26.0,1998.0,25.0,24.0,2165.0,24.1,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.8,0.8,1.1,2.0,13.0,85.0,11.0,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,Matches,15.0,1.0,6.7,0.62,0.04,0.0,0.0,22.0,0.0,0.06,-0.8,-0.8,782.0,973.0,80.4,13999.0,4473.0,306.0,369.0,82.9,361.0,419.0,86.2,84.0,129.0,65.1,1.2,-0.1,11.0,86.0,9.0,1.0,942.0,30.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,20.0,42.0,1.75,34.0,2.0,0.0,2.0,2.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,58.0,38.0,22.0,29.0,7.0,27.0,50.0,27.0,21.0,23.0,81.0,50.0,1.0,1203.0,87.0,14.0,9.0,42.9,10.0,47.6,796.0,2.0,23.0,20.0,721.0,87.0,80.2,88.0,22,1,45.0,0,1.15,17.0,30.0,-13.0,-0.54,-0.54,28.1,33.9,-5.8,-0.24,-0.01,1.0,39.0,0.0,0.0,0.0,124.0,28.0,50.0,1.04,1.0,89.83,0.0,0.04,0.04,0.0,0.0,0.0,0.29,0.04,0.03,0.03,0.05,0.08,0.54,3.53,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.04,0.03,0.0,0.91,0.0,-0.03,-0.03,32.45,40.37,580.87,185.6,12.7,15.31,14.98,17.39,3.49,5.35,0.05,-0.0,0.46,3.57,0.37,0.04,39.09,1.24,0.0,0.17,0.29,0.08,0.0,0.0,0.0,0.0,0.04,0.83,1.74,0.07,1.41,0.08,0.0,0.08,0.08,0.12,0.0,0.12,0.0,0.0,0.0,0.0,2.41,1.58,0.91,1.2,0.29,1.12,1.12,0.87,0.95,3.36,2.07,0.04,49.92,3.61,0.58,0.37,0.41,33.03,0.08,0.95,0.83,29.92,0.91,0.04,0.0,0.05,0.71,1.24,-0.54,-0.02,1.17,1.41,-0.24,-0.01,0.04,1.62,0.0,0.0,0.0,5.15,1.16
330.0,Aiham Ousou,sy SYR,DF,Charleroi,24.0,2000.0,26.0,22.0,2020.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.1,1.0,14.0,62.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,12.0,4.0,33.3,0.53,0.18,0.0,0.0,11.6,0.0,0.07,-0.9,-0.9,856.0,987.0,86.7,17451.0,6724.0,252.0,281.0,89.7,467.0,501.0,93.2,119.0,174.0,68.4,0.4,-0.1,2.0,55.0,4.0,1.0,932.0,54.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,0.31,5.0,1.0,0.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,34.0,22.0,25.0,8.0,1.0,15.0,62.5,9.0,7.0,40.0,74.0,128.0,0.0,1257.0,198.0,18.0,1.0,33.3,2.0,66.7,782.0,0.0,15.0,5.0,720.0,78.0,74.8,89.0,21,4,14.0,1,1.31,25.0,25.0,0.0,0.0,0.0,35.2,26.0,9.1,0.41,-0.09,0.0,30.0,0.0,1.0,0.0,84.0,52.0,61.2,1.16,0.98,90.18,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.04,0.04,0.0,0.04,0.62,2.77,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.18,0.02,0.01,0.52,0.0,-0.04,-0.04,38.21,44.06,779.06,300.18,11.25,12.54,20.85,22.37,5.31,7.77,0.02,-0.0,0.09,2.46,0.18,0.04,41.61,2.41,0.09,0.09,0.04,0.13,0.0,0.0,0.0,0.0,0.04,0.4,0.31,0.01,0.22,0.04,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,1.52,0.98,1.12,0.36,0.04,0.67,0.4,0.31,1.79,3.3,5.71,0.0,56.12,8.84,0.8,0.04,0.09,34.91,0.0,0.67,0.22,32.14,0.94,0.18,0.04,0.06,1.12,1.12,0.0,0.0,1.57,1.16,0.41,0.02,0.0,1.34,0.0,0.04,0.0,3.75,2.32
286.0,Alan Minda,ec ECU,"FW,MF",Cercle Brugge,21.0,2003.0,26.0,14.0,1303.0,14.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.7,2.7,2.3,5.0,49.0,31.0,112.0,0.07,0.07,0.14,0.07,0.14,0.19,0.16,0.34,0.19,0.34,Matches,34.0,15.0,44.1,2.35,1.04,0.03,0.07,18.8,0.0,0.08,-1.7,-1.7,229.0,339.0,67.6,3699.0,725.0,110.0,151.0,72.8,101.0,136.0,74.3,14.0,30.0,46.7,1.4,-1.3,23.0,17.0,12.0,1.0,308.0,28.0,4.0,1.0,23.0,4.0,7.0,2.0,5.0,0.0,3.0,14.0,52.0,3.59,32.0,3.0,9.0,2.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,2.0,3.0,6.0,46.2,7.0,10.0,2.0,10.0,4.0,0.0,519.0,6.0,63.0,33.0,47.1,34.0,48.6,338.0,13.0,43.0,16.0,336.0,50.0,48.3,72.0,1,12,25.0,0,1.1,14.0,14.0,0.0,0.0,0.97,18.0,18.3,-0.3,-0.02,0.36,0.0,4.0,0.0,0.0,0.0,48.0,14.0,35.0,1.79,0.97,89.86,0.07,0.07,0.14,0.07,0.0,0.0,0.07,0.0,0.19,0.19,0.16,0.34,3.38,2.14,7.72,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.02,2.34,1.03,0.16,0.07,1.3,0.0,-0.12,-0.12,15.79,23.38,255.1,50.0,7.59,10.41,6.97,9.38,0.97,2.07,0.1,-0.09,1.59,1.17,0.83,0.07,21.24,1.93,0.28,0.07,1.59,0.28,0.48,0.14,0.34,0.0,0.21,0.97,3.59,0.25,2.21,0.21,0.62,0.14,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.55,0.34,0.21,0.14,0.21,0.41,0.48,0.69,0.14,0.69,0.28,0.0,35.79,0.41,4.34,2.28,2.34,23.31,0.9,2.97,1.1,23.17,0.07,0.83,0.0,0.08,0.97,0.97,0.0,0.0,1.24,1.26,-0.02,-0.0,0.0,0.28,0.0,0.0,0.0,3.31,0.97
70.0,Alessio Castro-Montes,be BEL,"DF,FW",Union SG,27.0,1997.0,15.0,12.0,1027.0,11.4,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,3.5,4.5,34.0,43.0,90.0,0.09,0.26,0.35,0.09,0.35,0.08,0.31,0.39,0.08,0.39,Matches,12.0,3.0,25.0,1.05,0.26,0.08,0.33,22.3,2.0,0.08,0.1,0.1,419.0,575.0,72.9,7210.0,2924.0,210.0,251.0,83.7,152.0,193.0,78.8,46.0,94.0,48.9,2.8,-0.5,31.0,30.0,20.0,8.0,493.0,77.0,2.0,3.0,78.0,32.0,31.0,6.0,24.0,0.0,5.0,27.0,45.0,3.94,30.0,11.0,3.0,1.0,0.0,3.0,0.26,2.0,1.0,0.0,0.0,0.0,23.0,15.0,9.0,8.0,6.0,12.0,44.4,15.0,16.0,11.0,34.0,13.0,0.0,708.0,21.0,25.0,12.0,34.3,19.0,54.3,459.0,4.0,24.0,9.0,432.0,68.0,38.0,82.0,7,3,16.0,0,2.22,16.0,9.0,7.0,0.61,-0.3,21.0,11.5,9.5,0.83,0.07,0.0,8.0,0.0,1.0,0.0,59.0,8.0,50.0,1.32,1.05,90.09,0.09,0.26,0.35,0.09,0.0,0.0,0.18,0.0,0.08,0.08,0.31,0.39,2.98,3.77,7.89,0.01,0.02,0.03,0.01,0.03,0.01,0.03,0.03,0.01,0.03,1.05,0.26,0.09,0.02,1.96,0.18,0.01,0.01,36.75,50.44,632.46,256.49,18.42,22.02,13.33,16.93,4.04,8.25,0.25,-0.04,2.72,2.63,1.75,0.7,43.25,6.75,0.18,0.26,6.84,2.81,2.72,0.53,2.11,0.0,0.44,2.37,3.95,0.35,2.63,0.96,0.26,0.09,0.0,0.26,0.02,0.18,0.09,0.0,0.0,0.0,2.02,1.32,0.79,0.7,0.53,1.05,1.32,1.4,0.96,2.98,1.14,0.0,62.11,1.84,2.19,1.05,1.67,40.26,0.35,2.11,0.79,37.89,0.61,0.26,0.0,0.19,1.4,0.79,0.61,0.05,1.84,1.01,0.83,0.07,0.0,0.7,0.0,0.09,0.0,5.18,0.7
