Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
208,Abdelkahar Kadri,dz ALG,"MF,FW",Kortrijk,24,2000,23,19,1659,18.4,1,6,7,1,0,0,7,1,2.9,2.9,3.7,6.6,46,104,87,0.05,0.33,0.38,0.05,0.38,0.16,0.20,0.36,0.16,0.36,Matches,36,8,22.2,1.95,0.43,0.03,0.13,23.7,12,0.08,-1.9,-1.9,656,848,77.4,11963,3560,274,319,85.9,246,305,80.7,98,164,59.8,3.6,+2.3,30,78,19,1,698,149,4,6,110,10,86,44,36,0,1,21,79,4.29,37,27,7,7,0,8,0.43,1,6,1,0,0,34,19,12,15,7,15,57.7,11,25,12,46,12,2,1085,25,27,44,53.0,36,43.4,709,5,43,29,658,72,61.4,82,6,4,24,0,1.00,16,29,-13,-0.71,+0.51,19.3,28.7,-9.4,-0.51,-0.28,1,9,0,0,1,91,3,12.0
,Abdoul-Fessal Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
390,Abdoulaye Sissako,fr FRA,"MF,DF",Kortrijk,26,1998,24,18,1580,17.6,2,1,3,2,0,0,5,0,1.1,1.1,1.0,2.2,17,68,19,0.11,0.06,0.17,0.11,0.17,0.07,0.06,0.12,0.07,0.12,Matches,12,5,41.7,0.68,0.28,0.17,0.40,16.9,0,0.10,+0.9,+0.9,563,708,79.5,10318,2785,219,273,80.2,267,311,85.9,62,84,73.8,0.5,0.0,8,46,1,0,693,14,1,2,7,1,0,0,0,0,1,12,21,1.20,19,0,0,0,1,2,0.11,2,0,0,0,0,46,23,20,18,8,23,51.1,22,16,22,68,47,0,910,59,23,8,38.1,11,52.4,567,4,22,21,497,66,58.5,82,11,6,17,2,1.00,15,34,-19,-1.08,-0.44,19.3,28.1,-8.8,-0.50,-0.24,0,16,0,0,0,107,34,53.1
,Abdoulaye Yahaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
302,Adam Nhaili,be BEL,"FW,MF",Sint-Truiden,18,2005,8,1,204,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,6,7,11,0.00,0.44,0.44,0.00,0.44,0.03,0.13,0.16,0.03,0.16,Matches,2,2,100.0,0.88,0.88,0.00,0.00,27.5,0,0.04,-0.1,-0.1,74,88,84.1,1120,295,38,43,88.4,33,36,91.7,1,2,50.0,0.3,+0.7,2,3,1,1,84,4,0,0,5,1,0,0,0,0,0,3,3,1.32,3,0,0,0,0,2,0.88,2,0,0,0,0,2,1,2,0,0,0,0.0,1,1,1,3,1,0,106,1,3,2,40.0,3,60.0,77,2,7,5,82,26,7.6,90,1,7,16,14,0.38,2,4,-2,-0.88,-0.41,1.2,2.6,-1.4,-0.62,-0.38,0,4,0,0,0,10,1,100.0
485,Adem Zorgane,dz ALG,MF,Charleroi,24,2000,30,30,2693,29.9,1,4,5,1,0,0,3,0,1.1,1.1,6.5,7.6,38,382,56,0.03,0.13,0.17,0.03,0.17,0.04,0.22,0.25,0.04,0.25,Matches,25,7,28.0,0.84,0.23,0.04,0.14,25.3,4,0.04,-0.1,-0.1,2189,2709,80.8,41222,16306,867,966,89.8,929,1105,84.1,314,516,60.9,8.9,-2.5,78,300,86,15,2432,265,21,27,185,7,93,21,50,0,12,35,156,5.21,131,21,1,0,1,10,0.33,9,1,0,0,0,80,54,32,39,9,35,39.3,54,32,30,110,39,2,2979,102,28,27,65.9,14,34.1,2125,6,27,31,2011,90,99.7,90,29,0,,0,1.45,36,36,0,0.00,0.00,47.5,34.8,+12.7,+0.42,-2.27,0,23,0,0,0,245,22,51.2
47,Adriano Bertaccini,be BEL,"FW,MF",Sint-Truiden,23,2000,27,26,2221,24.7,16,1,17,14,2,2,8,0,12.3,10.7,0.9,11.6,63,42,136,0.65,0.04,0.69,0.57,0.61,0.50,0.04,0.54,0.43,0.47,Matches,82,29,35.4,3.32,1.18,0.17,0.48,17.6,5,0.13,+3.7,+3.3,363,512,70.9,5902,1093,175,234,74.8,132,181,72.9,33,48,68.8,0.5,+0.1,12,21,12,1,468,42,2,0,12,7,0,0,0,0,2,17,66,2.68,40,0,15,5,0,8,0.32,3,0,5,0,0,18,10,9,5,4,6,23.1,20,13,4,22,19,0,819,19,118,46,48.4,48,50.5,605,24,54,40,562,82,82.3,85,12,1,20,2,1.24,34,45,-11,-0.45,+0.31,33.5,38.3,-4.8,-0.20,+0.43,0,26,0,0,0,86,23,44.2
,Adrián Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,10,3.00,,,,,,,,,,,,,,,,,,
7,Adryelson,br BRA,DF,Anderlecht,26,1998,7,6,542,6.0,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,27,1,0.17,0.00,0.17,0.17,0.17,0.05,0.02,0.07,0.05,0.07,Matches,5,3,60.0,0.83,0.50,0.20,0.33,15.5,0,0.06,+0.7,+0.7,315,366,86.1,5955,1922,107,123,87.0,185,200,92.5,21,37,56.8,0.1,-0.1,2,18,1,0,351,14,0,1,1,1,0,0,0,0,1,2,4,0.66,3,0,0,0,0,0,0.00,0,0,0,0,0,7,4,7,0,0,6,100.0,0,2,5,12,47,0,445,49,7,1,100.0,0,0.0,302,0,3,0,296,77,20.1,89,5,1,6,2,1.50,11,4,+7,+1.16,+0.50,7.9,7.0,+0.9,+0.15,+0.09,0,0,0,0,0,16,12,48.0
1,Ahmed Abdullahi,ng NGA,MF,Gent,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,2,100.0,31,13,1,1,100.0,1,1,100.0,0,0,,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,1,0,0,4,0,0,0,,0,,2,0,1,0,2,1,0.0,,0,1,1,0,0.00,0,0,0,0.00,-0.27,0.1,0.0,+0.1,+5.95,+6.15,0,0,0,0,0,1,1,100.0
