Rk,Player,Nation,Pos,Squad,Age,Born,90s,xG,npxG,xAG,npxG+xAG,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,xA,A-xAG,SCA90,GCA90,Tkl%,Succ%,Tkld%,Min%,PPM,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,FK_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Mn/MP_per90,Mn/Start_per90,Compl_per90,Subs_per90,Mn/Sub_per90,unSub_per90,onG_per90,onGA_per90,+/-_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
208.0,Abdelkahar Kadri,dz ALG,"MF,FW",Kortrijk,24.0,2000.0,18.4,2.9,2.9,3.7,6.6,0.05,0.33,0.38,0.05,0.38,0.16,0.2,0.36,0.16,0.36,Matches,22.2,1.95,0.43,0.03,0.13,23.7,0.08,-1.9,-1.9,77.4,85.9,80.7,59.8,3.6,2.3,4.29,0.43,57.7,53.0,43.4,61.4,1.0,-0.71,0.51,19.3,28.7,-9.4,-0.51,-0.28,12.0,1.25,1.03,90.16,0.05,0.33,0.38,0.05,0.0,0.0,0.38,0.05,2.5,5.65,4.73,1.96,0.43,0.65,35.65,46.09,650.16,193.48,14.89,17.34,13.37,16.58,5.33,8.91,1.63,4.24,1.03,0.05,37.93,8.1,0.22,0.33,5.98,0.54,4.67,2.39,1.96,0.0,0.05,1.14,4.29,2.01,1.47,0.38,0.38,0.0,0.43,0.05,0.33,0.05,0.0,0.0,1.85,1.03,0.65,0.82,0.38,0.82,0.6,1.36,0.65,2.5,0.65,0.11,58.97,1.36,1.47,2.39,1.96,38.53,0.27,2.34,1.58,35.76,3.91,4.46,0.33,0.22,1.3,0.0,0.87,1.58,-0.71,0.05,0.49,0.0,0.0,0.05,4.95,0.16
,Abdoul-Fessal Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390.0,Abdoulaye Sissako,fr FRA,"MF,DF",Kortrijk,26.0,1998.0,17.6,1.1,1.1,1.0,2.2,0.11,0.06,0.17,0.11,0.17,0.07,0.06,0.12,0.07,0.12,Matches,41.7,0.68,0.28,0.17,0.4,16.9,0.1,0.9,0.9,79.5,80.2,85.9,73.8,0.5,0.0,1.2,0.11,51.1,38.1,52.4,58.5,1.0,-1.08,-0.44,19.3,28.1,-8.8,-0.5,-0.24,53.1,1.36,1.02,89.77,0.11,0.06,0.17,0.11,0.0,0.0,0.28,0.0,0.97,3.86,1.08,0.68,0.28,0.0,31.99,40.23,586.25,158.24,12.44,15.51,15.17,17.67,3.52,4.77,0.45,2.61,0.06,0.0,39.38,0.8,0.06,0.11,0.4,0.06,0.0,0.0,0.0,0.0,0.06,0.68,1.19,1.08,0.0,0.0,0.0,0.06,0.11,0.11,0.0,0.0,0.0,0.0,2.61,1.31,1.14,1.02,0.45,1.31,1.25,0.91,1.25,3.86,2.67,0.0,51.7,3.35,1.31,0.45,0.62,32.22,0.23,1.25,1.19,28.24,3.75,4.66,0.62,0.34,0.97,0.11,0.85,1.93,-1.08,0.0,0.91,0.0,0.0,0.0,6.08,1.93
,Abdoulaye Yahaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302.0,Adam Nhaili,be BEL,"FW,MF",Sint-Truiden,18.0,2005.0,2.3,0.1,0.1,0.3,0.4,0.0,0.44,0.44,0.0,0.44,0.03,0.13,0.16,0.03,0.16,Matches,100.0,0.88,0.88,0.0,0.0,27.5,0.04,-0.1,-0.1,84.1,88.4,91.7,50.0,0.3,0.7,1.32,0.88,0.0,40.0,60.0,7.6,0.38,-0.88,-0.41,1.2,2.6,-1.4,-0.62,-0.38,100.0,3.48,0.43,88.7,0.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0,2.61,3.04,4.78,0.87,0.87,0.0,32.17,38.26,486.96,128.26,16.52,18.7,14.35,15.65,0.43,0.87,0.87,1.3,0.43,0.43,36.52,1.74,0.0,0.0,2.17,0.43,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.87,0.87,0.0,0.0,0.0,0.0,0.87,0.43,0.87,0.0,0.0,0.0,0.43,0.43,0.43,1.3,0.43,0.0,46.09,0.43,1.3,0.87,1.3,33.48,0.87,3.04,2.17,35.65,11.3,39.13,0.43,3.04,6.96,6.09,0.87,1.74,-0.87,0.0,1.74,0.0,0.0,0.0,4.35,0.43
485.0,Adem Zorgane,dz ALG,MF,Charleroi,24.0,2000.0,29.9,1.1,1.1,6.5,7.6,0.03,0.13,0.17,0.03,0.17,0.04,0.22,0.25,0.04,0.25,Matches,28.0,0.84,0.23,0.04,0.14,25.3,0.04,-0.1,-0.1,80.8,89.8,84.1,60.9,8.9,-2.5,5.21,0.33,39.3,65.9,34.1,99.7,1.45,0.0,0.0,47.5,34.8,12.7,0.42,-2.27,51.2,1.0,1.0,90.07,0.03,0.13,0.17,0.03,0.0,0.0,0.1,0.0,1.27,12.78,1.87,0.84,0.23,0.13,73.21,90.6,1378.66,545.35,29.0,32.31,31.07,36.96,10.5,17.26,2.61,10.03,2.88,0.5,81.34,8.86,0.7,0.9,6.19,0.23,3.11,0.7,1.67,0.0,0.4,1.17,5.22,4.38,0.7,0.03,0.0,0.03,0.33,0.3,0.03,0.0,0.0,0.0,2.68,1.81,1.07,1.3,0.3,1.17,1.81,1.07,1.0,3.68,1.3,0.07,99.63,3.41,0.94,0.9,0.47,71.07,0.2,0.9,1.04,67.26,3.01,3.01,0.97,0.0,,0.0,1.2,1.2,0.0,0.0,0.77,0.0,0.0,0.0,8.19,0.74
47.0,Adriano Bertaccini,be BEL,"FW,MF",Sint-Truiden,23.0,2000.0,24.7,12.3,10.7,0.9,11.6,0.65,0.04,0.69,0.57,0.61,0.5,0.04,0.54,0.43,0.47,Matches,35.4,3.32,1.18,0.17,0.48,17.6,0.13,3.7,3.3,70.9,74.8,72.9,68.8,0.5,0.1,2.68,0.32,23.1,48.4,50.5,82.3,1.24,-0.45,0.31,33.5,38.3,-4.8,-0.2,0.43,44.2,1.09,1.05,89.92,0.65,0.04,0.69,0.57,0.08,0.08,0.32,0.0,2.55,1.7,5.51,3.32,1.17,0.2,14.7,20.73,238.95,44.25,7.09,9.47,5.34,7.33,1.34,1.94,0.49,0.85,0.49,0.04,18.95,1.7,0.08,0.0,0.49,0.28,0.0,0.0,0.0,0.0,0.08,0.69,2.67,1.62,0.0,0.61,0.2,0.0,0.32,0.12,0.0,0.2,0.0,0.0,0.73,0.4,0.36,0.2,0.16,0.24,0.81,0.53,0.16,0.89,0.77,0.0,33.16,0.77,4.78,1.86,1.94,24.49,0.97,2.19,1.62,22.75,3.32,3.44,0.49,0.04,0.81,0.08,1.38,1.82,-0.45,0.0,1.05,0.0,0.0,0.0,3.48,0.93
,Adrián Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Adryelson,br BRA,DF,Anderlecht,26.0,1998.0,6.0,0.3,0.3,0.1,0.4,0.17,0.0,0.17,0.17,0.17,0.05,0.02,0.07,0.05,0.07,Matches,60.0,0.83,0.5,0.2,0.33,15.5,0.06,0.7,0.7,86.1,87.0,92.5,56.8,0.1,-0.1,0.66,0.0,100.0,100.0,0.0,20.1,1.5,1.16,0.5,7.9,7.0,0.9,0.15,0.09,48.0,1.17,1.0,90.33,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.33,4.5,0.17,0.83,0.5,0.0,52.5,61.0,992.5,320.33,17.83,20.5,30.83,33.33,3.5,6.17,0.33,3.0,0.17,0.0,58.5,2.33,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.17,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.67,1.17,0.0,0.0,1.0,0.0,0.33,0.83,2.0,7.83,0.0,74.17,8.17,1.17,0.17,0.0,50.33,0.0,0.5,0.0,49.33,12.83,14.83,0.83,0.17,1.0,0.33,1.83,0.67,1.17,0.0,0.0,0.0,0.0,0.0,2.67,2.0
1.0,Ahmed Abdullahi,ng NGA,MF,Gent,20.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,0.0,0.0,,,,,0.0,0.0,100.0,100.0,100.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.27,0.1,0.0,0.1,5.95,6.15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
