Rk,Player,Nation,Pos,Squad,Age,Born,90s,xG,npxG,xAG,npxG+xAG,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,xA,A-xAG,SCA90,GCA90,Tkl%,Succ%,Tkld%,Min%,PPM,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,FK_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Mn/MP_per90,Mn/Start_per90,Compl_per90,Subs_per90,Mn/Sub_per90,unSub_per90,onG_per90,onGA_per90,+/-_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
188.0,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,22.0,2001.0,22.0,8.0,7.2,2.0,9.3,0.09,0.09,0.18,0.09,0.18,0.36,0.09,0.46,0.33,0.42,Matches,41.0,2.77,1.13,0.03,0.08,15.6,0.12,-6.0,-5.2,71.6,82.2,68.6,29.7,2.1,0.0,2.99,0.32,55.6,44.7,35.9,58.0,1.47,0.0,-0.44,31.8,30.0,1.8,0.08,-0.05,41.3,1.45,1.05,90.18,0.09,0.09,0.18,0.09,0.0,0.05,0.09,0.0,5.32,3.09,9.77,2.77,1.14,0.05,24.64,34.41,304.32,87.64,16.95,20.64,5.95,8.68,0.5,1.68,1.23,1.91,0.86,0.09,33.27,1.05,0.09,0.18,2.23,0.68,0.05,0.0,0.0,0.0,0.09,1.23,3.0,1.95,0.0,0.45,0.18,0.05,0.32,0.18,0.0,0.0,0.05,0.0,1.68,1.14,0.77,0.73,0.18,0.68,0.55,0.86,0.32,2.0,0.86,0.0,49.14,0.45,6.86,2.09,1.68,32.09,2.64,2.91,2.27,36.23,2.82,3.41,0.09,0.41,1.27,0.05,1.41,1.41,0.0,0.0,1.05,0.09,0.0,0.0,4.64,1.18
5.0,Abdel Abqar,ma MAR,DF,Alavés,25.0,1999.0,27.4,0.9,0.9,0.3,1.2,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,Matches,8.3,0.44,0.04,0.0,0.0,8.0,0.08,-0.9,-0.9,76.6,92.8,91.5,44.2,0.4,0.7,0.91,0.11,58.8,75.0,25.0,72.0,1.03,-0.4,-0.5,32.0,33.4,-1.4,-0.05,0.21,53.3,1.06,1.06,89.89,0.0,0.04,0.04,0.0,0.0,0.0,0.47,0.0,0.58,2.88,0.15,0.44,0.04,0.0,26.24,34.27,585.36,210.62,6.57,7.08,15.36,16.79,4.16,9.42,0.29,2.45,0.36,0.07,32.41,1.75,0.04,0.62,0.18,0.26,0.0,0.0,0.0,0.0,0.11,0.22,0.91,0.73,0.0,0.0,0.04,0.07,0.11,0.07,0.0,0.0,0.04,0.0,1.31,0.84,0.88,0.4,0.04,0.73,0.51,0.36,1.42,2.74,5.33,0.04,45.66,5.84,0.91,0.11,0.04,23.07,0.0,0.66,0.11,23.72,3.1,3.1,0.88,0.0,,0.0,1.09,1.5,-0.4,0.0,1.72,0.04,0.07,0.0,3.18,1.46
468.0,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,25.0,1998.0,4.3,0.2,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches,16.7,1.4,0.23,0.0,0.0,20.3,0.03,-0.2,-0.2,62.7,70.7,68.6,47.1,0.4,-0.3,2.34,0.0,0.0,21.4,64.3,11.3,1.25,-0.23,0.03,4.3,5.7,-1.4,-0.32,-0.23,8.3,1.86,0.93,89.53,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,3.72,1.16,7.91,1.4,0.23,0.0,17.21,27.44,286.98,59.3,9.53,13.49,5.58,8.14,1.86,3.95,1.4,0.47,1.16,0.7,25.12,2.33,0.0,0.23,3.95,0.47,1.63,0.93,0.0,0.0,0.0,1.4,2.33,1.63,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.47,0.7,0.0,0.0,0.0,1.4,0.93,0.0,0.7,1.4,0.0,40.23,0.93,4.19,0.7,2.09,23.95,1.63,2.09,1.16,24.88,11.16,17.44,0.23,0.93,5.12,2.33,1.4,1.63,-0.23,0.0,1.16,0.0,0.0,0.0,3.72,0.23
287.0,Abdoulaye Keita,es ESP,"FW,MF",Getafe,21.0,2002.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,0.0,1.89,0.0,0.0,,25.8,0.02,0.0,0.0,55.6,72.7,100.0,16.7,0.1,0.0,0.95,0.0,50.0,33.3,66.7,2.8,1.0,0.0,0.14,0.6,2.5,-1.9,-1.81,-1.61,50.0,2.73,0.91,86.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.82,3.64,1.82,0.0,0.0,13.64,24.55,233.64,60.0,7.27,10.0,5.45,5.45,0.91,5.45,0.0,2.73,0.91,0.91,23.64,0.91,0.0,0.91,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,1.82,0.0,0.91,0.91,1.82,1.82,0.91,0.0,1.82,2.73,0.0,37.27,2.73,0.91,0.91,1.82,20.0,0.0,2.73,2.73,22.73,29.09,49.09,0.0,1.82,19.09,8.18,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0,5.45,2.73
391.0,Abdul Mumin,gh GHA,DF,Rayo Vallecano,26.0,1998.0,22.4,0.6,0.6,0.2,0.8,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,Matches,30.0,0.45,0.13,0.2,0.67,12.9,0.06,1.4,1.4,82.9,92.9,91.8,45.8,0.1,0.8,0.49,0.13,63.0,50.0,40.0,59.0,1.46,0.13,0.58,26.6,25.1,1.5,0.06,0.39,55.4,1.07,1.07,90.04,0.09,0.04,0.13,0.09,0.0,0.0,0.27,0.04,0.54,1.79,0.27,0.45,0.13,0.0,40.18,48.44,769.24,313.21,14.06,15.13,21.96,23.93,3.88,8.48,0.04,1.79,0.04,0.0,45.4,2.9,0.0,0.36,0.27,0.04,0.0,0.0,0.0,0.0,0.13,0.18,0.49,0.45,0.0,0.0,0.04,0.0,0.13,0.13,0.0,0.0,0.0,0.0,1.65,1.12,1.34,0.31,0.0,0.76,0.45,0.49,1.03,2.68,5.58,0.0,60.31,11.29,0.58,0.22,0.18,32.37,0.09,0.71,0.22,36.56,3.75,3.75,0.94,0.0,,0.0,1.07,0.94,0.13,0.0,0.98,0.0,0.0,0.0,4.15,1.38
457.0,Abdón Prats,es ESP,"FW,MF",Mallorca,31.0,1992.0,5.1,2.2,1.5,0.1,1.6,0.39,0.0,0.39,0.2,0.2,0.45,0.03,0.47,0.29,0.32,Matches,30.8,2.57,0.79,0.08,0.25,14.7,0.11,-0.2,-0.5,66.7,73.9,66.7,66.7,0.1,-0.1,1.39,0.2,50.0,33.3,66.7,13.3,1.38,0.2,0.5,7.7,6.9,0.8,0.16,0.43,37.3,4.71,0.59,89.41,0.39,0.0,0.39,0.2,0.2,0.2,0.78,0.0,0.0,1.37,2.75,2.55,0.78,0.0,11.37,17.06,164.12,32.16,6.67,9.02,3.14,4.71,0.78,1.18,0.59,0.98,0.2,0.0,16.08,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.37,0.98,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.39,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.59,0.98,0.0,28.63,1.18,4.9,0.2,0.39,15.1,0.0,3.33,2.35,20.39,3.73,14.12,0.2,4.12,2.16,1.57,1.37,1.18,0.2,0.0,1.18,0.2,0.0,0.0,2.55,3.73
3.0,Abel,es ESP,DF,Osasuna,23.0,2000.0,23.0,0.5,0.5,1.0,1.6,0.09,0.0,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07,Matches,33.3,0.52,0.17,0.17,0.5,22.9,0.04,1.5,1.5,72.5,87.7,78.6,36.7,1.5,-1.0,1.69,0.17,61.9,51.4,37.1,60.6,1.46,-0.22,-0.28,25.7,34.4,-8.7,-0.38,-0.32,54.1,1.52,0.87,90.17,0.09,0.0,0.09,0.09,0.0,0.0,0.13,0.0,2.17,3.35,4.0,0.52,0.17,0.0,33.74,46.57,560.83,219.39,16.74,19.09,13.7,17.43,2.52,6.87,0.7,2.48,0.78,0.57,36.83,9.57,0.13,0.09,3.7,8.96,0.0,0.0,0.0,0.0,0.17,2.04,1.7,1.26,0.09,0.22,0.04,0.09,0.17,0.09,0.0,0.04,0.0,0.04,2.65,1.61,1.22,1.09,0.35,1.7,1.04,1.09,0.78,3.43,2.78,0.09,57.48,2.83,0.83,0.78,0.57,26.3,0.3,1.17,0.78,29.7,2.57,3.74,0.57,0.65,1.04,0.13,1.3,1.52,-0.22,0.0,1.09,0.0,0.04,0.0,4.61,0.87
502.0,Abel Ruiz,es ESP,FW,Girona,24.0,2000.0,15.0,4.6,3.0,0.5,3.5,0.27,0.0,0.27,0.2,0.2,0.31,0.03,0.34,0.2,0.23,Matches,33.3,1.4,0.47,0.14,0.43,14.0,0.14,-0.6,0.0,87.9,92.1,94.3,68.2,0.7,-0.5,1.14,0.07,40.0,35.0,50.0,39.4,1.09,-0.4,0.03,16.2,19.1,-2.9,-0.19,0.02,32.1,1.53,1.13,89.73,0.27,0.0,0.27,0.2,0.07,0.13,0.2,0.0,1.4,1.53,4.73,1.4,0.47,0.0,15.93,18.13,240.53,32.0,9.27,10.07,5.53,5.87,1.0,1.47,0.53,0.93,0.33,0.0,15.87,2.2,0.07,0.07,0.27,0.13,0.0,0.0,0.0,0.0,0.07,0.33,1.13,0.8,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.4,0.13,0.13,0.13,0.13,0.13,0.2,0.33,0.33,0.73,0.47,0.0,26.07,0.73,3.93,0.47,0.67,15.0,0.67,2.13,1.2,18.73,3.93,4.67,0.07,0.4,1.73,0.27,1.0,1.4,-0.4,0.0,0.47,0.0,0.0,0.0,1.4,0.6
74.0,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,0.0,0.0,,,,,0.0,0.0,50.0,100.0,,33.3,0.0,0.0,0.0,0.0,,,,0.1,1.0,0.0,0.55,0.0,0.5,-0.5,-10.9,-10.11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,Adam Aznou,ma MAR,DF,Valladolid,18.0,2006.0,9.7,0.3,0.3,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,25.0,0.41,0.1,0.0,0.0,17.7,0.07,-0.3,-0.3,71.4,85.7,71.2,43.2,0.4,-0.3,1.64,0.0,48.8,46.3,36.6,25.6,0.08,-1.64,0.05,11.1,14.2,-3.1,-0.32,0.74,73.3,1.34,1.03,90.31,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.65,2.58,2.68,0.41,0.1,0.0,25.26,35.36,377.32,130.0,14.23,16.6,8.66,12.16,1.65,3.81,0.62,1.75,0.41,0.21,27.11,7.84,0.0,0.0,1.24,6.7,0.21,0.21,0.0,0.0,0.41,1.24,1.65,1.13,0.31,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,2.16,2.06,0.82,0.0,2.16,2.27,1.65,1.03,3.92,3.09,0.0,52.37,4.02,1.24,1.96,1.55,22.58,0.31,2.89,1.24,23.51,6.91,8.14,0.72,0.31,2.99,0.21,0.72,2.37,-1.65,0.0,1.44,0.0,0.0,0.0,5.77,1.13
