Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
398.0,Aaron Mejía Montoya,mx MEX,"DF,MF",Tijuana,23.0,2001.0,30.0,19.0,1813.0,20.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.2,1.4,15.0,67.0,64.0,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.07,0.01,0.07,Matches,6.0,0.0,0.0,0.3,0.0,0.0,,25.1,0.0,0.03,-0.2,-0.2,749.0,898.0,83.4,11794.0,3487.0,398.0,436.0,91.3,282.0,340.0,82.9,49.0,77.0,63.6,0.6,-0.2,12.0,68.0,6.0,2.0,770.0,127.0,0.0,1.0,12.0,114.0,0.0,0.0,0.0,0.0,1.0,19.0,33.0,1.64,27.0,4.0,0.0,0.0,2.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,28.0,18.0,15.0,10.0,3.0,15.0,51.7,14.0,14.0,13.0,41.0,47.0,1.0,1072.0,52.0,11.0,6.0,40.0,9.0,60.0,564.0,2.0,36.0,10.0,663.0,60.0,59.2,79.0,12,11,29.0,4,1.58,31.0,32.0,-1.0,-0.05,0.38,23.5,32.4,-8.9,-0.44,-0.15,0.0,36.0,0.0,1.0,0.0,73.0,20.0,45.5,1.49,0.95,90.2,0.0,0.05,0.05,0.0,0.0,0.0,0.15,0.0,0.01,0.01,0.06,0.07,0.75,3.33,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.01,0.0,1.25,0.0,-0.01,-0.01,37.26,44.68,586.77,173.48,19.8,21.69,14.03,16.92,2.44,3.83,0.03,-0.01,0.6,3.38,0.3,0.1,38.31,6.32,0.0,0.05,0.6,5.67,0.0,0.0,0.0,0.0,0.05,0.95,1.64,0.08,1.34,0.2,0.0,0.0,0.1,0.15,0.01,0.15,0.0,0.0,0.0,0.0,1.39,0.9,0.75,0.5,0.15,0.75,0.7,0.7,0.65,2.04,2.34,0.05,53.33,2.59,0.55,0.3,0.45,28.06,0.1,1.79,0.5,32.99,0.6,0.55,0.2,0.08,1.54,1.59,-0.05,-0.0,1.17,1.61,-0.44,-0.02,0.0,1.79,0.0,0.05,0.0,3.63,1.0
120.0,Adalberto Carrasquilla,pa PAN,MF,UNAM,25.0,1998.0,15.0,11.0,1010.0,11.2,1.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,1.7,1.0,1.8,2.8,30.0,70.0,39.0,0.09,0.09,0.18,0.0,0.09,0.16,0.16,0.32,0.09,0.25,Matches,16.0,4.0,25.0,1.43,0.36,0.0,0.0,24.0,0.0,0.06,-0.7,-1.0,414.0,530.0,78.1,7500.0,2500.0,186.0,214.0,86.9,170.0,210.0,81.0,48.0,83.0,57.8,2.2,-0.8,26.0,66.0,17.0,1.0,501.0,26.0,6.0,4.0,17.0,6.0,8.0,4.0,3.0,0.0,3.0,8.0,47.0,4.19,34.0,7.0,4.0,1.0,0.0,4.0,0.36,2.0,1.0,0.0,1.0,0.0,8.0,7.0,3.0,3.0,2.0,2.0,25.0,6.0,11.0,7.0,15.0,4.0,0.0,623.0,6.0,14.0,17.0,60.7,11.0,39.3,369.0,5.0,23.0,19.0,474.0,67.0,33.0,81.0,5,4,30.0,0,1.12,16.0,17.0,-1.0,-0.09,-0.35,13.7,14.6,-0.8,-0.07,-0.68,0.0,20.0,1.0,0.0,0.0,59.0,4.0,36.4,1.34,0.98,90.18,0.09,0.09,0.18,0.0,0.09,0.09,0.36,0.0,0.15,0.09,0.16,0.25,2.68,6.25,3.48,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.03,0.01,0.02,1.43,0.36,0.13,0.03,2.14,0.0,-0.06,-0.09,36.96,47.32,669.64,223.21,16.61,19.11,15.18,18.75,4.29,7.41,0.2,-0.07,2.32,5.89,1.52,0.09,44.73,2.32,0.54,0.36,1.52,0.54,0.71,0.36,0.27,0.0,0.27,0.71,4.2,0.37,3.04,0.62,0.36,0.09,0.0,0.36,0.03,0.18,0.09,0.0,0.09,0.0,0.71,0.62,0.27,0.27,0.18,0.18,0.54,0.98,0.62,1.34,0.36,0.0,55.62,0.54,1.25,1.52,0.98,32.95,0.45,2.05,1.7,42.32,0.45,0.36,0.0,0.1,1.43,1.52,-0.09,-0.01,1.22,1.3,-0.07,-0.01,0.0,1.79,0.09,0.0,0.0,5.27,0.36
228.0,Adonis Frías,ar ARG,"DF,MF",León,26.0,1998.0,14.0,10.0,854.0,9.5,1.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,1.9,0.4,0.3,0.7,14.0,32.0,9.0,0.11,0.11,0.21,0.0,0.11,0.2,0.03,0.24,0.04,0.07,Matches,10.0,4.0,40.0,1.05,0.42,0.0,0.0,23.1,1.0,0.04,-0.9,-0.4,407.0,463.0,87.9,7452.0,2225.0,159.0,174.0,91.4,204.0,224.0,91.1,36.0,52.0,69.2,0.2,0.7,7.0,34.0,4.0,1.0,449.0,13.0,1.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,23.0,2.43,17.0,0.0,2.0,2.0,0.0,2.0,0.21,2.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,3.0,0.0,5.0,33.3,10.0,2.0,15.0,25.0,26.0,0.0,569.0,47.0,14.0,4.0,44.4,5.0,55.6,326.0,1.0,11.0,2.0,385.0,61.0,27.9,80.0,8,4,15.0,5,1.53,14.0,11.0,3.0,0.32,0.4,11.0,12.1,-1.1,-0.12,0.04,1.0,10.0,0.0,0.0,0.0,42.0,17.0,70.8,1.47,1.05,89.89,0.11,0.11,0.21,0.0,0.11,0.21,0.42,0.11,0.2,0.04,0.03,0.07,1.47,3.37,0.95,0.01,0.01,0.02,0.0,0.01,0.02,0.0,0.03,0.0,0.01,1.05,0.42,0.11,0.04,2.43,0.11,-0.09,-0.04,42.84,48.74,784.42,234.21,16.74,18.32,21.47,23.58,3.79,5.47,0.02,0.07,0.74,3.58,0.42,0.11,47.26,1.37,0.11,0.42,0.42,0.63,0.0,0.0,0.0,0.0,0.11,0.32,2.42,0.26,1.79,0.0,0.21,0.21,0.0,0.21,0.02,0.21,0.0,0.0,0.0,0.0,1.05,0.32,0.74,0.32,0.0,0.53,1.05,0.21,1.58,2.63,2.74,0.0,59.89,4.95,1.47,0.42,0.53,34.32,0.11,1.16,0.21,40.53,0.84,0.42,0.53,0.16,1.47,1.16,0.32,0.03,1.16,1.27,-0.12,-0.01,0.11,1.05,0.0,0.0,0.0,4.42,1.79
489.0,Adonis Preciado,ec ECU,"FW,MF",Querétaro,27.0,1997.0,15.0,14.0,1232.0,13.7,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,1.8,1.8,1.0,2.8,51.0,18.0,103.0,0.29,0.07,0.37,0.29,0.37,0.13,0.08,0.21,0.13,0.21,Matches,18.0,7.0,38.9,1.31,0.51,0.22,0.57,13.5,0.0,0.1,2.2,2.2,190.0,290.0,65.5,2894.0,560.0,100.0,133.0,75.2,72.0,100.0,72.0,10.0,21.0,47.6,0.9,0.0,13.0,15.0,10.0,3.0,274.0,14.0,1.0,0.0,31.0,5.0,0.0,0.0,0.0,0.0,2.0,22.0,33.0,2.41,18.0,0.0,8.0,6.0,1.0,5.0,0.37,3.0,0.0,1.0,1.0,0.0,20.0,12.0,10.0,3.0,7.0,8.0,50.0,8.0,9.0,5.0,25.0,14.0,0.0,479.0,13.0,68.0,27.0,42.9,31.0,49.2,324.0,27.0,46.0,17.0,371.0,82.0,40.3,86.0,8,1,23.0,0,1.13,15.0,19.0,-4.0,-0.29,0.74,10.6,17.4,-6.9,-0.5,0.46,0.0,24.0,1.0,0.0,0.0,36.0,29.0,53.7,1.09,1.02,89.93,0.29,0.07,0.36,0.29,0.0,0.0,0.44,0.0,0.13,0.13,0.07,0.2,3.72,1.31,7.52,0.02,0.01,0.03,0.02,0.03,0.01,0.01,0.02,0.01,0.02,1.31,0.51,0.1,0.04,0.99,0.0,0.16,0.16,13.87,21.17,211.24,40.88,7.3,9.71,5.26,7.3,0.73,1.53,0.07,0.0,0.95,1.09,0.73,0.22,20.0,1.02,0.07,0.0,2.26,0.36,0.0,0.0,0.0,0.0,0.15,1.61,2.41,0.18,1.31,0.0,0.58,0.44,0.07,0.36,0.03,0.22,0.0,0.07,0.07,0.0,1.46,0.88,0.73,0.22,0.51,0.58,0.58,0.66,0.36,1.82,1.02,0.0,34.96,0.95,4.96,1.97,2.26,23.65,1.97,3.36,1.24,27.08,0.58,0.07,0.0,0.08,1.09,1.39,-0.29,-0.02,0.77,1.27,-0.5,-0.04,0.0,1.75,0.07,0.0,0.0,2.63,2.12
415.0,Adrián Mora,mx MEX,DF,Atlas,26.0,1997.0,15.0,8.0,762.0,8.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,1.0,13.0,2.0,0.0,0.12,0.12,0.0,0.12,0.05,0.03,0.08,0.05,0.08,Matches,5.0,1.0,20.0,0.59,0.12,0.0,0.0,9.3,0.0,0.08,-0.4,-0.4,246.0,316.0,77.8,4778.0,2221.0,99.0,112.0,88.4,123.0,141.0,87.2,20.0,55.0,36.4,0.0,0.8,1.0,12.0,0.0,0.0,295.0,19.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.47,3.0,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,25.0,19.0,20.0,4.0,1.0,14.0,87.5,2.0,4.0,17.0,42.0,49.0,1.0,432.0,78.0,7.0,1.0,50.0,1.0,50.0,188.0,0.0,3.0,0.0,228.0,51.0,24.9,84.0,4,7,13.0,19,1.65,8.0,11.0,-3.0,-0.35,0.04,8.1,9.2,-1.1,-0.13,-0.12,0.0,10.0,0.0,0.0,0.0,32.0,26.0,60.5,1.76,0.94,89.65,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.05,0.05,0.02,0.07,0.12,1.53,0.24,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.59,0.12,0.07,0.01,1.09,0.0,-0.05,-0.05,28.94,37.18,562.12,261.29,11.65,13.18,14.47,16.59,2.35,6.47,0.0,0.09,0.12,1.41,0.0,0.0,34.71,2.24,0.0,0.59,0.0,0.47,0.0,0.0,0.0,0.0,0.24,0.24,0.47,0.06,0.35,0.0,0.0,0.0,0.0,0.12,0.01,0.0,0.0,0.0,0.0,0.0,2.94,2.24,2.35,0.47,0.12,1.65,0.24,0.47,2.0,4.94,5.76,0.12,50.82,9.18,0.82,0.12,0.12,22.12,0.0,0.35,0.0,26.82,0.47,0.82,2.24,0.19,0.94,1.29,-0.35,-0.04,0.95,1.08,-0.13,-0.02,0.0,1.18,0.0,0.0,0.0,3.76,3.06
442.0,Agustín Oliveros,uy URU,DF,Necaxa,25.0,1998.0,26.0,25.0,2273.0,25.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.8,1.8,0.7,2.4,13.0,55.0,5.0,0.0,0.04,0.04,0.0,0.04,0.07,0.03,0.1,0.07,0.1,Matches,22.0,6.0,27.3,0.87,0.24,0.0,0.0,14.2,1.0,0.08,-1.8,-1.8,736.0,938.0,78.5,15089.0,6123.0,251.0,285.0,88.1,381.0,424.0,89.9,100.0,208.0,48.1,0.8,0.3,10.0,60.0,8.0,3.0,808.0,128.0,0.0,10.0,9.0,84.0,0.0,0.0,0.0,0.0,2.0,14.0,26.0,1.03,24.0,0.0,0.0,0.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,0.0,27.0,19.0,23.0,4.0,0.0,12.0,57.1,9.0,9.0,26.0,53.0,111.0,0.0,1188.0,153.0,31.0,4.0,80.0,1.0,20.0,524.0,0.0,8.0,1.0,636.0,87.0,74.3,90.0,24,1,24.0,0,1.15,39.0,38.0,1.0,0.04,0.04,36.1,35.6,0.5,0.02,0.44,0.0,15.0,0.0,2.0,0.0,58.0,42.0,65.6,1.03,0.99,89.84,0.0,0.04,0.04,0.0,0.0,0.0,0.04,0.0,0.07,0.07,0.03,0.09,0.51,2.17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.24,0.03,0.01,0.56,0.04,-0.07,-0.07,29.09,37.08,596.4,242.02,9.92,11.26,15.06,16.76,3.95,8.22,0.03,0.01,0.4,2.37,0.32,0.12,31.94,5.06,0.0,0.4,0.36,3.32,0.0,0.0,0.0,0.0,0.08,0.55,1.03,0.04,0.95,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,1.07,0.75,0.91,0.16,0.0,0.47,0.36,0.36,1.03,2.09,4.39,0.0,46.96,6.05,1.23,0.16,0.04,20.71,0.0,0.32,0.04,25.14,0.95,0.04,0.0,0.05,1.54,1.5,0.04,0.0,1.43,1.41,0.02,0.0,0.0,0.59,0.0,0.08,0.0,2.29,1.66
463.0,Agustín Palavecino,ar ARG,MF,Necaxa,27.0,1996.0,34.0,34.0,2948.0,32.8,7.0,6.0,13.0,7.0,0.0,0.0,7.0,0.0,5.4,5.4,6.3,11.7,64.0,275.0,123.0,0.21,0.18,0.4,0.21,0.4,0.16,0.19,0.36,0.16,0.36,Matches,110.0,33.0,30.0,3.36,1.01,0.06,0.21,24.0,9.0,0.05,1.6,1.6,1403.0,1827.0,76.8,25558.0,10680.0,656.0,739.0,88.8,529.0,639.0,82.8,176.0,342.0,51.5,5.8,-0.3,85.0,226.0,48.0,14.0,1616.0,196.0,7.0,34.0,114.0,39.0,55.0,31.0,14.0,0.0,15.0,35.0,183.0,5.59,116.0,27.0,12.0,14.0,4.0,19.0,0.58,14.0,3.0,0.0,1.0,0.0,84.0,60.0,34.0,37.0,13.0,37.0,40.2,55.0,36.0,38.0,122.0,40.0,1.0,2330.0,47.0,63.0,44.0,51.2,41.0,47.7,1142.0,12.0,81.0,58.0,1478.0,87.0,96.3,87.0,26,0,,0,1.33,54.0,52.0,2.0,0.06,0.86,44.0,44.9,-0.8,-0.03,1.8,0.0,54.0,1.0,0.0,0.0,250.0,22.0,36.7,1.04,1.04,89.88,0.21,0.18,0.4,0.21,0.0,0.0,0.21,0.0,0.16,0.16,0.19,0.36,1.95,8.38,3.75,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,3.35,1.01,0.1,0.03,0.73,0.27,0.05,0.05,42.77,55.7,779.21,325.61,20.0,22.53,16.13,19.48,5.37,10.43,0.18,-0.01,2.59,6.89,1.46,0.43,49.27,5.98,0.21,1.04,3.48,1.19,1.68,0.95,0.43,0.0,0.46,1.07,5.58,0.17,3.54,0.82,0.37,0.43,0.12,0.58,0.02,0.43,0.09,0.0,0.03,0.0,2.56,1.83,1.04,1.13,0.4,1.13,1.68,1.1,1.16,3.72,1.22,0.03,71.04,1.43,1.92,1.34,1.25,34.82,0.37,2.47,1.77,45.06,0.79,0.0,0.0,0.04,1.65,1.59,0.06,0.0,1.34,1.37,-0.02,-0.0,0.0,1.65,0.03,0.0,0.0,7.62,0.67
134.0,Alan Cervantes,mx MEX,MF,América,26.0,1998.0,22.0,14.0,1292.0,14.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.9,11.0,68.0,14.0,0.07,0.0,0.07,0.07,0.07,0.03,0.03,0.06,0.03,0.06,Matches,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,52.0,54.0,96.3,1011.0,281.0,20.0,22.0,90.9,24.0,24.0,100.0,7.0,7.0,100.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,50.0,2.0,1.0,1.0,4.0,3.0,0.0,62.0,2.0,1.0,0.0,,0.0,,38.0,0.0,1.0,0.0,46.0,90.0,2.9,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,0.15,0.5,1.5,-1.0,-1.05,-0.26,0.0,2.0,0.0,0.0,0.0,3.0,2.0,66.7,1.53,0.97,89.72,0.07,0.0,0.07,0.07,0.0,0.0,0.07,0.0,0.03,0.03,0.03,0.06,0.76,4.72,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.61,3.75,70.21,19.51,1.39,1.53,1.67,1.67,0.49,0.49,0.0,0.0,0.0,0.35,0.0,0.0,3.61,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.14,0.0,0.14,0.07,0.14,0.14,0.07,0.07,0.28,0.21,0.0,4.31,0.14,0.07,0.0,0.0,2.64,0.0,0.07,0.0,3.19,0.07,0.0,0.0,0.0,0.0,0.07,-0.07,-0.07,0.03,0.1,-0.07,-0.07,0.0,0.14,0.0,0.0,0.0,0.21,0.14
394.0,Alan Medina,mx MEX,"MF,DF",Querétaro,26.0,1997.0,20.0,6.0,715.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,1.9,23.0,27.0,60.0,0.0,0.25,0.25,0.0,0.25,0.15,0.08,0.23,0.15,0.23,Matches,9.0,1.0,11.1,1.13,0.13,0.0,0.0,17.6,0.0,0.13,-1.2,-1.2,196.0,270.0,72.6,2898.0,956.0,102.0,123.0,82.9,69.0,93.0,74.2,12.0,19.0,63.2,0.6,1.3,8.0,11.0,10.0,3.0,245.0,22.0,0.0,2.0,13.0,16.0,1.0,0.0,0.0,0.0,3.0,6.0,26.0,3.27,19.0,2.0,2.0,2.0,0.0,6.0,0.75,3.0,1.0,0.0,2.0,0.0,13.0,10.0,8.0,3.0,2.0,3.0,42.9,4.0,3.0,5.0,18.0,2.0,0.0,355.0,6.0,21.0,15.0,50.0,14.0,46.7,210.0,6.0,21.0,17.0,234.0,36.0,23.4,66.0,0,14,23.0,5,1.0,12.0,20.0,-8.0,-1.01,-0.35,7.7,13.4,-5.7,-0.71,0.08,0.0,14.0,1.0,1.0,0.0,51.0,8.0,34.8,2.53,0.76,90.51,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.09,0.24,2.91,3.42,7.59,0.0,0.03,0.03,0.0,0.03,0.02,0.01,0.03,0.02,0.03,1.14,0.13,0.14,0.02,2.23,0.0,-0.15,-0.15,24.81,34.18,366.84,121.01,12.91,15.57,8.73,11.77,1.52,2.41,0.08,0.16,1.01,1.39,1.27,0.38,31.01,2.78,0.0,0.25,1.65,2.03,0.13,0.0,0.0,0.0,0.38,0.76,3.29,0.41,2.41,0.25,0.25,0.25,0.0,0.76,0.09,0.38,0.13,0.0,0.25,0.0,1.65,1.27,1.01,0.38,0.25,0.38,0.51,0.38,0.63,2.28,0.25,0.0,44.94,0.76,2.66,1.9,1.77,26.58,0.76,2.66,2.15,29.62,0.0,1.77,0.63,0.13,1.52,2.53,-1.01,-0.13,0.97,1.7,-0.72,-0.09,0.0,1.77,0.13,0.13,0.0,6.46,1.01
426.0,Alan Mozo,mx MEX,DF,Guadalajara,27.0,1997.0,26.0,22.0,1999.0,22.2,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.2,1.2,1.0,2.2,39.0,62.0,133.0,0.09,0.05,0.14,0.09,0.14,0.05,0.05,0.1,0.05,0.1,Matches,16.0,6.0,37.5,0.72,0.27,0.13,0.33,19.1,0.0,0.07,0.8,0.8,890.0,1157.0,76.9,15442.0,4827.0,420.0,482.0,87.1,367.0,454.0,80.8,84.0,160.0,52.5,1.6,0.0,12.0,50.0,27.0,16.0,929.0,225.0,0.0,7.0,113.0,202.0,2.0,0.0,1.0,0.0,3.0,31.0,42.0,1.89,30.0,2.0,5.0,1.0,2.0,5.0,0.23,3.0,0.0,2.0,0.0,0.0,49.0,38.0,31.0,15.0,3.0,22.0,50.0,22.0,17.0,23.0,72.0,39.0,0.0,1374.0,37.0,31.0,24.0,54.5,20.0,45.5,724.0,7.0,40.0,18.0,841.0,77.0,65.3,87.0,16,4,22.0,4,1.44,29.0,21.0,8.0,0.36,0.53,26.6,22.2,4.3,0.19,-0.07,0.0,31.0,0.0,0.0,0.0,82.0,8.0,38.1,1.17,0.99,90.05,0.09,0.05,0.14,0.09,0.0,0.0,0.14,0.0,0.05,0.05,0.05,0.1,1.76,2.79,5.99,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.72,0.27,0.03,0.01,0.86,0.0,0.04,0.04,40.09,52.12,695.59,217.43,18.92,21.71,16.53,20.45,3.78,7.21,0.07,0.0,0.54,2.25,1.22,0.72,41.85,10.14,0.0,0.32,5.09,9.1,0.09,0.0,0.05,0.0,0.14,1.4,1.89,0.09,1.35,0.09,0.23,0.05,0.09,0.23,0.01,0.14,0.0,0.09,0.0,0.0,2.21,1.71,1.4,0.68,0.14,0.99,0.99,0.77,1.04,3.24,1.76,0.0,61.89,1.67,1.4,1.08,0.9,32.61,0.32,1.8,0.81,37.88,0.72,0.18,0.18,0.06,1.31,0.95,0.36,0.02,1.2,1.0,0.19,0.01,0.0,1.4,0.0,0.0,0.0,3.69,0.36
