Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
398,Aaron Mejía Montoya,mx MEX,"DF,MF",Tijuana,23,2001,30,19,1813,20.1,0,1,1,0,0,0,3,0,0.2,0.2,1.2,1.4,15,67,64,0.00,0.05,0.05,0.00,0.05,0.01,0.06,0.07,0.01,0.07,Matches,6,0,0.0,0.30,0.00,0.00,,25.1,0,0.03,-0.2,-0.2,749,898,83.4,11794,3487,398,436,91.3,282,340,82.9,49,77,63.6,0.6,-0.2,12,68,6,2,770,127,0,1,12,114,0,0,0,0,1,19,33,1.64,27,4,0,0,2,3,0.15,3,0,0,0,0,28,18,15,10,3,15,51.7,14,14,13,41,47,1,1072,52,11,6,40.0,9,60.0,564,2,36,10,663,60,59.2,79,12,11,29,4,1.58,31,32,-1,-0.05,+0.38,23.5,32.4,-8.9,-0.44,-0.15,0,36,0,1,0,73,20,45.5
59,Aarón Arredondo,mx MEX,MF,América,21,2003,2,2,179,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,1,12,2,0.00,0.50,0.50,0.00,0.50,0.02,0.15,0.17,0.02,0.17,Matches,3,0,0.0,1.51,0.00,0.00,,29.6,0,0.02,0.0,0.0,95,105,90.5,1919,675,31,34,91.2,48,50,96.0,15,18,83.3,0.2,+0.7,3,10,1,0,103,2,2,1,2,0,0,0,0,0,0,1,5,2.51,5,0,0,0,0,1,0.50,1,0,0,0,0,3,2,1,2,0,1,50.0,1,1,2,5,3,0,118,6,0,1,100.0,0,0.0,83,0,3,0,87,90,5.8,90,1,0,,6,2.00,2,1,+1,+0.50,-0.40,4.7,1.0,+3.6,+1.83,+1.02,0,1,0,0,0,10,0,0.0
77,Abraham Bass,mx MEX,MF,Atlas,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,3,0,0,0,,0,,1,0,1,0,2,10,0.3,,0,1,10,3,1.00,0,0,0,0.00,+0.38,0.1,0.3,-0.2,-1.74,-1.70,0,1,0,0,0,0,0,
,Abraham Freyfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,
,Abraham Villegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,
120,Adalberto Carrasquilla,pa PAN,MF,UNAM,25,1998,15,11,1010,11.2,1,1,2,0,1,1,4,0,1.7,1.0,1.8,2.8,30,70,39,0.09,0.09,0.18,0.00,0.09,0.16,0.16,0.32,0.09,0.25,Matches,16,4,25.0,1.43,0.36,0.00,0.00,24.0,0,0.06,-0.7,-1.0,414,530,78.1,7500,2500,186,214,86.9,170,210,81.0,48,83,57.8,2.2,-0.8,26,66,17,1,501,26,6,4,17,6,8,4,3,0,3,8,47,4.19,34,7,4,1,0,4,0.36,2,1,0,1,0,8,7,3,3,2,2,25.0,6,11,7,15,4,0,623,6,14,17,60.7,11,39.3,369,5,23,19,474,67,33.0,81,5,4,30,0,1.12,16,17,-1,-0.09,-0.35,13.7,14.6,-0.8,-0.07,-0.68,0,20,1,0,0,59,4,36.4
228,Adonis Frías,ar ARG,"DF,MF",León,26,1998,14,10,854,9.5,1,1,2,0,1,2,4,1,1.9,0.4,0.3,0.7,14,32,9,0.11,0.11,0.21,0.00,0.11,0.20,0.03,0.24,0.04,0.07,Matches,10,4,40.0,1.05,0.42,0.00,0.00,23.1,1,0.04,-0.9,-0.4,407,463,87.9,7452,2225,159,174,91.4,204,224,91.1,36,52,69.2,0.2,+0.7,7,34,4,1,449,13,1,4,4,6,0,0,0,0,1,3,23,2.43,17,0,2,2,0,2,0.21,2,0,0,0,0,10,3,7,3,0,5,33.3,10,2,15,25,26,0,569,47,14,4,44.4,5,55.6,326,1,11,2,385,61,27.9,80,8,4,15,5,1.53,14,11,+3,+0.32,+0.40,11.0,12.1,-1.1,-0.12,+0.04,1,10,0,0,0,42,17,70.8
489,Adonis Preciado,ec ECU,"FW,MF",Querétaro,27,1997,15,14,1232,13.7,4,1,5,4,0,0,6,0,1.8,1.8,1.0,2.8,51,18,103,0.29,0.07,0.37,0.29,0.37,0.13,0.08,0.21,0.13,0.21,Matches,18,7,38.9,1.31,0.51,0.22,0.57,13.5,0,0.10,+2.2,+2.2,190,290,65.5,2894,560,100,133,75.2,72,100,72.0,10,21,47.6,0.9,0.0,13,15,10,3,274,14,1,0,31,5,0,0,0,0,2,22,33,2.41,18,0,8,6,1,5,0.37,3,0,1,1,0,20,12,10,3,7,8,50.0,8,9,5,25,14,0,479,13,68,27,42.9,31,49.2,324,27,46,17,371,82,40.3,86,8,1,23,0,1.13,15,19,-4,-0.29,+0.74,10.6,17.4,-6.9,-0.50,+0.46,0,24,1,0,0,36,29,53.7
,Adrián Fernández de Lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,
415,Adrián Mora,mx MEX,DF,Atlas,26,1997,15,8,762,8.5,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,1,13,2,0.00,0.12,0.12,0.00,0.12,0.05,0.03,0.08,0.05,0.08,Matches,5,1,20.0,0.59,0.12,0.00,0.00,9.3,0,0.08,-0.4,-0.4,246,316,77.8,4778,2221,99,112,88.4,123,141,87.2,20,55,36.4,0.0,+0.8,1,12,0,0,295,19,0,5,0,4,0,0,0,0,2,2,4,0.47,3,0,0,0,0,1,0.12,0,0,0,0,0,25,19,20,4,1,14,87.5,2,4,17,42,49,1,432,78,7,1,50.0,1,50.0,188,0,3,0,228,51,24.9,84,4,7,13,19,1.65,8,11,-3,-0.35,+0.04,8.1,9.2,-1.1,-0.13,-0.12,0,10,0,0,0,32,26,60.5
442,Agustín Oliveros,uy URU,DF,Necaxa,25,1998,26,25,2273,25.3,0,1,1,0,0,0,1,0,1.8,1.8,0.7,2.4,13,55,5,0.00,0.04,0.04,0.00,0.04,0.07,0.03,0.10,0.07,0.10,Matches,22,6,27.3,0.87,0.24,0.00,0.00,14.2,1,0.08,-1.8,-1.8,736,938,78.5,15089,6123,251,285,88.1,381,424,89.9,100,208,48.1,0.8,+0.3,10,60,8,3,808,128,0,10,9,84,0,0,0,0,2,14,26,1.03,24,0,0,0,0,2,0.08,1,0,0,0,0,27,19,23,4,0,12,57.1,9,9,26,53,111,0,1188,153,31,4,80.0,1,20.0,524,0,8,1,636,87,74.3,90,24,1,24,0,1.15,39,38,+1,+0.04,+0.04,36.1,35.6,+0.5,+0.02,+0.44,0,15,0,2,0,58,42,65.6
463,Agustín Palavecino,ar ARG,MF,Necaxa,27,1996,34,34,2948,32.8,7,6,13,7,0,0,7,0,5.4,5.4,6.3,11.7,64,275,123,0.21,0.18,0.40,0.21,0.40,0.16,0.19,0.36,0.16,0.36,Matches,110,33,30.0,3.36,1.01,0.06,0.21,24.0,9,0.05,+1.6,+1.6,1403,1827,76.8,25558,10680,656,739,88.8,529,639,82.8,176,342,51.5,5.8,-0.3,85,226,48,14,1616,196,7,34,114,39,55,31,14,0,15,35,183,5.59,116,27,12,14,4,19,0.58,14,3,0,1,0,84,60,34,37,13,37,40.2,55,36,38,122,40,1,2330,47,63,44,51.2,41,47.7,1142,12,81,58,1478,87,96.3,87,26,0,,0,1.33,54,52,+2,+0.06,+0.86,44.0,44.9,-0.8,-0.03,+1.80,0,54,1,0,0,250,22,36.7
237,Aitor García,es ESP,"FW,MF",FC Juárez,30,1994,13,3,422,4.7,1,1,2,1,0,0,0,0,1.1,1.1,0.2,1.3,23,9,35,0.21,0.21,0.43,0.21,0.43,0.23,0.05,0.28,0.23,0.28,Matches,19,6,31.6,4.05,1.28,0.05,0.17,21.2,0,0.06,-0.1,-0.1,115,157,73.2,2175,398,47,57,82.5,45,58,77.6,19,29,65.5,0.2,+0.8,4,7,3,1,147,8,0,3,13,5,1,0,0,0,2,6,9,1.92,5,0,3,0,0,2,0.43,1,0,1,0,0,9,5,6,2,1,3,33.3,6,3,5,14,8,0,232,7,19,9,45.0,11,55.0,148,9,14,3,164,32,13.8,64,0,10,23,3,0.85,8,11,-3,-0.64,-0.09,5.3,8.2,-2.9,-0.61,-0.10,0,6,0,0,0,16,1,20.0
133,Alan Cervantes,mx MEX,MF,Santos,26,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,52,54,96.3,1011,281,20,22,90.9,24,24,100.0,7,7,100.0,0.0,0.0,0,5,0,0,52,2,0,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,3,2,0,2,1,2,50.0,2,1,1,4,3,0,62,2,1,0,,0,,38,0,1,0,46,90,2.9,90,1,0,,0,0.00,0,1,-1,-1.00,+0.15,0.5,1.5,-1.0,-1.05,-0.26,0,2,0,0,0,3,2,66.7
134,Alan Cervantes,mx MEX,MF,América,26,1998,22,14,1292,14.4,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.9,11,68,14,0.07,0.00,0.07,0.07,0.07,0.03,0.03,0.06,0.03,0.06,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,52,54,96.3,1011,281,20,22,90.9,24,24,100.0,7,7,100.0,0.0,0.0,0,5,0,0,52,2,0,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,3,2,0,2,1,2,50.0,2,1,1,4,3,0,62,2,1,0,,0,,38,0,1,0,46,90,2.9,90,1,0,,0,0.00,0,1,-1,-1.00,+0.15,0.5,1.5,-1.0,-1.05,-0.26,0,2,0,0,0,3,2,66.7
394,Alan Medina,mx MEX,"MF,DF",Querétaro,26,1997,20,6,715,7.9,0,2,2,0,0,0,0,0,1.2,1.2,0.7,1.9,23,27,60,0.00,0.25,0.25,0.00,0.25,0.15,0.08,0.23,0.15,0.23,Matches,9,1,11.1,1.13,0.13,0.00,0.00,17.6,0,0.13,-1.2,-1.2,196,270,72.6,2898,956,102,123,82.9,69,93,74.2,12,19,63.2,0.6,+1.3,8,11,10,3,245,22,0,2,13,16,1,0,0,0,3,6,26,3.27,19,2,2,2,0,6,0.75,3,1,0,2,0,13,10,8,3,2,3,42.9,4,3,5,18,2,0,355,6,21,15,50.0,14,46.7,210,6,21,17,234,36,23.4,66,0,14,23,5,1.00,12,20,-8,-1.01,-0.35,7.7,13.4,-5.7,-0.71,+0.08,0,14,1,1,0,51,8,34.8
395,Alan Medina,uy URU,"MF,FW",León,26,1998,4,3,220,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,7,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches,9,1,11.1,1.13,0.13,0.00,0.00,17.6,0,0.13,-1.2,-1.2,196,270,72.6,2898,956,102,123,82.9,69,93,74.2,12,19,63.2,0.6,+1.3,8,11,10,3,245,22,0,2,13,16,1,0,0,0,3,6,26,3.27,19,2,2,2,0,6,0.75,3,1,0,2,0,13,10,8,3,2,3,42.9,4,3,5,18,2,0,355,6,21,15,50.0,14,46.7,210,6,21,17,234,36,23.4,66,0,14,23,5,1.00,12,20,-8,-1.01,-0.35,7.7,13.4,-5.7,-0.71,+0.08,0,14,1,1,0,51,8,34.8
426,Alan Mozo,mx MEX,DF,Guadalajara,27,1997,26,22,1999,22.2,2,1,3,2,0,0,3,0,1.2,1.2,1.0,2.2,39,62,133,0.09,0.05,0.14,0.09,0.14,0.05,0.05,0.10,0.05,0.10,Matches,16,6,37.5,0.72,0.27,0.13,0.33,19.1,0,0.07,+0.8,+0.8,890,1157,76.9,15442,4827,420,482,87.1,367,454,80.8,84,160,52.5,1.6,0.0,12,50,27,16,929,225,0,7,113,202,2,0,1,0,3,31,42,1.89,30,2,5,1,2,5,0.23,3,0,2,0,0,49,38,31,15,3,22,50.0,22,17,23,72,39,0,1374,37,31,24,54.5,20,45.5,724,7,40,18,841,77,65.3,87,16,4,22,4,1.44,29,21,+8,+0.36,+0.53,26.6,22.2,+4.3,+0.19,-0.07,0,31,0,0,0,82,8,38.1
493,Alan Pulido,mx MEX,FW,Guadalajara,33,1991,10,7,532,5.9,2,0,2,2,0,0,1,0,2.2,2.2,0.3,2.5,7,13,30,0.34,0.00,0.34,0.34,0.34,0.38,0.05,0.43,0.38,0.43,Matches,14,8,57.1,2.37,1.35,0.14,0.25,13.9,0,0.16,-0.2,-0.2,134,160,83.8,1738,257,76,88,86.4,41,47,87.2,2,2,100.0,0.5,-0.3,7,11,3,1,144,14,0,0,1,0,0,0,0,0,2,4,14,2.37,12,0,0,1,0,2,0.34,1,0,0,0,0,3,3,1,0,2,2,66.7,1,0,1,4,4,1,213,3,24,1,25.0,3,75.0,129,1,16,14,158,53,17.4,68,1,3,19,2,1.50,9,7,+2,+0.34,+0.20,6.8,5.7,+1.1,+0.19,-0.03,0,3,0,0,0,14,7,25.0
