Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
681.0,Aaron Nicolás Molinas,ar ARG,"MF,FW",Defensa y Just,25-067,2000.0,22.0,20.0,1522.0,16.9,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,2.6,4.0,47.0,128.0,113.0,0.12,0.12,0.24,0.12,0.24,0.08,0.16,0.24,0.08,0.24,Matches,22.0,8.0,36.4,1.3,0.47,0.09,0.25,24.2,0.0,0.06,0.6,0.6,753.0,929.0,81.1,12853.0,3388.0,381.0,419.0,90.9,271.0,331.0,81.9,85.0,131.0,64.9,2.4,-0.6,35.0,100.0,25.0,5.0,858.0,61.0,5.0,7.0,66.0,12.0,36.0,14.0,15.0,1.0,10.0,17.0,66.0,3.96,42.0,17.0,2.0,2.0,0.0,5.0,0.3,2.0,3.0,0.0,0.0,0.0,22.0,14.0,7.0,12.0,3.0,14.0,73.7,5.0,19.0,5.0,27.0,11.0,1.0,1068.0,11.0,20.0,17.0,73.9,5.0,21.7,613.0,1.0,32.0,20.0,809.0,69.0,62.6,73.0,4,2,33.0,0,1.41,13.0,19.0,-6.0,-0.35,-0.75,14.3,16.4,-2.1,-0.13,0.15,0.0,17.0,0.0,0.0,0.0,74.0,7.0,23.3,1.3,1.18,90.06,0.12,0.12,0.24,0.12,0.0,0.0,0.18,0.0,0.08,0.08,0.15,0.24,2.78,7.57,6.69,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,1.3,0.47,0.08,0.03,1.43,0.0,0.04,0.04,44.56,54.97,760.53,200.47,22.54,24.79,16.04,19.59,5.03,7.75,0.14,-0.04,2.07,5.92,1.48,0.3,50.77,3.61,0.3,0.41,3.91,0.71,2.13,0.83,0.89,0.06,0.59,1.01,3.91,0.23,2.49,1.01,0.12,0.12,0.0,0.3,0.02,0.12,0.18,0.0,0.0,0.0,1.3,0.83,0.41,0.71,0.18,0.83,0.3,1.12,0.3,1.6,0.65,0.06,63.2,0.65,1.18,1.01,0.3,36.27,0.06,1.89,1.18,47.87,0.24,0.12,0.0,0.08,0.77,1.12,-0.36,-0.02,0.85,0.97,-0.12,-0.01,0.0,1.01,0.0,0.0,0.0,4.38,0.41
797.0,Aaron Quirós,ar ARG,DF,Vélez Sarsfield,23-342,2001.0,14.0,12.0,1039.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.5,0.5,0.0,0.5,4.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,3.0,0.0,0.0,0.26,0.0,0.0,,13.9,0.0,0.16,-0.5,-0.5,443.0,565.0,78.4,8991.0,3853.0,116.0,137.0,84.7,269.0,299.0,90.0,53.0,117.0,45.3,0.1,0.0,0.0,17.0,0.0,0.0,502.0,63.0,0.0,4.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,10.0,4.0,3.0,11.0,61.1,7.0,4.0,18.0,35.0,72.0,0.0,697.0,72.0,8.0,5.0,50.0,4.0,40.0,355.0,0.0,5.0,3.0,405.0,74.0,42.8,83.0,8,2,20.0,9,1.36,11.0,12.0,-1.0,-0.09,0.24,9.8,9.3,0.5,0.04,0.23,2.0,15.0,0.0,1.0,0.0,42.0,35.0,61.4,1.22,1.04,90.35,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.26,0.04,0.04,0.0,0.04,0.35,3.39,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.02,0.0,1.21,0.0,-0.04,-0.04,38.52,49.13,781.83,335.04,10.09,11.91,23.39,26.0,4.61,10.17,0.01,0.0,0.0,1.48,0.0,0.0,43.65,5.48,0.0,0.35,0.09,2.87,0.0,0.0,0.0,0.0,0.0,0.61,0.26,0.02,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.96,0.87,0.35,0.26,0.96,0.61,0.35,1.57,3.04,6.26,0.0,60.61,6.26,0.7,0.43,0.35,30.87,0.0,0.43,0.26,35.22,0.7,0.17,0.78,0.12,0.96,1.04,-0.09,-0.01,0.85,0.81,0.04,0.0,0.17,1.3,0.0,0.09,0.0,3.65,3.04
707.0,Abiel Osorio,ar ARG,"FW,MF",Defensa y Just,23-117,2002.0,24.0,20.0,1719.0,19.1,5.0,1.0,6.0,3.0,2.0,2.0,5.0,1.0,6.6,5.0,1.2,6.2,25.0,37.0,111.0,0.26,0.05,0.31,0.16,0.21,0.35,0.06,0.41,0.27,0.33,Matches,43.0,16.0,37.2,2.25,0.84,0.07,0.19,15.6,0.0,0.12,-1.6,-2.0,294.0,424.0,69.3,4447.0,721.0,149.0,207.0,72.0,103.0,130.0,79.2,20.0,30.0,66.7,1.0,-0.2,12.0,26.0,8.0,2.0,386.0,34.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,4.0,16.0,32.0,1.69,20.0,0.0,3.0,3.0,1.0,6.0,0.32,2.0,0.0,2.0,1.0,0.0,7.0,6.0,0.0,5.0,2.0,1.0,50.0,1.0,14.0,3.0,10.0,25.0,0.0,657.0,25.0,89.0,12.0,38.7,18.0,58.1,339.0,12.0,63.0,27.0,470.0,72.0,70.7,81.0,9,4,27.0,2,1.38,21.0,21.0,0.0,0.0,0.25,19.6,23.2,-3.7,-0.19,-0.03,1.0,23.0,1.0,0.0,0.0,38.0,47.0,35.6,1.26,1.05,90.0,0.26,0.05,0.31,0.16,0.1,0.1,0.26,0.05,0.35,0.26,0.06,0.32,1.31,1.94,5.81,0.01,0.0,0.02,0.01,0.01,0.02,0.0,0.02,0.01,0.02,2.25,0.84,0.12,0.04,0.82,0.0,-0.08,-0.1,15.39,22.2,232.83,37.75,7.8,10.84,5.39,6.81,1.05,1.57,0.05,-0.01,0.63,1.36,0.42,0.1,20.21,1.78,0.05,0.05,0.73,0.05,0.0,0.0,0.0,0.0,0.21,0.84,1.68,0.09,1.05,0.0,0.16,0.16,0.05,0.31,0.02,0.1,0.0,0.1,0.05,0.0,0.37,0.31,0.0,0.26,0.1,0.05,0.05,0.73,0.16,0.52,1.31,0.0,34.4,1.31,4.66,0.63,0.94,17.75,0.63,3.3,1.41,24.61,0.47,0.21,0.1,0.07,1.1,1.1,0.0,0.0,1.03,1.21,-0.19,-0.01,0.05,1.2,0.05,0.0,0.0,1.99,2.46
78.0,Adrián Balboa,uy URU,"FW,MF",Racing Club,31-262,1994.0,21.0,9.0,913.0,10.1,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,0.8,4.8,4.0,11.0,40.0,0.39,0.0,0.39,0.39,0.39,0.4,0.08,0.47,0.4,0.47,Matches,26.0,7.0,26.9,2.56,0.69,0.15,0.57,13.7,0.0,0.15,0.0,0.0,89.0,170.0,52.4,1044.0,218.0,63.0,97.0,64.9,17.0,31.0,54.8,1.0,7.0,14.3,0.7,-0.8,4.0,7.0,2.0,0.0,159.0,8.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,9.0,18.0,1.77,10.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,2.0,4.0,9.0,5.0,45.5,6.0,5.0,1.0,16.0,9.0,0.0,288.0,9.0,48.0,4.0,28.6,10.0,71.4,135.0,2.0,26.0,16.0,184.0,43.0,37.6,77.0,2,12,18.0,5,1.32,14.0,16.0,-2.0,-0.2,-0.79,12.2,14.0,-1.7,-0.17,-0.23,0.0,29.0,0.0,0.0,0.0,19.0,36.0,39.6,2.08,0.89,90.4,0.4,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.4,0.4,0.08,0.48,0.4,1.09,3.96,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,2.57,0.69,0.25,0.07,1.36,0.0,0.0,0.0,8.81,16.83,103.37,21.58,6.24,9.6,1.68,3.07,0.1,0.69,0.07,-0.08,0.4,0.69,0.2,0.0,15.74,0.79,0.1,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.3,0.89,1.78,0.18,0.99,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,1.09,0.2,0.4,0.89,0.5,0.59,0.5,0.1,1.58,0.89,0.0,28.51,0.89,4.75,0.4,0.99,13.37,0.2,2.57,1.58,18.22,0.2,1.19,0.5,0.13,1.39,1.58,-0.2,-0.02,1.21,1.39,-0.17,-0.02,0.0,2.87,0.0,0.0,0.0,1.88,3.56
435.0,Adrián Guillermo Sánchez,ar ARG,MF,Atlé Tucumán,26-147,1999.0,27.0,27.0,2310.0,25.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,2.3,4.2,33.0,171.0,64.0,0.08,0.0,0.08,0.08,0.08,0.07,0.09,0.16,0.07,0.16,Matches,21.0,4.0,19.0,0.82,0.16,0.1,0.5,20.9,0.0,0.11,0.1,0.1,1055.0,1311.0,80.5,18805.0,6527.0,461.0,527.0,87.5,443.0,518.0,85.5,121.0,189.0,64.0,1.7,-2.3,27.0,135.0,17.0,5.0,1248.0,55.0,2.0,13.0,37.0,15.0,5.0,0.0,4.0,0.0,8.0,21.0,56.0,2.18,44.0,4.0,0.0,4.0,1.0,3.0,0.12,1.0,1.0,0.0,0.0,0.0,79.0,50.0,31.0,45.0,3.0,33.0,55.9,26.0,39.0,23.0,102.0,42.0,1.0,1587.0,37.0,16.0,7.0,35.0,12.0,60.0,775.0,1.0,33.0,18.0,963.0,86.0,95.1,86.0,19,0,,0,1.15,28.0,30.0,-2.0,-0.08,-0.08,29.0,32.9,-3.9,-0.15,0.08,0.0,28.0,0.0,1.0,0.0,162.0,34.0,54.0,1.05,1.05,89.88,0.08,0.0,0.08,0.08,0.0,0.0,0.16,0.0,0.07,0.07,0.09,0.16,1.28,6.65,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.82,0.16,0.03,0.01,0.81,0.0,0.0,0.0,41.05,51.01,731.71,253.97,17.94,20.51,17.24,20.16,4.71,7.35,0.07,-0.09,1.05,5.25,0.66,0.19,48.56,2.14,0.08,0.51,1.44,0.58,0.19,0.0,0.16,0.0,0.31,0.82,2.18,0.08,1.71,0.16,0.0,0.16,0.04,0.12,0.0,0.04,0.04,0.0,0.0,0.0,3.07,1.95,1.21,1.75,0.12,1.28,1.01,1.52,0.89,3.97,1.63,0.04,61.75,1.44,0.62,0.27,0.47,30.16,0.04,1.28,0.7,37.47,0.74,0.0,0.0,0.04,1.09,1.17,-0.08,-0.0,1.13,1.28,-0.15,-0.01,0.0,1.09,0.0,0.04,0.0,6.3,1.32
576.0,Adrián Martínez,ar ARG,FW,Racing Club,33-093,1992.0,20.0,19.0,1628.0,18.1,10.0,1.0,11.0,9.0,1.0,1.0,8.0,0.0,7.6,6.8,1.1,7.9,8.0,24.0,89.0,0.55,0.06,0.61,0.5,0.55,0.42,0.06,0.48,0.37,0.44,Matches,43.0,19.0,44.2,2.38,1.05,0.21,0.47,14.1,0.0,0.16,2.4,2.2,163.0,244.0,66.8,2678.0,402.0,83.0,114.0,72.8,65.0,93.0,69.9,13.0,18.0,72.2,0.8,-0.1,13.0,12.0,5.0,0.0,230.0,14.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,1.55,19.0,0.0,4.0,2.0,0.0,4.0,0.22,3.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,3.0,1.0,1.0,16.7,5.0,9.0,5.0,10.0,10.0,0.0,426.0,11.0,111.0,7.0,41.2,10.0,58.8,213.0,5.0,60.0,19.0,296.0,81.0,67.0,84.0,11,1,23.0,1,1.57,24.0,17.0,7.0,0.39,0.27,22.3,23.3,-1.0,-0.06,-0.09,0.0,30.0,0.0,1.0,0.0,38.0,31.0,40.8,1.1,1.05,89.94,0.55,0.06,0.61,0.5,0.06,0.06,0.44,0.0,0.42,0.38,0.06,0.44,0.44,1.33,4.92,0.03,0.0,0.03,0.03,0.03,0.02,0.0,0.03,0.02,0.02,2.38,1.05,0.13,0.06,0.78,0.0,0.13,0.12,9.01,13.48,147.96,22.21,4.59,6.3,3.59,5.14,0.72,0.99,0.04,-0.01,0.72,0.66,0.28,0.0,12.71,0.77,0.0,0.06,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.55,0.09,1.05,0.0,0.22,0.11,0.0,0.22,0.01,0.17,0.0,0.06,0.0,0.0,0.28,0.17,0.06,0.17,0.06,0.06,0.28,0.5,0.28,0.55,0.55,0.0,23.54,0.61,6.13,0.39,0.55,11.77,0.28,3.31,1.05,16.35,0.61,0.06,0.06,0.09,1.33,0.94,0.39,0.02,1.23,1.29,-0.06,-0.0,0.0,1.66,0.0,0.06,0.0,2.1,1.71
941.0,Adrián Sporle,ar ARG,DF,Independiente,30-087,1995.0,10.0,9.0,722.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.7,16.0,36.0,54.0,0.12,0.12,0.25,0.12,0.25,0.03,0.06,0.09,0.03,0.09,Matches,6.0,3.0,50.0,0.75,0.37,0.17,0.33,21.5,0.0,0.04,0.7,0.7,270.0,381.0,70.9,4373.0,1713.0,147.0,179.0,82.1,91.0,122.0,74.6,23.0,53.0,43.4,0.5,0.5,5.0,22.0,10.0,5.0,305.0,76.0,0.0,4.0,31.0,73.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,1.62,9.0,1.0,1.0,0.0,0.0,3.0,0.37,2.0,0.0,0.0,0.0,0.0,16.0,6.0,8.0,7.0,1.0,9.0,60.0,6.0,8.0,15.0,31.0,20.0,0.0,474.0,23.0,6.0,7.0,41.2,10.0,58.8,222.0,0.0,8.0,14.0,261.0,72.0,30.9,80.0,6,1,2.0,4,1.7,11.0,7.0,4.0,0.5,0.33,10.3,9.9,0.4,0.05,0.04,0.0,7.0,0.0,0.0,1.0,31.0,10.0,52.6,1.25,1.12,90.25,0.12,0.12,0.25,0.12,0.0,0.0,0.12,0.0,0.04,0.04,0.06,0.09,2.0,4.5,6.75,0.02,0.02,0.03,0.02,0.03,0.0,0.01,0.01,0.0,0.01,0.75,0.38,0.09,0.05,2.69,0.0,0.09,0.09,33.75,47.62,546.62,214.12,18.38,22.38,11.38,15.25,2.88,6.62,0.06,0.06,0.62,2.75,1.25,0.62,38.12,9.5,0.0,0.5,3.88,9.12,0.0,0.0,0.0,0.0,0.0,1.75,1.62,0.2,1.12,0.12,0.12,0.0,0.0,0.38,0.05,0.25,0.0,0.0,0.0,0.0,2.0,0.75,1.0,0.88,0.12,1.12,0.75,1.0,1.88,3.88,2.5,0.0,59.25,2.88,0.75,0.88,1.25,27.75,0.0,1.0,1.75,32.62,0.75,0.12,0.5,0.21,1.38,0.88,0.5,0.06,1.29,1.24,0.05,0.01,0.0,0.88,0.0,0.0,0.12,3.88,1.25
25.0,Agustín Alaniz,uy URU,"FW,MF",Banfield,23-145,2002.0,19.0,11.0,1048.0,11.6,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,1.9,3.7,35.0,24.0,70.0,0.17,0.17,0.34,0.17,0.34,0.15,0.16,0.31,0.15,0.31,Matches,26.0,7.0,26.9,2.23,0.6,0.08,0.29,19.6,2.0,0.07,0.2,0.2,178.0,267.0,66.7,2479.0,698.0,101.0,131.0,77.1,55.0,76.0,72.4,8.0,30.0,26.7,1.8,0.1,8.0,13.0,6.0,1.0,233.0,32.0,0.0,1.0,32.0,5.0,9.0,3.0,5.0,0.0,2.0,14.0,22.0,1.88,11.0,2.0,4.0,3.0,0.0,3.0,0.26,2.0,0.0,1.0,0.0,0.0,17.0,12.0,3.0,10.0,4.0,3.0,21.4,11.0,15.0,6.0,23.0,5.0,0.0,441.0,4.0,34.0,13.0,29.5,31.0,70.5,238.0,15.0,41.0,21.0,274.0,55.0,43.1,82.0,3,8,18.0,8,0.95,12.0,13.0,-1.0,-0.09,0.5,11.1,16.9,-5.8,-0.49,-0.34,0.0,16.0,0.0,0.0,0.0,40.0,2.0,10.0,1.64,0.95,90.34,0.17,0.17,0.34,0.17,0.0,0.0,0.09,0.0,0.16,0.16,0.16,0.32,3.02,2.07,6.03,0.01,0.01,0.03,0.01,0.03,0.01,0.01,0.03,0.01,0.03,2.24,0.6,0.19,0.05,1.69,0.17,0.02,0.02,15.34,23.02,213.71,60.17,8.71,11.29,4.74,6.55,0.69,2.59,0.16,0.01,0.69,1.12,0.52,0.09,20.09,2.76,0.0,0.09,2.76,0.43,0.78,0.26,0.43,0.0,0.17,1.21,1.9,0.16,0.95,0.17,0.34,0.26,0.0,0.26,0.02,0.17,0.0,0.09,0.0,0.0,1.47,1.03,0.26,0.86,0.34,0.26,0.95,1.29,0.52,1.98,0.43,0.0,38.02,0.34,2.93,1.12,2.67,20.52,1.29,3.53,1.81,23.62,0.26,0.69,0.69,0.08,1.03,1.12,-0.09,-0.01,0.96,1.46,-0.5,-0.04,0.0,1.38,0.0,0.0,0.0,3.45,0.17
34.0,Agustín Almendra,ar ARG,MF,Racing Club,25-239,2000.0,19.0,17.0,1132.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.8,1.6,6.0,83.0,18.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,Matches,20.0,5.0,25.0,1.59,0.4,0.0,0.0,27.6,1.0,0.04,-0.7,-0.7,397.0,529.0,75.0,7756.0,2383.0,161.0,187.0,86.1,166.0,208.0,79.8,62.0,114.0,54.4,0.8,-0.8,11.0,82.0,14.0,1.0,484.0,43.0,2.0,10.0,21.0,3.0,14.0,5.0,4.0,0.0,2.0,4.0,32.0,2.55,24.0,3.0,0.0,0.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,17.0,12.0,6.0,9.0,2.0,9.0,50.0,9.0,9.0,20.0,37.0,13.0,0.0,634.0,12.0,8.0,6.0,60.0,4.0,40.0,313.0,0.0,15.0,4.0,390.0,60.0,46.6,64.0,0,2,21.0,5,1.35,17.0,13.0,4.0,0.32,0.04,14.8,16.6,-1.8,-0.15,-0.22,0.0,15.0,0.0,0.0,0.0,59.0,7.0,38.9,1.51,1.35,89.84,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.06,0.06,0.06,0.13,0.48,6.59,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1.59,0.4,0.13,0.03,2.19,0.08,-0.06,-0.06,31.51,41.98,615.56,189.13,12.78,14.84,13.17,16.51,4.92,9.05,0.06,-0.06,0.87,6.51,1.11,0.08,38.41,3.41,0.16,0.79,1.67,0.24,1.11,0.4,0.32,0.0,0.16,0.32,2.54,0.2,1.9,0.24,0.0,0.0,0.08,0.08,0.01,0.08,0.0,0.0,0.0,0.0,1.35,0.95,0.48,0.71,0.16,0.71,0.71,0.71,1.59,2.94,1.03,0.0,50.32,0.95,0.63,0.48,0.32,24.84,0.0,1.19,0.32,30.95,0.0,0.16,0.4,0.11,1.35,1.03,0.32,0.03,1.17,1.32,-0.14,-0.01,0.0,1.19,0.0,0.0,0.0,4.68,0.56
69.0,Agustín Auzmendi,ar ARG,FW,Godoy Cruz,28-249,1997.0,18.0,12.0,987.0,11.0,5.0,0.0,5.0,4.0,1.0,1.0,1.0,0.0,3.9,3.1,0.3,3.4,3.0,17.0,50.0,0.46,0.0,0.46,0.36,0.36,0.36,0.02,0.38,0.28,0.31,Matches,32.0,9.0,28.1,2.92,0.82,0.13,0.44,13.2,0.0,0.1,1.1,0.9,99.0,198.0,50.0,1478.0,245.0,54.0,97.0,55.7,29.0,58.0,50.0,8.0,12.0,66.7,0.3,-0.3,5.0,8.0,4.0,0.0,188.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,19.0,1.73,13.0,0.0,0.0,1.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,4.0,10.0,0.0,303.0,7.0,63.0,3.0,37.5,5.0,62.5,131.0,1.0,26.0,10.0,221.0,55.0,40.6,71.0,5,6,22.0,4,0.94,6.0,13.0,-7.0,-0.64,-0.14,10.1,10.0,0.1,0.01,0.64,0.0,8.0,0.0,0.0,0.0,19.0,55.0,51.4,1.64,1.09,89.73,0.45,0.0,0.45,0.36,0.09,0.09,0.09,0.0,0.35,0.28,0.03,0.31,0.27,1.55,4.55,0.04,0.0,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.03,2.91,0.82,0.27,0.07,1.2,0.0,0.1,0.08,9.0,18.0,134.36,22.27,4.91,8.82,2.64,5.27,0.73,1.09,0.03,-0.03,0.45,0.73,0.36,0.0,17.09,0.64,0.0,0.18,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.64,1.73,0.16,1.18,0.0,0.0,0.09,0.0,0.09,0.01,0.09,0.0,0.0,0.0,0.0,0.36,0.27,0.09,0.27,0.0,0.0,0.45,0.45,0.0,0.36,0.91,0.0,27.55,0.64,5.73,0.27,0.45,11.91,0.09,2.36,0.91,20.09,0.45,0.55,0.36,0.09,0.55,1.18,-0.64,-0.06,0.92,0.91,0.01,0.0,0.0,0.73,0.0,0.0,0.0,1.73,5.0
