Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
510.0,Abakar Sylla,ci CIV,DF,Strasbourg,21.0,2002.0,21.0,10.0,950.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.1,0.5,0.0,21.0,3.0,0.09,0.0,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches,5.0,1.0,20.0,0.47,0.09,0.2,1.0,9.0,0.0,0.08,0.6,0.6,583.0,658.0,88.6,9980.0,3603.0,224.0,244.0,91.8,332.0,358.0,92.7,22.0,45.0,48.9,0.1,-0.1,1.0,21.0,1.0,0.0,589.0,69.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.38,3.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,27.0,15.0,14.0,11.0,2.0,15.0,88.2,2.0,8.0,11.0,38.0,63.0,0.0,791.0,151.0,9.0,3.0,50.0,3.0,50.0,425.0,0.0,5.0,4.0,497.0,45.0,31.0,78.0,7,11,15.0,9,1.71,15.0,21.0,-6.0,-0.57,-1.34,15.6,20.3,-4.7,-0.45,-0.36,0.0,17.0,0.0,0.0,1.0,39.0,20.0,57.1,1.98,0.94,89.62,0.09,0.0,0.09,0.09,0.0,0.0,0.19,0.09,0.04,0.04,0.01,0.05,0.0,1.98,0.28,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.47,0.09,0.04,0.01,0.85,0.0,0.06,0.06,55.0,62.08,941.51,339.91,21.13,23.02,31.32,33.77,2.08,4.25,0.01,-0.01,0.09,1.98,0.09,0.0,55.57,6.51,0.0,0.09,0.09,1.13,0.0,0.0,0.0,0.0,0.0,0.66,0.38,0.04,0.28,0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.0,2.55,1.42,1.32,1.04,0.19,1.42,0.19,0.75,1.04,3.58,5.94,0.0,74.62,14.25,0.85,0.28,0.28,40.09,0.0,0.47,0.38,46.89,0.66,1.04,0.85,0.16,1.42,1.98,-0.57,-0.05,1.47,1.92,-0.44,-0.04,0.0,1.6,0.0,0.0,0.09,3.68,1.89
492.0,Abdallah Sima,sn SEN,"FW,MF",Brest,23.0,2001.0,27.0,14.0,1238.0,13.8,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.9,5.9,1.0,6.9,36.0,24.0,92.0,0.51,0.15,0.65,0.51,0.65,0.43,0.07,0.5,0.43,0.5,Matches,37.0,18.0,48.6,2.69,1.31,0.19,0.39,13.1,0.0,0.16,1.1,1.1,231.0,332.0,69.6,3140.0,660.0,142.0,183.0,77.6,72.0,105.0,68.6,8.0,10.0,80.0,0.9,1.0,13.0,13.0,6.0,1.0,327.0,5.0,0.0,1.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,28.0,2.04,20.0,0.0,1.0,3.0,0.0,3.0,0.22,2.0,0.0,0.0,1.0,0.0,15.0,11.0,2.0,5.0,8.0,4.0,36.4,7.0,8.0,1.0,16.0,9.0,0.0,510.0,10.0,66.0,6.0,26.1,13.0,56.5,299.0,20.0,53.0,22.0,378.0,46.0,40.5,66.0,1,13,24.0,1,1.44,22.0,30.0,-8.0,-0.58,-0.63,19.8,24.1,-4.3,-0.31,0.07,0.0,16.0,0.0,0.0,0.0,61.0,41.0,48.2,1.96,1.01,89.71,0.51,0.14,0.65,0.51,0.0,0.0,0.14,0.0,0.43,0.43,0.07,0.5,2.61,1.74,6.67,0.04,0.01,0.05,0.04,0.05,0.03,0.01,0.04,0.03,0.04,2.68,1.3,0.19,0.09,0.95,0.0,0.08,0.08,16.74,24.06,227.54,47.83,10.29,13.26,5.22,7.61,0.58,0.72,0.07,0.07,0.94,0.94,0.43,0.07,23.7,0.36,0.0,0.07,1.16,0.22,0.0,0.0,0.0,0.0,0.0,1.09,2.03,0.15,1.45,0.0,0.07,0.22,0.0,0.22,0.02,0.14,0.0,0.0,0.07,0.0,1.09,0.8,0.14,0.36,0.58,0.29,0.51,0.58,0.07,1.16,0.65,0.0,36.96,0.72,4.78,0.43,0.94,21.67,1.45,3.84,1.59,27.39,0.07,0.94,0.07,0.1,1.59,2.17,-0.58,-0.04,1.43,1.75,-0.31,-0.02,0.0,1.16,0.0,0.0,0.0,4.42,2.97
423.0,Abdoul Ouattara,fr FRA,"DF,FW",Strasbourg,18.0,2005.0,17.0,3.0,471.0,5.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,7.0,18.0,14.0,0.19,0.19,0.38,0.19,0.38,0.06,0.1,0.16,0.06,0.16,Matches,5.0,2.0,40.0,0.96,0.38,0.2,0.5,21.0,0.0,0.07,0.7,0.7,167.0,195.0,85.6,2758.0,602.0,80.0,88.0,90.9,70.0,82.0,85.4,11.0,14.0,78.6,0.1,0.5,3.0,11.0,2.0,0.0,185.0,10.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1.72,5.0,1.0,0.0,0.0,2.0,3.0,0.57,2.0,1.0,0.0,0.0,0.0,6.0,4.0,3.0,1.0,2.0,3.0,60.0,2.0,10.0,9.0,15.0,12.0,2.0,251.0,16.0,7.0,2.0,50.0,2.0,50.0,119.0,4.0,7.0,4.0,164.0,28.0,15.4,83.0,1,14,16.0,6,1.53,10.0,6.0,4.0,0.76,0.49,8.5,9.8,-1.3,-0.25,-0.05,0.0,7.0,0.0,0.0,0.0,26.0,3.0,33.3,3.27,0.58,90.58,0.19,0.19,0.38,0.19,0.0,0.0,0.19,0.0,0.06,0.06,0.1,0.15,1.35,3.46,2.69,0.04,0.04,0.07,0.04,0.07,0.01,0.02,0.03,0.01,0.03,0.96,0.38,0.18,0.07,4.04,0.0,0.13,0.13,32.12,37.5,530.38,115.77,15.38,16.92,13.46,15.77,2.12,2.69,0.02,0.1,0.58,2.12,0.38,0.0,35.58,1.92,0.0,0.19,0.58,1.73,0.0,0.0,0.0,0.0,0.0,0.58,1.73,0.33,0.96,0.19,0.0,0.0,0.38,0.58,0.11,0.38,0.19,0.0,0.0,0.0,1.15,0.77,0.58,0.19,0.38,0.58,0.38,1.92,1.73,2.88,2.31,0.38,48.27,3.08,1.35,0.38,0.38,22.88,0.77,1.35,0.77,31.54,0.19,2.69,1.15,0.29,1.92,1.15,0.77,0.15,1.63,1.88,-0.25,-0.05,0.0,1.35,0.0,0.0,0.0,5.0,0.58
53.0,Abdoulaye Bamba,ci CIV,DF,Angers,34.0,1990.0,19.0,16.0,1510.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,1.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches,1.0,0.0,0.0,0.06,0.0,0.0,,7.2,0.0,0.09,-0.1,-0.1,518.0,585.0,88.5,10459.0,3330.0,126.0,139.0,90.6,341.0,364.0,93.7,44.0,68.0,64.7,0.3,-0.3,6.0,19.0,4.0,3.0,551.0,34.0,1.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.6,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,17.0,4.0,1.0,14.0,73.7,5.0,6.0,19.0,41.0,79.0,0.0,743.0,90.0,3.0,2.0,100.0,0.0,0.0,408.0,0.0,3.0,4.0,468.0,79.0,49.3,88.0,14,3,33.0,12,0.79,11.0,29.0,-18.0,-1.07,-0.9,16.9,25.6,-8.7,-0.52,0.25,0.0,10.0,0.0,0.0,0.0,47.0,11.0,39.3,1.13,0.95,89.88,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.01,0.01,0.02,0.02,0.06,0.95,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.43,0.0,-0.01,-0.01,30.83,34.82,622.56,198.21,7.5,8.27,20.3,21.67,2.62,4.05,0.02,-0.02,0.36,1.13,0.24,0.18,32.8,2.02,0.06,0.06,0.3,1.19,0.0,0.0,0.0,0.0,0.0,0.24,0.6,0.04,0.48,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.71,1.01,0.24,0.06,0.83,0.3,0.36,1.13,2.44,4.7,0.0,44.23,5.36,0.18,0.12,0.0,24.29,0.0,0.18,0.24,27.86,0.83,0.18,0.71,0.05,0.65,1.73,-1.07,-0.06,1.01,1.52,-0.52,-0.03,0.0,0.6,0.0,0.0,0.0,2.8,0.65
399.0,Abdoulaye Niakhate Ndiaye,sn SEN,DF,Brest,22.0,2002.0,22.0,19.0,1707.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,5.0,39.0,4.0,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,Matches,11.0,2.0,18.2,0.58,0.11,0.09,0.5,9.1,0.0,0.09,0.0,0.0,804.0,931.0,86.4,15938.0,5904.0,263.0,295.0,89.2,427.0,471.0,90.7,108.0,147.0,73.5,0.2,0.0,1.0,36.0,2.0,0.0,888.0,41.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,11.0,0.58,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,33.0,36.0,12.0,1.0,25.0,67.6,12.0,12.0,11.0,60.0,144.0,3.0,1203.0,192.0,21.0,2.0,25.0,6.0,75.0,598.0,0.0,15.0,5.0,740.0,78.0,55.8,86.0,17,3,26.0,6,1.86,32.0,29.0,3.0,0.16,0.82,22.8,33.6,-10.7,-0.57,-0.48,0.0,20.0,0.0,2.0,0.0,72.0,46.0,56.8,1.16,1.0,89.84,0.05,0.0,0.05,0.05,0.0,0.0,0.21,0.05,0.05,0.05,0.0,0.05,0.26,2.05,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.11,0.03,0.01,0.48,0.0,0.0,0.0,42.32,49.0,838.84,310.74,13.84,15.53,22.47,24.79,5.68,7.74,0.01,0.0,0.05,1.89,0.11,0.0,46.74,2.16,0.0,0.42,0.11,0.05,0.0,0.0,0.0,0.0,0.11,0.26,0.58,0.03,0.32,0.05,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,1.74,1.89,0.63,0.05,1.32,0.63,0.63,0.58,3.16,7.58,0.16,63.32,10.11,1.11,0.11,0.32,31.47,0.0,0.79,0.26,38.95,0.89,0.16,0.32,0.1,1.68,1.53,0.16,0.01,1.2,1.77,-0.56,-0.03,0.0,1.05,0.0,0.11,0.0,3.79,2.42
526.0,Abdoulaye Touré,gn GUI,MF,Le Havre,30.0,1994.0,28.0,26.0,2324.0,25.8,10.0,1.0,11.0,2.0,8.0,9.0,5.0,0.0,9.4,2.2,0.4,2.6,17.0,109.0,28.0,0.39,0.04,0.43,0.08,0.12,0.37,0.02,0.38,0.08,0.1,Matches,38.0,6.0,15.8,1.47,0.23,0.05,0.33,25.4,0.0,0.06,0.6,-0.2,868.0,1059.0,82.0,16170.0,4315.0,346.0,405.0,85.4,392.0,462.0,84.8,106.0,138.0,76.8,1.1,0.6,7.0,90.0,10.0,5.0,1040.0,13.0,3.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,49.0,1.9,35.0,0.0,1.0,7.0,1.0,5.0,0.19,3.0,0.0,0.0,1.0,0.0,61.0,34.0,31.0,21.0,9.0,33.0,55.9,26.0,17.0,34.0,95.0,42.0,5.0,1354.0,78.0,28.0,17.0,51.5,12.0,36.4,714.0,0.0,29.0,30.0,832.0,83.0,75.9,87.0,17,2,27.0,0,0.93,29.0,57.0,-28.0,-1.08,-0.72,30.9,50.7,-19.9,-0.77,-0.58,0.0,30.0,1.0,0.0,0.0,160.0,30.0,61.2,1.09,1.01,90.08,0.39,0.04,0.43,0.08,0.31,0.35,0.19,0.0,0.36,0.09,0.02,0.1,0.66,4.22,1.09,0.02,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.47,0.23,0.06,0.01,0.98,0.0,0.02,-0.01,33.64,41.05,626.74,167.25,13.41,15.7,15.19,17.91,4.11,5.35,0.04,0.02,0.27,3.49,0.39,0.19,40.31,0.5,0.12,0.47,0.43,0.0,0.0,0.0,0.0,0.0,0.23,0.31,1.9,0.07,1.36,0.0,0.04,0.27,0.04,0.19,0.01,0.12,0.0,0.0,0.04,0.0,2.36,1.32,1.2,0.81,0.35,1.28,1.01,0.66,1.32,3.68,1.63,0.19,52.48,3.02,1.09,0.66,0.47,27.67,0.0,1.12,1.16,32.25,0.66,0.08,0.0,0.04,1.12,2.21,-1.09,-0.04,1.2,1.97,-0.77,-0.03,0.0,1.16,0.04,0.0,0.0,6.2,1.16
270.0,Abdukodir Khusanov,uz UZB,DF,Lens,20.0,2004.0,13.0,11.0,975.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.3,0.6,2.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,6.0,4.0,66.7,0.55,0.37,0.0,0.0,24.6,2.0,0.04,-0.2,-0.2,483.0,548.0,88.1,8942.0,3769.0,174.0,188.0,92.6,255.0,276.0,92.4,43.0,64.0,67.2,0.2,-0.3,2.0,39.0,4.0,1.0,521.0,26.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,1.02,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,9.0,5.0,1.0,7.0,63.6,4.0,6.0,26.0,41.0,57.0,0.0,683.0,90.0,4.0,1.0,100.0,0.0,0.0,339.0,0.0,5.0,1.0,392.0,75.0,31.9,87.0,10,2,9.0,0,1.62,12.0,9.0,3.0,0.28,0.28,14.3,13.1,1.3,0.12,-0.11,0.0,13.0,0.0,1.0,0.0,50.0,27.0,69.2,1.2,1.02,90.28,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.09,0.02,0.02,0.03,0.06,0.19,3.98,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.37,0.05,0.03,2.28,0.19,-0.02,-0.02,44.72,50.74,827.96,348.98,16.11,17.41,23.61,25.56,3.98,5.93,0.02,-0.03,0.19,3.61,0.37,0.09,48.24,2.41,0.0,0.28,0.46,0.74,0.0,0.0,0.0,0.0,0.09,0.28,1.02,0.09,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.02,0.83,0.46,0.09,0.65,0.37,0.56,2.41,3.8,5.28,0.0,63.24,8.33,0.37,0.09,0.0,31.39,0.0,0.46,0.09,36.3,0.93,0.19,0.0,0.15,1.11,0.83,0.28,0.03,1.32,1.21,0.12,0.01,0.0,1.2,0.0,0.09,0.0,4.63,2.5
255.0,Abdulai Juma Bah,sl SLE,DF,Lens,18.0,2006.0,10.0,8.0,686.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,2.0,1.0,50.0,0.26,0.13,0.0,0.0,10.9,0.0,0.04,-0.1,-0.1,353.0,378.0,93.4,6078.0,1813.0,145.0,159.0,91.2,183.0,189.0,96.8,22.0,23.0,95.7,0.2,-0.2,2.0,7.0,0.0,0.0,358.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.92,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,6.0,10.0,0.0,5.0,71.4,2.0,3.0,17.0,33.0,47.0,1.0,480.0,81.0,6.0,3.0,100.0,0.0,0.0,265.0,0.0,4.0,3.0,279.0,69.0,22.4,84.0,7,2,9.0,3,1.9,10.0,9.0,1.0,0.13,0.06,8.8,11.0,-2.2,-0.28,-0.61,0.0,7.0,0.0,0.0,0.0,37.0,23.0,79.3,1.32,1.05,90.26,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.01,0.01,0.03,0.04,0.39,1.18,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.13,0.03,0.02,1.43,0.0,-0.01,-0.01,46.45,49.74,799.74,238.55,19.08,20.92,24.08,24.87,2.89,3.03,0.03,-0.03,0.26,0.92,0.0,0.0,47.11,2.37,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.13,0.92,0.12,0.79,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,1.32,0.79,1.32,0.0,0.66,0.26,0.39,2.24,4.34,6.18,0.13,63.16,10.66,0.79,0.39,0.0,34.87,0.0,0.53,0.39,36.71,0.92,0.26,0.39,0.25,1.32,1.18,0.13,0.02,1.16,1.45,-0.29,-0.04,0.0,0.92,0.0,0.0,0.0,4.87,3.03
7.0,Abner,br BRA,DF,Lyon,24.0,2000.0,19.0,12.0,1090.0,12.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,31.0,66.0,55.0,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,Matches,7.0,3.0,42.9,0.58,0.25,0.14,0.33,17.7,0.0,0.08,0.4,0.4,568.0,675.0,84.1,8355.0,3494.0,335.0,366.0,91.5,181.0,210.0,86.2,33.0,55.0,60.0,2.3,-0.1,11.0,45.0,11.0,2.0,576.0,97.0,1.0,5.0,31.0,82.0,6.0,6.0,0.0,0.0,2.0,19.0,25.0,2.06,21.0,3.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,29.0,20.0,12.0,10.0,7.0,21.0,65.6,11.0,13.0,5.0,34.0,41.0,0.0,791.0,40.0,22.0,6.0,50.0,6.0,50.0,426.0,5.0,14.0,8.0,513.0,57.0,35.6,83.0,6,7,14.0,13,1.84,18.0,15.0,3.0,0.25,-0.48,21.3,15.5,5.8,0.48,0.08,0.0,16.0,0.0,0.0,0.0,45.0,7.0,43.8,1.57,0.99,90.08,0.08,0.08,0.17,0.08,0.0,0.0,0.08,0.0,0.05,0.05,0.09,0.14,2.56,5.45,4.55,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.58,0.25,0.05,0.02,1.46,0.0,0.03,0.03,46.94,55.79,690.5,288.76,27.69,30.25,14.96,17.36,2.73,4.55,0.19,-0.01,0.91,3.72,0.91,0.17,47.6,8.02,0.08,0.41,2.56,6.78,0.5,0.5,0.0,0.0,0.17,1.57,2.07,0.17,1.74,0.25,0.0,0.0,0.0,0.08,0.01,0.08,0.0,0.0,0.0,0.0,2.4,1.65,0.99,0.83,0.58,1.74,0.91,1.07,0.41,2.81,3.39,0.0,65.37,3.31,1.82,0.5,0.5,35.21,0.41,1.16,0.66,42.4,0.5,0.58,1.07,0.15,1.49,1.24,0.25,0.02,1.76,1.28,0.48,0.04,0.0,1.32,0.0,0.0,0.0,3.72,0.58
228.0,Achraf Hakimi,ma MAR,DF,Paris S-G,25.0,1998.0,25.0,24.0,2066.0,23.0,4.0,6.0,10.0,4.0,0.0,0.0,4.0,0.0,2.9,2.9,6.2,9.1,93.0,183.0,273.0,0.17,0.26,0.44,0.17,0.44,0.13,0.27,0.4,0.13,0.4,Matches,32.0,12.0,37.5,1.39,0.52,0.13,0.33,19.2,5.0,0.09,1.1,1.1,1898.0,2140.0,88.7,26053.0,7482.0,1187.0,1266.0,93.8,573.0,644.0,89.0,63.0,96.0,65.6,5.3,-0.2,50.0,138.0,37.0,9.0,1949.0,188.0,2.0,8.0,80.0,150.0,4.0,0.0,1.0,0.0,3.0,32.0,104.0,4.53,91.0,3.0,4.0,3.0,2.0,11.0,0.48,10.0,0.0,1.0,0.0,0.0,48.0,36.0,18.0,20.0,10.0,27.0,49.1,28.0,23.0,31.0,79.0,18.0,3.0,2371.0,40.0,81.0,26.0,50.0,21.0,40.4,1384.0,21.0,38.0,15.0,1817.0,83.0,67.5,85.0,20,1,17.0,2,2.64,65.0,20.0,45.0,1.96,0.87,64.6,20.1,44.6,1.94,0.75,0.0,19.0,0.0,0.0,0.0,136.0,9.0,42.9,1.09,1.04,89.83,0.17,0.26,0.43,0.17,0.0,0.0,0.17,0.0,0.13,0.13,0.27,0.4,4.04,7.96,11.87,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,1.39,0.52,0.06,0.02,0.83,0.22,0.05,0.05,82.52,93.04,1132.74,325.3,51.61,55.04,24.91,28.0,2.74,4.17,0.23,-0.01,2.17,6.0,1.61,0.39,84.74,8.17,0.09,0.35,3.48,6.52,0.17,0.0,0.04,0.0,0.13,1.39,4.52,0.2,3.96,0.13,0.17,0.13,0.09,0.48,0.02,0.43,0.0,0.04,0.0,0.0,2.09,1.57,0.78,0.87,0.43,1.17,1.22,1.0,1.35,3.43,0.78,0.13,103.09,1.74,3.52,1.13,0.91,60.17,0.91,1.65,0.65,79.0,0.87,0.04,0.09,0.11,2.83,0.87,1.96,0.09,2.81,0.87,1.94,0.08,0.0,0.83,0.0,0.0,0.0,5.91,0.39
