Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
327,Aaron Malouda,fr FRA,FW,Lille,18,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,1,0,0,1,1,2,0.1,,0,1,2,7,0.00,0,0,0,0.00,-0.47,0.1,0.0,+0.1,+2.89,+2.53,0,0,0,0,0,0,0,
510,Abakar Sylla,ci CIV,DF,Strasbourg,21,2002,21,10,950,10.6,1,0,1,1,0,0,2,1,0.4,0.4,0.1,0.5,0,21,3,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches,5,1,20.0,0.47,0.09,0.20,1.00,9.0,0,0.08,+0.6,+0.6,583,658,88.6,9980,3603,224,244,91.8,332,358,92.7,22,45,48.9,0.1,-0.1,1,21,1,0,589,69,0,1,1,12,0,0,0,0,0,7,4,0.38,3,0,0,0,0,1,0.09,0,0,0,0,0,27,15,14,11,2,15,88.2,2,8,11,38,63,0,791,151,9,3,50.0,3,50.0,425,0,5,4,497,45,31.0,78,7,11,15,9,1.71,15,21,-6,-0.57,-1.34,15.6,20.3,-4.7,-0.45,-0.36,0,17,0,0,1,39,20,57.1
492,Abdallah Sima,sn SEN,"FW,MF",Brest,23,2001,27,14,1238,13.8,7,2,9,7,0,0,2,0,5.9,5.9,1.0,6.9,36,24,92,0.51,0.15,0.65,0.51,0.65,0.43,0.07,0.50,0.43,0.50,Matches,37,18,48.6,2.69,1.31,0.19,0.39,13.1,0,0.16,+1.1,+1.1,231,332,69.6,3140,660,142,183,77.6,72,105,68.6,8,10,80.0,0.9,+1.0,13,13,6,1,327,5,0,1,16,3,0,0,0,0,0,15,28,2.04,20,0,1,3,0,3,0.22,2,0,0,1,0,15,11,2,5,8,4,36.4,7,8,1,16,9,0,510,10,66,6,26.1,13,56.5,299,20,53,22,378,46,40.5,66,1,13,24,1,1.44,22,30,-8,-0.58,-0.63,19.8,24.1,-4.3,-0.31,+0.07,0,16,0,0,0,61,41,48.2
,Abdelhamid Ait Boudlal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,
279,Abdoul Koné,fr FRA,DF,Reims,19,2005,4,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,44,65,67.7,881,175,17,20,85.0,21,27,77.8,6,11,54.5,0.0,0.0,0,1,0,0,47,18,0,0,0,17,0,0,0,0,0,6,1,0.68,1,0,0,0,0,0,0.00,0,0,0,0,0,5,3,4,1,0,3,60.0,2,1,1,6,5,0,86,11,1,1,50.0,1,50.0,39,0,5,1,42,33,4.3,60,0,3,24,5,1.50,2,2,0,0.00,+0.43,1.7,2.5,-0.8,-0.56,+0.03,0,3,0,0,0,7,2,100.0
54,Abdoulaye Bamba,ci CIV,DF,Angers,34,1990,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,1,16,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches,1,0,0.0,0.06,0.00,0.00,,7.2,0,0.09,-0.1,-0.1,518,585,88.5,10459,3330,126,139,90.6,341,364,93.7,44,68,64.7,0.3,-0.3,6,19,4,3,551,34,1,1,5,20,0,0,0,0,0,4,10,0.60,8,0,0,0,2,0,0.00,0,0,0,0,0,22,12,17,4,1,14,73.7,5,6,19,41,79,0,743,90,3,2,100.0,0,0.0,408,0,3,4,468,79,49.3,88,14,3,33,12,0.79,11,29,-18,-1.07,-0.90,16.9,25.6,-8.7,-0.52,+0.25,0,10,0,0,0,47,11,39.3
,Abdoulaye Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
399,Abdoulaye Niakhate Ndiaye,sn SEN,DF,Brest,22,2002,22,19,1707,19.0,1,0,1,1,0,0,4,1,1.0,1.0,0.0,1.0,5,39,4,0.05,0.00,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,Matches,11,2,18.2,0.58,0.11,0.09,0.50,9.1,0,0.09,0.0,0.0,804,931,86.4,15938,5904,263,295,89.2,427,471,90.7,108,147,73.5,0.2,0.0,1,36,2,0,888,41,0,8,2,1,0,0,0,0,2,5,11,0.58,6,1,0,2,0,0,0.00,0,0,0,0,0,49,33,36,12,1,25,67.6,12,12,11,60,144,3,1203,192,21,2,25.0,6,75.0,598,0,15,5,740,78,55.8,86,17,3,26,6,1.86,32,29,+3,+0.16,+0.82,22.8,33.6,-10.7,-0.57,-0.48,0,20,0,2,0,72,46,56.8
526,Abdoulaye Touré,gn GUI,MF,Le Havre,30,1994,28,26,2324,25.8,10,1,11,2,8,9,5,0,9.4,2.2,0.4,2.6,17,109,28,0.39,0.04,0.43,0.08,0.12,0.37,0.02,0.38,0.08,0.10,Matches,38,6,15.8,1.47,0.23,0.05,0.33,25.4,0,0.06,+0.6,-0.2,868,1059,82.0,16170,4315,346,405,85.4,392,462,84.8,106,138,76.8,1.1,+0.6,7,90,10,5,1040,13,3,12,11,0,0,0,0,0,6,8,49,1.90,35,0,1,7,1,5,0.19,3,0,0,1,0,61,34,31,21,9,33,55.9,26,17,34,95,42,5,1354,78,28,17,51.5,12,36.4,714,0,29,30,832,83,75.9,87,17,2,27,0,0.93,29,57,-28,-1.08,-0.72,30.9,50.7,-19.9,-0.77,-0.58,0,30,1,0,0,160,30,61.2
270,Abdukodir Khusanov,uz UZB,DF,Lens,20,2004,13,11,975,10.8,0,0,0,0,0,0,2,1,0.2,0.2,0.3,0.6,2,43,6,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,6,4,66.7,0.55,0.37,0.00,0.00,24.6,2,0.04,-0.2,-0.2,483,548,88.1,8942,3769,174,188,92.6,255,276,92.4,43,64,67.2,0.2,-0.3,2,39,4,1,521,26,0,3,5,8,0,0,0,0,1,3,11,1.02,9,0,0,0,0,0,0.00,0,0,0,0,0,15,11,9,5,1,7,63.6,4,6,26,41,57,0,683,90,4,1,100.0,0,0.0,339,0,5,1,392,75,31.9,87,10,2,9,0,1.62,12,9,+3,+0.28,+0.28,14.3,13.1,+1.3,+0.12,-0.11,0,13,0,1,0,50,27,69.2
