Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
113.0,Aaron Cresswell,eng ENG,DF,West Ham,34.0,1989.0,18.0,10.0,824.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,Matches,5.0,0.0,0.0,0.55,0.0,0.0,,23.8,2.0,0.05,-0.2,-0.2,504.0,610.0,82.6,9299.0,3625.0,229.0,249.0,92.0,212.0,241.0,88.0,58.0,107.0,54.2,1.9,-1.3,9.0,52.0,5.0,2.0,511.0,98.0,1.0,5.0,36.0,52.0,13.0,11.0,2.0,0.0,1.0,10.0,15.0,1.64,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,5.0,5.0,1.0,9.0,81.8,2.0,5.0,8.0,19.0,37.0,0.0,687.0,45.0,2.0,1.0,50.0,1.0,50.0,291.0,0.0,4.0,0.0,437.0,46.0,24.1,76.0,4,8,8.0,13,1.78,8.0,8.0,0.0,0.0,0.55,9.7,12.7,-3.0,-0.32,0.01,0.0,4.0,0.0,0.0,0.0,36.0,7.0,50.0,1.96,1.09,89.57,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.02,0.02,0.14,0.17,0.65,3.91,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.54,0.0,0.06,0.0,2.59,0.22,-0.02,-0.02,54.78,66.3,1010.76,394.02,24.89,27.07,23.04,26.2,6.3,11.63,0.21,-0.14,0.98,5.65,0.54,0.22,55.54,10.65,0.11,0.54,3.91,5.65,1.41,1.2,0.22,0.0,0.11,1.09,1.63,0.18,0.76,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.76,0.54,0.54,0.11,0.98,0.22,0.54,0.87,2.07,4.02,0.0,74.67,4.89,0.22,0.11,0.11,31.63,0.0,0.43,0.0,47.5,0.43,0.87,1.41,0.19,0.87,0.87,0.0,0.0,1.05,1.38,-0.33,-0.03,0.0,0.43,0.0,0.0,0.0,3.91,0.76
425.0,Aaron Ramsdale,eng ENG,GK,Southampton,26.0,1998.0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,774.0,1223.0,63.3,21949.0,16992.0,209.0,210.0,99.5,302.0,313.0,96.5,257.0,686.0,37.5,0.1,0.0,0.0,36.0,1.0,0.0,918.0,298.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,10.0,3.0,1314.0,946.0,0.0,0.0,,0.0,,786.0,0.0,3.0,0.0,702.0,,,,0,0,,2,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,23.0,6.0,100.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.8,40.77,731.63,566.4,6.97,7.0,10.07,10.43,8.57,22.87,0.0,0.0,0.0,1.2,0.03,0.0,30.6,9.93,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.1,0.0,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.07,0.07,0.33,0.1,43.8,31.53,0.0,0.0,0.0,26.2,0.0,0.1,0.0,23.4,0.0,0.0,0.07,,,,,,,,,,0.0,0.03,0.0,0.0,0.0,0.77,0.2
543.0,Aaron Wan-Bissaka,cd COD,DF,West Ham,26.0,1997.0,36.0,35.0,3154.0,35.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,110.0,149.0,167.0,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,Matches,16.0,5.0,31.3,0.46,0.14,0.13,0.4,15.1,0.0,0.07,0.8,0.8,1472.0,1815.0,81.1,20696.0,7523.0,953.0,1056.0,90.2,449.0,550.0,81.6,48.0,105.0,45.7,2.8,1.5,33.0,94.0,35.0,11.0,1568.0,243.0,5.0,1.0,76.0,232.0,0.0,0.0,0.0,0.0,4.0,62.0,93.0,2.65,75.0,4.0,7.0,2.0,2.0,10.0,0.29,9.0,0.0,0.0,0.0,0.0,70.0,49.0,33.0,32.0,5.0,23.0,71.9,9.0,26.0,66.0,136.0,125.0,0.0,2256.0,147.0,48.0,64.0,52.5,43.0,35.2,1092.0,15.0,35.0,22.0,1322.0,88.0,92.2,89.0,33,1,29.0,1,1.17,44.0,59.0,-15.0,-0.43,-0.09,42.3,56.2,-13.9,-0.4,-0.8,0.0,25.0,0.0,0.0,1.0,174.0,22.0,40.0,1.03,1.0,90.11,0.06,0.14,0.2,0.06,0.0,0.0,0.03,0.0,0.03,0.03,0.1,0.13,3.14,4.26,4.77,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.46,0.14,0.01,0.0,0.43,0.0,0.02,0.02,42.06,51.86,591.31,214.94,27.23,30.17,12.83,15.71,1.37,3.0,0.08,0.04,0.94,2.69,1.0,0.31,44.8,6.94,0.14,0.03,2.17,6.63,0.0,0.0,0.0,0.0,0.11,1.77,2.66,0.08,2.14,0.11,0.2,0.06,0.06,0.29,0.01,0.26,0.0,0.0,0.0,0.0,2.0,1.4,0.94,0.91,0.14,0.66,0.26,0.74,1.89,3.89,3.57,0.0,64.46,4.2,1.37,1.83,1.23,31.2,0.43,1.0,0.63,37.77,0.94,0.03,0.03,0.03,1.26,1.69,-0.43,-0.01,1.21,1.61,-0.4,-0.01,0.0,0.71,0.0,0.0,0.03,4.97,0.63
147.0,Abdoulaye Doucouré,ml MLI,MF,Everton,31.0,1993.0,33.0,31.0,2564.0,28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,4.1,4.1,2.4,6.6,42.0,82.0,96.0,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,Matches,31.0,9.0,29.0,1.09,0.32,0.1,0.33,14.0,0.0,0.13,-1.1,-1.1,725.0,903.0,80.3,10909.0,2254.0,382.0,446.0,85.7,263.0,316.0,83.2,44.0,60.0,73.3,1.4,-0.4,28.0,44.0,15.0,0.0,884.0,14.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,58.0,2.04,52.0,0.0,3.0,0.0,1.0,3.0,0.11,2.0,0.0,0.0,0.0,1.0,48.0,28.0,21.0,20.0,7.0,14.0,32.6,29.0,25.0,10.0,58.0,20.0,1.0,1161.0,32.0,65.0,24.0,53.3,21.0,46.7,604.0,8.0,38.0,38.0,750.0,78.0,75.0,82.0,16,2,12.0,1,1.3,28.0,33.0,-5.0,-0.18,-0.49,31.0,34.8,-3.8,-0.13,-0.07,1.0,49.0,0.0,0.0,0.0,150.0,30.0,40.5,1.16,1.09,89.96,0.11,0.07,0.18,0.11,0.0,0.0,0.18,0.04,0.14,0.14,0.08,0.23,1.47,2.88,3.37,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,1.09,0.32,0.04,0.01,0.49,0.0,-0.04,-0.04,25.44,31.68,382.77,79.09,13.4,15.65,9.23,11.09,1.54,2.11,0.05,-0.01,0.98,1.54,0.53,0.0,31.02,0.49,0.0,0.07,0.81,0.0,0.0,0.0,0.0,0.0,0.18,0.95,2.04,0.07,1.82,0.0,0.11,0.0,0.04,0.11,0.0,0.07,0.0,0.0,0.0,0.04,1.68,0.98,0.74,0.7,0.25,0.49,1.02,0.88,0.35,2.04,0.7,0.04,40.74,1.12,2.28,0.84,0.74,21.19,0.28,1.33,1.33,26.32,0.56,0.07,0.04,0.05,0.98,1.16,-0.18,-0.01,1.09,1.22,-0.13,-0.0,0.04,1.72,0.0,0.0,0.0,5.26,1.05
284.0,Abdukodir Khusanov,uz UZB,DF,Manchester City,20.0,2004.0,6.0,6.0,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,1.0,0.0,0.0,0.18,0.0,0.0,,23.9,0.0,0.02,0.0,0.0,360.0,395.0,91.1,6126.0,1976.0,160.0,169.0,94.7,191.0,197.0,97.0,6.0,23.0,26.1,0.1,-0.1,2.0,23.0,0.0,0.0,385.0,10.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.89,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.0,2.0,66.7,1.0,1.0,3.0,8.0,29.0,1.0,445.0,45.0,1.0,0.0,0.0,2.0,100.0,274.0,0.0,2.0,1.0,332.0,84.0,14.7,84.0,5,0,,5,1.67,8.0,6.0,2.0,0.36,-0.44,9.0,7.0,2.1,0.37,-0.19,0.0,3.0,0.0,0.0,1.0,27.0,6.0,60.0,1.07,1.07,89.82,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.02,0.02,0.18,4.46,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.03,0.0,4.27,0.0,0.0,0.0,64.29,70.54,1093.93,352.86,28.57,30.18,34.11,35.18,1.07,4.11,0.02,-0.02,0.36,4.11,0.0,0.0,68.75,1.79,0.0,0.18,0.18,0.54,0.0,0.0,0.0,0.0,0.0,0.54,0.89,0.16,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.71,0.71,0.18,0.0,0.36,0.18,0.18,0.54,1.43,5.18,0.18,79.46,8.04,0.18,0.0,0.36,48.93,0.0,0.36,0.18,59.29,0.89,0.0,0.89,0.3,1.43,1.07,0.36,0.06,1.61,1.25,0.38,0.07,0.0,0.54,0.0,0.0,0.18,4.82,1.07
177.0,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20.0,2004.0,11.0,6.0,579.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,42.0,17.0,60.0,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,Matches,13.0,5.0,38.5,2.02,0.78,0.0,0.0,31.2,0.0,0.03,-0.4,-0.4,123.0,197.0,62.4,2150.0,601.0,59.0,81.0,72.8,45.0,59.0,76.3,16.0,33.0,48.5,1.4,0.4,6.0,7.0,7.0,2.0,186.0,11.0,2.0,2.0,30.0,9.0,1.0,0.0,0.0,0.0,0.0,18.0,17.0,2.64,10.0,0.0,2.0,4.0,0.0,3.0,0.47,2.0,0.0,0.0,0.0,0.0,21.0,15.0,13.0,2.0,6.0,11.0,57.9,8.0,7.0,4.0,25.0,12.0,0.0,326.0,19.0,26.0,29.0,42.0,28.0,40.6,217.0,15.0,18.0,12.0,216.0,53.0,16.9,86.0,5,5,12.0,0,0.91,7.0,14.0,-7.0,-1.09,0.18,6.8,10.7,-3.9,-0.6,0.52,0.0,11.0,0.0,0.0,0.0,38.0,14.0,51.9,1.72,0.94,90.47,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.25,0.31,6.56,2.66,9.38,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,2.03,0.78,0.32,0.12,4.88,0.0,-0.06,-0.06,19.22,30.78,335.94,93.91,9.22,12.66,7.03,9.22,2.5,5.16,0.22,0.06,0.94,1.09,1.09,0.31,29.06,1.72,0.31,0.31,4.69,1.41,0.16,0.0,0.0,0.0,0.0,2.81,2.66,0.41,1.56,0.0,0.31,0.62,0.0,0.47,0.07,0.31,0.0,0.0,0.0,0.0,3.28,2.34,2.03,0.31,0.94,1.72,1.25,1.09,0.62,3.91,1.88,0.0,50.94,2.97,4.06,4.53,4.38,33.91,2.34,2.81,1.88,33.75,0.78,0.78,0.0,0.14,1.09,2.19,-1.09,-0.17,1.06,1.67,-0.61,-0.09,0.0,1.72,0.0,0.0,0.0,5.94,2.19
34.0,Adam Armstrong,eng ENG,"FW,MF",Southampton,27.0,1997.0,20.0,15.0,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,21.0,79.0,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,25.0,7.0,28.0,1.8,0.5,0.08,0.29,16.6,0.0,0.09,-1.3,-0.3,231.0,288.0,80.2,3320.0,446.0,138.0,158.0,87.3,81.0,95.0,85.3,6.0,13.0,46.2,0.6,0.8,9.0,10.0,8.0,2.0,268.0,18.0,0.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,2.0,12.0,19.0,1.37,12.0,1.0,2.0,0.0,0.0,4.0,0.29,1.0,0.0,0.0,0.0,0.0,12.0,3.0,2.0,7.0,3.0,3.0,21.4,11.0,5.0,3.0,15.0,8.0,0.0,377.0,11.0,49.0,6.0,42.9,8.0,57.1,235.0,6.0,11.0,18.0,286.0,62.0,36.5,75.0,4,5,25.0,4,0.3,7.0,35.0,-28.0,-2.02,-0.69,12.8,32.4,-19.6,-1.41,-0.07,0.0,12.0,0.0,0.0,0.0,23.0,5.0,35.7,1.44,1.08,89.78,0.14,0.14,0.29,0.14,0.0,0.07,0.29,0.0,0.24,0.17,0.09,0.25,1.8,1.51,5.68,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,1.8,0.5,0.13,0.04,1.19,0.0,-0.09,-0.02,16.62,20.72,238.85,32.09,9.93,11.37,5.83,6.83,0.43,0.94,0.04,0.06,0.65,0.72,0.58,0.14,19.28,1.29,0.0,0.07,1.01,0.22,0.0,0.0,0.0,0.0,0.14,0.86,1.37,0.1,0.86,0.07,0.14,0.0,0.0,0.29,0.02,0.07,0.0,0.0,0.0,0.0,0.86,0.22,0.14,0.5,0.22,0.22,0.79,0.36,0.22,1.08,0.58,0.0,27.12,0.79,3.53,0.43,0.58,16.91,0.43,0.79,1.29,20.58,0.29,0.36,0.29,0.02,0.5,2.52,-2.01,-0.15,0.92,2.33,-1.41,-0.1,0.0,0.86,0.0,0.0,0.0,1.65,0.36
478.0,Adam Smith,eng ENG,DF,Bournemouth,33.0,1991.0,25.0,19.0,1590.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,0.4,1.1,15.0,49.0,34.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,3.0,0.0,0.0,0.17,0.0,0.0,,16.9,0.0,0.22,-0.7,-0.7,514.0,679.0,75.7,8452.0,2723.0,244.0,275.0,88.7,222.0,279.0,79.6,32.0,89.0,36.0,0.7,-0.4,8.0,49.0,10.0,5.0,550.0,128.0,1.0,2.0,33.0,119.0,0.0,0.0,0.0,0.0,1.0,15.0,23.0,1.3,17.0,1.0,1.0,3.0,1.0,2.0,0.11,1.0,0.0,0.0,1.0,0.0,24.0,12.0,11.0,7.0,6.0,14.0,51.9,13.0,8.0,15.0,39.0,49.0,1.0,825.0,41.0,8.0,6.0,37.5,7.0,43.8,366.0,1.0,13.0,7.0,403.0,64.0,46.5,75.0,7,6,28.0,1,1.48,25.0,18.0,7.0,0.4,0.15,29.7,18.9,10.8,0.61,0.38,0.0,19.0,0.0,0.0,0.0,50.0,14.0,48.3,1.41,1.07,89.83,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.04,0.04,0.02,0.06,0.85,2.77,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.01,0.0,0.95,0.0,-0.04,-0.04,29.04,38.36,477.51,153.84,13.79,15.54,12.54,15.76,1.81,5.03,0.04,-0.02,0.45,2.77,0.56,0.28,31.07,7.23,0.06,0.11,1.86,6.72,0.0,0.0,0.0,0.0,0.06,0.85,1.3,0.07,0.96,0.06,0.06,0.17,0.06,0.11,0.01,0.06,0.0,0.0,0.06,0.0,1.36,0.68,0.62,0.4,0.34,0.79,0.73,0.45,0.85,2.2,2.77,0.06,46.61,2.32,0.45,0.34,0.4,20.68,0.06,0.73,0.4,22.77,0.4,0.34,0.06,0.08,1.41,1.02,0.4,0.02,1.68,1.07,0.61,0.03,0.0,1.07,0.0,0.0,0.0,2.82,0.79
549.0,Adam Webster,eng ENG,DF,Brighton,29.0,1995.0,14.0,11.0,887.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,8.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,5.0,1.0,20.0,0.51,0.1,0.0,0.0,10.8,0.0,0.05,-0.2,-0.2,636.0,725.0,87.7,11765.0,4541.0,242.0,257.0,94.2,333.0,354.0,94.1,53.0,97.0,54.6,0.3,-0.5,3.0,64.0,2.0,0.0,650.0,73.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,14.0,1.42,10.0,2.0,0.0,0.0,0.0,4.0,0.41,2.0,1.0,0.0,0.0,0.0,10.0,6.0,5.0,4.0,1.0,6.0,42.9,8.0,7.0,20.0,30.0,41.0,2.0,824.0,119.0,15.0,1.0,33.3,2.0,66.7,476.0,0.0,5.0,1.0,552.0,63.0,25.9,77.0,8,3,14.0,7,2.29,26.0,11.0,15.0,1.52,1.81,19.0,14.3,4.6,0.47,0.49,0.0,7.0,0.0,1.0,0.0,35.0,24.0,80.0,1.41,1.11,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.02,0.05,0.07,0.81,6.36,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.51,0.1,0.05,0.01,1.09,0.0,-0.02,-0.02,64.24,73.23,1188.38,458.69,24.44,25.96,33.64,35.76,5.35,9.8,0.03,-0.05,0.3,6.46,0.2,0.0,65.66,7.37,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.51,1.41,0.14,1.01,0.2,0.0,0.0,0.0,0.4,0.04,0.2,0.1,0.0,0.0,0.0,1.01,0.61,0.51,0.4,0.1,0.61,0.81,0.71,2.02,3.03,4.14,0.2,83.23,12.02,1.52,0.1,0.2,48.08,0.0,0.51,0.1,55.76,0.81,0.3,0.71,0.23,2.63,1.11,1.52,0.15,1.92,1.44,0.46,0.05,0.0,0.71,0.0,0.1,0.0,3.54,2.42
553.0,Adam Wharton,eng ENG,MF,Crystal Palace,20.0,2004.0,20.0,16.0,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,3.0,3.4,14.0,107.0,11.0,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23,Matches,13.0,5.0,38.5,0.89,0.34,0.0,0.0,25.4,0.0,0.03,-0.4,-0.4,548.0,725.0,75.6,10271.0,3780.0,208.0,252.0,82.5,258.0,322.0,80.1,70.0,107.0,65.4,2.2,-1.0,26.0,78.0,18.0,5.0,678.0,40.0,5.0,1.0,39.0,0.0,26.0,19.0,1.0,0.0,7.0,12.0,59.0,4.03,45.0,11.0,0.0,0.0,1.0,6.0,0.41,4.0,2.0,0.0,0.0,0.0,34.0,14.0,14.0,16.0,4.0,17.0,38.6,27.0,9.0,20.0,54.0,27.0,0.0,872.0,30.0,11.0,2.0,20.0,8.0,80.0,430.0,2.0,17.0,13.0,533.0,66.0,38.5,77.0,3,4,23.0,1,1.25,18.0,21.0,-3.0,-0.2,-0.33,21.1,19.2,1.9,0.13,-0.27,0.0,12.0,0.0,0.0,0.0,102.0,7.0,30.4,1.37,1.1,90.27,0.0,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.03,0.03,0.21,0.23,0.96,7.33,0.75,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.02,0.0,0.02,0.89,0.34,0.06,0.02,1.74,0.0,-0.03,-0.03,37.53,49.66,703.49,258.9,14.25,17.26,17.67,22.05,4.79,7.33,0.15,-0.07,1.78,5.34,1.23,0.34,46.44,2.74,0.34,0.07,2.67,0.0,1.78,1.3,0.07,0.0,0.48,0.82,4.04,0.28,3.08,0.75,0.0,0.0,0.07,0.41,0.03,0.27,0.14,0.0,0.0,0.0,2.33,0.96,0.96,1.1,0.27,1.16,1.85,0.62,1.37,3.7,1.85,0.0,59.73,2.05,0.75,0.14,0.55,29.45,0.14,1.16,0.89,36.51,0.21,0.27,0.07,0.09,1.23,1.44,-0.21,-0.01,1.45,1.32,0.13,0.01,0.0,0.82,0.0,0.0,0.0,6.99,0.48
