Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
113.0,Aaron Cresswell,eng ENG,DF,West Ham,34.0,1989.0,18.0,10.0,824.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,Matches,5.0,0.0,0.0,0.55,0.0,0.0,,23.8,2.0,0.05,-0.2,-0.2,504.0,610.0,82.6,9299.0,3625.0,229.0,249.0,92.0,212.0,241.0,88.0,58.0,107.0,54.2,1.9,-1.3,9.0,52.0,5.0,2.0,511.0,98.0,1.0,5.0,36.0,52.0,13.0,11.0,2.0,0.0,1.0,10.0,15.0,1.64,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,5.0,5.0,1.0,9.0,81.8,2.0,5.0,8.0,19.0,37.0,0.0,687.0,45.0,2.0,1.0,50.0,1.0,50.0,291.0,0.0,4.0,0.0,437.0,46.0,24.1,76.0,4,8,8.0,13,1.78,8.0,8.0,0.0,0.0,0.55,9.7,12.7,-3.0,-0.32,0.01,0.0,4.0,0.0,0.0,0.0,36.0,7.0,50.0
426.0,Aaron Ramsdale,eng ENG,GK,Southampton,26.0,1998.0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,774.0,1223.0,63.3,21949.0,16992.0,209.0,210.0,99.5,302.0,313.0,96.5,257.0,686.0,37.5,0.1,0.0,0.0,36.0,1.0,0.0,918.0,298.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,10.0,3.0,1314.0,946.0,0.0,0.0,,0.0,,786.0,0.0,3.0,0.0,702.0,,,,0,0,,2,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,23.0,6.0,100.0
543.0,Aaron Wan-Bissaka,eng ENG,DF,West Ham,26.0,1997.0,36.0,35.0,3154.0,35.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,110.0,149.0,167.0,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,Matches,16.0,5.0,31.3,0.46,0.14,0.13,0.4,15.1,0.0,0.07,0.8,0.8,1472.0,1815.0,81.1,20696.0,7523.0,953.0,1056.0,90.2,449.0,550.0,81.6,48.0,105.0,45.7,2.8,1.5,33.0,94.0,35.0,11.0,1568.0,243.0,5.0,1.0,76.0,232.0,0.0,0.0,0.0,0.0,4.0,62.0,93.0,2.65,75.0,4.0,7.0,2.0,2.0,10.0,0.29,9.0,0.0,0.0,0.0,0.0,70.0,49.0,33.0,32.0,5.0,23.0,71.9,9.0,26.0,66.0,136.0,125.0,0.0,2256.0,147.0,48.0,64.0,52.5,43.0,35.2,1092.0,15.0,35.0,22.0,1322.0,88.0,92.2,89.0,33,1,29.0,1,1.17,44.0,59.0,-15.0,-0.43,-0.09,42.3,56.2,-13.9,-0.4,-0.8,0.0,25.0,0.0,0.0,1.0,174.0,22.0,40.0
147.0,Abdoulaye Doucouré,ml MLI,MF,Everton,31.0,1993.0,33.0,31.0,2564.0,28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,4.1,4.1,2.4,6.6,42.0,82.0,96.0,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,Matches,31.0,9.0,29.0,1.09,0.32,0.1,0.33,14.0,0.0,0.13,-1.1,-1.1,725.0,903.0,80.3,10909.0,2254.0,382.0,446.0,85.7,263.0,316.0,83.2,44.0,60.0,73.3,1.4,-0.4,28.0,44.0,15.0,0.0,884.0,14.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,58.0,2.04,52.0,0.0,3.0,0.0,1.0,3.0,0.11,2.0,0.0,0.0,0.0,1.0,48.0,28.0,21.0,20.0,7.0,14.0,32.6,29.0,25.0,10.0,58.0,20.0,1.0,1161.0,32.0,65.0,24.0,53.3,21.0,46.7,604.0,8.0,38.0,38.0,750.0,78.0,75.0,82.0,16,2,12.0,1,1.3,28.0,33.0,-5.0,-0.18,-0.49,31.0,34.8,-3.8,-0.13,-0.07,1.0,49.0,0.0,0.0,0.0,150.0,30.0,40.5
284.0,Abdukodir Khusanov,uz UZB,DF,Manchester City,20.0,2004.0,6.0,6.0,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,1.0,0.0,0.0,0.18,0.0,0.0,,23.9,0.0,0.02,0.0,0.0,360.0,395.0,91.1,6126.0,1976.0,160.0,169.0,94.7,191.0,197.0,97.0,6.0,23.0,26.1,0.1,-0.1,2.0,23.0,0.0,0.0,385.0,10.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.89,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.0,2.0,66.7,1.0,1.0,3.0,8.0,29.0,1.0,445.0,45.0,1.0,0.0,0.0,2.0,100.0,274.0,0.0,2.0,1.0,332.0,84.0,14.7,84.0,5,0,,5,1.67,8.0,6.0,2.0,0.36,-0.44,9.0,7.0,2.1,0.37,-0.19,0.0,3.0,0.0,0.0,1.0,27.0,6.0,60.0
177.0,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20.0,2004.0,11.0,6.0,579.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,42.0,17.0,60.0,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,Matches,13.0,5.0,38.5,2.02,0.78,0.0,0.0,31.2,0.0,0.03,-0.4,-0.4,123.0,197.0,62.4,2150.0,601.0,59.0,81.0,72.8,45.0,59.0,76.3,16.0,33.0,48.5,1.4,0.4,6.0,7.0,7.0,2.0,186.0,11.0,2.0,2.0,30.0,9.0,1.0,0.0,0.0,0.0,0.0,18.0,17.0,2.64,10.0,0.0,2.0,4.0,0.0,3.0,0.47,2.0,0.0,0.0,0.0,0.0,21.0,15.0,13.0,2.0,6.0,11.0,57.9,8.0,7.0,4.0,25.0,12.0,0.0,326.0,19.0,26.0,29.0,42.0,28.0,40.6,217.0,15.0,18.0,12.0,216.0,53.0,16.9,86.0,5,5,12.0,0,0.91,7.0,14.0,-7.0,-1.09,0.18,6.8,10.7,-3.9,-0.6,0.52,0.0,11.0,0.0,0.0,0.0,38.0,14.0,51.9
34.0,Adam Armstrong,eng ENG,"FW,MF",Southampton,27.0,1997.0,20.0,15.0,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,21.0,79.0,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,25.0,7.0,28.0,1.8,0.5,0.08,0.29,16.6,0.0,0.09,-1.3,-0.3,231.0,288.0,80.2,3320.0,446.0,138.0,158.0,87.3,81.0,95.0,85.3,6.0,13.0,46.2,0.6,0.8,9.0,10.0,8.0,2.0,268.0,18.0,0.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,2.0,12.0,19.0,1.37,12.0,1.0,2.0,0.0,0.0,4.0,0.29,1.0,0.0,0.0,0.0,0.0,12.0,3.0,2.0,7.0,3.0,3.0,21.4,11.0,5.0,3.0,15.0,8.0,0.0,377.0,11.0,49.0,6.0,42.9,8.0,57.1,235.0,6.0,11.0,18.0,286.0,62.0,36.5,75.0,4,5,25.0,4,0.3,7.0,35.0,-28.0,-2.02,-0.69,12.8,32.4,-19.6,-1.41,-0.07,0.0,12.0,0.0,0.0,0.0,23.0,5.0,35.7
479.0,Adam Smith,eng ENG,DF,Bournemouth,33.0,1991.0,25.0,19.0,1590.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,0.4,1.1,15.0,49.0,34.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,3.0,0.0,0.0,0.17,0.0,0.0,,16.9,0.0,0.22,-0.7,-0.7,514.0,679.0,75.7,8452.0,2723.0,244.0,275.0,88.7,222.0,279.0,79.6,32.0,89.0,36.0,0.7,-0.4,8.0,49.0,10.0,5.0,550.0,128.0,1.0,2.0,33.0,119.0,0.0,0.0,0.0,0.0,1.0,15.0,23.0,1.3,17.0,1.0,1.0,3.0,1.0,2.0,0.11,1.0,0.0,0.0,1.0,0.0,24.0,12.0,11.0,7.0,6.0,14.0,51.9,13.0,8.0,15.0,39.0,49.0,1.0,825.0,41.0,8.0,6.0,37.5,7.0,43.8,366.0,1.0,13.0,7.0,403.0,64.0,46.5,75.0,7,6,28.0,1,1.48,25.0,18.0,7.0,0.4,0.15,29.7,18.9,10.8,0.61,0.38,0.0,19.0,0.0,0.0,0.0,50.0,14.0,48.3
549.0,Adam Webster,eng ENG,DF,Brighton,29.0,1995.0,14.0,11.0,887.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,8.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,5.0,1.0,20.0,0.51,0.1,0.0,0.0,10.8,0.0,0.05,-0.2,-0.2,636.0,725.0,87.7,11765.0,4541.0,242.0,257.0,94.2,333.0,354.0,94.1,53.0,97.0,54.6,0.3,-0.5,3.0,64.0,2.0,0.0,650.0,73.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,14.0,1.42,10.0,2.0,0.0,0.0,0.0,4.0,0.41,2.0,1.0,0.0,0.0,0.0,10.0,6.0,5.0,4.0,1.0,6.0,42.9,8.0,7.0,20.0,30.0,41.0,2.0,824.0,119.0,15.0,1.0,33.3,2.0,66.7,476.0,0.0,5.0,1.0,552.0,63.0,25.9,77.0,8,3,14.0,7,2.29,26.0,11.0,15.0,1.52,1.81,19.0,14.3,4.6,0.47,0.49,0.0,7.0,0.0,1.0,0.0,35.0,24.0,80.0
553.0,Adam Wharton,eng ENG,MF,Crystal Palace,20.0,2004.0,20.0,16.0,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,3.0,3.4,14.0,107.0,11.0,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23,Matches,13.0,5.0,38.5,0.89,0.34,0.0,0.0,25.4,0.0,0.03,-0.4,-0.4,548.0,725.0,75.6,10271.0,3780.0,208.0,252.0,82.5,258.0,322.0,80.1,70.0,107.0,65.4,2.2,-1.0,26.0,78.0,18.0,5.0,678.0,40.0,5.0,1.0,39.0,0.0,26.0,19.0,1.0,0.0,7.0,12.0,59.0,4.03,45.0,11.0,0.0,0.0,1.0,6.0,0.41,4.0,2.0,0.0,0.0,0.0,34.0,14.0,14.0,16.0,4.0,17.0,38.6,27.0,9.0,20.0,54.0,27.0,0.0,872.0,30.0,11.0,2.0,20.0,8.0,80.0,430.0,2.0,17.0,13.0,533.0,66.0,38.5,77.0,3,4,23.0,1,1.25,18.0,21.0,-3.0,-0.2,-0.33,21.1,19.2,1.9,0.13,-0.27,0.0,12.0,0.0,0.0,0.0,102.0,7.0,30.4
