Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
,Aaron Anselmino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,
113,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.17,0.03,0.17,Matches,5,0,0.0,0.55,0.00,0.00,,23.8,2,0.05,-0.2,-0.2,504,610,82.6,9299,3625,229,249,92.0,212,241,88.0,58,107,54.2,1.9,-1.3,9,52,5,2,511,98,1,5,36,52,13,11,2,0,1,10,15,1.64,7,8,0,0,0,0,0.00,0,0,0,0,0,11,7,5,5,1,9,81.8,2,5,8,19,37,0,687,45,2,1,50.0,1,50.0,291,0,4,0,437,46,24.1,76,4,8,8,13,1.78,8,8,0,0.00,+0.55,9.7,12.7,-3.0,-0.32,+0.01,0,4,0,0,0,36,7,50.0
,Aaron Hickey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
426,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,774,1223,63.3,21949,16992,209,210,99.5,302,313,96.5,257,686,37.5,0.1,0.0,0,36,1,0,918,298,0,4,0,0,0,0,0,0,7,1,3,0.10,2,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,2,2,10,3,1314,946,0,0,,0,,786,0,3,0,702,,,,0,0,,2,,,,,,,,,,,,0,1,0,0,0,23,6,100.0
543,Aaron Wan-Bissaka,eng ENG,DF,West Ham,26,1997,36,35,3154,35.0,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.20,0.06,0.20,0.03,0.10,0.14,0.03,0.14,Matches,16,5,31.3,0.46,0.14,0.13,0.40,15.1,0,0.07,+0.8,+0.8,1472,1815,81.1,20696,7523,953,1056,90.2,449,550,81.6,48,105,45.7,2.8,+1.5,33,94,35,11,1568,243,5,1,76,232,0,0,0,0,4,62,93,2.65,75,4,7,2,2,10,0.29,9,0,0,0,0,70,49,33,32,5,23,71.9,9,26,66,136,125,0,2256,147,48,64,52.5,43,35.2,1092,15,35,22,1322,88,92.2,89,33,1,29,1,1.17,44,59,-15,-0.43,-0.09,42.3,56.2,-13.9,-0.40,-0.80,0,25,0,0,1,174,22,40.0
147,Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,Matches,31,9,29.0,1.09,0.32,0.10,0.33,14.0,0,0.13,-1.1,-1.1,725,903,80.3,10909,2254,382,446,85.7,263,316,83.2,44,60,73.3,1.4,-0.4,28,44,15,0,884,14,0,2,23,0,0,0,0,0,5,27,58,2.04,52,0,3,0,1,3,0.11,2,0,0,0,1,48,28,21,20,7,14,32.6,29,25,10,58,20,1,1161,32,65,24,53.3,21,46.7,604,8,38,38,750,78,75.0,82,16,2,12,1,1.30,28,33,-5,-0.18,-0.49,31.0,34.8,-3.8,-0.13,-0.07,1,49,0,0,0,150,30,40.5
284,Abdukodir Khusanov,uz UZB,DF,Manchester City,20,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,1,0,0.0,0.18,0.00,0.00,,23.9,0,0.02,0.0,0.0,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0.1,-0.1,2,23,0,0,385,10,0,1,1,3,0,0,0,0,0,3,5,0.89,5,0,0,0,0,0,0.00,0,0,0,0,0,5,4,4,1,0,2,66.7,1,1,3,8,29,1,445,45,1,0,0.0,2,100.0,274,0,2,1,332,84,14.7,84,5,0,,5,1.67,8,6,+2,+0.36,-0.44,9.0,7.0,+2.1,+0.37,-0.19,0,3,0,0,1,27,6,60.0
177,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0.03,-0.4,-0.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,1.4,+0.4,6,7,7,2,186,11,2,2,30,9,1,0,0,0,0,18,17,2.64,10,0,2,4,0,3,0.47,2,0,0,0,0,21,15,13,2,6,11,57.9,8,7,4,25,12,0,326,19,26,29,42.0,28,40.6,217,15,18,12,216,53,16.9,86,5,5,12,0,0.91,7,14,-7,-1.09,+0.18,6.8,10.7,-3.9,-0.60,+0.52,0,11,0,0,0,38,14,51.9
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0.09,-1.3,-0.3,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,0.6,+0.8,9,10,8,2,268,18,0,1,14,3,0,0,0,0,2,12,19,1.37,12,1,2,0,0,4,0.29,1,0,0,0,0,12,3,2,7,3,3,21.4,11,5,3,15,8,0,377,11,49,6,42.9,8,57.1,235,6,11,18,286,62,36.5,75,4,5,25,4,0.30,7,35,-28,-2.02,-0.69,12.8,32.4,-19.6,-1.41,-0.07,0,12,0,0,0,23,5,35.7
299,Adam Lallana,eng ENG,MF,Southampton,36,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches,3,0,0.0,0.75,0.00,0.00,,18.1,0,0.06,-0.2,-0.2,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,0.5,+1.1,4,21,9,3,255,4,1,0,4,0,0,0,0,0,1,3,9,2.24,8,0,0,1,0,2,0.50,2,0,0,0,0,8,5,4,4,0,2,16.7,10,3,5,13,5,0,318,19,6,5,41.7,5,41.7,178,0,10,6,245,26,10.6,51,0,9,12,6,0.50,3,8,-5,-1.25,+0.37,4.2,7.9,-3.8,-0.94,+0.48,0,8,0,0,0,19,2,50.0
