Rk;Player;Nation;Pos;Squad;Age;Born;90s;xG;npxG;xAG;npxG+xAG;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1;Matches;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;npxG/Sh;G-xG;np:G-xG;Cmp%;Cmp%.1;Cmp%.2;Cmp%.3;xA;A-xAG;SCA90;GCA90;Tkl%;Succ%;Tkld%;Min%;PPM;+/-90;On-Off;onxG;onxGA;xG+/-;xG+/-90;On-Off.1;Won%;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;PrgC_per90;PrgP_per90;PrgR_per90;Sh_per90;SoT_per90;FK_per90;Cmp_per90;Att_per90;TotDist_per90;PrgDist_per90;Cmp.1_per90;Att.1_per90;Cmp.2_per90;Att.2_per90;Cmp.3_per90;Att.3_per90;KP_per90;1/3_per90;PPA_per90;CrsPA_per90;Live_per90;Dead_per90;TB_per90;Sw_per90;Crs_per90;TI_per90;CK_per90;In_per90;Out_per90;Str_per90;Off_per90;Blocks_per90;SCA_per90;PassLive_per90;PassDead_per90;TO_per90;Fld_per90;Def_per90;GCA_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Fld.1_per90;Def.1_per90;Tkl_per90;TklW_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Tkl.1_per90;Lost_per90;Pass_per90;Int_per90;Tkl+Int_per90;Clr_per90;Err_per90;Touches_per90;Def Pen_per90;Att Pen_per90;Succ_per90;Tkld_per90;Carries_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;Mn/MP_per90;Mn/Start_per90;Compl_per90;Subs_per90;Mn/Sub_per90;unSub_per90;onG_per90;onGA_per90;+/-_per90;2CrdY_per90;Fls_per90;PKwon_per90;PKcon_per90;OG_per90;Recov_per90;Won_per90
113,0;Aaron Cresswell;eng ENG;DF;West Ham;34,0;1989,0;9,2;0,2;0,2;1,3;1,6;0,0;0,0;0,0;0,0;0,0;0,03;0,15;0,17;0,03;0,17;Matches;0,0;0,55;0,0;0,0;;23,8;0,05;-0,2;-0,2;82,6;92,0;88,0;54,2;1,9;-1,3;1,64;0,0;81,8;50,0;50,0;24,1;1,78;0,0;0,55;9,7;12,7;-3,0;-0,32;0,01;50,0;1,96;1,09;89,57;0,0;0,0;0,0;0,0;0,0;0,0;0,33;0,0;0,65;3,91;0,43;0,54;0,0;0,22;54,78;66,3;1010,76;394,02;24,89;27,07;23,04;26,2;6,3;11,63;0,98;5,65;0,54;0,22;55,54;10,65;0,11;0,54;3,91;5,65;1,41;1,2;0,22;0,0;0,11;1,09;1,63;0,76;0,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;0,76;0,54;0,54;0,11;0,98;0,22;0,54;0,87;2,07;4,02;0,0;74,67;4,89;0,22;0,11;0,11;31,63;0,0;0,43;0,0;47,5;5,0;8,26;0,43;0,87;0,87;1,41;0,87;0,87;0,0;0,0;0,43;0,0;0,0;0,0;3,91;0,76
426,0;Aaron Ramsdale;eng ENG;GK;Southampton;26,0;1998,0;30,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Matches;;0,0;0,0;;;;;0,0;0,0;63,3;99,5;96,5;37,5;0,1;0,0;0,1;0,0;0,0;;;;;;;;;;;;100,0;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,8;40,77;731,63;566,4;6,97;7,0;10,07;10,43;8,57;22,87;0,0;1,2;0,03;0,0;30,6;9,93;0,0;0,13;0,0;0,0;0,0;0,0;0,0;0,0;0,23;0,03;0,1;0,07;0,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,07;0,07;0,33;0,1;43,8;31,53;0,0;0,0;0,0;26,2;0,0;0,1;0,0;23,4;;;0,0;0,0;;0,07;;;;0,0;0,03;0,0;0,0;0,0;0,77;0,2
543,0;Aaron Wan-Bissaka;eng ENG;DF;West Ham;26,0;1997,0;35,0;1,2;1,2;3,5;4,7;0,06;0,14;0,2;0,06;0,2;0,03;0,1;0,14;0,03;0,14;Matches;31,3;0,46;0,14;0,13;0,4;15,1;0,07;0,8;0,8;81,1;90,2;81,6;45,7;2,8;1,5;2,65;0,29;71,9;52,5;35,2;92,2;1,17;-0,43;-0,09;42,3;56,2;-13,9;-0,4;-0,8;40,0;1,03;1,0;90,11;0,06;0,14;0,2;0,06;0,0;0,0;0,03;0,0;3,14;4,26;4,77;0,46;0,14;0,0;42,06;51,86;591,31;214,94;27,23;30,17;12,83;15,71;1,37;3,0;0,94;2,69;1,0;0,31;44,8;6,94;0,14;0,03;2,17;6,63;0,0;0,0;0,0;0,0;0,11;1,77;2,66;2,14;0,11;0,2;0,06;0,06;0,29;0,26;0,0;0,0;0,0;0,0;2,0;1,4;0,94;0,91;0,14;0,66;0,26;0,74;1,89;3,89;3,57;0,0;64,46;4,2;1,37;1,83;1,23;31,2;0,43;1,0;0,63;37,77;2,51;2,54;0,94;0,03;0,83;0,03;1,26;1,69;-0,43;0,0;0,71;0,0;0,0;0,03;4,97;0,63
147,0;Abdoulaye Doucouré;ml MLI;MF;Everton;31,0;1993,0;28,5;4,1;4,1;2,4;6,6;0,11;0,07;0,18;0,11;0,18;0,15;0,09;0,23;0,15;0,23;Matches;29,0;1,09;0,32;0,1;0,33;14,0;0,13;-1,1;-1,1;80,3;85,7;83,2;73,3;1,4;-0,4;2,04;0,11;32,6;53,3;46,7;75,0;1,3;-0,18;-0,49;31,0;34,8;-3,8;-0,13;-0,07;40,5;1,16;1,09;89,96;0,11;0,07;0,18;0,11;0,0;0,0;0,18;0,04;1,47;2,88;3,37;1,09;0,32;0,0;25,44;31,68;382,77;79,09;13,4;15,65;9,23;11,09;1,54;2,11;0,98;1,54;0,53;0,0;31,02;0,49;0,0;0,07;0,81;0,0;0,0;0,0;0,0;0,0;0,18;0,95;2,04;1,82;0,0;0,11;0,0;0,04;0,11;0,07;0,0;0,0;0,0;0,04;1,68;0,98;0,74;0,7;0,25;0,49;1,02;0,88;0,35;2,04;0,7;0,04;40,74;1,12;2,28;0,84;0,74;21,19;0,28;1,33;1,33;26,32;2,74;2,88;0,56;0,07;0,42;0,04;0,98;1,16;-0,18;0,04;1,72;0,0;0,0;0,0;5,26;1,05
284,0;Abdukodir Khusanov;uz UZB;DF;Manchester City;20,0;2004,0;5,6;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,02;0,02;0,0;0,02;Matches;0,0;0,18;0,0;0,0;;23,9;0,02;0,0;0,0;91,1;94,7;97,0;26,1;0,1;-0,1;0,89;0,0;66,7;0,0;100,0;14,7;1,67;0,36;-0,44;9,0;7,0;2,1;0,37;-0,19;60,0;1,07;1,07;89,82;0,0;0,0;0,0;0,0;0,0;0,0;0,18;0,0;0,18;4,46;0,36;0,18;0,0;0,0;64,29;70,54;1093,93;352,86;28,57;30,18;34,11;35,18;1,07;4,11;0,36;4,11;0,0;0,0;68,75;1,79;0,0;0,18;0,18;0,54;0,0;0,0;0,0;0,0;0,0;0,54;0,89;0,89;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,89;0,71;0,71;0,18;0,0;0,36;0,18;0,18;0,54;1,43;5,18;0,18;79,46;8,04;0,18;0,0;0,36;48,93;0,0;0,36;0,18;59,29;15,0;15,0;0,89;0,0;;0,89;1,43;1,07;0,36;0,0;0,54;0,0;0,0;0,18;4,82;1,07
177,0;Abdul Fatawu Issahaku;gh GHA;FW;Leicester City;20,0;2004,0;6,4;0,4;0,4;1,6;2,0;0,0;0,31;0,31;0,0;0,31;0,06;0,24;0,31;0,06;0,31;Matches;38,5;2,02;0,78;0,0;0,0;31,2;0,03;-0,4;-0,4;62,4;72,8;76,3;48,5;1,4;0,4;2,64;0,47;57,9;42,0;40,6;16,9;0,91;-1,09;0,18;6,8;10,7;-3,9;-0,6;0,52;51,9;1,72;0,94;90,47;0,0;0,31;0,31;0,0;0,0;0,0;0,0;0,0;6,56;2,66;9,38;2,03;0,78;0,0;19,22;30,78;335,94;93,91;9,22;12,66;7,03;9,22;2,5;5,16;0,94;1,09;1,09;0,31;29,06;1,72;0,31;0,31;4,69;1,41;0,16;0,0;0,0;0,0;0,0;2,81;2,66;1,56;0,0;0,31;0,62;0,0;0,47;0,31;0,0;0,0;0,0;0,0;3,28;2,34;2,03;0,31;0,94;1,72;1,25;1,09;0,62;3,91;1,88;0,0;50,94;2,97;4,06;4,53;4,38;33,91;2,34;2,81;1,88;33,75;8,28;13,44;0,78;0,78;1,88;0,0;1,09;2,19;-1,09;0,0;1,72;0,0;0,0;0,0;5,94;2,19
34,0;Adam Armstrong;eng ENG;FW,MF;Southampton;27,0;1997,0;13,9;3,3;2,3;1,2;3,5;0,14;0,14;0,29;0,14;0,29;0,24;0,09;0,32;0,17;0,25;Matches;28,0;1,8;0,5;0,08;0,29;16,6;0,09;-1,3;-0,3;80,2;87,3;85,3;46,2;0,6;0,8;1,37;0,29;21,4;42,9;57,1;36,5;0,3;-2,02;-0,69;12,8;32,4;-19,6;-1,41;-0,07;35,7;1,44;1,08;89,78;0,14;0,14;0,29;0,14;0,0;0,07;0,29;0,0;1,8;1,51;5,68;1,8;0,5;0,0;16,62;20,72;238,85;32,09;9,93;11,37;5,83;6,83;0,43;0,94;0,65;0,72;0,58;0,14;19,28;1,29;0,0;0,07;1,01;0,22;0,0;0,0;0,0;0,0;0,14;0,86;1,37;0,86;0,07;0,14;0,0;0,0;0,29;0,07;0,0;0,0;0,0;0,0;0,86;0,22;0,14;0,5;0,22;0,22;0,79;0,36;0,22;1,08;0,58;0,0;27,12;0,79;3,53;0,43;0,58;16,91;0,43;0,79;1,29;20,58;4,46;5,4;0,29;0,36;1,8;0,29;0,5;2,52;-2,01;0,0;0,86;0,0;0,0;0,0;1,65;0,36
479,0;Adam Smith;eng ENG;DF;Bournemouth;33,0;1991,0;17,7;0,7;0,7;0,4;1,1;0,0;0,0;0,0;0,0;0,0;0,04;0,02;0,06;0,04;0,06;Matches;0,0;0,17;0,0;0,0;;16,9;0,22;-0,7;-0,7;75,7;88,7;79,6;36,0;0,7;-0,4;1,3;0,11;51,9;37,5;43,8;46,5;1,48;0,4;0,15;29,7;18,9;10,8;0,61;0,38;48,3;1,41;1,07;89,83;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,85;2,77;1,92;0,17;0,0;0,0;29,04;38,36;477,51;153,84;13,79;15,54;12,54;15,76;1,81;5,03;0,45;2,77;0,56;0,28;31,07;7,23;0,06;0,11;1,86;6,72;0,0;0,0;0,0;0,0;0,06;0,85;1,3;0,96;0,06;0,06;0,17;0,06;0,11;0,06;0,0;0,0;0,06;0,0;1,36;0,68;0,62;0,4;0,34;0,79;0,73;0,45;0,85;2,2;2,77;0,06;46,61;2,32;0,45;0,34;0,4;20,68;0,06;0,73;0,4;22,77;3,62;4,24;0,4;0,34;1,58;0,06;1,41;1,02;0,4;0,0;1,07;0,0;0,0;0,0;2,82;0,79
549,0;Adam Webster;eng ENG;DF;Brighton;29,0;1995,0;9,9;0,2;0,2;0,5;0,7;0,0;0,0;0,0;0,0;0,0;0,03;0,05;0,08;0,03;0,08;Matches;20,0;0,51;0,1;0,0;0,0;10,8;0,05;-0,2;-0,2;87,7;94,2;94,1;54,6;0,3;-0,5;1,42;0,41;42,9;33,3;66,7;25,9;2,29;1,52;1,81;19,0;14,3;4,6;0,47;0,49;80,0;1,41;1,11;89,6;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,81;6,36;0,2;0,51;0,1;0,0;64,24;73,23;1188,38;458,69;24,44;25,96;33,64;35,76;5,35;9,8;0,3;6,46;0,2;0,0;65,66;7,37;0,0;0,3;0,2;0,0;0,0;0,0;0,0;0,0;0,2;0,51;1,41;1,01;0,2;0,0;0,0;0,0;0,4;0,2;0,1;0,0;0,0;0,0;1,01;0,61;0,51;0,4;0,1;0,61;0,81;0,71;2,02;3,03;4,14;0,2;83,23;12,02;1,52;0,1;0,2;48,08;0,0;0,51;0,1;55,76;6,36;7,78;0,81;0,3;1,41;0,71;2,63;1,11;1,52;0,0;0,71;0,0;0,1;0,0;3,54;2,42
553,0;Adam Wharton;eng ENG;MF;Crystal Palace;20,0;2004,0;14,6;0,4;0,4;3,0;3,4;0,0;0,14;0,14;0,0;0,14;0,03;0,21;0,23;0,03;0,23;Matches;38,5;0,89;0,34;0,0;0,0;25,4;0,03;-0,4;-0,4;75,6;82,5;80,1;65,4;2,2;-1,0;4,03;0,41;38,6;20,0;80,0;38,5;1,25;-0,2;-0,33;21,1;19,2;1,9;0,13;-0,27;30,4;1,37;1,1;90,27;0,0;0,14;0,14;0,0;0,0;0,0;0,14;0,0;0,96;7,33;0,75;0,89;0,34;0,0;37,53;49,66;703,49;258,9;14,25;17,26;17,67;22,05;4,79;7,33;1,78;5,34;1,23;0,34;46,44;2,74;0,34;0,07;2,67;0,0;1,78;1,3;0,07;0,0;0,48;0,82;4,04;3,08;0,75;0,0;0,0;0,07;0,41;0,27;0,14;0,0;0,0;0,0;2,33;0,96;0,96;1,1;0,27;1,16;1,85;0,62;1,37;3,7;1,85;0,0;59,66;2,05;0,75;0,14;0,55;29,45;0,14;1,16;0,89;36,51;4,52;5,27;0,21;0,27;1,58;0,07;1,23;1,44;-0,21;0,0;0,82;0,0;0,0;0,0;6,99;0,48
