Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
144.0,Abdoulay Diaby,ml MLI,"FW,MF",Boavista,33.0,1991.0,12.0,9.0,894.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.6,2.6,0.4,3.0,11.0,21.0,48.0,0.1,0.1,0.2,0.1,0.2,0.26,0.04,0.3,0.26,0.3,Matches,19.0,11.0,57.9,1.91,1.11,0.05,0.09,14.2,0.0,0.14,-1.6,-1.6,146.0,211.0,69.2,2407.0,522.0,72.0,92.0,78.3,54.0,70.0,77.1,13.0,27.0,48.1,0.4,0.6,4.0,12.0,5.0,1.0,197.0,11.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,16.0,1.61,12.0,0.0,1.0,1.0,0.0,2.0,0.2,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,1.0,2.0,33.3,4.0,4.0,5.0,9.0,4.0,0.0,304.0,5.0,35.0,6.0,33.3,12.0,66.7,180.0,5.0,18.0,12.0,208.0,75.0,29.2,88.0,5,3,33.0,0,1.0,10.0,20.0,-10.0,-1.01,0.03,11.2,18.1,-7.0,-0.7,0.01,0.0,15.0,0.0,0.0,0.0,21.0,14.0,56.0,1.21,0.91,90.3,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0.26,0.26,0.04,0.3,1.11,2.12,4.85,0.01,0.01,0.02,0.01,0.02,0.03,0.0,0.03,0.03,0.03,1.92,1.11,0.19,0.11,1.43,0.0,-0.16,-0.16,14.75,21.31,243.13,52.73,7.27,9.29,5.45,7.07,1.31,2.73,0.04,0.06,0.4,1.21,0.51,0.1,19.9,1.11,0.0,0.2,0.91,0.1,0.0,0.0,0.0,0.0,0.3,0.51,1.62,0.16,1.21,0.0,0.1,0.1,0.0,0.2,0.02,0.1,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.3,0.1,0.2,0.4,0.4,0.51,0.91,0.4,0.0,30.71,0.51,3.54,0.61,1.21,18.18,0.51,1.82,1.21,21.01,0.51,0.3,0.0,0.1,1.01,2.02,-1.01,-0.1,1.13,1.83,-0.71,-0.07,0.0,1.52,0.0,0.0,0.0,2.12,1.41
481.0,Aderlan Santos,br BRA,DF,AVS Futebol,35.0,1989.0,10.0,8.0,598.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,0.0,0.15,0.0,0.0,,74.3,0.0,0.01,0.0,0.0,152.0,189.0,80.4,3206.0,1081.0,33.0,41.0,80.5,99.0,106.0,93.4,17.0,35.0,48.6,0.0,0.0,0.0,2.0,1.0,0.0,177.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,2.0,0.0,2.0,40.0,3.0,4.0,4.0,11.0,63.0,2.0,292.0,87.0,1.0,0.0,,0.0,,113.0,0.0,4.0,0.0,128.0,60.0,19.5,73.0,5,2,7.0,1,1.2,5.0,12.0,-7.0,-1.05,-0.03,4.6,9.5,-4.9,-0.74,-0.07,0.0,7.0,0.0,0.0,1.0,16.0,16.0,55.2,1.52,1.21,90.61,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.02,0.0,11.26,0.0,0.0,0.0,23.03,28.64,485.76,163.79,5.0,6.21,15.0,16.06,2.58,5.3,0.0,0.0,0.0,0.3,0.15,0.0,26.82,1.82,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.61,0.3,0.05,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.91,0.76,0.3,0.0,0.3,0.45,0.61,0.61,1.67,9.55,0.3,44.24,13.18,0.15,0.0,0.0,17.12,0.0,0.61,0.0,19.39,0.76,0.3,0.15,0.18,0.76,1.82,-1.06,-0.16,0.7,1.44,-0.74,-0.11,0.0,1.06,0.0,0.0,0.15,2.42,2.42
482.0,Aderlan Santos,br BRA,DF,Rio Ave,35.0,1989.0,18.0,18.0,1580.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,0.0,1.1,3.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,1.0,0.0,0.0,0.15,0.0,0.0,,74.3,0.0,0.01,0.0,0.0,152.0,189.0,80.4,3206.0,1081.0,33.0,41.0,80.5,99.0,106.0,93.4,17.0,35.0,48.6,0.0,0.0,0.0,2.0,1.0,0.0,177.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,2.0,0.0,2.0,40.0,3.0,4.0,4.0,11.0,63.0,2.0,292.0,87.0,1.0,0.0,,0.0,,113.0,0.0,4.0,0.0,128.0,60.0,19.5,73.0,5,2,7.0,1,1.2,5.0,12.0,-7.0,-1.05,-0.03,4.6,9.5,-4.9,-0.74,-0.07,0.0,7.0,0.0,0.0,1.0,16.0,16.0,55.2,1.02,1.02,89.77,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.06,0.06,0.0,0.06,0.17,1.31,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.0,4.22,0.0,0.0,0.0,8.64,10.74,182.16,61.42,1.87,2.33,5.62,6.02,0.97,1.99,0.0,0.0,0.0,0.11,0.06,0.0,10.06,0.68,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.23,0.11,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.34,0.28,0.11,0.0,0.11,0.17,0.23,0.23,0.62,3.58,0.11,16.59,4.94,0.06,0.0,0.0,6.42,0.0,0.23,0.0,7.27,0.28,0.11,0.06,0.07,0.28,0.68,-0.4,-0.06,0.26,0.54,-0.28,-0.04,0.0,0.4,0.0,0.0,0.06,0.91,0.91
5.0,Adriano,br BRA,MF,Santa Clara,24.0,1999.0,32.0,31.0,2630.0,29.2,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,2.7,3.7,26.0,99.0,28.0,0.0,0.07,0.07,0.0,0.07,0.04,0.09,0.13,0.04,0.13,Matches,13.0,4.0,30.8,0.44,0.14,0.0,0.0,18.6,0.0,0.08,-1.0,-1.0,1004.0,1193.0,84.2,17150.0,4413.0,445.0,495.0,89.9,461.0,525.0,87.8,73.0,123.0,59.3,1.5,-0.7,19.0,106.0,10.0,2.0,1141.0,47.0,3.0,5.0,14.0,4.0,0.0,0.0,0.0,0.0,5.0,12.0,54.0,1.85,46.0,0.0,1.0,1.0,3.0,5.0,0.17,4.0,0.0,0.0,0.0,0.0,38.0,18.0,12.0,23.0,3.0,20.0,55.6,16.0,18.0,17.0,55.0,52.0,1.0,1418.0,71.0,14.0,23.0,47.9,24.0,50.0,758.0,1.0,21.0,18.0,945.0,82.0,85.9,85.0,18,1,7.0,0,1.69,33.0,30.0,3.0,0.1,-0.11,34.8,29.0,5.8,0.2,-0.6,0.0,41.0,0.0,1.0,0.0,152.0,17.0,41.5,1.1,1.06,90.07,0.0,0.07,0.07,0.0,0.0,0.0,0.27,0.03,0.03,0.03,0.09,0.13,0.89,3.39,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.14,0.02,0.0,0.64,0.0,-0.03,-0.03,34.38,40.86,587.33,151.13,15.24,16.95,15.79,17.98,2.5,4.21,0.05,-0.02,0.65,3.63,0.34,0.07,39.08,1.61,0.1,0.17,0.48,0.14,0.0,0.0,0.0,0.0,0.17,0.41,1.85,0.06,1.58,0.0,0.03,0.03,0.1,0.17,0.01,0.14,0.0,0.0,0.0,0.0,1.3,0.62,0.41,0.79,0.1,0.68,0.55,0.62,0.58,1.88,1.78,0.03,48.56,2.43,0.48,0.79,0.82,25.96,0.03,0.72,0.62,32.36,0.62,0.03,0.0,0.06,1.13,1.03,0.1,0.0,1.19,0.99,0.2,0.01,0.0,1.4,0.0,0.03,0.0,5.21,0.58
87.0,Adrián Butzke,es ESP,FW,Nacional,25.0,1999.0,10.0,5.0,484.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.7,1.7,0.4,2.1,4.0,13.0,25.0,0.0,0.19,0.19,0.0,0.19,0.31,0.08,0.39,0.31,0.39,Matches,19.0,5.0,26.3,3.53,0.93,0.0,0.0,15.8,0.0,0.09,-1.7,-1.7,72.0,109.0,66.1,1079.0,216.0,41.0,59.0,69.5,19.0,29.0,65.5,5.0,8.0,62.5,0.4,0.6,6.0,7.0,0.0,0.0,96.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,3.53,17.0,0.0,0.0,0.0,0.0,2.0,0.37,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,2.0,50.0,2.0,2.0,3.0,7.0,6.0,0.0,168.0,6.0,22.0,0.0,0.0,4.0,100.0,82.0,1.0,14.0,5.0,120.0,48.0,15.8,73.0,1,5,24.0,1,0.9,3.0,10.0,-7.0,-1.3,-0.92,6.5,7.9,-1.4,-0.26,0.05,0.0,8.0,0.0,0.0,0.0,6.0,23.0,60.5,1.85,0.93,89.63,0.0,0.19,0.19,0.0,0.0,0.0,0.37,0.0,0.31,0.31,0.07,0.39,0.74,2.41,4.63,0.0,0.04,0.04,0.0,0.04,0.06,0.01,0.07,0.06,0.07,3.52,0.93,0.65,0.17,2.93,0.0,-0.31,-0.31,13.33,20.19,199.81,40.0,7.59,10.93,3.52,5.37,0.93,1.48,0.07,0.11,1.11,1.3,0.0,0.0,17.78,2.41,0.19,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,3.52,0.65,3.15,0.0,0.0,0.0,0.0,0.37,0.07,0.19,0.0,0.0,0.0,0.0,0.74,0.37,0.0,0.74,0.0,0.37,0.37,0.37,0.56,1.3,1.11,0.0,31.11,1.11,4.07,0.0,0.74,15.19,0.19,2.59,0.93,22.22,0.19,0.93,0.19,0.17,0.56,1.85,-1.3,-0.24,1.2,1.46,-0.26,-0.05,0.0,1.48,0.0,0.0,0.0,1.11,4.26
316.0,Adrián Marín,es ESP,DF,Braga,27.0,1997.0,10.0,8.0,711.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,6.0,58.0,15.0,0.0,0.25,0.25,0.0,0.25,0.0,0.09,0.09,0.0,0.09,Matches,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,464.0,576.0,80.6,7971.0,3966.0,223.0,242.0,92.1,200.0,239.0,83.7,38.0,75.0,50.7,1.1,1.3,6.0,55.0,7.0,2.0,484.0,90.0,1.0,2.0,13.0,80.0,0.0,0.0,0.0,0.0,2.0,6.0,16.0,2.03,13.0,1.0,1.0,0.0,1.0,6.0,0.76,5.0,0.0,1.0,0.0,0.0,18.0,6.0,11.0,7.0,0.0,8.0,50.0,8.0,8.0,13.0,31.0,29.0,0.0,650.0,20.0,2.0,3.0,42.9,3.0,42.9,353.0,1.0,3.0,3.0,401.0,71.0,23.2,83.0,5,2,23.0,19,2.0,15.0,7.0,8.0,1.01,0.36,11.3,10.3,1.1,0.13,-0.48,0.0,9.0,0.0,0.0,0.0,39.0,13.0,68.4,1.27,1.01,90.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.76,7.34,1.9,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,58.73,72.91,1008.99,502.03,28.23,30.63,25.32,30.25,4.81,9.49,0.14,0.16,0.76,6.96,0.89,0.25,61.27,11.39,0.13,0.25,1.65,10.13,0.0,0.0,0.0,0.0,0.25,0.76,2.03,0.26,1.65,0.13,0.13,0.0,0.13,0.76,0.1,0.63,0.0,0.13,0.0,0.0,2.28,0.76,1.39,0.89,0.0,1.01,1.01,1.01,1.65,3.92,3.67,0.0,82.28,2.53,0.25,0.38,0.38,44.68,0.13,0.38,0.38,50.76,0.63,0.25,2.41,0.25,1.9,0.89,1.01,0.13,1.43,1.3,0.14,0.02,0.0,1.14,0.0,0.0,0.0,4.94,1.65
13.0,Alan,br BRA,MF,Moreirense,24.0,2000.0,31.0,31.0,2513.0,27.9,7.0,6.0,13.0,2.0,5.0,5.0,6.0,0.0,6.1,2.1,4.1,6.3,47.0,164.0,99.0,0.25,0.21,0.47,0.07,0.29,0.22,0.15,0.37,0.08,0.22,Matches,38.0,15.0,39.5,1.36,0.54,0.05,0.13,25.8,4.0,0.06,0.9,-0.1,995.0,1237.0,80.4,15454.0,4933.0,507.0,560.0,90.5,352.0,410.0,85.9,74.0,148.0,50.0,3.9,1.9,66.0,109.0,29.0,2.0,1087.0,142.0,3.0,7.0,83.0,5.0,45.0,17.0,20.0,1.0,8.0,32.0,117.0,4.19,84.0,20.0,7.0,2.0,1.0,13.0,0.47,8.0,4.0,1.0,0.0,0.0,28.0,12.0,8.0,13.0,7.0,9.0,32.1,19.0,13.0,8.0,36.0,9.0,0.0,1457.0,6.0,44.0,29.0,58.0,18.0,36.0,905.0,3.0,57.0,47.0,1093.0,81.0,82.1,81.0,13,0,,0,1.29,30.0,39.0,-9.0,-0.32,-0.49,25.1,30.7,-5.5,-0.2,-0.1,0.0,32.0,0.0,0.0,0.0,99.0,6.0,20.0,1.11,1.11,90.07,0.25,0.22,0.47,0.07,0.18,0.18,0.22,0.0,0.22,0.08,0.15,0.23,1.68,5.88,3.55,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.01,1.36,0.54,0.05,0.02,0.92,0.14,0.03,-0.0,35.66,44.34,553.91,176.81,18.17,20.07,12.62,14.7,2.65,5.3,0.14,0.07,2.37,3.91,1.04,0.07,38.96,5.09,0.11,0.25,2.97,0.18,1.61,0.61,0.72,0.04,0.29,1.15,4.19,0.15,3.01,0.72,0.25,0.07,0.04,0.47,0.02,0.29,0.14,0.04,0.0,0.0,1.0,0.43,0.29,0.47,0.25,0.32,0.68,0.47,0.29,1.29,0.32,0.0,52.22,0.22,1.58,1.04,0.65,32.44,0.11,2.04,1.68,39.18,0.47,0.0,0.0,0.05,1.08,1.4,-0.32,-0.01,0.9,1.1,-0.2,-0.01,0.0,1.15,0.0,0.0,0.0,3.55,0.22
473.0,Alan Ruiz,ar ARG,"MF,FW",Estrela,30.0,1993.0,27.0,18.0,1470.0,16.3,1.0,2.0,3.0,0.0,1.0,1.0,13.0,0.0,1.4,0.6,1.8,2.4,15.0,80.0,56.0,0.06,0.12,0.18,0.0,0.12,0.08,0.11,0.19,0.03,0.15,Matches,20.0,4.0,20.0,1.22,0.24,0.0,0.0,29.0,4.0,0.03,-0.4,-0.6,542.0,761.0,71.2,10132.0,3065.0,266.0,319.0,83.4,170.0,232.0,73.3,90.0,166.0,54.2,1.9,0.2,25.0,74.0,14.0,2.0,648.0,111.0,6.0,12.0,71.0,8.0,43.0,22.0,6.0,1.0,2.0,9.0,54.0,3.3,32.0,14.0,2.0,4.0,1.0,4.0,0.24,3.0,1.0,0.0,0.0,0.0,31.0,19.0,8.0,20.0,3.0,10.0,38.5,16.0,16.0,1.0,32.0,29.0,2.0,957.0,27.0,14.0,23.0,50.0,19.0,41.3,476.0,1.0,31.0,14.0,604.0,54.0,48.0,71.0,3,9,21.0,0,0.96,14.0,18.0,-4.0,-0.24,1.0,13.4,17.8,-4.4,-0.27,0.41,0.0,35.0,0.0,1.0,0.0,69.0,55.0,50.9,1.66,1.1,90.18,0.06,0.12,0.18,0.0,0.06,0.06,0.8,0.0,0.09,0.04,0.11,0.15,0.92,4.91,3.44,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,1.23,0.25,0.07,0.01,1.78,0.25,-0.02,-0.04,33.25,46.69,621.6,188.04,16.32,19.57,10.43,14.23,5.52,10.18,0.12,0.01,1.53,4.54,0.86,0.12,39.75,6.81,0.37,0.74,4.36,0.49,2.64,1.35,0.37,0.06,0.12,0.55,3.31,0.2,1.96,0.86,0.12,0.25,0.06,0.25,0.01,0.18,0.06,0.0,0.0,0.0,1.9,1.17,0.49,1.23,0.18,0.61,0.98,0.98,0.06,1.96,1.78,0.12,58.71,1.66,0.86,1.41,1.17,29.2,0.06,1.9,0.86,37.06,0.18,0.55,0.0,0.06,0.86,1.1,-0.25,-0.01,0.82,1.09,-0.27,-0.02,0.0,2.15,0.0,0.06,0.0,4.23,3.37
553.0,Alan Varela,ar ARG,MF,Porto,23.0,2001.0,31.0,26.0,2198.0,24.4,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,1.2,2.0,17.0,168.0,20.0,0.0,0.08,0.08,0.0,0.08,0.03,0.05,0.08,0.03,0.08,Matches,15.0,5.0,33.3,0.61,0.2,0.0,0.0,25.9,2.0,0.05,-0.7,-0.7,1350.0,1561.0,86.5,22788.0,6070.0,630.0,675.0,93.3,606.0,662.0,91.5,94.0,170.0,55.3,3.0,0.8,29.0,157.0,23.0,4.0,1440.0,117.0,8.0,7.0,65.0,1.0,49.0,17.0,24.0,0.0,4.0,21.0,64.0,2.62,47.0,12.0,0.0,1.0,1.0,10.0,0.41,6.0,2.0,0.0,1.0,0.0,40.0,20.0,11.0,25.0,4.0,22.0,52.4,20.0,17.0,22.0,62.0,34.0,0.0,1752.0,44.0,6.0,10.0,45.5,11.0,50.0,897.0,0.0,15.0,12.0,1221.0,71.0,71.8,82.0,15,5,13.0,1,2.1,46.0,22.0,24.0,0.98,-0.17,41.3,24.3,17.1,0.7,-0.25,0.0,31.0,0.0,1.0,0.0,108.0,25.0,56.8,1.27,1.07,90.08,0.0,0.08,0.08,0.0,0.0,0.0,0.33,0.0,0.03,0.03,0.05,0.08,0.7,6.89,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.2,0.02,0.01,1.06,0.08,-0.03,-0.03,55.33,63.98,933.93,248.77,25.82,27.66,24.84,27.13,3.85,6.97,0.12,0.03,1.19,6.43,0.94,0.16,59.02,4.8,0.33,0.29,2.66,0.04,2.01,0.7,0.98,0.0,0.16,0.86,2.62,0.11,1.93,0.49,0.0,0.04,0.04,0.41,0.02,0.25,0.08,0.0,0.04,0.0,1.64,0.82,0.45,1.02,0.16,0.9,0.82,0.7,0.9,2.54,1.39,0.0,71.8,1.8,0.25,0.41,0.45,36.76,0.0,0.61,0.49,50.04,0.61,0.2,0.04,0.09,1.89,0.9,0.98,0.04,1.69,1.0,0.7,0.03,0.0,1.27,0.0,0.04,0.0,4.43,1.02
125.0,Alberto costa,pt POR,DF,Vitória,20.0,2003.0,10.0,7.0,675.0,7.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.5,1.7,30.0,31.0,52.0,0.0,0.27,0.27,0.0,0.27,0.03,0.2,0.23,0.03,0.23,Matches,7.0,0.0,0.0,0.93,0.0,0.0,,18.4,0.0,0.03,-0.2,-0.2,290.0,389.0,74.6,4523.0,1590.0,160.0,178.0,89.9,111.0,149.0,74.5,13.0,33.0,39.4,2.3,0.5,11.0,23.0,9.0,3.0,300.0,89.0,2.0,0.0,20.0,83.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,3.47,21.0,3.0,1.0,1.0,0.0,6.0,0.8,3.0,1.0,1.0,1.0,0.0,24.0,16.0,11.0,7.0,6.0,16.0,76.2,5.0,15.0,9.0,33.0,26.0,0.0,520.0,20.0,22.0,13.0,59.1,9.0,40.9,227.0,4.0,22.0,6.0,271.0,68.0,22.1,90.0,7,3,15.0,7,1.2,11.0,13.0,-2.0,-0.27,-0.72,11.8,8.1,3.7,0.5,0.18,0.0,12.0,1.0,1.0,0.0,27.0,9.0,50.0,1.33,0.93,90.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.2,0.23,4.0,4.13,6.93,0.0,0.04,0.04,0.0,0.04,0.0,0.03,0.03,0.0,0.03,0.93,0.0,0.12,0.0,2.45,0.0,-0.03,-0.03,38.67,51.87,603.07,212.0,21.33,23.73,14.8,19.87,1.73,4.4,0.31,0.07,1.47,3.07,1.2,0.4,40.0,11.87,0.27,0.0,2.67,11.07,0.0,0.0,0.0,0.0,0.0,2.13,3.47,0.46,2.8,0.4,0.13,0.13,0.0,0.8,0.11,0.4,0.13,0.13,0.13,0.0,3.2,2.13,1.47,0.93,0.8,2.13,0.67,2.0,1.2,4.4,3.47,0.0,69.33,2.67,2.93,1.73,1.2,30.27,0.53,2.93,0.8,36.13,0.93,0.4,0.93,0.16,1.47,1.73,-0.27,-0.04,1.57,1.08,0.49,0.07,0.0,1.6,0.13,0.13,0.0,3.6,1.2
