Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
144,Abdoulay Diaby,ml MLI,"FW,MF",Boavista,33,1991,12,9,894,9.9,1,1,2,1,0,0,1,0,2.6,2.6,0.4,3.0,11,21,48,0.10,0.10,0.20,0.10,0.20,0.26,0.04,0.30,0.26,0.30,Matches,19,11,57.9,1.91,1.11,0.05,0.09,14.2,0,0.14,-1.6,-1.6,146,211,69.2,2407,522,72,92,78.3,54,70,77.1,13,27,48.1,0.4,+0.6,4,12,5,1,197,11,0,2,9,1,0,0,0,0,3,5,16,1.61,12,0,1,1,0,2,0.20,1,0,0,0,0,4,3,0,3,1,2,33.3,4,4,5,9,4,0,304,5,35,6,33.3,12,66.7,180,5,18,12,208,75,29.2,88,5,3,33,0,1.00,10,20,-10,-1.01,+0.03,11.2,18.1,-7.0,-0.70,+0.01,0,15,0,0,0,21,14,56.0
480,Aderlan Santos,br BRA,DF,AVS Futebol,35,1989,10,8,598,6.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1,0,0.0,0.15,0.00,0.00,,74.3,0,0.01,0.0,0.0,152,189,80.4,3206,1081,33,41,80.5,99,106,93.4,17,35,48.6,0.0,0.0,0,2,1,0,177,12,0,0,0,1,0,0,0,0,0,4,2,0.30,2,0,0,0,0,0,0.00,0,0,0,0,0,7,6,5,2,0,2,40.0,3,4,4,11,63,2,292,87,1,0,,0,,113,0,4,0,128,60,19.5,73,5,2,7,1,1.20,5,12,-7,-1.05,-0.03,4.6,9.5,-4.9,-0.74,-0.07,0,7,0,0,1,16,16,55.2
481,Aderlan Santos,br BRA,DF,Rio Ave,35,1989,18,18,1580,17.6,0,0,0,0,0,0,3,0,1.1,1.1,0.0,1.1,3,23,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,1,0,0.0,0.15,0.00,0.00,,74.3,0,0.01,0.0,0.0,152,189,80.4,3206,1081,33,41,80.5,99,106,93.4,17,35,48.6,0.0,0.0,0,2,1,0,177,12,0,0,0,1,0,0,0,0,0,4,2,0.30,2,0,0,0,0,0,0.00,0,0,0,0,0,7,6,5,2,0,2,40.0,3,4,4,11,63,2,292,87,1,0,,0,,113,0,4,0,128,60,19.5,73,5,2,7,1,1.20,5,12,-7,-1.05,-0.03,4.6,9.5,-4.9,-0.74,-0.07,0,7,0,0,1,16,16,55.2
42,Adrian Bajrami,al ALB,DF,Benfica,22,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,8,12,66.7,174,4,2,2,100.0,5,6,83.3,1,3,33.3,0.0,0.0,0,0,0,0,9,2,0,0,0,1,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,0,0,0,,0,,11,0,0,1,11,12,0.4,,0,1,12,12,3.00,1,0,+1,+7.50,+5.88,0.1,0.0,+0.1,+0.88,-0.58,0,0,0,0,0,0,0,
5,Adriano,br BRA,MF,Santa Clara,24,1999,32,31,2630,29.2,0,2,2,0,0,0,8,1,1.0,1.0,2.7,3.7,26,99,28,0.00,0.07,0.07,0.00,0.07,0.04,0.09,0.13,0.04,0.13,Matches,13,4,30.8,0.44,0.14,0.00,0.00,18.6,0,0.08,-1.0,-1.0,1004,1193,84.2,17150,4413,445,495,89.9,461,525,87.8,73,123,59.3,1.5,-0.7,19,106,10,2,1141,47,3,5,14,4,0,0,0,0,5,12,54,1.85,46,0,1,1,3,5,0.17,4,0,0,0,0,38,18,12,23,3,20,55.6,16,18,17,55,52,1,1418,71,14,23,47.9,24,50.0,758,1,21,18,945,82,85.9,85,18,1,7,0,1.69,33,30,+3,+0.10,-0.11,34.8,29.0,+5.8,+0.20,-0.60,0,41,0,1,0,152,17,41.5
,Adriel Moraes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,
88,Adrián Butzke,es ESP,FW,Nacional,25,1999,10,5,484,5.4,0,1,1,0,0,0,2,0,1.7,1.7,0.4,2.1,4,13,25,0.00,0.19,0.19,0.00,0.19,0.31,0.08,0.39,0.31,0.39,Matches,19,5,26.3,3.53,0.93,0.00,0.00,15.8,0,0.09,-1.7,-1.7,72,109,66.1,1079,216,41,59,69.5,19,29,65.5,5,8,62.5,0.4,+0.6,6,7,0,0,96,13,1,2,0,0,0,0,0,0,0,4,19,3.53,17,0,0,0,0,2,0.37,1,0,0,0,0,4,2,0,4,0,2,50.0,2,2,3,7,6,0,168,6,22,0,0.0,4,100.0,82,1,14,5,120,48,15.8,73,1,5,24,1,0.90,3,10,-7,-1.30,-0.92,6.5,7.9,-1.4,-0.26,+0.05,0,8,0,0,0,6,23,60.5
317,Adrián Marín,es ESP,DF,Braga,27,1997,10,8,711,7.9,0,2,2,0,0,0,0,0,0.0,0.0,0.7,0.7,6,58,15,0.00,0.25,0.25,0.00,0.25,0.00,0.09,0.09,0.00,0.09,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,464,576,80.6,7971,3966,223,242,92.1,200,239,83.7,38,75,50.7,1.1,+1.3,6,55,7,2,484,90,1,2,13,80,0,0,0,0,2,6,16,2.03,13,1,1,0,1,6,0.76,5,0,1,0,0,18,6,11,7,0,8,50.0,8,8,13,31,29,0,650,20,2,3,42.9,3,42.9,353,1,3,3,401,71,23.2,83,5,2,23,19,2.00,15,7,+8,+1.01,+0.36,11.3,10.3,+1.1,+0.13,-0.48,0,9,0,0,0,39,13,68.4
31,Afonso Assis,pt POR,MF,Moreirense,18,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,4,75.0,52,13,1,2,50.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,,0,,2,0,0,0,3,14,0.5,,0,1,14,5,0.00,0,1,-1,-6.43,-6.22,0.0,0.3,-0.3,-2.21,-2.04,0,1,0,0,0,0,0,
51,Afonso Bastardo,pt POR,FW,Sporting CP,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,1,1,0,1,0,1,100.0,0,1,0,1,0,0,2,0,0,0,,0,,0,0,0,0,0,1,0.0,,0,1,1,3,3.00,0,0,0,0.00,-1.79,0.0,0.0,0.0,-1.53,-2.96,0,0,0,0,0,0,0,
