Rk,Player,Nation,Pos,Squad,Age,Born,90s,xG,npxG,xAG,npxG+xAG,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,xA,A-xAG,SCA90,GCA90,Tkl%,Succ%,Tkld%,Min%,PPM,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,FK_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Mn/MP_per90,Mn/Start_per90,Compl_per90,Subs_per90,Mn/Sub_per90,unSub_per90,onG_per90,onGA_per90,+/-_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
144.0,Abdoulay Diaby,ml MLI,"FW,MF",Boavista,33.0,1991.0,9.9,2.6,2.6,0.4,3.0,0.1,0.1,0.2,0.1,0.2,0.26,0.04,0.3,0.26,0.3,Matches,57.9,1.91,1.11,0.05,0.09,14.2,0.14,-1.6,-1.6,69.2,78.3,77.1,48.1,0.4,0.6,1.61,0.2,33.3,33.3,66.7,29.2,1.0,-1.01,0.03,11.2,18.1,-7.0,-0.7,0.01,56.0,1.21,0.91,90.3,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.0,1.11,2.12,4.85,1.92,1.11,0.0,14.75,21.31,243.13,52.73,7.27,9.29,5.45,7.07,1.31,2.73,0.4,1.21,0.51,0.1,19.9,1.11,0.0,0.2,0.91,0.1,0.0,0.0,0.0,0.0,0.3,0.51,1.62,1.21,0.0,0.1,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.3,0.1,0.2,0.4,0.4,0.51,0.91,0.4,0.0,30.71,0.51,3.54,0.61,1.21,18.18,0.51,1.82,1.21,21.01,7.58,8.89,0.51,0.3,3.33,0.0,1.01,2.02,-1.01,0.0,1.52,0.0,0.0,0.0,2.12,1.41
480.0,Aderlan Santos,br BRA,DF,AVS Futebol,35.0,1989.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.15,0.0,0.0,,74.3,0.01,0.0,0.0,80.4,80.5,93.4,48.6,0.0,0.0,0.3,0.0,40.0,,,19.5,1.2,-1.05,-0.03,4.6,9.5,-4.9,-0.74,-0.07,55.2,1.52,1.21,90.61,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.61,0.3,0.15,0.0,0.0,23.03,28.64,485.76,163.79,5.0,6.21,15.0,16.06,2.58,5.3,0.0,0.3,0.15,0.0,26.82,1.82,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.61,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.91,0.76,0.3,0.0,0.3,0.45,0.61,0.61,1.67,9.55,0.3,44.24,13.18,0.15,0.0,0.0,17.12,0.0,0.61,0.0,19.39,9.09,11.06,0.76,0.3,1.06,0.15,0.76,1.82,-1.06,0.0,1.06,0.0,0.0,0.15,2.42,2.42
481.0,Aderlan Santos,br BRA,DF,Rio Ave,35.0,1989.0,17.6,1.1,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,0.0,0.15,0.0,0.0,,74.3,0.01,0.0,0.0,80.4,80.5,93.4,48.6,0.0,0.0,0.3,0.0,40.0,,,19.5,1.2,-1.05,-0.03,4.6,9.5,-4.9,-0.74,-0.07,55.2,1.02,1.02,89.77,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,1.31,0.06,0.06,0.0,0.0,8.64,10.74,182.16,61.42,1.87,2.33,5.62,6.02,0.97,1.99,0.0,0.11,0.06,0.0,10.06,0.68,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.23,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.34,0.28,0.11,0.0,0.11,0.17,0.23,0.23,0.62,3.58,0.11,16.59,4.94,0.06,0.0,0.0,6.42,0.0,0.23,0.0,7.27,3.41,4.15,0.28,0.11,0.4,0.06,0.28,0.68,-0.4,0.0,0.4,0.0,0.0,0.06,0.91,0.91
42.0,Adrian Bajrami,al ALB,DF,Benfica,22.0,2002.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,0.0,0.0,,,,,0.0,0.0,66.7,100.0,83.3,33.3,0.0,0.0,0.0,0.0,,,,0.4,3.0,7.5,5.88,0.1,0.0,0.1,0.88,-0.58,,10.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,80.0,120.0,1740.0,40.0,20.0,20.0,50.0,60.0,10.0,30.0,0.0,0.0,0.0,0.0,90.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,10.0,110.0,120.0,,0.0,10.0,120.0,120.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,Adriano,br BRA,MF,Santa Clara,24.0,1999.0,29.2,1.0,1.0,2.7,3.7,0.0,0.07,0.07,0.0,0.07,0.04,0.09,0.13,0.04,0.13,Matches,30.8,0.44,0.14,0.0,0.0,18.6,0.08,-1.0,-1.0,84.2,89.9,87.8,59.3,1.5,-0.7,1.85,0.17,55.6,47.9,50.0,85.9,1.69,0.1,-0.11,34.8,29.0,5.8,0.2,-0.6,41.5,1.1,1.06,90.07,0.0,0.07,0.07,0.0,0.0,0.0,0.27,0.03,0.89,3.39,0.96,0.45,0.14,0.0,34.38,40.86,587.33,151.13,15.24,16.95,15.79,17.98,2.5,4.21,0.65,3.63,0.34,0.07,39.08,1.61,0.1,0.17,0.48,0.14,0.0,0.0,0.0,0.0,0.17,0.41,1.85,1.58,0.0,0.03,0.03,0.1,0.17,0.14,0.0,0.0,0.0,0.0,1.3,0.62,0.41,0.79,0.1,0.68,0.55,0.62,0.58,1.88,1.78,0.03,48.56,2.43,0.48,0.79,0.82,25.96,0.03,0.72,0.62,32.36,2.81,2.91,0.62,0.03,0.24,0.0,1.13,1.03,0.1,0.0,1.4,0.0,0.03,0.0,5.21,0.58
,Adriel Moraes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,Adrián Butzke,es ESP,FW,Nacional,25.0,1999.0,5.4,1.7,1.7,0.4,2.1,0.0,0.19,0.19,0.0,0.19,0.31,0.08,0.39,0.31,0.39,Matches,26.3,3.53,0.93,0.0,0.0,15.8,0.09,-1.7,-1.7,66.1,69.5,65.5,62.5,0.4,0.6,3.53,0.37,50.0,0.0,100.0,15.8,0.9,-1.3,-0.92,6.5,7.9,-1.4,-0.26,0.05,60.5,1.85,0.93,89.63,0.0,0.19,0.19,0.0,0.0,0.0,0.37,0.0,0.74,2.41,4.63,3.52,0.93,0.0,13.33,20.19,199.81,40.0,7.59,10.93,3.52,5.37,0.93,1.48,1.11,1.3,0.0,0.0,17.78,2.41,0.19,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,3.52,3.15,0.0,0.0,0.0,0.0,0.37,0.19,0.0,0.0,0.0,0.0,0.74,0.37,0.0,0.74,0.0,0.37,0.37,0.37,0.56,1.3,1.11,0.0,31.11,1.11,4.07,0.0,0.74,15.19,0.19,2.59,0.93,22.22,8.89,13.52,0.19,0.93,4.44,0.19,0.56,1.85,-1.3,0.0,1.48,0.0,0.0,0.0,1.11,4.26
317.0,Adrián Marín,es ESP,DF,Braga,27.0,1997.0,7.9,0.0,0.0,0.7,0.7,0.0,0.25,0.25,0.0,0.25,0.0,0.09,0.09,0.0,0.09,Matches,,0.0,0.0,,,,,0.0,0.0,80.6,92.1,83.7,50.7,1.1,1.3,2.03,0.76,50.0,42.9,42.9,23.2,2.0,1.01,0.36,11.3,10.3,1.1,0.13,-0.48,68.4,1.27,1.01,90.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.76,7.34,1.9,0.0,0.0,0.0,58.73,72.91,1008.99,502.03,28.23,30.63,25.32,30.25,4.81,9.49,0.76,6.96,0.89,0.25,61.27,11.39,0.13,0.25,1.65,10.13,0.0,0.0,0.0,0.0,0.25,0.76,2.03,1.65,0.13,0.13,0.0,0.13,0.76,0.63,0.0,0.13,0.0,0.0,2.28,0.76,1.39,0.89,0.0,1.01,1.01,1.01,1.65,3.92,3.67,0.0,82.28,2.53,0.25,0.38,0.38,44.68,0.13,0.38,0.38,50.76,8.99,10.51,0.63,0.25,2.91,2.41,1.9,0.89,1.01,0.0,1.14,0.0,0.0,0.0,4.94,1.65
31.0,Afonso Assis,pt POR,MF,Moreirense,18.0,2006.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,0.0,0.0,,,,,0.0,0.0,75.0,50.0,100.0,,0.0,0.0,0.0,0.0,,,,0.5,0.0,-6.43,-6.22,0.0,0.3,-0.3,-2.21,-2.04,,5.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,260.0,65.0,5.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,70.0,,0.0,5.0,70.0,25.0,0.0,5.0,-5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
51.0,Afonso Bastardo,pt POR,FW,Sporting CP,19.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,100.0,,,0.0,3.0,0.0,-1.79,0.0,0.0,0.0,-1.53,-2.96,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
