Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,Dist_per90,FK_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Compl_per90,Subs_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
365.0,Aarón Martín,es ESP,DF,Genoa,27.0,1997.0,36.0,35.0,3085.0,34.3,0.0,8.0,8.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,5.5,6.4,50.0,90.0,108.0,0.0,0.23,0.23,0.0,0.23,0.03,0.16,0.19,0.03,0.19,Matches,16.0,4.0,25.0,0.47,0.12,0.0,0.0,23.6,5.0,0.06,-0.9,-0.9,1221.0,1685.0,72.5,23065.0,8738.0,485.0,544.0,89.2,557.0,708.0,78.7,160.0,368.0,43.5,6.1,2.5,65.0,77.0,30.0,21.0,1226.0,454.0,0.0,3.0,256.0,255.0,106.0,47.0,54.0,0.0,5.0,30.0,95.0,2.77,42.0,48.0,2.0,2.0,0.0,13.0,0.38,8.0,5.0,0.0,0.0,0.0,71.0,47.0,41.0,26.0,4.0,33.0,64.7,18.0,22.0,19.0,90.0,73.0,1.0,1951.0,87.0,20.0,12.0,44.4,12.0,44.4,878.0,4.0,22.0,17.0,1039.0,86.0,90.2,87.0,30,1,32.0,1,1.19,33.0,44.0,-11.0,-0.32,-0.05,34.1,41.5,-7.4,-0.22,0.48,0.0,38.0,0.0,1.0,0.0,146.0,20.0,37.7,1.05,1.02,89.94,0.0,0.23,0.23,0.0,0.0,0.0,0.15,0.0,0.03,0.03,0.16,0.19,1.46,2.62,3.15,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.47,0.12,0.01,0.0,0.69,0.15,-0.03,-0.03,35.6,49.13,672.45,254.75,14.14,15.86,16.24,20.64,4.66,10.73,0.18,0.07,1.9,2.24,0.87,0.61,35.74,13.24,0.0,0.09,7.46,7.43,3.09,1.37,1.57,0.0,0.15,0.87,2.77,0.08,1.22,1.4,0.06,0.06,0.0,0.38,0.01,0.23,0.15,0.0,0.0,0.0,2.07,1.37,1.2,0.76,0.12,0.96,0.52,0.64,0.55,2.62,2.13,0.03,56.88,2.54,0.58,0.35,0.35,25.6,0.12,0.64,0.5,30.29,0.87,0.03,0.03,0.03,0.96,1.28,-0.32,-0.01,0.99,1.21,-0.22,-0.01,0.0,1.11,0.0,0.03,0.0,4.26,0.58
255.0,Abdou Harroui,nl NED,"MF,FW",Hellas Verona,26.0,1998.0,10.0,5.0,463.0,5.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,0.4,2.6,23.0,21.0,34.0,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,Matches,15.0,4.0,26.7,2.92,0.78,0.07,0.25,17.7,1.0,0.15,-1.2,-1.2,160.0,202.0,79.2,2324.0,580.0,96.0,106.0,90.6,54.0,69.0,78.3,6.0,15.0,40.0,0.6,1.6,4.0,16.0,3.0,2.0,197.0,4.0,1.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,15.0,2.92,13.0,0.0,2.0,0.0,0.0,3.0,0.58,3.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,3.0,0.0,4.0,100.0,0.0,5.0,2.0,11.0,5.0,0.0,283.0,5.0,17.0,6.0,30.0,13.0,65.0,175.0,4.0,12.0,10.0,203.0,46.0,13.5,65.0,1,5,27.0,1,1.2,8.0,12.0,-4.0,-0.78,0.07,6.7,10.7,-4.1,-0.79,-0.32,0.0,10.0,0.0,0.0,0.0,22.0,8.0,53.3,1.96,0.98,90.78,0.2,0.39,0.59,0.2,0.0,0.0,0.2,0.0,0.43,0.43,0.08,0.51,4.51,4.12,6.67,0.04,0.08,0.11,0.04,0.11,0.08,0.02,0.1,0.08,0.1,2.94,0.78,0.57,0.15,3.47,0.2,-0.24,-0.24,31.37,39.61,455.69,113.73,18.82,20.78,10.59,13.53,1.18,2.94,0.12,0.31,0.78,3.14,0.59,0.39,38.63,0.78,0.2,0.0,1.76,0.59,0.0,0.0,0.0,0.0,0.2,1.18,2.94,0.57,2.55,0.0,0.39,0.0,0.0,0.59,0.11,0.59,0.0,0.0,0.0,0.0,1.76,1.18,1.18,0.59,0.0,0.78,0.0,0.98,0.39,2.16,0.98,0.0,55.49,0.98,3.33,1.18,2.55,34.31,0.78,2.35,1.96,39.8,0.2,0.98,0.2,0.24,1.57,2.35,-0.78,-0.15,1.31,2.1,-0.8,-0.15,0.0,1.96,0.0,0.0,0.0,4.31,1.57
370.0,Adam Marušić,me MNE,DF,Lazio,31.0,1992.0,35.0,26.0,2337.0,26.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,0.6,2.6,23.0,84.0,108.0,0.15,0.0,0.15,0.15,0.15,0.08,0.02,0.1,0.08,0.1,Matches,23.0,10.0,43.5,0.89,0.39,0.17,0.4,15.4,0.0,0.09,2.0,2.0,1053.0,1240.0,84.9,16214.0,5156.0,556.0,603.0,92.2,414.0,479.0,86.4,56.0,109.0,51.4,0.6,-0.6,13.0,72.0,16.0,9.0,1044.0,195.0,0.0,3.0,54.0,169.0,0.0,0.0,0.0,0.0,1.0,15.0,33.0,1.27,25.0,2.0,0.0,0.0,1.0,3.0,0.12,1.0,0.0,0.0,0.0,0.0,32.0,20.0,18.0,12.0,2.0,18.0,60.0,12.0,10.0,16.0,48.0,61.0,0.0,1433.0,76.0,31.0,10.0,43.5,12.0,52.2,683.0,0.0,12.0,13.0,926.0,67.0,68.3,83.0,19,9,21.0,3,1.6,39.0,39.0,0.0,0.0,-1.0,36.3,27.7,8.6,0.33,-0.58,0.0,20.0,0.0,0.0,1.0,83.0,29.0,52.7,1.35,1.0,89.88,0.15,0.0,0.15,0.15,0.0,0.0,0.04,0.0,0.08,0.08,0.02,0.1,0.88,3.23,4.15,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.88,0.38,0.03,0.02,0.59,0.0,0.08,0.08,40.5,47.69,623.62,198.31,21.38,23.19,15.92,18.42,2.15,4.19,0.02,-0.02,0.5,2.77,0.62,0.35,40.15,7.5,0.0,0.12,2.08,6.5,0.0,0.0,0.0,0.0,0.04,0.58,1.27,0.05,0.96,0.08,0.0,0.0,0.04,0.12,0.0,0.04,0.0,0.0,0.0,0.0,1.23,0.77,0.69,0.46,0.08,0.69,0.46,0.38,0.62,1.85,2.35,0.0,55.12,2.92,1.19,0.38,0.46,26.27,0.0,0.46,0.5,35.62,0.73,0.35,0.12,0.06,1.5,1.5,0.0,0.0,1.4,1.07,0.33,0.01,0.0,0.77,0.0,0.0,0.04,3.19,1.12
371.0,Adam Masina,ma MAR,DF,Torino,30.0,1994.0,28.0,20.0,1919.0,21.3,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.3,1.0,15.0,73.0,10.0,0.05,0.09,0.14,0.05,0.14,0.03,0.01,0.05,0.03,0.05,Matches,8.0,2.0,25.0,0.38,0.09,0.13,0.5,14.6,0.0,0.09,0.3,0.3,1066.0,1267.0,84.1,19972.0,7055.0,392.0,428.0,91.6,559.0,630.0,88.7,106.0,185.0,57.3,0.7,1.7,4.0,72.0,6.0,2.0,1198.0,66.0,1.0,8.0,14.0,25.0,0.0,0.0,0.0,0.0,3.0,4.0,21.0,0.98,17.0,0.0,2.0,1.0,1.0,4.0,0.19,2.0,0.0,1.0,1.0,0.0,33.0,15.0,22.0,10.0,1.0,23.0,57.5,17.0,13.0,27.0,60.0,95.0,2.0,1502.0,187.0,12.0,6.0,50.0,6.0,50.0,853.0,1.0,12.0,8.0,971.0,69.0,56.1,87.0,15,8,22.0,9,1.11,20.0,28.0,-8.0,-0.38,-0.5,21.0,30.2,-9.3,-0.43,-0.04,0.0,23.0,1.0,0.0,0.0,88.0,66.0,74.2,1.31,0.94,90.09,0.05,0.09,0.14,0.05,0.0,0.0,0.23,0.0,0.03,0.03,0.01,0.05,0.7,3.43,0.47,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.38,0.09,0.02,0.0,0.69,0.0,0.01,0.01,50.05,59.48,937.65,331.22,18.4,20.09,26.24,29.58,4.98,8.69,0.03,0.08,0.19,3.38,0.28,0.09,56.24,3.1,0.05,0.38,0.66,1.17,0.0,0.0,0.0,0.0,0.14,0.19,0.99,0.05,0.8,0.0,0.09,0.05,0.05,0.19,0.01,0.09,0.0,0.05,0.05,0.0,1.55,0.7,1.03,0.47,0.05,1.08,0.8,0.61,1.27,2.82,4.46,0.09,70.52,8.78,0.56,0.28,0.28,40.05,0.05,0.56,0.38,45.59,0.7,0.38,0.42,0.05,0.94,1.31,-0.38,-0.02,0.99,1.42,-0.44,-0.02,0.0,1.08,0.05,0.0,0.0,4.13,3.1
416.0,Adam Obert,sk SVK,DF,Cagliari,21.0,2002.0,21.0,13.0,1077.0,12.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.4,1.3,12.0,50.0,19.0,0.08,0.08,0.17,0.08,0.17,0.07,0.03,0.11,0.07,0.11,Matches,9.0,2.0,22.2,0.75,0.17,0.11,0.5,12.0,0.0,0.11,0.1,0.1,413.0,537.0,76.9,6894.0,2626.0,200.0,226.0,88.5,178.0,209.0,85.2,28.0,67.0,41.8,0.2,0.6,10.0,36.0,4.0,1.0,430.0,104.0,0.0,3.0,11.0,92.0,0.0,0.0,0.0,0.0,3.0,17.0,25.0,2.09,19.0,3.0,0.0,1.0,0.0,4.0,0.33,4.0,0.0,0.0,0.0,0.0,31.0,18.0,12.0,17.0,2.0,16.0,59.3,11.0,12.0,23.0,54.0,48.0,2.0,710.0,67.0,13.0,5.0,35.7,9.0,64.3,298.0,0.0,26.0,7.0,330.0,51.0,31.5,72.0,5,8,17.0,15,0.81,13.0,16.0,-3.0,-0.25,0.25,12.5,18.9,-6.3,-0.53,-0.29,0.0,22.0,0.0,0.0,0.0,59.0,25.0,53.2,1.75,1.08,89.75,0.08,0.08,0.17,0.08,0.0,0.0,0.33,0.0,0.08,0.08,0.03,0.11,1.0,4.17,1.58,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.75,0.17,0.06,0.01,1.0,0.0,0.01,0.01,34.42,44.75,574.5,218.83,16.67,18.83,14.83,17.42,2.33,5.58,0.02,0.05,0.83,3.0,0.33,0.08,35.83,8.67,0.0,0.25,0.92,7.67,0.0,0.0,0.0,0.0,0.25,1.42,2.08,0.17,1.58,0.25,0.0,0.08,0.0,0.33,0.03,0.33,0.0,0.0,0.0,0.0,2.58,1.5,1.0,1.42,0.17,1.33,0.92,1.0,1.92,4.5,4.0,0.17,59.17,5.58,1.08,0.42,0.75,24.83,0.0,2.17,0.58,27.5,0.42,0.67,1.25,0.07,1.08,1.33,-0.25,-0.02,1.04,1.58,-0.52,-0.04,0.0,1.83,0.0,0.0,0.0,4.92,2.08
331.0,Ademola Lookman,ng NGA,"MF,FW",Atalanta,26.0,1997.0,31.0,28.0,2247.0,25.0,15.0,5.0,20.0,14.0,1.0,1.0,4.0,0.0,10.3,9.5,7.1,16.7,142.0,73.0,316.0,0.6,0.2,0.8,0.56,0.76,0.41,0.29,0.7,0.38,0.67,Matches,81.0,32.0,39.5,3.24,1.28,0.17,0.44,14.7,0.0,0.12,4.7,4.5,684.0,944.0,72.5,9662.0,2659.0,436.0,502.0,86.9,178.0,256.0,69.5,42.0,96.0,43.8,7.9,-2.1,61.0,29.0,43.0,13.0,842.0,97.0,3.0,1.0,124.0,9.0,84.0,39.0,23.0,1.0,5.0,35.0,135.0,5.41,75.0,25.0,17.0,2.0,1.0,15.0,0.6,10.0,0.0,3.0,1.0,0.0,32.0,15.0,9.0,15.0,8.0,11.0,57.9,8.0,19.0,3.0,35.0,5.0,1.0,1274.0,1.0,199.0,37.0,35.6,64.0,61.5,827.0,81.0,72.0,51.0,974.0,72.0,65.7,76.0,7,3,42.0,2,2.03,50.0,23.0,27.0,1.08,0.01,42.8,22.4,20.4,0.82,0.36,0.0,31.0,0.0,0.0,0.0,69.0,17.0,56.7,1.24,1.12,89.88,0.6,0.2,0.8,0.56,0.04,0.04,0.16,0.0,0.41,0.38,0.28,0.67,5.68,2.92,12.64,0.02,0.01,0.03,0.02,0.03,0.02,0.01,0.03,0.02,0.03,3.24,1.28,0.13,0.05,0.59,0.0,0.19,0.18,27.36,37.76,386.48,106.36,17.44,20.08,7.12,10.24,1.68,3.84,0.32,-0.08,2.44,1.16,1.72,0.52,33.68,3.88,0.12,0.04,4.96,0.36,3.36,1.56,0.92,0.04,0.2,1.4,5.4,0.22,3.0,1.0,0.68,0.08,0.04,0.6,0.02,0.4,0.0,0.12,0.04,0.0,1.28,0.6,0.36,0.6,0.32,0.44,0.32,0.76,0.12,1.4,0.2,0.04,50.96,0.04,7.96,1.48,2.56,33.08,3.24,2.88,2.04,38.96,0.28,0.12,0.08,0.08,2.0,0.92,1.08,0.04,1.71,0.9,0.82,0.03,0.0,1.24,0.0,0.0,0.0,2.76,0.68
59.0,Adrian Bernabe,es ESP,MF,Parma,23.0,2001.0,21.0,18.0,1453.0,16.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,1.1,2.4,37.0,115.0,20.0,0.06,0.06,0.12,0.06,0.12,0.08,0.07,0.15,0.08,0.15,Matches,27.0,5.0,18.5,1.67,0.31,0.04,0.2,26.2,7.0,0.05,-0.3,-0.3,823.0,984.0,83.6,15635.0,5378.0,331.0,364.0,90.9,362.0,410.0,88.3,113.0,171.0,66.1,1.5,-0.1,22.0,103.0,17.0,4.0,880.0,102.0,5.0,14.0,29.0,2.0,22.0,11.0,5.0,0.0,2.0,18.0,58.0,3.59,45.0,6.0,1.0,4.0,0.0,4.0,0.25,4.0,0.0,0.0,0.0,0.0,29.0,18.0,16.0,9.0,4.0,14.0,43.8,18.0,13.0,7.0,36.0,26.0,1.0,1140.0,40.0,8.0,15.0,45.5,13.0,39.4,738.0,3.0,12.0,14.0,818.0,69.0,42.5,73.0,8,3,48.0,2,1.1,20.0,22.0,-2.0,-0.12,0.43,19.7,21.1,-1.4,-0.09,0.46,0.0,9.0,0.0,0.0,0.0,72.0,4.0,50.0,1.3,1.12,90.25,0.06,0.06,0.12,0.06,0.0,0.0,0.06,0.0,0.08,0.08,0.07,0.15,2.3,7.14,1.24,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,1.68,0.31,0.1,0.02,1.63,0.43,-0.02,-0.02,51.12,61.12,971.12,334.04,20.56,22.61,22.48,25.47,7.02,10.62,0.09,-0.01,1.37,6.4,1.06,0.25,54.66,6.34,0.31,0.87,1.8,0.12,1.37,0.68,0.31,0.0,0.12,1.12,3.6,0.22,2.8,0.37,0.06,0.25,0.0,0.25,0.02,0.25,0.0,0.0,0.0,0.0,1.8,1.12,0.99,0.56,0.25,0.87,1.12,0.81,0.43,2.24,1.61,0.06,70.81,2.48,0.5,0.93,0.81,45.84,0.19,0.75,0.87,50.81,0.5,0.19,0.12,0.07,1.24,1.37,-0.12,-0.01,1.22,1.31,-0.09,-0.01,0.0,0.56,0.0,0.0,0.0,4.47,0.25
560.0,Adrien Tameze,cm CMR,"MF,DF",Torino,30.0,1994.0,20.0,9.0,649.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.8,1.2,16.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.17,0.05,0.17,Matches,7.0,3.0,42.9,0.97,0.42,0.0,0.0,15.1,0.0,0.06,-0.4,-0.4,259.0,301.0,86.0,4112.0,904.0,124.0,144.0,86.1,112.0,121.0,92.6,14.0,19.0,73.7,0.7,-0.8,6.0,10.0,6.0,1.0,291.0,10.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,1.11,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,3.0,0.0,1.0,10.0,9.0,3.0,10.0,15.0,8.0,1.0,368.0,15.0,13.0,4.0,26.7,8.0,53.3,214.0,0.0,10.0,3.0,257.0,32.0,19.0,57.0,0,11,13.0,14,1.45,9.0,10.0,-1.0,-0.14,0.02,9.6,9.7,-0.1,-0.01,0.5,0.0,8.0,0.0,1.0,0.0,25.0,11.0,57.9,2.78,1.25,90.14,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.06,0.06,0.11,0.17,2.22,3.19,2.92,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,0.97,0.42,0.13,0.06,2.1,0.0,-0.06,-0.06,35.97,41.81,571.11,125.56,17.22,20.0,15.56,16.81,1.94,2.64,0.1,-0.11,0.83,1.39,0.83,0.14,40.42,1.39,0.0,0.0,1.25,0.28,0.0,0.0,0.0,0.0,0.0,0.97,1.11,0.15,0.83,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.28,0.28,0.42,0.0,0.14,1.25,0.42,1.39,2.08,1.11,0.14,51.11,2.08,1.81,0.56,1.11,29.72,0.0,1.39,0.42,35.69,0.0,1.53,1.94,0.2,1.25,1.39,-0.14,-0.02,1.33,1.35,-0.01,-0.0,0.0,1.11,0.0,0.14,0.0,3.47,1.53
373.0,Alan Matturro,uy URU,DF,Genoa,19.0,2004.0,13.0,9.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.4,12.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,4.0,3.0,75.0,0.4,0.3,0.0,0.0,15.2,0.0,0.05,-0.2,-0.2,280.0,359.0,78.0,5637.0,1806.0,72.0,89.0,80.9,181.0,205.0,88.3,25.0,50.0,50.0,0.3,-0.2,3.0,10.0,4.0,2.0,325.0,33.0,0.0,1.0,8.0,28.0,0.0,0.0,0.0,0.0,1.0,7.0,9.0,0.9,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,6.0,5.0,0.0,3.0,21.4,11.0,7.0,14.0,25.0,38.0,0.0,458.0,51.0,9.0,3.0,60.0,2.0,40.0,218.0,1.0,6.0,3.0,260.0,69.0,26.3,90.0,9,4,23.0,12,1.15,7.0,13.0,-6.0,-0.6,-0.39,7.4,12.9,-5.6,-0.56,-0.4,0.0,10.0,0.0,1.0,0.0,26.0,16.0,50.0,1.3,0.9,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.02,0.02,0.04,1.2,1.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.04,0.03,1.52,0.0,-0.02,-0.02,28.0,35.9,563.7,180.6,7.2,8.9,18.1,20.5,2.5,5.0,0.03,-0.02,0.3,1.0,0.4,0.2,32.5,3.3,0.0,0.1,0.8,2.8,0.0,0.0,0.0,0.0,0.1,0.7,0.9,0.09,0.7,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.6,0.5,0.0,0.3,1.1,0.7,1.4,2.5,3.8,0.0,45.8,5.1,0.9,0.3,0.2,21.8,0.1,0.6,0.3,26.0,0.9,0.4,1.2,0.12,0.7,1.3,-0.6,-0.06,0.74,1.29,-0.56,-0.06,0.0,1.0,0.0,0.1,0.0,2.6,1.6
247.0,Albert Guðmundsson,is ISL,"FW,MF",Fiorentina,27.0,1997.0,24.0,16.0,1273.0,14.1,6.0,1.0,7.0,4.0,2.0,2.0,2.0,0.0,4.5,2.9,1.8,4.8,35.0,37.0,59.0,0.42,0.07,0.49,0.28,0.35,0.32,0.13,0.45,0.21,0.34,Matches,25.0,13.0,52.0,1.77,0.92,0.16,0.31,20.8,2.0,0.12,1.5,1.1,415.0,500.0,83.0,5921.0,1164.0,226.0,243.0,93.0,147.0,175.0,84.0,14.0,32.0,43.8,1.0,-0.8,15.0,34.0,2.0,0.0,459.0,40.0,1.0,1.0,24.0,5.0,7.0,6.0,0.0,0.0,1.0,14.0,39.0,2.76,26.0,2.0,2.0,4.0,0.0,5.0,0.35,3.0,0.0,0.0,2.0,0.0,9.0,5.0,2.0,4.0,3.0,7.0,41.2,10.0,5.0,6.0,15.0,9.0,1.0,624.0,9.0,32.0,15.0,55.6,6.0,22.2,402.0,11.0,29.0,14.0,466.0,53.0,37.2,68.0,3,8,23.0,3,1.71,22.0,12.0,10.0,0.71,0.33,16.8,16.3,0.4,0.03,-0.21,0.0,13.0,1.0,0.0,0.0,53.0,4.0,25.0,1.7,1.13,90.28,0.43,0.07,0.5,0.28,0.14,0.14,0.14,0.0,0.32,0.21,0.13,0.34,2.48,2.62,4.18,0.03,0.0,0.03,0.02,0.02,0.02,0.01,0.03,0.01,0.02,1.77,0.92,0.13,0.07,1.48,0.14,0.11,0.08,29.43,35.46,419.93,82.55,16.03,17.23,10.43,12.41,0.99,2.27,0.07,-0.06,1.06,2.41,0.14,0.0,32.55,2.84,0.07,0.07,1.7,0.35,0.5,0.43,0.0,0.0,0.07,0.99,2.77,0.2,1.84,0.14,0.14,0.28,0.0,0.35,0.02,0.21,0.0,0.0,0.14,0.0,0.64,0.35,0.14,0.28,0.21,0.5,0.71,0.35,0.43,1.06,0.64,0.07,44.26,0.64,2.27,1.06,0.43,28.51,0.78,2.06,0.99,33.05,0.21,0.57,0.21,0.12,1.56,0.85,0.71,0.05,1.19,1.16,0.03,0.0,0.0,0.92,0.07,0.0,0.0,3.76,0.28
