Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
125,Aaron Ciammaglichella,it ITA,MF,Torino,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,1,0.0,,0,1,1,12,3.00,0,0,0,0.00,+0.16,0.2,0.1,+0.1,+9.23,+9.65,0,0,0,0,0,0,0,
365,Aarón Martín,es ESP,DF,Genoa,27,1997,36,35,3085,34.3,0,8,8,0,0,0,5,0,0.9,0.9,5.5,6.4,50,90,108,0.00,0.23,0.23,0.00,0.23,0.03,0.16,0.19,0.03,0.19,Matches,16,4,25.0,0.47,0.12,0.00,0.00,23.6,5,0.06,-0.9,-0.9,1221,1685,72.5,23065,8738,485,544,89.2,557,708,78.7,160,368,43.5,6.1,+2.5,65,77,30,21,1226,454,0,3,256,255,106,47,54,0,5,30,95,2.77,42,48,2,2,0,13,0.38,8,5,0,0,0,71,47,41,26,4,33,64.7,18,22,19,90,73,1,1951,87,20,12,44.4,12,44.4,878,4,22,17,1039,86,90.2,87,30,1,32,1,1.19,33,44,-11,-0.32,-0.05,34.1,41.5,-7.4,-0.22,+0.48,0,38,0,1,0,146,20,37.7
255,Abdou Harroui,nl NED,"MF,FW",Hellas Verona,26,1998,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,Matches,15,4,26.7,2.92,0.78,0.07,0.25,17.7,1,0.15,-1.2,-1.2,160,202,79.2,2324,580,96,106,90.6,54,69,78.3,6,15,40.0,0.6,+1.6,4,16,3,2,197,4,1,0,9,3,0,0,0,0,1,6,15,2.92,13,0,2,0,0,3,0.58,3,0,0,0,0,9,6,6,3,0,4,100.0,0,5,2,11,5,0,283,5,17,6,30.0,13,65.0,175,4,12,10,203,46,13.5,65,1,5,27,1,1.20,8,12,-4,-0.78,+0.07,6.7,10.7,-4.1,-0.79,-0.32,0,10,0,0,0,22,8,53.3
370,Adam Marušić,me MNE,DF,Lazio,31,1992,35,26,2337,26.0,4,0,4,4,0,0,1,0,2.0,2.0,0.6,2.6,23,84,108,0.15,0.00,0.15,0.15,0.15,0.08,0.02,0.10,0.08,0.10,Matches,23,10,43.5,0.89,0.39,0.17,0.40,15.4,0,0.09,+2.0,+2.0,1053,1240,84.9,16214,5156,556,603,92.2,414,479,86.4,56,109,51.4,0.6,-0.6,13,72,16,9,1044,195,0,3,54,169,0,0,0,0,1,15,33,1.27,25,2,0,0,1,3,0.12,1,0,0,0,0,32,20,18,12,2,18,60.0,12,10,16,48,61,0,1433,76,31,10,43.5,12,52.2,683,0,12,13,926,67,68.3,83,19,9,21,3,1.60,39,39,0,0.00,-1.00,36.3,27.7,+8.6,+0.33,-0.58,0,20,0,0,1,83,29,52.7
371,Adam Masina,ma MAR,DF,Torino,30,1994,28,20,1919,21.3,1,2,3,1,0,0,5,0,0.7,0.7,0.3,1.0,15,73,10,0.05,0.09,0.14,0.05,0.14,0.03,0.01,0.05,0.03,0.05,Matches,8,2,25.0,0.38,0.09,0.13,0.50,14.6,0,0.09,+0.3,+0.3,1066,1267,84.1,19972,7055,392,428,91.6,559,630,88.7,106,185,57.3,0.7,+1.7,4,72,6,2,1198,66,1,8,14,25,0,0,0,0,3,4,21,0.98,17,0,2,1,1,4,0.19,2,0,1,1,0,33,15,22,10,1,23,57.5,17,13,27,60,95,2,1502,187,12,6,50.0,6,50.0,853,1,12,8,971,69,56.1,87,15,8,22,9,1.11,20,28,-8,-0.38,-0.50,21.0,30.2,-9.3,-0.43,-0.04,0,23,1,0,0,88,66,74.2
415,Adam Obert,sk SVK,DF,Cagliari,21,2002,21,13,1077,12.0,1,1,2,1,0,0,4,0,0.9,0.9,0.4,1.3,12,50,19,0.08,0.08,0.17,0.08,0.17,0.07,0.03,0.11,0.07,0.11,Matches,9,2,22.2,0.75,0.17,0.11,0.50,12.0,0,0.11,+0.1,+0.1,413,537,76.9,6894,2626,200,226,88.5,178,209,85.2,28,67,41.8,0.2,+0.6,10,36,4,1,430,104,0,3,11,92,0,0,0,0,3,17,25,2.09,19,3,0,1,0,4,0.33,4,0,0,0,0,31,18,12,17,2,16,59.3,11,12,23,54,48,2,710,67,13,5,35.7,9,64.3,298,0,26,7,330,51,31.5,72,5,8,17,15,0.81,13,16,-3,-0.25,+0.25,12.5,18.9,-6.3,-0.53,-0.29,0,22,0,0,0,59,25,53.2
331,Ademola Lookman,ng NGA,"MF,FW",Atalanta,26,1997,31,28,2247,25.0,15,5,20,14,1,1,4,0,10.3,9.5,7.1,16.7,142,73,316,0.60,0.20,0.80,0.56,0.76,0.41,0.29,0.70,0.38,0.67,Matches,81,32,39.5,3.24,1.28,0.17,0.44,14.7,0,0.12,+4.7,+4.5,684,944,72.5,9662,2659,436,502,86.9,178,256,69.5,42,96,43.8,7.9,-2.1,61,29,43,13,842,97,3,1,124,9,84,39,23,1,5,35,135,5.41,75,25,17,2,1,15,0.60,10,0,3,1,0,32,15,9,15,8,11,57.9,8,19,3,35,5,1,1274,1,199,37,35.6,64,61.5,827,81,72,51,974,72,65.7,76,7,3,42,2,2.03,50,23,+27,+1.08,+0.01,42.8,22.4,+20.4,+0.82,+0.36,0,31,0,0,0,69,17,56.7
56,Adrian Benedyczak,pl POL,"FW,MF",Parma,23,2000,9,2,214,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,3,3,12,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,Matches,3,0,0.0,1.26,0.00,0.00,,18.4,0,0.08,-0.3,-0.3,35,52,67.3,577,144,18,27,66.7,10,15,66.7,4,6,66.7,0.0,-0.1,2,2,0,0,50,2,0,1,1,0,0,0,0,0,0,1,3,1.26,3,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,0,0,8,0,79,7,4,0,0.0,2,100.0,44,0,5,3,60,24,6.3,45,0,7,18,5,1.11,4,7,-3,-1.26,-0.95,3.1,6.4,-3.4,-1.41,-1.13,0,4,0,0,0,3,9,42.9
59,Adrian Bernabe,es ESP,MF,Parma,23,2001,21,18,1453,16.1,1,1,2,1,0,0,1,0,1.3,1.3,1.1,2.4,37,115,20,0.06,0.06,0.12,0.06,0.12,0.08,0.07,0.15,0.08,0.15,Matches,27,5,18.5,1.67,0.31,0.04,0.20,26.2,7,0.05,-0.3,-0.3,823,984,83.6,15635,5378,331,364,90.9,362,410,88.3,113,171,66.1,1.5,-0.1,22,103,17,4,880,102,5,14,29,2,22,11,5,0,2,18,58,3.59,45,6,1,4,0,4,0.25,4,0,0,0,0,29,18,16,9,4,14,43.8,18,13,7,36,26,1,1140,40,8,15,45.5,13,39.4,738,3,12,14,818,69,42.5,73,8,3,48,2,1.10,20,22,-2,-0.12,+0.43,19.7,21.1,-1.4,-0.09,+0.46,0,9,0,0,0,72,4,50.0
559,Adrien Tameze,cm CMR,"MF,DF",Torino,30,1994,20,9,649,7.2,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.2,16,23,21,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.17,0.05,0.17,Matches,7,3,42.9,0.97,0.42,0.00,0.00,15.1,0,0.06,-0.4,-0.4,259,301,86.0,4112,904,124,144,86.1,112,121,92.6,14,19,73.7,0.7,-0.8,6,10,6,1,291,10,0,0,9,2,0,0,0,0,0,7,8,1.11,6,0,1,0,0,0,0.00,0,0,0,0,0,5,2,2,3,0,1,10.0,9,3,10,15,8,1,368,15,13,4,26.7,8,53.3,214,0,10,3,257,32,19.0,57,0,11,13,14,1.45,9,10,-1,-0.14,+0.02,9.6,9.7,-0.1,-0.01,+0.50,0,8,0,1,0,25,11,57.9
,Alain Taho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
373,Alan Matturro,uy URU,DF,Genoa,19,2004,13,9,900,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,12,15,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,4,3,75.0,0.40,0.30,0.00,0.00,15.2,0,0.05,-0.2,-0.2,280,359,78.0,5637,1806,72,89,80.9,181,205,88.3,25,50,50.0,0.3,-0.2,3,10,4,2,325,33,0,1,8,28,0,0,0,0,1,7,9,0.90,7,1,0,0,1,0,0.00,0,0,0,0,0,11,6,6,5,0,3,21.4,11,7,14,25,38,0,458,51,9,3,60.0,2,40.0,218,1,6,3,260,69,26.3,90,9,4,23,12,1.15,7,13,-6,-0.60,-0.39,7.4,12.9,-5.6,-0.56,-0.40,0,10,0,1,0,26,16,50.0
247,Albert Guðmundsson,is ISL,"FW,MF",Fiorentina,27,1997,24,16,1273,14.1,6,1,7,4,2,2,2,0,4.5,2.9,1.8,4.8,35,37,59,0.42,0.07,0.49,0.28,0.35,0.32,0.13,0.45,0.21,0.34,Matches,25,13,52.0,1.77,0.92,0.16,0.31,20.8,2,0.12,+1.5,+1.1,415,500,83.0,5921,1164,226,243,93.0,147,175,84.0,14,32,43.8,1.0,-0.8,15,34,2,0,459,40,1,1,24,5,7,6,0,0,1,14,39,2.76,26,2,2,4,0,5,0.35,3,0,0,2,0,9,5,2,4,3,7,41.2,10,5,6,15,9,1,624,9,32,15,55.6,6,22.2,402,11,29,14,466,53,37.2,68,3,8,23,3,1.71,22,12,+10,+0.71,+0.33,16.8,16.3,+0.4,+0.03,-0.21,0,13,1,0,0,53,4,25.0
120,Alberto Cerri,it ITA,FW,Como,28,1996,5,0,87,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,11,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,1.05,1.05,Matches,4,1,25.0,4.14,1.03,0.00,0.00,11.2,0,0.25,-1.0,-1.0,15,23,65.2,184,7,10,16,62.5,2,4,50.0,1,1,100.0,0.1,0.0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,1,1.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,1,0,36,1,9,0,,0,,20,1,2,3,29,17,2.5,,0,5,17,8,0.20,0,4,-4,-4.14,-4.16,1.7,1.2,+0.6,+0.60,+0.55,0,3,0,0,0,3,4,50.0
,Alberto Chiesurin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,8,,,,,,,,,,,,,,,,,,,
175,Alberto Dossena,it ITA,DF,Como,25,1998,23,20,1825,20.3,0,2,2,0,0,0,1,1,0.8,0.8,0.7,1.5,4,36,1,0.00,0.10,0.10,0.00,0.10,0.04,0.03,0.07,0.04,0.07,Matches,12,3,25.0,0.59,0.15,0.00,0.00,11.3,0,0.07,-0.8,-0.8,894,1020,87.6,16693,5441,310,336,92.3,507,547,92.7,65,110,59.1,0.4,+1.3,5,33,1,0,952,65,0,3,1,4,0,0,0,0,3,8,11,0.54,9,0,1,0,0,2,0.10,1,0,0,0,0,33,20,23,8,2,16,57.1,12,11,22,55,89,1,1220,173,20,4,66.7,2,33.3,693,0,8,3,776,79,53.4,87,14,3,29,3,0.91,25,34,-9,-0.44,-0.78,22.7,22.9,-0.2,-0.01,-0.16,0,22,0,2,0,68,59,71.1
244,Alberto Grassi,it ITA,MF,Empoli,29,1995,28,27,2203,24.5,1,0,1,1,0,0,8,0,1.0,1.0,0.8,1.9,18,74,24,0.04,0.00,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08,Matches,11,4,36.4,0.45,0.16,0.09,0.25,15.7,0,0.09,0.0,0.0,634,850,74.6,10794,3479,261,320,81.6,314,388,80.9,40,91,44.0,0.7,-0.8,7,65,7,0,807,37,2,1,10,4,0,0,0,0,6,14,27,1.10,21,0,0,3,1,2,0.08,1,0,0,1,0,39,21,16,18,5,14,63.6,8,10,33,72,43,1,1058,67,26,5,41.7,6,50.0,441,1,26,18,542,79,64.4,81,13,1,17,1,0.68,20,36,-16,-0.65,+0.09,22.2,30.9,-8.7,-0.35,+0.31,0,28,1,0,0,124,29,58.0
353,Alberto Manzoni,it ITA,MF,Atalanta,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,Matches,1,0,0.0,15.00,0.00,0.00,,23.7,0,0.06,-0.1,-0.1,11,12,91.7,196,29,5,6,83.3,6,6,100.0,0,0,,0.0,0.0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,15.00,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,0,0,0,,0,,8,0,0,0,13,6,0.2,,0,1,6,2,0.00,0,0,0,0.00,-1.08,1.0,0.2,+0.8,+12.21,+11.53,0,1,0,0,0,0,1,100.0
392,Alberto Moreno,es ESP,DF,Como,32,1992,24,21,1727,19.2,0,0,0,0,0,0,4,0,0.4,0.4,1.2,1.6,23,81,58,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,14,6,42.9,0.73,0.31,0.00,0.00,25.6,0,0.03,-0.4,-0.4,893,1082,82.5,15712,5538,383,420,91.2,417,475,87.8,76,140,54.3,1.6,-1.2,19,63,23,12,909,170,1,5,49,139,0,0,0,0,3,20,36,1.88,32,3,0,0,0,2,0.10,2,0,0,0,0,25,11,17,8,0,12,46.2,14,9,14,39,40,2,1224,58,17,3,42.9,3,42.9,722,4,18,3,805,72,50.5,79,9,3,24,6,1.21,20,26,-6,-0.31,-0.47,21.0,23.3,-2.2,-0.12,-0.36,0,17,0,0,0,74,11,35.5
435,Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,28,32,87.5,826,650,10,10,100.0,6,6,100.0,12,16,75.0,0.0,0.0,0,0,0,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,37,29,0,0,,0,,23,0,0,0,15,90,2.6,90,1,0,,37,0.00,2,3,-1,-1.00,-0.86,0.7,2.0,-1.4,-1.35,-0.96,0,0,0,0,0,2,0,
139,Alberto costa,pt POR,DF,Juventus,20,2003,9,3,357,4.0,0,1,1,0,0,0,3,0,0.6,0.6,0.2,0.8,8,8,25,0.00,0.25,0.25,0.00,0.25,0.15,0.05,0.20,0.15,0.20,Matches,7,0,0.0,1.76,0.00,0.00,,15.7,0,0.09,-0.6,-0.6,176,212,83.0,2472,679,111,121,91.7,54,64,84.4,4,11,36.4,0.1,+0.8,2,7,1,0,191,20,0,0,2,17,0,0,0,0,1,4,7,1.76,4,0,1,0,0,1,0.25,1,0,0,0,0,14,10,7,5,2,7,77.8,2,4,4,18,14,0,276,13,14,4,36.4,6,54.5,148,3,9,0,170,40,10.4,71,1,6,24,9,1.56,7,3,+4,+1.01,+0.45,5.0,1.9,+3.1,+0.78,+0.37,0,8,0,0,0,23,5,62.5
