Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
17.0,Adam Andersson,se SWE,DF,Lyngby,27.0,1996.0,10.0,2.0,365.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,0.0,0.25,0.0,0.0,,,37.0,12.7,90.0,2,8,23.0,3,1.0,2.0,5.0,-3.0,-0.74,-0.24,0.0,4.0,0.0,0.0,10.0,5.0,7.0,,,0.0
65.0,Adam Buksa,pl POL,FW,Midtjylland,28.0,1996.0,24.0,18.0,1702.0,18.9,12.0,1.0,13.0,9.0,3.0,3.0,5.0,0.0,0.63,0.05,0.69,0.48,0.53,Matches,69.0,26.0,37.7,3.65,1.37,0.13,0.35,,71.0,59.1,84.0,13,6,31.0,1,1.88,36.0,22.0,14.0,0.74,0.13,0.0,28.0,24.0,3.0,0.0,5.0,9.0,,,0.0
125.0,Adam Gabriel,cz CZE,DF,Midtjylland,23.0,2001.0,11.0,4.0,461.0,5.1,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.2,0.39,0.59,0.2,0.59,Matches,9.0,4.0,44.4,1.76,0.78,0.11,0.25,,42.0,16.0,80.0,2,7,20.0,8,2.73,14.0,5.0,9.0,1.76,1.27,0.0,9.0,1.0,0.0,4.0,1.0,4.0,,,0.0
70.0,Alexander Busch,dk DEN,DF,Silkeborg,21.0,2003.0,8.0,7.0,632.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,79.0,21.9,90.0,7,1,2.0,0,1.56,12.0,10.0,2.0,0.28,-0.24,0.0,5.0,8.0,0.0,0.0,13.0,7.0,,,0.0
232.0,Alexander Lyng,dk DEN,"FW,MF",SønderjyskE,19.0,2004.0,23.0,11.0,1021.0,11.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,23.0,7.0,30.4,2.03,0.62,0.13,0.43,,44.0,35.5,66.0,1,12,24.0,9,1.22,18.0,18.0,0.0,0.0,0.82,0.0,12.0,14.0,4.0,10.0,3.0,17.0,,,0.0
319.0,Alexander Simmelhack,dk DEN,FW,Silkeborg,18.0,2005.0,23.0,2.0,413.0,4.6,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,1.09,0.22,1.31,1.09,1.31,Matches,12.0,9.0,75.0,2.62,1.96,0.42,0.56,,18.0,14.3,79.0,0,21,12.0,4,1.42,8.0,5.0,3.0,0.65,0.22,0.0,10.0,4.0,1.0,1.0,1.0,3.0,,,0.0
81.0,Amin Chiakha,dz ALG,FW,FC Copenhagen,18.0,2006.0,17.0,4.0,460.0,5.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,11.0,4.0,36.4,2.15,0.78,0.18,0.5,,27.0,16.0,64.0,0,13,16.0,10,2.12,7.0,4.0,3.0,0.59,-0.31,0.0,12.0,4.0,2.0,1.0,2.0,2.0,,,0.0
192.0,Anders K. Jacobsen,dk DEN,"FW,MF",Vejle BK,34.0,1989.0,25.0,10.0,895.0,9.9,2.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.2,0.3,0.5,0.2,0.5,Matches,13.0,8.0,61.5,1.31,0.8,0.15,0.25,,36.0,31.1,66.0,2,15,16.0,7,1.0,14.0,16.0,-2.0,-0.2,0.93,0.0,9.0,4.0,1.0,1.0,4.0,2.0,,,0.0
200.0,Anders Klynge,dk DEN,"MF,FW",Silkeborg,23.0,2000.0,18.0,14.0,1213.0,13.5,1.0,7.0,8.0,1.0,0.0,0.0,1.0,0.0,0.07,0.52,0.59,0.07,0.59,Matches,18.0,4.0,22.2,1.34,0.3,0.06,0.25,,67.0,42.1,80.0,8,4,24.0,0,1.68,25.0,17.0,8.0,0.59,0.22,0.0,14.0,9.0,0.0,27.0,19.0,20.0,,,0.0
63.0,Andreas Bruus,dk DEN,"DF,MF",Aalborg,25.0,1999.0,20.0,19.0,1534.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,11.0,2.0,18.2,0.65,0.12,0.0,0.0,,77.0,53.3,78.0,8,1,45.0,0,0.7,19.0,29.0,-10.0,-0.59,0.95,0.0,5.0,14.0,1.0,53.0,16.0,6.0,,,0.0
87.0,Andreas Cornelius,dk DEN,FW,FC Copenhagen,31.0,1993.0,19.0,12.0,1118.0,12.4,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,0.24,0.32,0.56,0.24,0.56,Matches,31.0,11.0,35.5,2.5,0.89,0.1,0.27,,59.0,38.8,81.0,6,7,21.0,0,2.0,26.0,14.0,12.0,0.97,0.2,0.0,32.0,11.0,9.0,1.0,3.0,4.0,,,0.0
142.0,Andreas Hansen,dk DEN,GK,Nordsjælland,28.0,1995.0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,90.0,93.8,90.0,30,0,,2,1.53,53.0,53.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,1.0
269.0,Andreas Oggesen,dk DEN,"DF,MF",SønderjyskE,30.0,1994.0,30.0,27.0,2466.0,27.4,0.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,3.0,0.0,0.0,0.11,0.0,0.0,,,82.0,85.6,88.0,20,3,31.0,0,1.23,41.0,56.0,-15.0,-0.55,-0.11,0.0,16.0,9.0,0.0,80.0,14.0,24.0,,,0.0
286.0,Andreas Poulsen,dk DEN,DF,Silkeborg,24.0,1999.0,21.0,16.0,1484.0,16.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,24.0,0.0,0.0,1.46,0.0,0.0,,,71.0,51.5,84.0,6,5,28.0,8,1.77,29.0,20.0,9.0,0.55,0.16,0.0,11.0,9.0,4.0,68.0,19.0,18.0,,,0.0
175.0,Andres Jasson,us USA,"MF,FW",Aalborg,22.0,2002.0,31.0,16.0,1517.0,16.9,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.06,0.18,0.24,0.06,0.24,Matches,25.0,4.0,16.0,1.48,0.24,0.04,0.25,,49.0,52.7,76.0,4,15,20.0,0,0.74,18.0,34.0,-16.0,-0.95,0.17,0.0,28.0,48.0,1.0,26.0,16.0,24.0,,,0.0
307.0,André Rømer,dk DEN,MF,Randers,31.0,1993.0,26.0,22.0,1906.0,21.2,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches,3.0,0.0,0.0,1.39,0.0,0.0,,,49.0,6.7,90.0,1,3,35.0,1,2.0,4.0,0.0,4.0,1.86,1.25,0.0,1.0,2.0,0.0,0.0,2.0,2.0,,,0.0
112.0,Anosike Ementa,dk DEN,FW,Viborg,22.0,2002.0,31.0,8.0,1110.0,12.3,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.24,0.08,0.32,0.24,0.32,Matches,27.0,10.0,37.0,2.19,0.81,0.11,0.3,,36.0,38.5,82.0,5,23,20.0,1,1.42,18.0,23.0,-5.0,-0.41,-1.02,0.0,27.0,22.0,2.0,2.0,6.0,4.0,,,0.0
321.0,Aral Şimşir,dk DEN,"MF,FW",Midtjylland,22.0,2002.0,23.0,15.0,1392.0,15.5,3.0,6.0,9.0,2.0,1.0,1.0,0.0,0.0,0.19,0.39,0.58,0.13,0.52,Matches,36.0,12.0,33.3,2.33,0.78,0.06,0.17,,61.0,48.3,76.0,6,8,31.0,0,2.0,31.0,23.0,8.0,0.52,-0.33,0.0,7.0,31.0,0.0,59.0,2.0,2.0,,,0.0
44.0,Asker Beck,dk DEN,MF,Viborg,21.0,2003.0,12.0,5.0,524.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,15.0,4.0,26.7,2.58,0.69,0.0,0.0,,44.0,18.2,82.0,1,7,17.0,1,1.67,8.0,10.0,-2.0,-0.34,-0.69,0.0,8.0,6.0,0.0,4.0,1.0,9.0,,,0.0
39.0,Atli Barkarson,is ISL,"DF,MF",SønderjyskE,23.0,2001.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0,0.0,0.0,1.0,0.0,0.0,,,90.0,12.5,90.0,4,0,,0,0.25,1.0,8.0,-7.0,-1.75,-1.39,0.0,6.0,2.0,1.0,32.0,3.0,3.0,,,0.0
302.0,Baptiste Rolland,fr FRA,DF,Lyngby,21.0,2003.0,7.0,5.0,327.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0,1.0,25.0,1.1,0.28,0.0,0.0,,47.0,11.4,55.0,0,2,27.0,13,1.0,5.0,3.0,2.0,0.55,1.22,0.0,5.0,5.0,0.0,4.0,7.0,8.0,,,0.0
266.0,Benjamin Nygren,se SWE,"FW,MF",Nordsjælland,23.0,2001.0,30.0,28.0,2551.0,28.3,15.0,2.0,17.0,15.0,0.0,1.0,1.0,0.0,0.53,0.07,0.6,0.53,0.6,Matches,82.0,40.0,48.8,2.89,1.41,0.18,0.38,,85.0,88.6,88.0,21,2,38.0,0,1.4,44.0,53.0,-9.0,-0.32,-1.96,0.0,30.0,25.0,0.0,31.0,10.0,24.0,,,0.0
