Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
317,Aaron Seydel,de GER,FW,Aalborg,28,1996,6,0,108,1.2,1,0,1,1,0,0,0,0,0.83,0.00,0.83,0.83,0.83,Matches,2,1,50.0,1.67,0.83,0.50,1.00,,18,3.8,,0,6,18,1,0.67,3,3,0,0.00,+1.07,0,1,1,1,0,0,4,,,0
139,Abdul Hakim Sulemana,gh GHA,MF,Randers,19,2005,7,0,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2,0,0.0,2.81,0.00,0.00,,,9,2.2,,0,7,9,2,0.75,1,1,0,0.00,-0.22,0,1,1,2,4,0,2,,,0
17,Adam Andersson,se SWE,DF,Lyngby,27,1996,10,2,365,4.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1,0,0.0,0.25,0.00,0.00,,,37,12.7,90,2,8,23,3,1.00,2,5,-3,-0.74,-0.24,0,4,0,0,10,5,7,,,0
65,Adam Buksa,pl POL,FW,Midtjylland,28,1996,24,18,1702,18.9,12,1,13,9,3,3,5,0,0.63,0.05,0.69,0.48,0.53,Matches,69,26,37.7,3.65,1.37,0.13,0.35,,71,59.1,84,13,6,31,1,1.88,36,22,+14,+0.74,+0.13,0,28,24,3,0,5,9,,,0
,Adam Claridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,
125,Adam Gabriel,cz CZE,DF,Midtjylland,23,2001,11,4,461,5.1,1,2,3,1,0,0,0,0,0.20,0.39,0.59,0.20,0.59,Matches,9,4,44.4,1.76,0.78,0.11,0.25,,42,16.0,80,2,7,20,8,2.73,14,5,+9,+1.76,+1.27,0,9,1,0,4,1,4,,,0
352,Adam Vendelbo,dk DEN,FW,Lyngby,21,2003,2,0,12,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1,0,0.0,7.50,0.00,0.00,,,6,0.4,,0,2,6,15,0.00,0,0,0,0.00,+0.53,0,1,0,0,0,0,0,,,0
256,Adamo Nagalo,bf BFA,DF,Nordsjælland,21,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,7,0.2,,0,1,7,0,3.00,0,0,0,0.00,+0.09,0,0,0,0,0,0,0,,,0
,Aksel Halsgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,
305,Albert Rrahmani,xk KVX,MF,SønderjyskE,17,2007,2,0,51,0.6,2,0,2,2,0,0,1,0,3.53,0.00,3.53,3.53,3.53,Matches,2,2,100.0,3.53,3.53,1.00,1.00,,26,1.8,,0,2,26,3,3.00,3,2,+1,+1.76,+2.34,0,3,0,0,2,2,2,,,0
