Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;Matches;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Min%;PPM;+/-90;On-Off;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;Sh_per90;SoT_per90;Dist_per90;Mn/MP_per90;Mn/Start_per90;Compl_per90;Subs_per90;Mn/Sub_per90;unSub_per90;onG_per90;onGA_per90;+/-_per90;2CrdY_per90;Fls_per90;Fld_per90;Off_per90;Crs_per90;Int_per90;TklW_per90;PKwon_per90;PKcon_per90;OG_per90
17,0;Adam Andersson;se SWE;DF;Lyngby;27,0;1996,0;4,1;0,0;0,0;0,0;0,0;0,0;Matches;0,0;0,25;0,0;0,0;;12,7;1,0;-0,74;-0,24;2,44;0,49;89,02;0,0;0,0;0,0;0,0;0,0;0,0;0,49;0,0;0,24;0,0;;9,02;21,95;0,49;1,95;5,61;0,73;0,49;1,22;-0,73;0,0;0,98;0,0;0,0;2,44;1,22;1,71;;;0,0
65,0;Adam Buksa;pl POL;FW;Midtjylland;28,0;1996,0;18,9;0,63;0,05;0,69;0,48;0,53;Matches;37,7;3,65;1,37;0,13;0,35;59,1;1,88;0,74;0,13;1,27;0,95;90,05;0,63;0,05;0,69;0,48;0,16;0,16;0,26;0,0;3,65;1,38;;3,76;4,44;0,69;0,32;1,64;0,05;1,9;1,16;0,74;0,0;1,48;1,27;0,16;0,0;0,26;0,48;;;0,0
125,0;Adam Gabriel;cz CZE;DF;Midtjylland;23,0;2001,0;5,1;0,2;0,39;0,59;0,2;0,59;Matches;44,4;1,76;0,78;0,11;0,25;16,0;2,73;1,76;1,27;2,16;0,78;90,39;0,2;0,39;0,59;0,2;0,0;0,0;0,0;0,0;1,76;0,78;;8,24;15,69;0,39;1,37;3,92;1,57;2,75;0,98;1,76;0,0;1,76;0,2;0,0;0,78;0,2;0,78;;;0,0
70,0;Alexander Busch;dk DEN;DF;Silkeborg;21,0;2003,0;7,0;0,0;0,0;0,0;0,0;0,0;Matches;;0,0;0,0;;;21,9;1,56;0,28;-0,24;1,14;1,0;90,29;0,0;0,0;0,0;0,0;0,0;0,0;0,14;0,0;0,0;0,0;;11,29;12,86;1,0;0,14;0,29;0,0;1,71;1,43;0,29;0,0;0,71;1,14;0,0;0,0;1,86;1,0;;;0,0
232,0;Alexander Lyng;dk DEN;FW,MF;SønderjyskE;19,0;2004,0;11,3;0,26;0,0;0,26;0,26;0,26;Matches;30,4;2,03;0,62;0,13;0,43;35,5;1,22;0,0;0,82;2,04;0,97;90,35;0,27;0,0;0,27;0,27;0,0;0,0;0,18;0,0;2,04;0,62;;3,89;5,84;0,09;1,06;2,12;0,8;1,59;1,59;0,0;0,0;1,06;1,24;0,35;0,88;0,27;1,5;;;0,0
319,0;Alexander Simmelhack;dk DEN;FW;Silkeborg;18,0;2005,0;4,6;1,09;0,22;1,31;1,09;1,31;Matches;75,0;2,62;1,96;0,42;0,56;14,3;1,42;0,65;0,22;5,0;0,43;89,78;1,09;0,22;1,3;1,09;0,0;0,0;0,0;0,0;2,61;1,96;;3,91;17,17;0,0;4,57;2,61;0,87;1,74;1,09;0,65;0,0;2,17;0,87;0,22;0,22;0,22;0,65;;;0,0
81,0;Amin Chiakha;dz ALG;FW;FC Copenhagen;18,0;2006,0;5,1;0,39;0,0;0,39;0,39;0,39;Matches;36,4;2,15;0,78;0,18;0,5;16,0;2,12;0,59;-0,31;3,33;0,78;90,2;0,39;0,0;0,39;0,39;0,0;0,0;0,39;0,0;2,16;0,78;;5,29;12,55;0,0;2,55;3,14;1,96;1,37;0,78;0,59;0,0;2,35;0,78;0,39;0,2;0,39;0,39;;;0,0
192,0;Anders K. Jacobsen;dk DEN;FW,MF;Vejle BK;34,0;1989,0;9,9;0,2;0,3;0,5;0,2;0,5;Matches;61,5;1,31;0,8;0,15;0,25;31,1;1,0;-0,2;0,93;2,53;1,01;90,4;0,2;0,3;0,51;0,2;0,0;0,1;0,0;0,0;1,31;0,81;;3,64;6,67;0,2;1,52;1,62;0,71;1,41;1,62;-0,2;0,0;0,91;0,4;0,1;0,1;0,4;0,2;;;0,0
200,0;Anders Klynge;dk DEN;MF,FW;Silkeborg;23,0;2000,0;13,5;0,07;0,52;0,59;0,07;0,59;Matches;22,2;1,34;0,3;0,06;0,25;42,1;1,68;0,59;0,22;1,33;1,04;89,85;0,07;0,52;0,59;0,07;0,0;0,0;0,07;0,0;1,33;0,3;;4,96;5,93;0,59;0,3;1,78;0,0;1,85;1,26;0,59;0,0;1,04;0,67;0,0;2,0;1,41;1,48;;;0,0
63,0;Andreas Bruus;dk DEN;DF,MF;Aalborg;25,0;1999,0;17,0;0,0;0,0;0,0;0,0;0,0;Matches;18,2;0,65;0,12;0,0;0,0;53,3;0,7;-0,59;0,95;1,18;1,12;90,24;0,0;0,0;0,0;0,0;0,0;0,0;0,12;0,0;0,65;0,12;;4,53;4,59;0,47;0,06;2,65;0,0;1,12;1,71;-0,59;0,0;0,29;0,82;0,06;3,12;0,94;0,35;;;0,0
