Statistic,Per 90,Percentile
Goals,0.09,58
Assists,0.16,82
Goals + Assists,0.25,72
Non-Penalty Goals,0.09,61
Penalty Kicks Made,0.0,45
Penalty Kicks Attempted,0.0,44
Yellow Cards,0.07,93
Red Cards,0.0,59
xG: Expected Goals,0.06,40
npxG: Non-Penalty xG,0.06,42
xAG: Exp. Assisted Goals,0.21,94
npxG + xAG,0.27,83
Progressive Carries,2.78,95
Progressive Passes,10.7,99
Progressive Passes Rec,4.02,89
Shots Total,0.7,26
Shots on Target,0.27,50
Goals/Shot,0.13,86
Goals/Shot on Target,0.33,70
Average Shot Distance,20.4,45
Shots from Free Kicks,0.0,36
npxG/Shot,0.08,61
Goals - xG,0.03,81
Non-Penalty Goals - npxG,0.03,81
Passes Completed,72.67,96
Passes Attempted,82.69,96
Total Passing Distance,1228.09,95
Progressive Passing Distance,301.64,91
Passes Completed (Short),35.27,94
Passes Attempted (Short),37.51,94
Passes Completed (Medium),28.55,94
Passes Attempted (Medium),31.75,94
Passes Completed (Long),6.91,96
Passes Attempted (Long),9.61,92
xA: Expected Assists,0.27,97
Key Passes,2.12,94
Passes into Final Third,9.73,97
Passes into Penalty Area,2.35,98
Crosses into Penalty Area,0.11,54
Live-ball Passes,78.15,96
Dead-ball Passes,4.45,84
Passes from Free Kicks,2.44,88
Through Balls,0.72,98
Switches,0.59,82
Crosses,1.62,71
Throw-ins Taken,0.43,79
Corner Kicks,1.15,78
Inswinging Corner Kicks,0.59,81
Outswinging Corner Kicks,0.02,60
Straight Corner Kicks,0.0,45
Passes Offside,0.09,77
Passes Blocked,1.29,10
Shot-Creating Actions,5.21,99
SCA (Live-ball Pass),4.49,99
SCA (Dead-ball Pass),0.38,78
SCA (Take-On),0.09,68
SCA (Shot),0.07,38
SCA (Fouls Drawn),0.16,85
SCA (Defensive Action),0.02,29
Goal-Creating Actions,0.65,98
GCA (Live-ball Pass),0.56,99
GCA (Dead-ball Pass),0.05,82
GCA (Take-On),0.02,86
GCA (Shot),0.02,68
GCA (Fouls Drawn),0.0,39
GCA (Defensive Action),0.0,44
Tackles,2.21,60
Tackles Won,1.33,63
Tackles (Def 3rd),0.65,31
Tackles (Mid 3rd),1.15,72
Tackles (Att 3rd),0.41,79
Dribblers Tackled,0.86,41
Dribbles Challenged,2.37,79
Challenges Lost,1.51,9
Blocks,1.58,84
Shots Blocked,0.09,10
Passes Blocked,1.49,96
Interceptions,0.79,33
Tkl+Int,3.0,47
Clearances,0.59,4
Errors,0.02,73
Touches,92.35,96
Touches (Def Pen),1.33,11
Touches (Def 3rd),9.16,15
Touches (Mid 3rd),55.07,95
Touches (Att 3rd),29.11,98
Touches (Att Pen),1.4,61
Touches (Live-Ball),92.35,96
Take-Ons Attempted,1.94,78
Successful Take-Ons,1.29,92
Times Tackled During Take-On,0.56,43
Carries,58.97,96
Total Carrying Distance,331.32,98
Progressive Carrying Distance,158.45,97
Carries into Final Third,3.09,98
Carries into Penalty Area,0.25,69
Miscontrols,1.42,30
Dispossessed,1.08,26
Passes Received,70.91,96
Second Yellow Card,0.0,55
Fouls Committed,0.27,99
Fouls Drawn,1.58,75
Offsides,0.05,44
Penalty Kicks Won,0.0,41
Penalty Kicks Conceded,0.0,63
Own Goals,0.0,53
Ball Recoveries,7.54,99
Aerials Won,0.18,3
Aerials Lost,0.25,98
