Statistic,Per 90,Percentile
Goals,0.4,99
Assists,0.33,99
Goals + Assists,0.73,99
Non-Penalty Goals,0.4,99
Penalty Kicks Made,0.0,45
Penalty Kicks Attempted,0.0,44
Yellow Cards,0.07,93
Red Cards,0.0,59
xG: Expected Goals,0.28,98
npxG: Non-Penalty xG,0.28,99
xAG: Exp. Assisted Goals,0.38,99
npxG + xAG,0.66,99
Progressive Carries,5.43,99
Progressive Passes,6.05,78
Progressive Passes Rec,10.79,99
Shots Total,3.17,99
Shots on Target,1.35,99
Goals/Shot,0.13,86
Goals/Shot on Target,0.3,63
Average Shot Distance,18.0,73
Shots from Free Kicks,0.0,36
npxG/Shot,0.09,70
Goals - xG,0.12,97
Non-Penalty Goals - npxG,0.12,97
Passes Completed,44.31,63
Passes Attempted,54.07,65
Total Passing Distance,655.72,48
Progressive Passing Distance,156.43,32
Passes Completed (Short),25.43,82
Passes Attempted (Short),28.02,83
Passes Completed (Medium),15.19,41
Passes Attempted (Medium),18.58,51
Passes Completed (Long),2.19,28
Passes Attempted (Long),4.04,37
xA: Expected Assists,0.31,99
Key Passes,2.62,99
Passes into Final Third,3.5,36
Passes into Penalty Area,2.26,98
Crosses into Penalty Area,0.66,99
Live-ball Passes,51.19,66
Dead-ball Passes,2.73,68
Passes from Free Kicks,0.51,22
Through Balls,0.4,88
Switches,0.33,56
Crosses,3.61,89
Throw-ins Taken,0.98,92
Corner Kicks,0.95,76
Inswinging Corner Kicks,0.29,74
Outswinging Corner Kicks,0.26,78
Straight Corner Kicks,0.04,94
Passes Offside,0.15,54
Passes Blocked,1.06,20
Shot-Creating Actions,5.25,99
SCA (Live-ball Pass),3.97,99
SCA (Dead-ball Pass),0.04,46
SCA (Take-On),0.69,99
SCA (Shot),0.22,88
SCA (Fouls Drawn),0.26,97
SCA (Defensive Action),0.07,72
Goal-Creating Actions,1.02,99
GCA (Live-ball Pass),0.66,99
GCA (Dead-ball Pass),0.0,36
GCA (Take-On),0.15,99
GCA (Shot),0.07,97
GCA (Fouls Drawn),0.11,99
GCA (Defensive Action),0.04,95
Tackles,2.48,73
Tackles Won,1.6,81
Tackles (Def 3rd),0.87,55
Tackles (Mid 3rd),0.95,54
Tackles (Att 3rd),0.66,98
Dribblers Tackled,1.24,79
Dribbles Challenged,2.55,82
Challenges Lost,1.31,18
Blocks,1.31,65
Shots Blocked,0.04,4
Passes Blocked,1.28,89
Interceptions,0.69,23
Tkl+Int,3.17,53
Clearances,0.4,2
Errors,0.0,87
Touches,71.23,83
Touches (Def Pen),0.29,1
Touches (Def 3rd),7.43,6
Touches (Mid 3rd),30.39,37
Touches (Att 3rd),34.65,99
Touches (Att Pen),6.27,99
Touches (Live-Ball),71.23,83
Take-Ons Attempted,6.74,99
Successful Take-Ons,2.88,99
Times Tackled During Take-On,3.21,1
Carries,44.34,84
Total Carrying Distance,293.25,97
Progressive Carrying Distance,169.4,99
Carries into Final Third,3.06,98
Carries into Penalty Area,2.48,99
Miscontrols,2.62,1
Dispossessed,1.93,2
Passes Received,56.92,90
Second Yellow Card,0.0,55
Fouls Committed,1.46,40
Fouls Drawn,2.08,91
Offsides,0.18,8
Penalty Kicks Won,0.07,99
Penalty Kicks Conceded,0.0,63
Own Goals,0.0,53
Ball Recoveries,4.66,39
Aerials Won,0.47,21
Aerials Lost,0.51,85
