Statistic;Per 90;Percentile
Progressive Passes;4,99;98
Shots from Free Kicks;0,42;99
Goals - xG;0,22;98
Non-Penalty Goals - npxG;0,22;98
Passes Completed;28,11;98
Passes Attempted;39,26;98
Total Passing Distance;445,32;98
Progressive Passing Distance;151,93;98
Passes Attempted (Long);6,83;99
Passes into Final Third;3,19;98
Passes into Penalty Area;2,01;99
Crosses into Penalty Area;0,35;98
Dead-ball Passes;6,41;98
Passes from Free Kicks;1,8;99
Switches;0,52;99
Crosses;4,92;99
Throw-ins Taken;1,11;99
Inswinging Corner Kicks;1,39;99
Straight Corner Kicks;0,1;99
SCA (Take-On);0,66;98
Dribbles Challenged;1,35;98
Interceptions;0,59;98
Touches;54,1;98
Touches (Mid 3rd);24,09;99
Touches (Live-Ball);54,06;98
Total Carrying Distance;233,02;98
Progressive Carrying Distance;115,61;98
Carries into Final Third;3,29;98
Ball Recoveries;4,33;99
