Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,TotDist,PrgDist,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,Recov,Won,Won%
Arsenal,25,25.8,56.9,38,418,3420,38.0,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73,34,0.89,120,86,74.2,20,14,4,13,34.2,3,0,0,0.0,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1210,178,31.2,29.9,200,50.0,38.6,402,53,13.2,66,1.74,17.2,544,178,32.7,14.32,4.68,0.12,0.37,15.1,0.11,7.1,6.6,278808,87055,45.7,9.7,428,1397,437,75,18608,1553,80,74,766,598,211,3,2,80,278,969,25.5,726,82,52,34,11,119,3.13,86,11,6,4,1,598,348,220,249,129,260,50.5,255,222,225,823,680,33,24056,1844,1282,320,44.1,316,43.5,14234,286,483,382,16894,1801,90,100,83,272,142,18,200,1.95,69,34,35,0.92,59.9,34.4,25.5,0.67,3,401,2,3,1436,471,50.3
Aston Villa,28,27.0,50.5,38,418,3420,38.0,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,1.47,1.18,2.66,1.39,2.58,1.48,1.1,2.57,1.35,2.45,51,1.34,156,104,68.6,19,9,10,9,23.7,2,1,0,33.3,1,2,0,52.1,0.32,1.1,0.03,181,474,38.2,1182,133,29.5,35.9,299,41.8,35.1,538,59,11.0,35,0.92,8.6,478,159,33.3,12.58,4.18,0.11,0.33,16.3,0.11,-0.1,1.7,252637,88182,36.9,3.3,358,1137,319,56,16044,1698,95,58,604,497,148,24,1,55,346,849,22.34,602,85,51,39,14,102,2.68,80,7,3,4,2,637,372,293,249,95,310,56.8,236,222,240,877,788,43,21699,2646,951,327,45.0,299,41.2,12334,212,508,386,14423,1331,90,100,80,246,170,23,170,1.74,58,51,7,0.18,56.1,50.1,5.9,0.16,2,406,6,3,1418,378,47.2
Bournemouth,29,25.1,48.5,38,418,3420,38.0,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,1.5,1.08,2.58,1.34,2.42,1.68,1.15,2.84,1.54,2.69,46,1.21,172,126,75.6,15,11,12,9,23.7,4,0,0,0.0,1,5,0,54.8,0.3,8.8,0.23,174,465,37.4,960,158,35.2,36.8,266,47.7,39.4,460,25,5.4,62,1.63,12.6,574,192,33.4,15.11,5.05,0.09,0.27,16.7,0.1,-7.0,-7.5,233955,86767,36.5,-2.8,437,1242,339,106,15136,1694,59,78,832,686,166,18,4,70,314,1012,26.63,767,68,44,42,21,93,2.45,62,6,5,10,2,691,399,290,299,102,301,48.0,326,323,351,1042,1013,22,21618,2217,1005,294,43.8,300,44.6,11733,228,597,350,12855,1474,90,100,83,254,162,18,180,1.47,58,46,12,0.32,64.0,48.5,15.5,0.41,0,525,7,4,1821,573,48.6
Brentford,28,25.8,47.9,38,418,3420,38.0,65,44,109,60,5,6,62,1,59.0,54.4,42.4,96.8,598,1356,1.71,1.16,2.87,1.58,2.74,1.55,1.12,2.67,1.43,2.55,57,1.5,207,153,72.9,16,8,14,8,21.1,1,0,0,0.0,0,2,3,53.3,0.26,-0.7,-0.02,264,697,37.9,1453,129,36.3,34.9,327,51.7,41.3,597,48,8.0,34,0.89,4.7,434,173,39.9,11.42,4.55,0.14,0.35,14.9,0.13,6.0,5.6,245539,93263,38.1,1.6,330,1104,325,91,15453,1584,69,71,674,602,139,2,0,63,288,780,20.53,569,74,40,35,11,113,2.97,78,11,5,9,1,633,380,289,223,121,314,52.7,282,281,285,918,1040,28,21491,3282,987,265,42.3,293,46.7,11412,213,549,300,13153,1339,90,100,85,277,142,15,200,1.47,66,57,9,0.24,59.0,55.4,3.6,0.09,0,320,6,1,1644,624,52.4
Brighton,32,24.8,52.3,38,418,3420,38.0,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,1.68,1.08,2.76,1.5,2.58,1.54,1.06,2.61,1.4,2.47,59,1.55,147,90,66.0,16,13,9,8,21.1,9,0,0,0.0,1,4,2,51.5,0.3,-5.5,-0.15,129,402,32.1,1178,129,29.3,25.1,243,23.5,23.1,436,29,6.7,50,1.32,15.4,526,183,34.8,13.84,4.82,0.11,0.31,17.2,0.1,5.3,3.7,268916,90984,39.1,0.6,377,1189,339,87,17527,1615,77,76,704,605,107,48,7,46,310,933,24.55,685,70,56,55,14,113,2.97,78,7,10,10,2,705,431,287,297,121,350,49.8,353,317,315,1020,762,29,23677,2601,1085,338,42.4,382,47.9,13919,263,583,344,15637,1522,90,100,82,231,184,18,158,1.61,66,59,7,0.18,58.7,54.6,4.1,0.11,2,438,6,9,1624,518,52.8
Chelsea,29,23.7,57.1,38,418,3420,38.0,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,1.61,1.24,2.84,1.5,2.74,1.78,1.39,3.17,1.68,3.07,43,1.13,155,111,75.5,20,9,9,11,28.9,5,1,0,16.7,0,5,0,45.0,0.26,2.0,0.05,105,457,23.0,1207,209,34.5,24.1,224,17.9,20.9,423,49,11.6,59,1.55,13.2,590,203,34.4,15.53,5.34,0.1,0.28,16.7,0.11,-6.8,-6.8,311166,98339,41.8,-5.7,457,1488,346,73,19613,1642,79,95,663,587,121,37,8,65,304,1061,27.92,811,60,58,39,23,109,2.87,75,5,9,7,4,588,371,243,244,101,273,50.9,263,253,272,860,695,45,25217,2410,1115,326,41.6,336,42.9,14501,317,466,297,17888,1576,90,100,83,277,140,19,202,1.82,64,43,21,0.55,67.8,47.3,20.5,0.54,1,436,5,6,1577,402,50.8
Crystal Palace,29,26.2,42.8,38,418,3420,38.0,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,1.29,1.0,2.29,1.21,2.21,1.59,1.22,2.81,1.51,2.73,51,1.34,150,101,66.7,13,14,11,11,28.9,1,1,0,50.0,1,5,3,51.2,0.35,3.2,0.08,157,600,26.2,922,115,48.5,38.5,293,52.2,42.4,559,30,5.4,40,1.05,14.3,512,175,34.2,13.47,4.61,0.09,0.26,16.8,0.11,-11.4,-11.3,213257,80237,36.6,-8.4,379,886,272,69,14066,1614,71,59,605,621,115,18,0,74,302,877,23.08,633,76,33,48,16,89,2.34,60,8,6,6,1,767,450,374,299,94,324,50.4,319,341,334,1101,1088,19,20389,2570,797,209,41.8,241,48.2,10275,126,491,339,11783,1140,90,100,83,268,148,18,192,1.39,51,51,0,0.0,60.4,49.1,11.3,0.3,3,417,4,2,1698,511,44.6
Everton,26,28.0,40.9,38,418,3420,38.0,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,1.03,0.71,1.74,0.97,1.68,1.1,0.85,1.95,1.06,1.91,44,1.16,163,117,73.0,11,15,12,12,31.6,0,2,0,100.0,1,6,0,48.8,0.3,4.8,0.13,304,806,37.7,1297,161,51.0,39.7,289,50.2,40.7,558,31,5.6,57,1.5,15.2,404,139,34.4,10.63,3.66,0.09,0.27,16.8,0.1,-2.8,-3.2,215027,85013,27.2,-5.2,298,1003,261,92,13245,1627,30,83,682,678,101,24,11,81,295,713,18.76,530,65,44,31,12,68,1.79,46,4,6,5,3,732,433,366,269,97,338,51.5,318,254,345,1077,1088,25,19408,2462,732,283,44.5,305,48.0,9535,119,525,390,11309,1023,90,100,84,286,130,19,211,1.26,42,44,-2,-0.05,41.8,46.2,-4.5,-0.12,1,430,1,2,1524,614,52.1
Fulham,26,28.1,52.3,38,418,3420,38.0,53,44,97,50,3,4,80,2,49.0,45.9,37.5,83.4,786,1558,1.39,1.16,2.55,1.32,2.47,1.29,0.99,2.28,1.21,2.2,54,1.42,159,106,67.9,15,9,14,5,13.2,3,1,0,25.0,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1138,167,24.5,28.9,265,33.2,30.2,507,23,4.5,33,0.87,13.3,516,167,32.4,13.58,4.39,0.1,0.3,16.4,0.09,4.0,4.1,289508,97635,35.0,6.5,398,1346,343,108,18077,1633,43,119,894,636,88,87,1,43,337,940,24.74,718,73,38,25,16,99,2.61,80,3,5,4,3,679,411,327,259,93,289,51.2,276,269,302,981,914,33,23926,2641,954,288,45.2,254,39.9,14026,213,515,281,16043,1544,90,100,83,239,179,17,163,1.42,54,54,0,0.0,49.0,47.2,1.8,0.05,0,432,3,4,1610,533,50.0
Ipswich Town,32,25.8,40.6,38,418,3420,38.0,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57.0,513,935,0.92,0.68,1.61,0.87,1.55,0.9,0.64,1.54,0.86,1.5,82,2.16,210,130,63.8,4,10,24,2,5.3,6,0,0,0.0,0,11,2,73.6,0.33,-6.4,-0.17,189,531,35.6,1000,184,36.6,30.3,306,53.9,41.4,609,71,11.7,35,0.92,12.2,374,120,32.1,9.84,3.16,0.09,0.28,17.7,0.09,0.6,0.2,204832,77912,21.2,1.8,283,865,173,54,13146,1577,44,60,505,572,111,18,1,52,300,658,17.32,458,72,51,33,14,58,1.53,46,2,6,2,0,589,340,294,214,81,281,46.5,323,251,303,892,1102,39,19091,3012,605,277,43.1,290,45.1,9384,150,538,347,11405,920,90,100,82,237,178,17,164,0.58,36,82,-46,-1.21,34.4,72.7,-38.3,-1.01,4,430,2,6,1437,552,50.9
